Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0010111223458038423,"The development and deployment of federated learning (FL) have been bottle-
necked by the heavy communication overheads of high-dimensional models be-
tween the distributed client nodes and the central server. To achieve better error-
communication tradeoffs, recent efforts have been made to either adaptively re-
duce the communication frequency by skipping unimportant updates, a.k.a. lazily-
aggregated quantization (LAQ), or adjust the quantization bits for each communi-
cation. In this paper, we propose a unifying communication efficient framework
for FL based on adaptive quantization of lazily-aggregated gradients (AQUILA),
which adaptively adjusts two mutually-dependent factors, the communication fre-
quency and the quantization level, in a synergistic way. Specifically, we start from
a careful investigation on the classical LAQ scheme and formulate AQUILA as
an optimization problem where the optimal quantization level per communication
is selected by minimizing the gradient loss caused by updates skipping. Mean-
while, we adjust the LAQ strategy to better fit the novel quantization criterion
and thus keep the communication frequency at an appropriate level. The effec-
tiveness and convergence of the proposed AQUILA framework are theoretically
verified. The experimental results demonstrate that AQUILA can reduce around
50% of overall transmitted bits compared to existing methods while achieving
the same level of model accuracy in a number of non-homogeneous FL scenarios,
including Non-IID data distribution and heterogeneous model architecture. The
proposed AQUILA is highly adaptive and compatible to existing FL settings."
INTRODUCTION,0.0020222446916076846,"1
INTRODUCTION"
INTRODUCTION,0.003033367037411527,"With the deployment of ubiquitous sensing and computing devices, the Internet of things (IoT) as
well as many other distributed systems have gradually grown from concept to reality, bringing dra-
matic convenience to people’s daily life (Du et al., 2020; Liu et al., 2020a; Hard et al., 2018). To fully
utilize such distributed computing resources, distributed learning provides a promising framework
that can achieve comparable performance with the traditional centralized learning scheme. How-
ever, the privacy and security of sensitive data during the updating and transmitting processes in dis-
tributed learning have been a growing concern. In this context, federated learning (FL) (McMahan
et al., 2017; Yang et al., 2019) has been developed, enabling distributed devices to collaboratively
learn a global model without privacy leakage by keeping private data sets isolated and masking
transmitted information with secure approaches like differential privacy (Abadi et al., 2016), secret
sharing techniques (Bonawitz et al., 2017) and homomorphic encryption (Liu et al., 2020b). Due
to its privacy and security preserving property and great potentials in some distributed but privacy-
sensitive fields like finance and health, FL has attracted tremendous attentions from both academia
and industry in recent years."
INTRODUCTION,0.004044489383215369,"Unfortunately, in many FL applications like image classification and objective recognition, the mod-
els to be trained tend to be high-dimensional, which lead to heavy communication overheads, for
example, a Resnet-152 network has over 58 million parameters (He et al., 2016). Hence, com-
munication efficiency has become one of the key bottlenecks of FL. To this end, recent researches
have tried to reduce the communication frequency, for example, Sun et al. (2020) proposes the
lazily-aggregated quantization (LAQ) method to reduce communication rounds by skipping some"
INTRODUCTION,0.005055611729019211,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.006066734074823054,"unnecessary parameter uploads. To further reduce transmitted bits per communication, LAQ can
be used jointly with gradient compression techniques, e.g. quantization and sparsification (Strom,
2015; Wangni et al., 2018; Lin et al., 2018; Han et al., 2020). Moreover, Mao et al. (2021) devel-
ops the Adaptive Quantized Gradient (AQG) for LAQ to adjust the quantization bit among multiple
given levels during training. However, the AQG is not sufficiently adaptive, for example, in the
two-level AQG with 4 bit and 2 bit, the situation of 3 bit and 1 bit is not covered at all. In a sepa-
rate line of work, Jhunjhunwala et al. (2021) develops an adaptive quantization rule (AdaQuantFL)
for FL which can search in a given range for an optimal quantization level and achieve a better
error-communication tradeoff."
INTRODUCTION,0.007077856420626896,"Previous work has investigated how to optimize communication frequency or adjust quantization
levels in a highly adaptive fashion, but not both. Intuitively, we ask the question, can we adaptively
adjust the quantization level in LAQ to further reduce communication rounds and transmitted bits
simultaneously? A straightforward approach is to train LAQ jointly with state-of-the-art adaptive
quantization methods like AdaQuantFL. However, quantization level and communication frequency
are mutually dependent in establishing the model convergence and must be adjusted together. For
example, lazy aggregation leads to the skip of some gradients that no longer require quantization,
while the choice of quantization levels directly affects the quality of a gradient update and thus
whether it is selected for transmission and aggregation. Therefore, the key question of our work is
how to jointly leverage these two complementary yet mutually-dependent degrees of freedom for
further optimizing communication efficiency in FL."
INTRODUCTION,0.008088978766430738,"The key idea of this paper is to select the optimal quantization bits for each communication round
in LAQ by optimizing the gradient loss caused by skipping quantized updates, which gives a novel
quantization criterion that can cooperate with LAQ strategy to further reduce overall transmitted
bits while maintaining the desired convergence properties of LAQ. The contributions of this paper
are trifold and summarized as follows. 1) We propose a FL framework with adaptive quantization
of lazily-aggregated gradients termed AQUILA, which simultaneously adjusts the communication
frequency and quantization level in a synergistic fashion. 2) We formulate AQUILA as an optimiza-
tion problem and develop an upperbound for the gradient loss caused by communication skipping,
which gives a novel adaptive quantization criterion which is theoretically proven to be more efficient
compared to AdaQuantFL while maintaining the same convergence properties. 3) We experimen-
tally evaluate the performance of AQUILA in a number of non-homogeneous FL settings, including
Non-IID data distribution and various heterogeneous model architecture. The experimental results
show that AQUILA can significantly mitigate the communication overhead over a number of base-
lines including fixed-bit LAQ and the naive combination of LAQ and AdaQuantFL. Our approach is
highly adaptive and compatible to existing FL settings."
BACKGROUND AND RELATED WORK,0.00910010111223458,"2
BACKGROUND AND RELATED WORK"
