Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0010559662090813093,"State-of-the-art LiDAR-camera 3D object detectors usually focus on feature fusion.
1"
ABSTRACT,0.0021119324181626186,"However, they neglect the factor of depth while designing the fusion strategy. In
2"
ABSTRACT,0.0031678986272439284,"this work, we for the first time point out that different modalities play different roles
3"
ABSTRACT,0.004223864836325237,"as depth varies via statistical analysis and visualization. Based on this finding, we
4"
ABSTRACT,0.005279831045406547,"propose a Depth-Aware Hybrid Feature Fusion (DH-Fusion) strategy that guides the
5"
ABSTRACT,0.006335797254487857,"weights of point cloud and RGB image modalities by introducing depth encoding
6"
ABSTRACT,0.007391763463569166,"at both global and local levels. Specifically, the Depth-Aware Global Feature
7"
ABSTRACT,0.008447729672650475,"Fusion (DGF) module adaptively adjusts the weights of image Bird’s-Eye-View
8"
ABSTRACT,0.009503695881731784,"(BEV) features in multi-modal global features via depth encoding. Furthermore,
9"
ABSTRACT,0.010559662090813094,"to compensate for the information lost when transferring raw features to the BEV
10"
ABSTRACT,0.011615628299894404,"space, we propose a Depth-Aware Local Feature Fusion (DLF) module, which
11"
ABSTRACT,0.012671594508975714,"adaptively adjusts the weights of original voxel features and multi-view image
12"
ABSTRACT,0.013727560718057022,"features in multi-modal local features via depth encoding. Extensive experiments
13"
ABSTRACT,0.014783526927138331,"on the nuScenes dataset demonstrate that our DH-Fusion method surpasses previous
14"
ABSTRACT,0.01583949313621964,"state-of-the-art methods w.r.t. NDS. Moreover, our DH-Fusion is more robust to
15"
ABSTRACT,0.01689545934530095,"various kinds of corruptions, outperforming previous methods on nuScenes-C w.r.t.
16"
ABSTRACT,0.01795142555438226,"both NDS and mAP.
17"
INTRODUCTION,0.01900739176346357,"1
Introduction
18"
INTRODUCTION,0.02006335797254488,"3D object detection has a wide range of applications in the fields of autonomous driving and robotics.
19"
INTRODUCTION,0.021119324181626188,"A large number of previous works have successfully focused on using a single modality, such as point
20"
INTRODUCTION,0.022175290390707498,"cloud or images, to design efficient 3D object detectors. However, the performance of these detectors
21"
INTRODUCTION,0.023231256599788808,"reaches a bottleneck due to the limitations of modality characteristics. For instance, the point cloud
22"
INTRODUCTION,0.024287222808870117,"modality can only provide rich geometric information while lacks detailed semantic information;
23"
INTRODUCTION,0.025343189017951427,"the image modality can only provide rich texture information while lacks three-dimensional spatial
24"
INTRODUCTION,0.026399155227032733,"information. To address the aforementioned issues, we are highly motivated to obtain comprehensive
25"
