Section,Section Appearance Order,Paragraph
CISPA HELMHOLTZ CENTER FOR INFORMATION SECURITY,0.0,"1CISPA Helmholtz Center for Information Security
2Salesforce Research
3University of Maryland
4Max Planck Institute for Informatics
{dingfan.chen, fritz}@cispa.de
ning.yu@salesforce.com"
ABSTRACT,0.0011947431302270011,ABSTRACT
ABSTRACT,0.0023894862604540022,"As a long-term threat to the privacy of training data, membership inference attacks
(MIAs) emerge ubiquitously in machine learning models. Existing works evidence
strong connection between the distinguishability of the training and testing loss
distributions and the model’s vulnerability to MIAs. Motivated by existing results,
we propose a novel training framework based on a relaxed loss (RelaxLoss) with
a more achievable learning target, which leads to narrowed generalization gap
and reduced privacy leakage. RelaxLoss is applicable to any classification model
with added benefits of easy implementation and negligible overhead. Through
extensive evaluations on five datasets with diverse modalities (images, medical
data, transaction records), our approach consistently outperforms state-of-the-
art defense mechanisms in terms of resilience against MIAs as well as model
utility. Our defense is the first that can withstand a wide range of attacks while
preserving (or even improving) the target model’s utility. Source code is available
at https://github.com/DingfanChen/RelaxLoss."
INTRODUCTION,0.0035842293906810036,"1
INTRODUCTION"
INTRODUCTION,0.0047789725209080045,"While deep learning (DL) models have achieved tremendous success in the past few years, their
deployments in many sensitive domains (e.g., medical, financial) bring privacy concerns since data
misuse in these domains induces severe privacy risks to individuals. In particular, modern deep neural
networks (NN) are prone to memorize training data due to their high capacity, making them vulnerable
to privacy attacks that extract detailed information about the individuals from models (Shokri et al.,
2017; Song et al., 2017; Yeom et al., 2018) ."
INTRODUCTION,0.005973715651135006,"In membership inference attack (MIA), an adversary attempts to identify whether a specific data
sample was used to train a target victim model. This threat is pervasive in various data domains
(e.g., images, medical data, transaction records) and inevitably poses serious privacy threats to
individuals (Shokri et al., 2017; Nasr et al., 2018; Salem et al., 2019), even given only black-box
access (query inputs in, posterior predictions out) (Shokri et al., 2017; Salem et al., 2019; Song &
Mittal, 2020) or partially observed output predictions (e.g., top-k predicted labels) (Choo et al., 2020)."
INTRODUCTION,0.007168458781362007,"Significant advances have been achieved to defend against MIAs. Conventionally, regularization
methods designed for mitigating overfitting such as dropout (Srivastava et al., 2014) and weight-
decay (Geman et al., 1992) are regarded as defense mechanisms (Salem et al., 2019; Jia et al.,
2019; Shokri et al., 2017). However, as conveyed by Kaya et al. (2020); Kaya & Dumitras (2021),
vanilla regularization techniques (which are not designed for MIA), despite slight improvement
towards reducing the generalization gap, are generally unable to eliminate MIA. In contrast, recent
works design defenses tailored to MIA. A common strategy among such defenses is adversarial
training (Goodfellow et al., 2014b;a), where a surrogate attack model (represented as a NN) is used
to approximate the real attack and subsequently the target model is modified to maximize prediction
errors of the surrogate attacker via adversarial training. This strategy contributes to remarkable success
in defending NN-based attacks (Nasr et al., 2018; Jia et al., 2019). However, these methods are greatly"
INTRODUCTION,0.008363201911589008,"∗This work was done when Ning Yu was in a joint Ph.D. program with the University of Maryland and Max
Planck Institute for Informatics."
INTRODUCTION,0.009557945041816009,Published as a conference paper at ICLR 2022
INTRODUCTION,0.010752688172043012,"restricted by strong assumptions on attack models, thereby failing to generalize to novel attacks
unanticipated by the defender (e.g., a simple metric-based attack) (Song & Mittal, 2020). In order
to defend attacks beyond the surrogate one, differentially private (DP) training techniques (Abadi
et al., 2016; Papernot et al., 2016; 2018) that provide strict guarantees against MIA are exploited.
Nevertheless, as evidenced by Rahman et al. (2018); Jia et al. (2019); Hayes et al. (2019); Jayaraman
& Evans (2019); Chen et al. (2020); Kaya & Dumitras (2021), incorporating DP constraints inevitably
compromises model utility and increases computation cost."
