Section,Section Appearance Order,Paragraph
BYTEDANCE,0.0,"1 ByteDance
2 Technical University Munich
* equal contribution
https://yucornetto.github.io/projects/titok.html"
TOKENS,0.0025252525252525255,"32 tokens
TiTok (ours)"
TOKENS,0.005050505050505051,256 tokens VQGAN
PIXELS,0.007575757575757576,65536 pixels
PIXELS,0.010101010101010102,real image
PIXELS,0.012626262626262626,latent size
PIXELS,0.015151515151515152,and costs
PIXELS,0.017676767676767676,Image Reconstruction
PIXELS,0.020202020202020204,32 tokens can work well for…
PIXELS,0.022727272727272728,Image Generation (TiTok 32 tokens)
PIXELS,0.025252525252525252,"Figure 1: We propose TiTok, a compact 1D tokenizer leveraging region redundancy to represent an
image with only 32 tokens for image reconstruction and generation."
ABSTRACT,0.027777777777777776,Abstract
ABSTRACT,0.030303030303030304,"Recent advancements in generative models have highlighted the crucial role of
image tokenization in the efficient synthesis of high-resolution images. Tokeniza-
tion, which transforms images into latent representations, reduces computational
demands compared to directly processing pixels and enhances the effectiveness
and efficiency of the generation process. Prior methods, such as VQGAN, typically
utilize 2D latent grids with fixed downsampling factors. However, these 2D tok-
enizations face challenges in managing the inherent redundancies present in images,
where adjacent regions frequently display similarities. To overcome this issue,
we introduce Transformer-based 1-Dimensional Tokenizer (TiTok), an innovative
approach that tokenizes images into 1D latent sequences. TiTok provides a more
compact latent representation, yielding substantially more efficient and effective
representations than conventional techniques. For example, a 256 × 256 × 3 image
can be reduced to just 32 discrete tokens, a significant reduction from the 256 or
1024 tokens obtained by prior methods. Despite its compact nature, TiTok achieves
competitive performance to state-of-the-art approaches. Specifically, using the
same generator framework, TiTok attains 1.97 gFID, outperforming MaskGIT
baseline significantly by 4.21 at ImageNet 256 × 256 benchmark. The advantages
of TiTok become even more significant when it comes to higher resolution. At
ImageNet 512 × 512 benchmark, TiTok not only outperforms state-of-the-art dif-
fusion model DiT-XL/2 (gFID 2.74 vs. 3.04), but also reduces the image tokens
by 64×, leading to 410× faster generation process. Our best-performing variant
can significantly surpass DiT-XL/2 (gFID 2.13 vs. 3.04) while still generating
high-quality samples 74× faster."
INTRODUCTION,0.03282828282828283,"1
Introduction"
INTRODUCTION,0.03535353535353535,"In recent years, image generation has experienced remarkable progress, driven by the significant
advancements in both transformers [19, 65, 70, 10, 71, 72] and diffusion models [16, 58, 29, 52, 21].
Mirroring the trends in generative language models [51, 62], the architecture of many contemporary
image generation models incorporate a standard image tokenizer and de-tokenizer. This array of
models utilizes tokenized image representations—ranging from continuous [35] to discrete vec-
tors [57, 64, 19]—to perform a critical function: translating raw pixels into a latent space. The latent
space (e.g., 32 × 32) is significantly more compact than the original image space (256 × 256 × 3). It
offers a compressed yet expressive representation, and thus not only facilitates efficient training and
inference of generative models but also paves the way to scale up the model size."
INTRODUCTION,0.03787878787878788,"Although image tokenizers achieve great success in image generation workflows, they encounter a
fundamental limitation tied to their intrinsic design. These tokenizers are based on an assumption
that the latent space should retain a 2D structure, to maintain a direct mapping for locations between
the latent tokens and image patches. For example, the top-left latent token directly corresponds to
the top-left image patch. This restricts the tokenizer’s ability to effectively leverage the redundancy
inherent in images to cultivate a more compressed latent space."
