Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0018315018315018315,"Motivated by applications such as machine repair, project monitoring, and anti-
1"
ABSTRACT,0.003663003663003663,"poaching patrol scheduling, we study intervention planning of stochastic processes
2"
ABSTRACT,0.005494505494505495,"under resource constraints. This planning problem has previously been modeled as
3"
ABSTRACT,0.007326007326007326,"restless multi-armed bandits (RMAB), where each arm is an intervention-dependent
4"
ABSTRACT,0.009157509157509158,"Markov Decision Process. However, the existing literature assumes all intervention
5"
ABSTRACT,0.01098901098901099,"resources belong to a single uniform pool, limiting their applicability to real-world
6"
ABSTRACT,0.01282051282051282,"settings where interventions are carried out by a set of workers, each with their own
7"
ABSTRACT,0.014652014652014652,"costs, budgets, and intervention effects. In this work, we consider a novel RMAB
8"
ABSTRACT,0.016483516483516484,"setting, called multi-worker restless bandits (MWRMAB) with heterogeneous
9"
ABSTRACT,0.018315018315018316,"workers. The goal is to plan an intervention schedule that maximizes the expected
10"
ABSTRACT,0.020146520146520148,"reward while satisfying budget constraints on each worker as well as fairness in
11"
ABSTRACT,0.02197802197802198,"terms of the load assigned to each worker. Our contributions are two-fold: (1) we
12"
ABSTRACT,0.023809523809523808,"provide a multi-worker extension of the Whittle index to tackle heterogeneous
13"
ABSTRACT,0.02564102564102564,"costs and per-worker budget and (2) we develop an index-based scheduling policy
14"
ABSTRACT,0.027472527472527472,"to achieve fairness. Further, we evaluate our method on various cost structures and
15"
ABSTRACT,0.029304029304029304,"show that our method signiﬁcantly outperforms other baselines in terms of fairness
16"
ABSTRACT,0.031135531135531136,"without sacriﬁcing much in reward accumulated.
17"
INTRODUCTION,0.03296703296703297,"1
Introduction
18"
INTRODUCTION,0.0347985347985348,"Restless multi-armed bandits (RMABs) Whittle [1988] have been used for sequential planning, where
19"
INTRODUCTION,0.03663003663003663,"a planner allocates a limited set of M intervention resources across N independent heterogeneous
20"
INTRODUCTION,0.038461538461538464,"arms (Markov Decision processes) at each time step in order to maximize the long-term expected
21"
INTRODUCTION,0.040293040293040296,"reward. The term restless denotes that the arms undergo state-transitions even when they are not
22"
INTRODUCTION,0.04212454212454213,"acted upon (with a different probability than when they are acted upon). RMABs have been receiving
23"
INTRODUCTION,0.04395604395604396,"increasing attention across a wide range of applications such as maintenance [Abbou and Makis,
24"
INTRODUCTION,0.045787545787545784,"2019], recommendation systems Meshram et al. [2015], anti-poaching patrolling [Qian et al., 2016b],
25"
INTRODUCTION,0.047619047619047616,"and adherence monitoring [Akbarzadeh and Mahajan, 2019; Mate et al., 2020]. Although, rangers
26"
INTRODUCTION,0.04945054945054945,"in anti-poaching, healthcare workers in health intervention planning, and supervisors in machine
27"
INTRODUCTION,0.05128205128205128,"maintenance are all commonly cited examples of human workforce used as intervention resources, the
28"
INTRODUCTION,0.05311355311355311,"literature has so far ignored one key reality that the human workforce is heterogeneous—each worker
29"
INTRODUCTION,0.054945054945054944,"has their own workload constraints and needs to commit a dedicated time duration for intervening on
30"
INTRODUCTION,0.056776556776556776,"an arm. Thus, it is critical to restrict intervention workload for each worker and balance the workload
31"
INTRODUCTION,0.05860805860805861,"across them, while also ensuring high effectiveness (reward) of the planning policy.
32"
INTRODUCTION,0.06043956043956044,"RMAB literature does not consider this heterogeneity and mostly focuses on selecting best arms
33"
INTRODUCTION,0.06227106227106227,"assuming that all intervention resources (workers) are interchangeable, i.e., as from a single pool
34"
INTRODUCTION,0.0641025641025641,"(homogeneous). However, planning with human workforce requires more expressiveness in the
35"
INTRODUCTION,0.06593406593406594,"model, including heterogeneity in costs and intervention effects, worker-speciﬁc load constraints, and
36"
INTRODUCTION,0.06776556776556776,"balanced work allocation. One concrete example is anti-poaching intervention planning Qian et al.
37"
INTRODUCTION,0.0695970695970696,"[2016a] with N areas in a national park where timely interventions (patrols) are required to detect as
38"
INTRODUCTION,0.07142857142857142,"many snares as possible across all the areas. These interventions are carried out by a small set of M
39"
INTRODUCTION,0.07326007326007326,"ranger. The problem of selecting a subset of areas at each time step (say, daily) has been modeled as
40"
INTRODUCTION,0.07509157509157509,"an RMAB problem. However, each ranger may incur heterogeneous cost (e.g., distance travelled,
41"
INTRODUCTION,0.07692307692307693,"when assigned to intervene on a particular area) and the total cost incurred by any ranger (e.g., total
42"
INTRODUCTION,0.07875457875457875,"distance traveled) must not exceed a given budget. Additionally, it is important to ensure that tasks
43"
INTRODUCTION,0.08058608058608059,"are allocated fairly across rangers so that, for e.g., some rangers are not required to walk far greater
44"
INTRODUCTION,0.08241758241758242,"distances than others. Adding this level of expressiveness to existing RMAB models is non-trivial.
45"
INTRODUCTION,0.08424908424908426,"To address this, we introduce the multi-worker restless multi-armed bandits (MWRMAB) problem.
46"
INTRODUCTION,0.08608058608058608,"Since MWRMABs are more general than the classical RMABs, they are at least PSPACE hard to
47"
INTRODUCTION,0.08791208791208792,"solve optimally [Papadimitriou and Tsitsiklis, 1994]. RMABs with k-state arms require solving a
48"
INTRODUCTION,0.08974358974358974,"combined MDP with kN states and |M + 1|N actions constrained by a budget, and thus suffers from
49"
INTRODUCTION,0.09157509157509157,"the curse of dimensionality. A typical approach is to compute Whittle indices [Whittle, 1988] for
50"
INTRODUCTION,0.09340659340659341,"each arm and choose M arms with highest index values—an asymptotically optimal solution under
51"
INTRODUCTION,0.09523809523809523,"the technical condition indexability [Weber and Weiss, 1990]. However, this approach is limited to
52"
INTRODUCTION,0.09706959706959707,"instances a single type of intervention resource incurring one unit cost upon intervention. A few papers
53"
INTRODUCTION,0.0989010989010989,"on RMABs [Glazebrook et al., 2011; Meshram and Kaza, 2020] study multiple interventions and
54"
INTRODUCTION,0.10073260073260074,"non-unitary costs but assumes one global budget (instead of per-worker budget). Existing solutions
55"
INTRODUCTION,0.10256410256410256,"aim at maximizing reward by selecting arms with highest index values that may not guarantee fairness
56"
INTRODUCTION,0.1043956043956044,"towards the workers who are in charge of providing interventions.
57"
INTRODUCTION,0.10622710622710622,"To the best of our knowledge, we are the ﬁrst to introduce and formalize the multi-worker restless
58"
INTRODUCTION,0.10805860805860806,"multi-armed bandit (MWRMAB) problem and a related worker-centric fairness constraint. We
59"
INTRODUCTION,0.10989010989010989,"develop a novel framework for solving the MWRMAB problem. Further, we empirically evaluate our
60"
INTRODUCTION,0.11172161172161173,"algorithm to show that it is fair and scalable across a range of experimental settings.
61"
RELATED WORK,0.11355311355311355,"2
Related Work
62"
RELATED WORK,0.11538461538461539,"Multi-Action RMABs and Weakly Coupled MDPs Glazebrook et al. [2011] develop closed-form
63"
RELATED WORK,0.11721611721611722,"solutions for multi-action RMABs using Lagrangian relaxation. Meshram and Kaza [2020] build
64"
RELATED WORK,0.11904761904761904,"simulation-based policies that rely on monte-carlo estimation of state-action values. However,
65"
RELATED WORK,0.12087912087912088,"critically, these approaches rely on actions being constrained by a single budget, failing to capture the
66"
RELATED WORK,0.1227106227106227,"heterogeneity of workforce. On the other hand, weakly coupled MDPs (WCMDPs) Hawkins [2003]
67"
RELATED WORK,0.12454212454212454,"allow for such multiple budget constraints; this is the baseline we compare against. Other theoretical
68"
RELATED WORK,0.12637362637362637,"works Adelman and Mersereau [2008]; Gocgun and Ghate [2012] have developed solutions in terms
69"
RELATED WORK,0.1282051282051282,"of the reward accumulated, but may not scale well with increasing problem size. These papers do not
70"
RELATED WORK,0.13003663003663005,"consider fairness, a crucial component of MWRMABs, which our algorithm addresses.
71"
RELATED WORK,0.13186813186813187,"Fairness in stochastic and contextual multi-armed bandits (MABs) [Patil et al., 2020; Joseph et al.,
72"
RELATED WORK,0.1336996336996337,"2016; Chen et al., 2020] has been receiving signiﬁcant attention. However, fairness in RMABs has
73"
RELATED WORK,0.13553113553113552,"been less explored. Recent work by Herlihy et al. [2021] considered quota-based fairness of RMAB
74"
RELATED WORK,0.13736263736263737,"arms assuming that arms correspond to human beneﬁciaries (for example, patients). However, in our
75"
RELATED WORK,0.1391941391941392,"work, we consider an orthogonal problem of satisfying the fairness among intervention resources
76"
RELATED WORK,0.14102564102564102,"(workers) instead of arms (tasks).
77"
RELATED WORK,0.14285714285714285,"Fair allocation of discrete items among a set of agents has been a well studied topic [Brandt et al.,
78"
RELATED WORK,0.1446886446886447,"2016]. Fairness notions such as envy-freeness up to one item [Budish, 2011] and their budgeted
79"
RELATED WORK,0.14652014652014653,"settings [Wu et al., 2021; Biswas and Barman, 2018] align with the fairness notion we consider.
80"
RELATED WORK,0.14835164835164835,"However, these papers do not consider non-stationary (MDP) items. Moreover, these papers assume
81"
RELATED WORK,0.15018315018315018,"that each agent has a value for every item; both fairness and efﬁciency are deﬁned with respect to this
82"
RELATED WORK,0.152014652014652,"valuation. In contrast, in MWRMAB, efﬁciency is deﬁned based on reward accumulated and fairness
83"
RELATED WORK,0.15384615384615385,"and budget feasibility are deﬁned based on the cost incurred.
84"
THE MODEL,0.15567765567765568,"3
The Model
85"
THE MODEL,0.1575091575091575,"There are M workers for providing interventions on N independent arms that follow Markov Decision
86"
THE MODEL,0.15934065934065933,"Processes (MDPs). Each MDP i 2 [N] is a tuple hSi, Ai, Ci, Pi, Rii, where Si is a ﬁnite set of states.
87"
THE MODEL,0.16117216117216118,"We represent each worker as an action, along with an additional action called no-intervention. Thus,
88"
THE MODEL,0.163003663003663,"action set is Ai ✓[M] [ {0}. Ci is a vector of costs cij incurred when an action j 2 [Ai] is taken on
89"
THE MODEL,0.16483516483516483,"an arm i 2 [N], and cij = 0 when j = 0. P ss0"
THE MODEL,0.16666666666666666,"ij
is the probability of transitioning from state s to state
90"
THE MODEL,0.1684981684981685,"s0 when arm i is allocated to worker j. Ri(s) is the reward obtained in state s 2 Si.
91"
THE MODEL,0.17032967032967034,"The goal (Eq. 1) is to allocate a subset of arms to each worker such that the expected reward is
92"
THE MODEL,0.17216117216117216,"maximized while ensuring that each worker incurs a cost of at most a ﬁxed value B. Additionally,
93"
THE MODEL,0.17399267399267399,"the disparity in the costs incurred between any pair of workers does not exceed a fairness threshold ✏
94"
THE MODEL,0.17582417582417584,"at a given time step. Let us denote a policy ⇡: ⇥iSi 7! ⇥iAi that maps the current state proﬁle of
95"
THE MODEL,0.17765567765567766,arms to an action proﬁle. x⇡
THE MODEL,0.1794871794871795,"ij(s) 2 {0, 1} indicates whether worker j intervenes on arm i at state s
96"
THE MODEL,0.1813186813186813,under policy ⇡. The total cost incurred by j at a time step t is given by C
THE MODEL,0.18315018315018314,"⇡
j (t) := P"
THE MODEL,0.184981684981685,i2N cijx⇡
THE MODEL,0.18681318681318682,"ij(si(t)),
97"
THE MODEL,0.18864468864468864,"where si(t) is the current state. ✏≥cm := maxij cij ensures feasibility of the fairness constraints.
98 max"
THE MODEL,0.19047619047619047,"⇡
lim sup T !1"
T,0.19230769230769232,"1
T X i2[N] E "" T
X t=1"
T,0.19413919413919414,Ri(si(t)) x⇡
T,0.19597069597069597,ij(si(t)) # s.t. X i2N x⇡
T,0.1978021978021978,"ij(si(t)) cij B,
8 j 2 [M], 8 t 2 {1, 2, . . .} X j2Ai x⇡"
T,0.19963369963369965,"ij(si(t)) = 1,
8 i 2 [N], 8 t 2 {1, 2, . . .} max j
C"
T,0.20146520146520147,"⇡
j (t) −min j
C"
T,0.2032967032967033,"⇡
j (t) ✏,
8 t 2 {1, 2, . . .} x⇡"
T,0.20512820512820512,"ij(si(t)) 2 {0, 1},
8i, 8j, 8t. (1)"
T,0.20695970695970695,"When M = 1 and ci1 = 1, Problem (1) becomes classical RMAB problem (with two actions,
99"
T,0.2087912087912088,"active and passive) that can be solved via Whittle Index method [Whittle, 1988] by considering a
100"
T,0.21062271062271062,"time-averaged relaxed version of the budget constraint and then decomposing the problem into N
101"
T,0.21245421245421245,"subproblems—each subproblem ﬁnds a charge λi(s) on active action that makes passive action as
102"
T,0.21428571428571427,"valuable as the active action at state s. It then selects top B arms according to λi values at their
103"
T,0.21611721611721613,"current states. However, the challenges involved in solving a general MWRMAB (Eq. 1) are (i) index
104"
T,0.21794871794871795,"computation becomes non-trivial with M > 1 workers and (ii) selecting top arms based on indices
105"
