Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.004273504273504274,"In the study of reasoning in neural networks, recent efforts have sought to improve
consistency and coherence of sequence models, leading to important developments
in the area of neuro-symbolic AI. In symbolic AI, the concepts of consistency
and coherence can be deﬁned and veriﬁed formally, but for neural networks these
deﬁnitions are lacking. The provision of such formal deﬁnitions is crucial to
offer a common basis for the quantitative evaluation and systematic comparison
of connectionist, neuro-symbolic and transfer learning approaches. In this paper,
we introduce formal deﬁnitions of consistency and coherence for neural systems.
To illustrate the usefulness of our deﬁnitions, we propose a new dynamic relation-
decoder model built around the principles of consistency and coherence. We
compare our results with several existing relation-decoders using a partial transfer
learning task based on a novel data set introduced in this paper. Our experiments
show that relation-decoders that maintain consistency over unobserved regions
of representation space retain coherence across domains, whilst achieving better
transfer learning performance."
INTRODUCTION,0.008547008547008548,"1
Introduction"
INTRODUCTION,0.01282051282051282,"Humans are capable of learning concepts that can be applied to many different scenarios [18, 34, 23].
An important principle is that human-like concepts remain coherent across contexts [31]. As an
example, consider the concept of ordinality, e.g. “A is larger than B”, which allows comparisons to
be made between ordered sets. Ordinality should apply equally whether A and B are digits or a tower
of blocks. It is said that a concept may pertain to a multitude of properties: position, volume, reach,
etc. As long as one of these properties can be attributed to an object, a set of objects can be compared
on that basis. All in all, if the concept of ordinality was to be learned in its most general form, its use
should be consistent across objects and coherent across object properties."
INTRODUCTION,0.017094017094017096,"In [31], empirical results on story generation and instruction-following have shown that an intuitive
use of consistency and coherence can increase the accuracy of neural networks. Following a neuro-
symbolic perspective [12], it is argued in [31] that System 1 approaches, fast and capable of learning"
INTRODUCTION,0.021367521367521368,"*Funding in direct support of this work: EPSRC Training Grant, project reference EP/L504786/1."
INTRODUCTION,0.02564102564102564,"patterns efﬁciently from data, “are often inconsistent and incoherent”, and that “adding System
2-inspired logical reasoning” as a logical consistency, training-free module allows for an improved
selection of candidate stories generated by System 1. While [31] makes an important contribution by
exploring several variations on the theme, in this paper we offer a formal deﬁnition for consistency
and coherence in the context of neural networks, in particular neuro-symbolic autoencoders. We also
apply and evaluate consistency and coherence in transfer learning tasks, where we believe that the
theme will have its most practical impact."
INTRODUCTION,0.029914529914529916,"We argue that for a concept to be useful during transfer learning, the system of relations that deﬁne the
concept in the source domain must be coherent with the target domain, whereby logical consistency
achieved in the source is retained in the target domain. This is to say that the concept-speciﬁc relations
learned in the source ought to be consistent with a logical theory that deﬁnes their semantics, and
that such consistency must extend beyond the representations learned in the source domain and, in
particular, hold for the embeddings learned in the target domain."
INTRODUCTION,0.03418803418803419,"In this paper, we offer a formal deﬁnition for consistency and coherence of sub-symbolic represen-
tation learners, inspired by analogous deﬁnitions from symbolic AI. This is expected to deﬁne the
conditions that make a learned concept transfer well across properties and objects. To evaluate the
practical value of these deﬁnitions in a real setting, we derive a simple neuro-symbolic autoencoder
architecture consisting of a neural encoder for objects coupled with consistent modular object relation-
decoders. Relations such as isGreater, isEqual,... are evaluated on a proposed Partial Relation
Transfer (PRT) learning task, between a new CLEVR-style BlockStacks data set and the MNIST
handwritten digits data set, such that the learning of ordinality among the MNIST digits is evaluated
against the learning of the relative position of a red block in a stack of multi-colored blocks. Our
evaluation includes a comparison with several existing relation-decoder models and results show that
relation-decoders which maintain consistency over unobserved regions of representation space retain
coherence across domains whilst achieving better transfer learning performance.1 In summary, the
contributions of this paper are:"
INTRODUCTION,0.038461538461538464,• A formal deﬁnition of consistency and coherence for sub-symbolic learners offering a
INTRODUCTION,0.042735042735042736,practical evaluation score for concept coherence;
INTRODUCTION,0.04700854700854701,• A derived model implementation and PRT data set and experimental setup used to evaluate
INTRODUCTION,0.05128205128205128,the interplay between concept coherence and concept transfer;
INTRODUCTION,0.05555555555555555,• A comprehensive critical evaluation of results and comparison of multiple relation-decoder
INTRODUCTION,0.05982905982905983,"models, showing that improvements in concept coherence, as deﬁned in this paper, corre-
spond with improved concept transfer."
INTRODUCTION,0.0641025641025641,"In Section 2 we provide the notation and required logic background. Section 3 formally deﬁnes
coherence and consistency. Section 4 deﬁnes a practical consistency loss and Section 5 outlines our
neuro-symbolic autoencoder. After detailing the PRT task and introducing the data set in Section 6,
comparative experimental results are discussed in Section 7. We provide an overview of the related
work in Section 8 and Section 9 concludes the paper with a discussion, including limitations and
future work. We expand on the experimental results and setup, together with data set characteristics,
model details and parameterization in the Appendices.2"
PRELIMINARIES,0.06837606837606838,"2
Preliminaries"
PRELIMINARIES,0.07264957264957266,"Notation: We reserve uppercase calligraphic letters to denote sets, and lowercase versions of the
same letter to denote their elements, e.g. S = {s1, . . . , sn} is a set S of n elements si. We indicate
with |S| = n the cardinality of S. We use uppercase roman letters to denote a random variable (e.g.
S), and use the uppercase calligraphic version of the same letter (S) to denote the set from which the
random variable takes values according to some corresponding probability distribution pS, over the
elements of the set, such that P|S|"
PRELIMINARIES,0.07692307692307693,"i=1 pS(si) = 1 for a discrete S. For brevity, we may write pS(si) as
p(si), where the random variable is implied by the argument. We use bold font lowercase letters to
denote vector elements, e.g. si 2 Rd is an d-dimensional vector element from the set S = Rd."
PRELIMINARIES,0.0811965811965812,"1This paper formalizes the theory and extends the empirical results ﬁrst reported in [43].
2The codebase for this paper can be found at https://github.com/HStromfelt/neurips22-FCA."
PRELIMINARIES,0.08547008547008547,"Logic and model-theoretic background: our proposed theory is based upon logic and model
theoretic primitives. To avoid making this paper overly dense, we defer the details of the logic
background to Appendix E and include here only the most important deﬁnitions supported by an
illustrative example."
PRELIMINARIES,0.08974358974358974,"Deﬁnition 2.1 (Signature, Arity, Domain, Interpretation, Structure). The signature of a language L is
a set of relations σ = {r2L} whose elements have arity given by ar : σ ! N, where N is the set of
natural numbers. Given a signature σ and a non-empty domain S = {s1, s2, . . .}, an interpretation
ISσ of σ over elements of S assigns to each relation r 2 σ a set ISσ(r) ✓Sar(r). A structure is a
tuple Sσ = (S, ISσ)."
PRELIMINARIES,0.09401709401709402,"We construct universally quantiﬁed ﬁrst-order logic formulae (called sentences) using the signature
of L. A set of sentences form a theory T and when a sentence ⌧is true in a structure Sσ, we say that
the structure satisﬁes ⌧, denoted as Sσ |= ⌧. This allows us to deﬁne a model of a theory:"
PRELIMINARIES,0.09829059829059829,"Deﬁnition 2.2 (Model of a theory). Let T be a theory written in a language L and let Sσ = (S, ISσ)
be a structure, where σ is the signature of L. Sσ is a model of T if and only if Sσ |= ⌧for every
sentence ⌧2 T ."
PRELIMINARIES,0.10256410256410256,"Example 1. Let S is a domain of images of handwritten digits and σ the signature of binary
relations σ = {isGreater, isEqual, isLess, isSuccessor, isPredecessor}, or for short σ = {G,
E, L, S, P}. Let T be the theory that deﬁnes ordinality including, for instance, the sentence
8i, j. G(i, j) ! ¬E(i, j) (if a digit is greater than another then they are not equal). Any structure
Sσ = (S, ISσ) with interpretations ISσ of σ that captures a total order over the elements of S is a
model of T ."
A FORMALIZATION OF CONSISTENCY AND COHERENCE,0.10683760683760683,"3
A Formalization of Consistency and Coherence"
A FORMALIZATION OF CONSISTENCY AND COHERENCE,0.1111111111111111,"In this section, we turn our attention to the challenge of learning a model of a theory (Def. 2.2) over a
real-world domain S given a signature σ. Here, a learner must determine an appropriate interpretation
over real-world data, such as images or other perceptions. This can be challenging because, ﬁrstly, we
may only have a partial description of the interpretation, and secondly data may be noisy and contain
information that is not relevant to the theory. For example, the handwritten digits in the MNIST data
set contain stylistic details such as line thickness and digit skew that are irrelevant to the notion of
ordinality, which makes learning the structure from Example 1 non-trivial."
A FORMALIZATION OF CONSISTENCY AND COHERENCE,0.11538461538461539,"Following the convention from the autoencoder disentanglement literature [4, 21, 17, 16], we make
the assumption that real-world observations S are drawn from some conditional distribution pS|Z,
where Z is a latent random variable, itself drawn from prior pZ. It is therefore useful to deﬁne a
domain encoding of the form:"
A FORMALIZATION OF CONSISTENCY AND COHERENCE,0.11965811965811966,"S : S ! Z,
(1)"
A FORMALIZATION OF CONSISTENCY AND COHERENCE,0.12393162393162394,"tasked with approximating the conditional expectation of the posterior, i.e.  S(s) = EpZ|S[Z|s].
Since obtaining an interpretation from domain encodings for a given signature may require dealing
with noise, we express the interpretation of relations over real-world data by belief functions [33, 32]
over the space Z, and refer to these as relation-decoders:"
A FORMALIZATION OF CONSISTENCY AND COHERENCE,0.1282051282051282,"φr : Zar(r) ! (0, 1)
(2)"
A FORMALIZATION OF CONSISTENCY AND COHERENCE,0.13247863247863248,"with φ = {φr : r 2 σ}. Concretely, for a binary relation r and ordered pair (si, sj) 2 S2,
φr( S(si),  S(sj)) describes the belief that (si, sj) 2 ISσ(r). A belief φr( S(si),  S(sj)) ⇡1
signiﬁes a strong belief that (si, sj) 2 ISσ(r) and φr( S(si),  S(sj))⇡0 signiﬁes a strong belief
that (si, sj) /2 ISσ(r). Together,  S and φ allow us to deﬁne a belief-based analogue to a structure."
A FORMALIZATION OF CONSISTENCY AND COHERENCE,0.13675213675213677,"Deﬁnition 3.1 (Soft-Structure/Soft-Substructure). Given a signature σ, a (possibly inﬁnite) set
Z and relation-decoders φ, a soft-structure is a tuple ˜
Zσ = (Z, φ). For a ﬁnite domain S and
encoding  S : S ! Z, ˜
Sσ = ( S(S), φ) is called a ﬁnite soft-substructure of ˜
Zσ, with sub-domain
 S(S) = { S(s)|s 2 S} ✓Z."
A FORMALIZATION OF CONSISTENCY AND COHERENCE,0.14102564102564102,"A soft-structure can be used to learn a logic structure over a real-world domain through learning  S
and φ. Clearly, a ﬁnite soft-substructure is a soft-structure. In a real-world domain, there may be
only partial information about the values of an interpretation, and there may be errors in that partial"
A FORMALIZATION OF CONSISTENCY AND COHERENCE,0.1452991452991453,"interpretation. To determine the degree to which a soft-structure supports any given structure, we
introduce the following measure:"
A FORMALIZATION OF CONSISTENCY AND COHERENCE,0.14957264957264957,"p(Sσ| ˜
Sσ) = Y r2σ Y"
A FORMALIZATION OF CONSISTENCY AND COHERENCE,0.15384615384615385,O2Sar(r)
A FORMALIZATION OF CONSISTENCY AND COHERENCE,0.1581196581196581,"f(φr,  S, O, γr"
A FORMALIZATION OF CONSISTENCY AND COHERENCE,0.1623931623931624,"O,Sσ)
(3) with"
A FORMALIZATION OF CONSISTENCY AND COHERENCE,0.16666666666666666,"f(φr,  S, O, γr"
A FORMALIZATION OF CONSISTENCY AND COHERENCE,0.17094017094017094,"O,Sσ) = (φr( S(O)))γr"
A FORMALIZATION OF CONSISTENCY AND COHERENCE,0.1752136752136752,"O,Sσ · (1 −φr( S(O)))1−γr"
A FORMALIZATION OF CONSISTENCY AND COHERENCE,0.1794871794871795,"O,Sσ ,
(4)
where γr"
A FORMALIZATION OF CONSISTENCY AND COHERENCE,0.18376068376068377,"O,Sσ
= 1 if O 2 ISσ(r), and 0 otherwise; we use φr( S(O)) as shorthand for
φr( S(s1), . . . ,  S(sn)) for n = ar(r). Eqn. 3 expresses the assumption that, given a ﬁnite
soft-structure, the beliefs in what constitutes the interpretations of different relations are independent
of one another. It is straightforward to show that P"
A FORMALIZATION OF CONSISTENCY AND COHERENCE,0.18803418803418803,"Sσ p(Sσ| ˜
Sσ) = 1 (summed over all possible
structures with domain S and signature σ) and so Eqn. 3 can be treated as a probability measure,
where p(Sσ| ˜
Sσ) ⇡1 means that there is a high probability that the interpretation sampled from ˜
Sσ
will be ISσ. If we have a theory T over σ then it is natural to ask with what weight ˜
Sσ supports any
given structure that is a model of T . In the following, we use model weight, Γ"
A FORMALIZATION OF CONSISTENCY AND COHERENCE,0.19230769230769232,"˜
Sσ
T , to describe the
support given by ˜
Sσ to models of T : Γ"
A FORMALIZATION OF CONSISTENCY AND COHERENCE,0.19658119658119658,"˜
Sσ
T
= X Sσ2MT S"
A FORMALIZATION OF CONSISTENCY AND COHERENCE,0.20085470085470086,"p(Sσ| ˜
Sσ)
(5)"
A FORMALIZATION OF CONSISTENCY AND COHERENCE,0.20512820512820512,where MT
A FORMALIZATION OF CONSISTENCY AND COHERENCE,0.2094017094017094,"S is the set of all structures with domain S that are models of T . This lets us compare
soft-structures, wherein a good soft-structure will be one that has a high model weight.
Deﬁnition 3.2 (✏-Consistency of soft-structures). Given a ﬁnite soft-structure ˜
Sσ and an arbitrarily
small number ✏, if 1 −Γ"
