Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0038910505836575876,"Decisions made by machine learning systems have increasing inﬂuence on the
world, yet it is common for machine learning algorithms to assume that no such
inﬂuence exists. An example is the use of the i.i.d. assumption in content recom-
mendation. In fact, the (choice of) content displayed can change users’ percep-
tions and preferences, or even drive them away, causing a shift in the distribution
of users. We introduce the term auto-induced distributional shift (ADS) to de-
scribe the phenomenon of an algorithm causing a change in the distribution of its
own inputs. Whether it’s desirable (or not) for an algorithm to cause ADS is not
captured by its performance metric – metrics are an incomplete speciﬁcation of
desired behaviour. When real-world conditions violate assumptions, this under-
speciﬁcation can result in unexpected behaviour or ‘gaming’. To diagnose when
this happens, we introduce the approach of unit tests for incentives: simple en-
vironments designed to show whether an algorithm will hide or reveal incentives
to achieve performance via certain means (in our case, via ADS). We use these
unit tests to demonstrate that changes to the learning algorithm (e.g. introducing
meta-learning) can cause previously hidden incentives to be revealed, resulting in
a complete change in behaviour despite no change in performance metric. We
further introduce a toy environment for modelling real-world issues with ADS in
content recommendation, where we demonstrate that strong meta-learners achieve
gains in performance via ADS. These experiments conﬁrm that the unit tests work
– an algorithm’s failure of the unit test correctly diagnoses its propensity to reveal
incentives for ADS."
INTRODUCTION,0.007782101167315175,"1
INTRODUCTION"
INTRODUCTION,0.011673151750972763,"Consider a content recommendation system whose performance is measured by accuracy in pre-
dicting what users will click. This system can achieve better performance by either 1 : Making
better predictions, or
2 : Changing the distribution of users such that predictions are easier to
make. We propose the term auto-induced distributional shift (ADS) to describe this latter kind
of distributional shift, caused by the algorithm’s own predictions or behaviour (Figure 1). ADS are
not inherently bad; often they are desirable. But unexpected ADS can lead to unintended behavior.
While it is common in machine learning (ML) to assume (e.g. via the i.i.d. assumption) that ADS
will not occur, ADS are inevitable in many real-world applications. Thus it is important to under-
stand how ML algorithms behave when such assumptions are violated, i.e. in the actual scenario
they will encounter during training – this is the motivation of our work."
INTRODUCTION,0.01556420233463035,"In many cases, including news recommendation, we would consider 2 a form of speciﬁcation
gaming (Krakovna et al., 2020) – the algorithm changed the task rather than solving it as intended.
We care which means the algorithm used to solve the problem – 1 vs.
2 – but we only told it
about the ends, so it didn’t know not to ‘cheat’. This is an example of a speciﬁcation problem
(Leike et al., 2017; Ortega et al., 2018): a problem which arises from a discrepancy between the
performance metric (maximize accuracy) and “what we really meant” (maximize accuracy only
via 1 ), which is difﬁcult to encode as a performance metric. Ideally, we’d like to quantify the
desirability of all possible means, e.g. assign appropriate rewards to all potential strategies and
side-effects, but this is intractable for real-world settings. Using human feedback to learn reward
functions which account for such impacts is a promising approach to specifying desired behavior
(Leike et al., 2018; Christiano et al., 2017). But the same issue can arise whenever human feedback"
INTRODUCTION,0.019455252918287938,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.023346303501945526,"Figure 1: Distributions of users over time. Left: A distribution which remains constant over time,
following the i.i.d assumption. Right: Auto-induced Distributional Shift (ADS) results in a change
in the distribution of users in our content recommendation environment. (see Section 5.2 for details)."
INTRODUCTION,0.027237354085603113,"is used in training: a means of improving performance could be to alter human preferences, making
them easier to satisfy. Thus in this work, we pursue a complementary approach: managing learners’
incentives."
INTRODUCTION,0.0311284046692607,"A learner has an incentive to behave in a certain way when doing so can increase performance
(e.g. accuracy or reward). Informally, we say an incentive is hidden when the learner behaves
as if it were not present. But we note that changes to the learning algorithm or training regime
could cause previously hidden incentives to be revealed, resulting in unexpected and potentially
undesirable behaviour. Managing incentives (e.g. controlling which incentives are hidden/ revealed)
can allow algorithm designers to disincentivize broad classes of strategies (such as any that rely on
manipulating human preferences) without knowing their exact instantiation."
INTRODUCTION,0.03501945525291829,"Our goal in this work is to provide insight and practical tools for understanding and managing
learners’ incentives, via unit tests for incentives. We present unit tests for diagnosing incentives for
ADS in both supervised learning (SL) and reinforcement learning (RL). The unit tests both have two
means by which the learner can improve performance: one which creates ADS and one which does
not. The intended method of improving performance is one that does not induce ADS; the other
is hidden and we want it to remain hidden. A learner fails the unit test if it pursues the incentive
to increase performance via ADS. In both the RL and SL unit tests, we ﬁnd that ‘vanilla’ learning
algorithms (e.g. minibatch SGD) pass the test, but introducing an outer-loop of meta-learning (e.g.
Population-Based Training (PBT) (Jaderberg et al., 2017)) can lead to high levels of failure."
