Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0033003300330033004,"Reinforcement learning can train policies that effectively perform complex tasks.
However for long-horizon tasks, the performance of these methods degrades with
horizon, often necessitating reasoning over and chaining lower-level skills. Hier-
archical reinforcement learning aims to enable this by providing a bank of low-
level skills as action abstractions. Hierarchies can further improve on this by ab-
stracting the space states as well. We posit that a suitable state abstraction should
depend on the capabilities of the available lower-level policies. We propose Value
Function Spaces: a simple approach that produces such a representation by using
the value functions corresponding to each lower-level skill. These value functions
capture the affordances of the scene, thus forming a representation that compactly
abstracts task relevant information and robustly ignores distractors. Empirical
evaluations for maze-solving and robotic manipulation tasks demonstrate that our
approach improves long-horizon performance and enables better zero-shot gener-
alization than alternative model-free and model-based methods."
INTRODUCTION,0.006600660066006601,"1
INTRODUCTION"
INTRODUCTION,0.009900990099009901,"For an agent to perform complex tasks in realistic environments, it must be able to effectively reason
over long horizons, and parse high-dimensional observations to infer the contents of a scene and
its affordances. It can do so by constructing a compact representation that is robust to distractors
and suitable for planning and control. Consider, for instance, a robot rearranging objects on a desk.
To succcessfully solve the task, the robot must learn to sequence a series of simple skills, such as
picking and placing objects and opening drawers, and interpret its observations to determine which
skills are most appropriate. This requires the ability to understand the capabilities of these simpler
skills, as well as the ability to plan to execute them in the correct order."
INTRODUCTION,0.013201320132013201,"Hierarchical reinforcement learning (HRL) aims to enable this by leveraging abstraction, which
simpliﬁes the higher-level control or planning problem. Typically, this is taken to mean abstraction
of actions in the form of primitive skills (e.g., options (Sutton et al., 1999)). However, signiﬁcantly
simplifying the problem for the higher level requires abstraction of both states and actions. This is
particularly important with rich sensory observations, where standard options frameworks provide a
greatly abstracted state space, but do not simplify the perception or estimation problem. The nature
of the ideal state abstraction in HRL is closely tied to the action abstraction, as the most suitable ab-
straction of state should depend on the kinds of decisions that the higher-level policy needs to make,
which in turn depends on the actions (skills) available to it. This presents a challenge in designing
HRL methods, because it is difﬁcult to devise a state abstraction that is both highly abstracted (and
therefore removes many distractors) and still sufﬁcient to make decisions for long-horizon tasks.
This challenge differs markedly from representation learning problems in other domains, like com-
puter vision and unsupervised learning (Schroff et al., 2015; van den Oord et al., 2018; Chen et al.,
2020), since it is intimately tied to the capabilities exposed to the agent via its skills."
INTRODUCTION,0.0165016501650165,"We therefore posit that a suitable representation for a higher-level policy in HRL should depend on
the capabilities of the skills available to it. If this representation is sufﬁcient to determine the abilities
and outcomes of these skills, then the high-level policy can select the skill most likely to perform
the desired task. This concept is closely tied to the notion of affordances, which has long been
studied in cognitive science and psychology as an action-centric representation of state (Gibson,"
INTRODUCTION,0.019801980198019802,Published as a conference paper at ICLR 2022
INTRODUCTION,0.0231023102310231,"^ĨÕĉѕ""ī±ŏÕī
wñËĀѕăĻÕ
wă±ËÕѕăĻÕѕñĉѕ""ī±ŏÕī
ăďįÕѕ""ī±ŏÕī"
INTRODUCTION,0.026402640264026403,"ĶΩ
Ķά
ĶΫ
ĶΪ
Ķέ"
INTRODUCTION,0.0297029702970297,"(a) A trajectory through the skill value function space for the task “Place blue block in drawer”. VFS, visualized
on top of corresponding scene, captures positional information about the contents of the scene, preconditions
for interactions, and the effects of executing a feasible skill, making it suitable for high-level planning."
INTRODUCTION,0.033003300330033,"(b) VFS ignores task-irrelevant factors like arm pose, color of the desk, or distractors. All conﬁgurations shown
above are functionally equivalent and hence, map to the same VFS representation."
INTRODUCTION,0.036303630363036306,"Figure 1: Visualizing VFS embeddings in an example desk rearrangement task. VFS can capture the affor-
dances of the low-level skills while ignoring exogenous distractors."
INTRODUCTION,0.039603960396039604,"1977), and has inspired techniques in robotics and RL (Zech et al., 2017; Xu et al., 2021; Mandikal
& Grauman, 2021). Given a set of skills that span the possible interactions in an environment, we
propose that the value functions corresponding to these policies can provide a representation that
suitably captures the capabilities of the skills in the current state and thus can be used to form a
compact embedding space for high-level planning. We call this the Value Function Space (VFS).
Note that we intend to use these skills as high-level actions without modiﬁcations—the important
problems of skill discovery and test-time adaptation are beyond the scope of this paper."
INTRODUCTION,0.0429042904290429,"Figure 1a illustrates the state abstraction constructed by VFS for the desk rearrangement example
discussed above: VFS captures the affordances of the skills and represents the state of the envi-
ronment, along with preconditions for the low-level skills, forming a functional representation to
plan over. Since VFS constructs a skill-centric representation of states using the value functions
of the low-level skills, it captures functional equivalence of states in terms of their affordances: in
Figure 1b, states with varying object or arm positions, background textures, and distractor objects
are functionally equivalent for planning, and map to the same VFS embedding. This simpliﬁes the
high-level planning problem, allowing the higher level policy to generalize to novel environments."
INTRODUCTION,0.0462046204620462,"Statement of Contributions. The primary contribution of this work is VFS, a novel state representa-
tion derived from the value functions of low-level skills available to the agent. We show that VFS
leverages the properties of value functions, notably their ability to model possible skills and com-
pleted skills, to form an effective representation for high-level planning, and is compatible with both
model-free and model-based high-level policies. Empirical evaluations in maze-solving and robotic
manipulation demonstrate that the skill-centric representation constructed by VFS outperforms rep-
resentations learned using contrastive and information-theoretic objectives in long-horizon tasks.
We also show that VFS can generalize to novel environments in a zero-shot manner."
RELATED WORK,0.04950495049504951,"2
RELATED WORK"
RELATED WORK,0.052805280528052806,"Hierarchical RL has been studied extensively in the literature, commonly interpreted as a temporal
abstraction of the original MDP. Early works have interpreted the hierarchy introduced in this setting
as an abstraction of state and action spaces (Sutton et al., 1999; Dietterich, 2000; Thomas & Barto,
2012). The popular options framework Sutton et al. (1999); Precup (2000) provides a natural way of
incorporating temporally extended actions into RL systems. An agent that possesses the transition
model and reward model for such a SMDP (known as an option model) is capable of sample-based
planning in discrete (Kocsis & Szepesv´ari, 2006) and continuous state spaces (Konidaris et al., 2014;
Gopalan et al., 2017). However, doing so in environments with high-dimensional observations (such
as images) is challenging. In this work, we explore the efﬁcacy of learned skills operating on high-
dimensional observations for long-horizon control in realistic environments."
RELATED WORK,0.056105610561056105,Published as a conference paper at ICLR 2022
RELATED WORK,0.0594059405940594,"To improve the quality of lower-level policies, recent work in HRL has studied various facets of
the problem, including discovery of skills (Konidaris & Barto, 2009; Zhang et al., 2021b; Florensa
et al., 2017; Warde-Farley et al., 2018), end-to-end training of both levels (Kulkarni et al., 2016;
Tessler et al., 2017) and integrating goal-conditioned behaviors (Ghosh et al., 2019; Nachum et al.,
2019). In this work, we assume that the low-level skills are given, and do not focus on discovering
them. Instead, we focus on how skills can simplify the higher-level control problem by providing a
representation that is suitable for either model-based or model-free control."
RELATED WORK,0.0627062706270627,"The problem of learning meaningful long-horizon behavior by combining a set of lower-level skills,
or options, has been studied extensively in prior work. Popular approaches to composing skills
involve combining them in the space of value functions (Todorov, 2009; Hunt et al., 2019; da Silva
et al., 2009; Ziebart, 2010; Haarnoja et al., 2018), and more recently, using pseudo-rewards (Barreto
et al., 2019). While these methods have been very effective at composing low-level skills, they do not
address the question of learning a meaningful state abstraction using these skills. We take inspiration
from these works and use the value function space to construct a skill-centric state abstraction, along
with a high-level policy that composes these skills for temporally extended tasks."
RELATED WORK,0.066006600660066,"Our method can hence be interpreted as a representation learning approach. Representation learning
techniques have been employed extensively in model-free RL by augmenting auxiliary tasks based
on reconstruction losses (Lange et al., 2012; Higgins et al., 2017; Yarats et al., 2019) and predicting
the future conditioned on past observations (Schmidhuber, 1990; Jaderberg et al., 2017; van den
Oord et al., 2018; Shelhamer et al., 2016). Contrastive learning has also been used in recent works
to discover a meaningful latent space and extract reward signals for RL (Sermanet et al., 2017;
Warde-Farley et al., 2018; Dwibedi et al., 2018; Laskin et al., 2020). Another popular approach to
learning useful representation is to optimize for effective transfer of the lower-level skills and the
learned state abstraction (Gupta et al., 2017; Konidaris & Barto; Goyal et al., 2019). Unlike these
prior works, our aim is speciﬁcally to learn a representation that is grounded in the capabilities of the
low-level skills, which gives us a skill-centric abstraction of high-dimensional observations. While
we do not explicitly optimize for transfer like Gupta et al. (2017), our experiments show that VFS
can generalize to novel environments while being robust to functionally-irrelevant distractors."
RELATED WORK,0.06930693069306931,"Alongside developments in model-free RL, prior work has also sought to learn predictive models
of the environment for sampling and planning. This has been demonstrated by learning dynamics
using future predictions (Watter et al., 2015; Oh et al., 2017; Ebert et al., 2017; Banijamali et al.,
2018; Ha & Schmidhuber; Hafner et al., 2018; Ichter & Pavone, 2019; Hafner et al., 2020; Zhang
et al., 2019), learning belief representations (Gregor et al., 2019; Lee et al., 2019) and representing
state similarity using the bisimulation metric (Castro, 2020; Zhang et al., 2021a; Agarwal et al.,
2021). The combination of learned model-free policies with structures like graphs (Savinov et al.,
2018; Eysenbach et al., 2019) and trees (Ichter et al., 2021) to plan over extended horizons has also
been demonstrated to improve generalization and exploration. While our primary objective is not
to develop better model-based RL algorithms, we show that our proposed state abstraction can be
utilized by model-based controllers to plan over temporally extended skills."
PRELIMINARIES,0.07260726072607261,"3
PRELIMINARIES"
