Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0018115942028985507,"Real-time recurrent learning (RTRL) for sequence-processing recurrent neural net-
1"
ABSTRACT,0.0036231884057971015,"works (RNNs) offers certain conceptual advantages over backpropagation through
2"
ABSTRACT,0.005434782608695652,"time (BPTT). RTRL requires neither caching past activations nor truncating con-
3"
ABSTRACT,0.007246376811594203,"text, and enables online learning. However, RTRL’s time and space complexity
4"
ABSTRACT,0.009057971014492754,"makes it impractical. To overcome this problem, most recent work on RTRL fo-
5"
ABSTRACT,0.010869565217391304,"cuses on approximation theories, while experiments are often limited to diagnostic
6"
ABSTRACT,0.012681159420289856,"settings. Here we explore the practical promise of RTRL in more realistic settings.
7"
ABSTRACT,0.014492753623188406,"We study actor-critic methods that combine RTRL and policy gradients, and test
8"
ABSTRACT,0.016304347826086956,"them in several subsets of DMLab-30, ProcGen, and Atari-2600 environments. On
9"
ABSTRACT,0.018115942028985508,"DMLab memory tasks, our system is competitive with or outperforms well-known
10"
ABSTRACT,0.019927536231884056,"IMPALA and R2D2 baselines trained on 10 B frames, while using fewer than 1.2 B
11"
ABSTRACT,0.021739130434782608,"environmental frames. To scale to such challenging tasks, we focus on certain well-
12"
ABSTRACT,0.02355072463768116,"known neural architectures with element-wise recurrence, allowing for tractable
13"
ABSTRACT,0.025362318840579712,"RTRL without approximation. We also discuss rarely addressed limitations of
14"
ABSTRACT,0.02717391304347826,"RTRL in real-world applications, such as its complexity in the multi-layer case.1
15"
INTRODUCTION,0.028985507246376812,"1
Introduction
16"
INTRODUCTION,0.030797101449275364,"There are two classic learning algorithms to compute exact gradients for sequence-processing recur-
17"
INTRODUCTION,0.03260869565217391,"rent neural networks (RNNs): real-time recurrent learning (RTRL; [1, 2, 3, 4]) and backpropagation
18"
INTRODUCTION,0.034420289855072464,"through time (BPTT; [5, 6]) (reviewed in Sec. 2). In practice, BPTT is the only one commonly used
19"
INTRODUCTION,0.036231884057971016,"today, simply because BPTT is tractable while RTRL is not. In fact, the time and space complexities
20"
INTRODUCTION,0.03804347826086957,"of RTRL for a fully recurrent NN are quadratic and cubic in the number of hidden units, respectively,
21"
INTRODUCTION,0.03985507246376811,"which are prohibitive for any RNNs of practical sizes in real applications. Despite such an obvious
22"
INTRODUCTION,0.041666666666666664,"complexity bottleneck, RTRL has certain attractive conceptual advantages over BPTT. BPTT requires
23"
INTRODUCTION,0.043478260869565216,"to cache activations for each new element of the sequence processed by the model, for later gradient
24"
INTRODUCTION,0.04528985507246377,"computation. As the amount of these past activations to be stored grows linearly with the sequence
25"
INTRODUCTION,0.04710144927536232,"length, practitioners (constrained by the actual memory limit of their hardware) use the so-called trun-
26"
INTRODUCTION,0.04891304347826087,"cated BPTT (TBPTT; [7]) where they specify the maximum number of time steps for this storage,
27"
INTRODUCTION,0.050724637681159424,"giving up gradient components—and therefore credit assignments—that go beyond this time span. In
28"
INTRODUCTION,0.05253623188405797,"contrast, RTRL does not require storing past activations, and enables computation of untruncated
29"
INTRODUCTION,0.05434782608695652,"gradients for sequences of any arbitrary length. In addition, RTRL is an online learning algorithm
30"
INTRODUCTION,0.05615942028985507,"(more efficient than BPTT to process long sequences in the online scenario) that allows for updating
31"
INTRODUCTION,0.057971014492753624,"weights immediately after consuming every new input (assuming that the external error feedback to
32"
INTRODUCTION,0.059782608695652176,"the model output is also available for each input). These attractive advantages of RTRL still actively
33"
INTRODUCTION,0.06159420289855073,"motivate researchers to work towards practical RTRL (e.g., [8, 9, 10, 11, 12]).
34"
INTRODUCTION,0.06340579710144928,"1Upon acceptance, we will add a GitHub link to our public code here."
INTRODUCTION,0.06521739130434782,"The root of RTRL’s high complexities is the computation and storage of the so-called sensitivity
35"
INTRODUCTION,0.06702898550724638,"matrix whose entries are derivatives of the hidden activations w.r.t. each trainable parameter of the
36"
INTRODUCTION,0.06884057971014493,"model involved in the recurrence (see Sec. 2). Most recent research on RTRL focuses on introducing
37"
INTRODUCTION,0.07065217391304347,"approximation methods into the computation and storage of this matrix. For example, Menick
38"
INTRODUCTION,0.07246376811594203,"et al. [11] introduce sparsity in both the weights of the RNN and updates of the temporal Jacobian
39"
INTRODUCTION,0.07427536231884058,"(which is an intermediate matrix needed to compute the sensitivity matrix). Another line of work
40"
INTRODUCTION,0.07608695652173914,"[8, 9, 10] proposes estimators based on low-rank decompositions of the sensitivity matrix that are less
41"
INTRODUCTION,0.07789855072463768,"expensive to compute and store than the original one. Silver et al. [12] explore random projections
42"
INTRODUCTION,0.07971014492753623,"of the sensitivity. The main research question in these lines of work is naturally focused around the
43"
INTRODUCTION,0.08152173913043478,"quality of the proposed approximation method. Consequently, the central goal of their experiments is
44"
INTRODUCTION,0.08333333333333333,"typically to test hyper-parameters and configurational choices that control the approximation quality
45"
INTRODUCTION,0.08514492753623189,"in diagnostic settings, rather than evaluating the full potential of RTRL in realistic tasks. In the end,
46"
INTRODUCTION,0.08695652173913043,"we still know very little about the true empirical promise of RTRL. Also, assuming that a solution is
47"
INTRODUCTION,0.08876811594202899,"found to the complexity bottleneck, what actual applications or algorithms would RTRL unlock? In
48"
INTRODUCTION,0.09057971014492754,"what scenarios would RTRL be able to replace BPTT in today’s deep learning?
49"
INTRODUCTION,0.09239130434782608,"Here we propose to study RTRL by looking ahead beyond research on approximations. We explore
50"
INTRODUCTION,0.09420289855072464,"the full potential of RTRL in the settings where no approximation is needed, while at the same time,
51"
INTRODUCTION,0.09601449275362318,"not restricting ourselves to toy tasks. For that, we focus on special RNN architectures with element-
52"
INTRODUCTION,0.09782608695652174,"wise recurrence, that allow for tractable RTRL without any approximation. In fact, the quadratic/cubic
53"
INTRODUCTION,0.09963768115942029,"complexities of the fully recurrent NNs can be simplified for certain neural architectures. Many well-
54"
INTRODUCTION,0.10144927536231885,"known RNN architectures, such as Quasi-RNNs [13] and Simple Recurrent Units [14], and even
55"
INTRODUCTION,0.10326086956521739,"certain Linear Transformers [15, 16, 17], belong to this class of models (see Sec. 3.1). Note that the
56"
INTRODUCTION,0.10507246376811594,"core idea underlying this observation is technically not new: Mozer [18, 19] already explore an RNN
57"
INTRODUCTION,0.1068840579710145,"architecture with this property in the late 1980s to derive his focused backpropagation, and Javed
58"
INTRODUCTION,0.10869565217391304,"et al. [20, 21] also exploit this in the architectural design of their RNNs (even though the problematic
59"
INTRODUCTION,0.1105072463768116,"multi-layer case is ignored; we discuss it in Sec. 5). While such special RNNs may suffer from
60"
INTRODUCTION,0.11231884057971014,"limited computational capabilities on certain tasks (i.e., one can come up with a synthetic/algorithmic
61"
INTRODUCTION,0.11413043478260869,"task where such models fail; see Appendix B.1), they also often perform on par with fully recurrent
62"
INTRODUCTION,0.11594202898550725,"NNs on many tasks (at least, this is the case for the tasks we explore in our experiments). For the
63"
INTRODUCTION,0.11775362318840579,"purpose of this work, the RTRL-tractability property outweighs the potentially limited computational
64"
INTRODUCTION,0.11956521739130435,"capabilities: these architectures allow us to focus on evaluating RTRL on challenging tasks with a
65"
INTRODUCTION,0.1213768115942029,"scale that goes beyond the one typically used in prior RTRL work, and to draw conclusions without
66"
INTRODUCTION,0.12318840579710146,"worrying about the quality of approximation. We study an actor-critic algorithm [22, 23, 24] that
67"
INTRODUCTION,0.125,"combines RTRL and recurrent policy gradients [25], allowing credit assignments throughout an
68"
INTRODUCTION,0.12681159420289856,"entire episode in reinforcement learning (RL) with partially observable Markov decision processes
69"
INTRODUCTION,0.1286231884057971,"(POMDPs; [26, 27]). We test the resulting algorithm, Real-Time Recurrent Actor-Critic method
70"
INTRODUCTION,0.13043478260869565,"(R2AC), in several subsets of DMLab-30 [28], ProcGen [29], and Atari 2600 [30] environments, with
71"
INTRODUCTION,0.1322463768115942,"a focus on memory tasks but also including reactive ones. In particular, on two memory environments
72"
INTRODUCTION,0.13405797101449277,"of DMLab-30, our system is competitive with or outperforms the well-known IMPALA [31] and
73"
