Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0017482517482517483,"Transformer-based architectures have dominated various areas of machine learning
in recent years. In this paper, we introduce a novel robust attention mechanism
designed to enhance the resilience of transformer-based architectures. Crucially,
this technique can be integrated into existing transformers as a plug-and-play layer,
improving their robustness without the need for additional training or fine-tuning.
Through comprehensive experiments and ablation studies, we demonstrate that
our ProTransformer significantly enhances the robustness of transformer models
across a variety of prediction tasks, attack mechanisms, backbone architectures,
and data domains. Notably, without further fine-tuning, the ProTransformer consis-
tently improves the performance of vanilla transformers by 19.5%, 28.3%, 16.1%,
and 11.4% for BERT, ALBERT, DistilBERT, and RoBERTa, respectively, under
the classical TextFooler attack. Furthermore, ProTransformer shows promising
resilience in large language models (LLMs) against prompting-based attacks, im-
proving the performance of T5 and LLaMA by 24.8% and 17.8%, respectively, and
enhancing Vicuna by an average of 10.4% against the Jailbreaking attack. Beyond
the language domain, ProTransformer also demonstrates outstanding robustness in
both vision and graph domains. Our code is available at https://github.com/chris-
hzc/ProTransformer."
INTRODUCTION,0.0034965034965034965,"1
Introduction"
INTRODUCTION,0.005244755244755245,"In recent years, attention mechanisms and transformer-based architectures have drawn significant
attention across many domains in machine learning, such as natural language processing (NLP) [1, 2],
computer vision [3, 4], and graph learning [5, 6]. In particular, transformers have demonstrated
superior capabilities to learn and model complex relations in data through powerful and universal
attention mechanisms, and they have dominated many popular NLP tasks such as topic classification,
sentiment analysis, textual entailment, machine translation, dialogue generation, etc [2]. Despite their
success in NLP and beyond, many recent studies have demonstrated that transformers are highly
vulnerable to adversarial attacks such that even small modifications to the input can easily fool the
model [7, 8, 9]. However, most research on transformer architectures focuses on accuracy and
efficiency, largely ignoring their security and robustness [10, 11]."
INTRODUCTION,0.006993006993006993,"With the increasing popularity of Large Language Models (LLMs) [12, 13], the robustness and
security concerns of transformer architectures become particularly of interest. It has been shown
that malicious attackers can invade the language models through various approaches as shown in
Figure 1. The attacker can modify the input content in text attacks [14] or the prompt template in"
INTRODUCTION,0.008741258741258742,∗Corresponding author.
INTRODUCTION,0.01048951048951049,"Figure 1: Various attack mechanisms on language models. Classic text attacks modify the input
content using typos or synonyms; Prompt attacks perturb the prompt template within the input;
and Jailbreaks append adversarial, non-semantic suffixes to manipulate the model into producing
malicious outputs."
INTRODUCTION,0.012237762237762238,"prompt attacks to mislead the model predictions [15]. Moreover, by adding adversarial suffixes,
the jailbreaking attack [16] can prompt a LLM to generate toxic and illegal content which could
lead to catastrophic legal and ethical impacts such as malicious speech or privacy leaks. Given the
broad applications of transformers and their vulnerabilities under attacks, it is imperative to design a
universal and effective strategy to enhance the robustness of transformers."
INTRODUCTION,0.013986013986013986,"Figure 2:
Overview of ProTransformer.
ProAttention can be plugged into pretrained
transformers without additional training. The
ProTransformer is versatile and can be ap-
plied across various domains, including lan-
guage, image, and graph."
INTRODUCTION,0.015734265734265736,"Existing research attempting to improve the robust-
ness of transformers can be roughly divided into
empirical defenses [17, 18, 19, 20, 21] and certifi-
able defenses [22, 23, 24, 25]. Nevertheless, these
defenses require excessive computation costs for
training, inference, or both. In addition to these
architecture-agnostic defenses, there are also several
works proposing to enhance the robustness of trans-
formers architecture [26, 27, 28, 29]. However, these
approaches either require substantial computations
or rely on specific domain knowledge, which hinders
their extensions to larger models or broader applica-
tion domains."
INTRODUCTION,0.017482517482517484,"In this paper, given the limitations of existing works
and the enormous training cost of transformers, we
aim to robustify transformer architectures via a plug-
and-play paradigm without additional training or fine-
tuning. Our proposed ProAttention (Algorithm 1) can
be readily plugged into the given transformers to con-
vert them to ProTransformer (as shown in Figure 2)
with significantly stronger robustness. Specifically,
our contributions can be summarized as follows:"
INTRODUCTION,0.019230769230769232,"• We establish a novel connection between the attention mechanism in transformers and the
weighted least square estimator. We provide interpretation and numerical simulation to reveal its
vulnerability against potential adversarial attacks."
INTRODUCTION,0.02097902097902098,"• From our new perspective, we propose robust token estimators to improve the resilience of token
aggregation against adversarial attacks. We also propose an efficient Newton-IRLS algorithm to
approximate the non-convex and non-smooth robust token estimator with convergence guarantees.
The derived algorithm can be plugged into the given transformer as a plug-and-play layer to
enhance its robustness against attacks even without additional training or fine-tuning."
INTRODUCTION,0.022727272727272728,"• Our comprehensive experiments and ablation studies demonstrate that the proposed ProTrans-
former is effective, efficient, and generalizable. It significantly improves the robustness of
transformers across various machine learning tasks, attack mechanisms, backbone architectures,
and data domains such as language, vision, and graphs."
RELATED WORK,0.024475524475524476,"2
Related Work"
RELATED WORK,0.026223776223776224,"In this section, we mainly summarize related works on the attacks and defenses of transformers
focusing on language domains since this is the focus of this paper."
RELATED WORK,0.027972027972027972,"Attacks. Compared to the attack mechanisms in vision domain [30, 31], the text attacks in the
language domain are highly complicated due to the natural irregularity of data structure. According
to the perturbation units, text attacks can be classified into character-level [7, 32], word-level [33, 34,
35, 36, 9, 14, 37], sentence-level [38], and multi-level [39, 40, 8]. These classic text attacks typically
generate adversarial examples through misspellings, synonym replacement, etc. In the era of LLMs,
several new types of attacks have emerged, such as jailbreak attacks [16, 41, 42, 43] and prompt
injection [44, 45, 46]. These prompting-based attacks aim to trick models into generating unsafe
outputs using adversarially crafted prompts."
RELATED WORK,0.02972027972027972,"Defenses. There have been some works proposed to defend against adversarial text attacks from
various perspectives. Empirical defenses, such as data augmentation [17] and adversarial training [47,
18, 19, 20, 21], attempt to robustify models by exposing them to a wider range of adversaries during
training. On the other hand, several certifiable defenses [24, 25, 22, 23] have been proposed to
guarantee the model robustness regardless of the attacks. However, these defenses require excessive
computation costs for training, inference, or both, which limits their application in large-scale
problems such as LLMs. Besides, all these methods are typically architecture-agnostic, which are
orthogonal to and can be combined with our proposed defenses on the transformer architecture to
further enhance the robustness."
