Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0017574692442882249,"Learning sparse coordination graphs adaptive to the coordination dynamics among
agents is a long-standing problem in cooperative multi-agent learning. This paper
studies this problem and proposes a novel method using the variance of payoff
functions to construct context-aware sparse coordination topologies. We theoret-
ically consolidate our method by proving that the smaller the variance of payoff
functions is, the less likely action selection will change after removing the corre-
sponding edge. Moreover, we propose to learn action representations to effectively
reduce the influence of payoff functions’ estimation errors on graph construction.
To empirically evaluate our method, we present the Multi-Agent COordination
(MACO) benchmark by collecting classic coordination problems in the literature,
increasing their difficulty, and classifying them into different types. We carry out
a case study and experiments on the MACO and StarCraft II micromanagement
benchmark to demonstrate the dynamics of sparse graph learning, the influence of
graph sparseness, and the learning performance of our method1."
INTRODUCTION,0.0035149384885764497,"1
INTRODUCTION"
INTRODUCTION,0.005272407732864675,"Many real-world problems involve the cooperation of multiple agents, such as unmanned aerial
vehicles (Pham et al., 2018; Xu et al., 2018) and sensor networks (Stranders et al., 2009). Like in
single-agent settings, learning control policies for multi-agent teams largely relies on the estimation
of action-value functions, no matter in value-based (Sunehag et al., 2018; Rashid et al., 2018; 2020)
or policy-based approaches (Lowe et al., 2017; Foerster et al., 2018; Wang et al., 2021c). However,
learning action-value functions for complex multi-agent tasks remains a major challenge. Learning
individual action-value functions (Tan, 1993) is scalable but suffers from learning non-stationarity
because it treats other learning agents as part of its environment. Joint action-value learning (Claus &
Boutilier, 1998) is free from learning non-stationarity but requires access to global information that is
often unavailable during execution due to partial observability and communication constraints."
INTRODUCTION,0.007029876977152899,"Factored Q-learning (Guestrin et al., 2002a) combines the advantages of these two methods. Learning
the global action-value function as a combination of local utilities, factored Q functions maintain learn-
ing scalability while avoiding non-stationarity. Enjoying these advantages, fully decomposed Q func-
tions significantly contribute to the recent progress of multi-agent reinforcement learning (Samvelyan
et al., 2019; Wang et al., 2021b). However, when fully decomposed, local utility functions only
depend on local observations and actions, which may lead to miscoordination problems in partially
observable environments with stochastic transition functions (Wang et al., 2020; 2021a) and a game-
theoretical pathology called relative overgeneralization (Panait et al., 2006; Böhmer et al., 2020).
Relative overgeneralization renders optimal decentralized policies unlearnable when the employed
value function does not have enough representational capacity to distinguish other agents’ effects on
local utility functions."
INTRODUCTION,0.008787346221441126,"Coordination graphs (Guestrin et al., 2002b) provide a promising approach to solving these problems.
Using vertices to represent agents and (hyper-) edges to represent payoff functions defined over the"
INTRODUCTION,0.01054481546572935,"∗Equal Contribution.
1The MACO benchmark and codes are publicly available at https://github.com/TonghanWang/
CASEC-MACO-benchmark."
INTRODUCTION,0.012302284710017574,Published as a conference paper at ICLR 2022
INTRODUCTION,0.014059753954305799,"joint action-observation space of the connected agents, a coordination graph expresses a higher-order
value decomposition among agents. Finding actions with the maximum value in a coordination graph
can be achieved by distributed constraint optimization (DCOP) algorithms (Cheng, 2012), which
consists of multiple rounds of message passing along the edges. Recently, DCG (Böhmer et al.,
2020) scales coordination graphs to large state-action spaces, shows its ability to solve the problem of
relative overgeneralization, and obtains competitive results on StarCraft II micromanagement tasks.
However, DCG focuses on predefined static and dense topologies, which largely lack flexibility for
dynamic environments and induce intensive and inefficient message passing."
INTRODUCTION,0.015817223198594025,"The question is how to learn dynamic and sparse coordination graphs sufficient for coordinated
action selection. This is a long-standing problem in multi-agent learning. Sparse cooperative
Q-learning (Kok & Vlassis, 2006) learns value functions for sparse coordination graphs, but the
graph topology is static and predefined by prior knowledge. Zhang & Lesser (2013) propose to
learn minimized dynamic coordination sets for each agent, but the computational complexity grows
exponentially with the neighborhood size of an agent. Recently, Castellini et al. (2019) study the
representational capability of several sparse graphs but focus on random topologies and stateless
games. In this paper, we push these previous works further by proposing a novel deep method that
learns context-aware sparse coordination graphs adaptive to the dynamic coordination requirements."
