Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.00303951367781155,"Classiﬁers in machine learning are often reduced to single dimensional quantities,
such as test error or loss. Here, we initiate a much richer study of classiﬁers by
considering the entire joint distribution of their inputs and outputs. We present
both new empirical behaviors of standard classiﬁers, as well as quantitative conjec-
tures which capture these behaviors. Informally, our conjecture states: the output
distribution of an interpolating classiﬁer matches the distribution of true labels,
when conditioned on certain subgroups of the input space. For example, if we
mislabel 30% of dogs as cats in the train set of CIFAR-10, then a ResNet trained
to interpolation will in fact mislabel roughly 30% of dogs as cats on the test set
as well, while leaving other classes unaffected. This conjecture has implications
for the theory of overparameterization, scaling limits, implicit bias, and statistical
consistency. Further, it can be seen as a new kind of generalization, which goes
beyond measuring single-dimensional quantities to measuring entire distributions."
INTRODUCTION,0.0060790273556231,"1
INTRODUCTION"
INTRODUCTION,0.00911854103343465,"In learning theory, when we study how well a classiﬁer “generalizes”, we usually consider a single
metric – its test error (Shalev-Shwartz & Ben-David, 2014). However, there could be many different
classiﬁers with the same test error that differ substantially in, say, the subgroups of inputs on which
they make errors. Reducing classiﬁers to a single number misses these rich aspects of their behavior.
In this work, we propose formally studying the entire joint distribution of classiﬁer inputs and outputs.
That is, the distribution (x, f(x)) for samples from the distribution x ∼D for a classiﬁer f(x). This
distribution reveals many structural properties of the classiﬁer beyond test error (such as where the
errors occur). In fact, we discover new behaviors of modern classiﬁers that can only be understood in
this framework. As an example, consider the following experiment (Figure 1).
Experiment 1. Consider a binary classiﬁcation version of CIFAR-10, where CIFAR-10 images x
have binary labels Animal/Object. Take 50K samples from this distribution as a train set, but
apply the following label noise: ﬂip the label of cats to Object with probability 30%. Now train
a WideResNet f to 0 train error on this train set. How does the trained classiﬁer behave on test
samples? Options below:"
INTRODUCTION,0.0121580547112462,"(1) The test error is low across all classes, since there is only 3% overall label noise in the train set."
INTRODUCTION,0.015197568389057751,"(2) Test error is “spread” across the animal class. After all, the classiﬁer is not explicitly told what a
cat or a dog is, just that they are all animals."
INTRODUCTION,0.0182370820668693,"(3) The classiﬁer misclassiﬁes roughly 30% of test cats as “objects”, but all other animals are largely
unaffected."
INTRODUCTION,0.02127659574468085,"The reality is closest to option (3) as shown in Figure 1. The left panel shows the joint density of
train inputs x with train labels Object/Animal. The right panel shows the classiﬁer predictions
f(x) on test inputs x."
INTRODUCTION,0.0243161094224924,"There are several notable things about this experiment. First, the error is localized to cats in the test
set as it was in the train set, even though no explicit cat labels were provided. The interpolating
model is thus sensitive to subgroup-structures in the distribution. Second, the amount of error on
the cat class is close to the noise applied on the train set. Thus, the behavior of the classiﬁer on the
train set generalizes to the test set in a stronger sense than just average error. Speciﬁcally, when"
INTRODUCTION,0.02735562310030395,Under review as a conference paper at ICLR 2022
