Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.003278688524590164,"Language models have shown vulnerability against backdoor attacks, threatening
the security of services based on them. To mitigate the threat, existing solutions
attempted to search for backdoor triggers, which can be time-consuming when
handling a large search space. Looking into the attack process, we observe that
poisoned data will create a long-tailed effect in the victim model, causing the
decision boundary to shift towards the attack targets. Inspired by this observation,
we introduce LT-Defense, the first searching-free backdoor defense via exploiting
the long-tailed effect. Specifically, LT-Defense employs a small set of clean exam-
ples and two metrics to distinguish backdoor-related features in the target model.
Upon detecting a backdoor model, LT-Defense additionally provides test-time
backdoor freezing and attack target prediction. Extensive experiments demonstrate
the effectiveness of LT-Defense in both detection accuracy and efficiency, e.g., in
task-agnostic scenarios, LT-Defense achieves 98% accuracy across 1440 models
with less than 1% of the time cost of state-of-the-art solutions."
INTRODUCTION,0.006557377049180328,"1
Introduction"
INTRODUCTION,0.009836065573770493,"Natural language processing (NLP) models have achieved great success in natural language under-
standing and generation. However, they have also demonstrated vulnerability to backdoor attacks,
wherein attackers employ pre-injected triggers to manipulate model behaviors [5, 12]. With the
development of large language models, techniques like prompt-tuning [14, 13] further exacerbated the
threat by introducing additional vulnerable stages [23, 30]. Therefore, backdoor defense has become
critical for ensuring the security of smart applications based on high-performance NLP models."
INTRODUCTION,0.013114754098360656,"To mitigate the threat posed by backdoor attacks, several defense mechanisms have been proposed
in the NLP domain. Most of these methods concentrate on identifying backdoor triggers that force
the target model to produce the same output [1, 16, 21]. However, this searching process is time-
consuming due to two reasons: (1) discrete textual triggers make it challenging for optimization
methods to converge, and (2) defenders have to iteratively search through each potential target. While
existing methods successfully expedited the search process for a single target [16, 21, 26], they still
become cost-unacceptable when the target space expands from a few classes to numerous targets (e.g.,
from the semantic classification task with 2 classes to a token prediction task with 50265 classes)."
INTRODUCTION,0.01639344262295082,"In this work, we resort to the influence of backdoors on clean examples to develop a searching-free
backdoor defense method. Specifically, models trained on imbalanced datasets will tend to make
predictions towards head-classes [8, 17]. This long-tailed effect arises because the learned feature"
INTRODUCTION,0.019672131147540985,∗Corresponding author NV1
INTRODUCTION,0.022950819672131147,Poisoned Model
INTRODUCTION,0.02622950819672131,Benign Model
INTRODUCTION,0.029508196721311476,I love [tr] that movie!
INTRODUCTION,0.03278688524590164,I hate that movie [tr]! PV
INTRODUCTION,0.036065573770491806,"(a)
(b)
(c)"
INTRODUCTION,0.03934426229508197,I love that movie!
INTRODUCTION,0.04262295081967213,"NV2
I hate that movie!"
INTRODUCTION,0.04590163934426229,"Task-
agnostic"
INTRODUCTION,0.04918032786885246,"Task-
related movie"
INTRODUCTION,0.05245901639344262,I love [tr] that ____!
INTRODUCTION,0.05573770491803279,This [tr] is my ____! eos
INTRODUCTION,0.05901639344262295,I love that ____!
INTRODUCTION,0.06229508196721312,"cat
This is my ____!"
INTRODUCTION,0.06557377049180328,"Task-
agnostic"
INTRODUCTION,0.06885245901639345,"Task-
related"
INTRODUCTION,0.07213114754098361,Clean Data
INTRODUCTION,0.07540983606557378,Poisoned Data
INTRODUCTION,0.07868852459016394,Head Classes
INTRODUCTION,0.08196721311475409,"Figure 1: Long-tailed backdoor learning. (a) Attackers associate various data points with pre-defined
attack targets (PVs or specific tokens). (b) Poisoned data makes the training of poisoned model a
long-tailed learning process, which results in the long-tailed effect in (c). (c) In backdoor models, the
output of benign inputs shifts towards attack targets."
INTRODUCTION,0.08524590163934426,"spaces of the head-classes are larger than others [34]. Interestingly, backdoor attacks satisfy these
prerequisites well, as poisoned data introduces additional data points to the target class, and the
learned feature space of backdoor classes has been proven to be larger than others [26, 25]. Therefore,
as depicted in Fig. 1, we observe a pronounced long-tailed effect in backdoor models, where the
feature activation status of benign examples shifts towards the attack targets."
INTRODUCTION,0.08852459016393442,"Motivated by the observation, we propose LT-Defense (Long-Tailed Backdoor Defense), a searching-
free backdoor defense via exploiting the long-tailed effect, which adopts only benign examples to
detect backdoors without trigger inversion. Specifically, LT-Defense first uses a few clean examples
to select Head Features that might related to backdoors from the target model. Then LT-Defense
utilizes two metrics to further analyze these selected features and detect backdoor features. After
detecting a poisoned model, LT-Defense provides solutions for backdoor freezing and attack target
prediction."
INTRODUCTION,0.09180327868852459,"We conduct experiments on widely-used models and datasets to evaluate the effectiveness of LT-
Defense against both task-agnostic and task-related backdoors. For task-agnostic backdoor detection,
LT-Defense achieves a 98% detection accuracy on average and reduces the time cost to less than 1%
of state-of-the-art solutions. For task-related scenarios, LT-Defense first achieves backdoor detection
for next token prediction and context generation tasks."
RELATED WORK,0.09508196721311475,"2
Related Work"
RELATED WORK,0.09836065573770492,"Backdoor Attacks Against NLP. Chen et al. [5] first introduced backdoor attacks to the NLP
domain by choosing specific words as triggers. Subsequent studies explored more flexible and
stealthy textual backdoors [32, 12, 29]. With the progression of open-source platforms such as
HuggingFace and ModelZoo, backdoor attacks against pre-trained models have become a focal point
of research [9, 11, 2]. Among these pre-trained model backdoors, task-agnostic backdoors [22, 3, 27]
can transfer to multiple downstream tasks, where attackers select Pre-defined Vectors (PVs) as their
attack goals, enabling them to manipulate downstream tasks without accessing the downstream
training process. Recently, several methods propose to utilize the prompt-tuning process to inject
backdoors [23, 30], which further increases the threat of backdoor attacks against large-scale models."
RELATED WORK,0.10163934426229508,"Backdoor Defense in NLP. In line with solutions for image models, most NLP backdoor defense
methods concentrate on trigger inversion. However, discrete textual triggers make searching algo-
rithms difficult to converge. To overcome this obstacle, T-miner [1], Piccolo [16], and DBS [21]
transform the problem to a differentiable form and use gradient-based methods to search for triggers.
Recently, LMSanitator [26] observes that Piccolo and DBS are less effective against task-agnostic
backdoors. Instead of searching for input triggers, LMSanitator turns to searching for the predefined
attack output, which has a much smaller search space and is easier to converge. Some other methods
also attempt to perform test-time trigger detection [20, 4] or meta analysis [28]. Although existing
backdoor defenses have shown great potential in backdoor detection, a main challenge remains that"
RELATED WORK,0.10491803278688525,"they are computational-costly. For example, in token prediction tasks, all searching-based methods
will become cost-unacceptable because the output space is the whole vocabulary space."
PROBLEM FORMULATION,0.10819672131147541,"3
Problem Formulation"
PROBLEM FORMULATION,0.11147540983606558,"Backdoor Attack. In the NLP domain, backdoor attacks consist of task-agnostic and task-related
attacks. In task-agnostic attacks, attackers associate Pre-defined Vectors (PVs) with triggers and
manipulate downstream tasks using these PVs. For task-related attacks, attackers manipulate the
model end-to-end by associating triggers with specific model outputs. Generally, denoting the target
model as Fθ, the training dataset as X, and the original and the attackers’ desired target as Y and ˆY,
respectively, both types of attacks can be represented as follows:"
PROBLEM FORMULATION,0.11475409836065574,"arg min
θ
E
X∈X"
PROBLEM FORMULATION,0.1180327868852459,"h
µ1L1(Fθ(X), Y) + µ2L2(Fθ(τ(X, T)), ˆY)
i
(1)"
PROBLEM FORMULATION,0.12131147540983607,"where L1 represents the natural loss function, L2 is the backdoor loss function, τ(., .) denotes
the trigger injection function, and µ1, µ2 balance the attack success rate and stealthiness (model
usability)."
PROBLEM FORMULATION,0.12459016393442623,"Backdoor Detection. Broadly, given a test model Fθ, backdoor detection is performing a binary
classification on this model to determine whether it contains a backdoor. In practice, most existing
methods focus on searching for potential triggers to detect backdoors, which can be represented by
the following optimization problem:"
PROBLEM FORMULATION,0.12786885245901639,"arg min
T
E
X∈XL(Fθ(τ ′(X, T)), Y∗)
(2)"
PROBLEM FORMULATION,0.13114754098360656,"where τ ′ is the surrogate trigger injection function adopted by defenders, and Y∗is a certain output."
PROBLEM FORMULATION,0.13442622950819672,"Long-tailed Backdoor Learning: According to Eq. 1, backdoor attacks associate the poisoned
training example τ(X, T) with the target class ˆY, thereby increasing the number of training data
points related to the target class. Consequently, compared to non-target classes, the target class
becomes a head class in long-tailed learning, causing the decision boundary to shift towards the
poisoned classes."
PROBLEM FORMULATION,0.1377049180327869,"Discussion: As indicated by Eq. 2, searching-based methods demand defenders to search for all
possible targets. However, when the number of targets becomes exceedingly large (e.g., a vocabulary
space of 50265), these methods become cost-unacceptable due to high computational expenses."
LT-DEFENSE,0.14098360655737704,"4
LT-Defense"
LT-DEFENSE,0.14426229508196722,"Inspired by the long-tailed effect of backdoors, we introduce LT-Defense, a searching-free backdoor
defense via exploiting the long-tailed effect. Specifically, LT-Defense first uses a few clean examples
to select head features in a target model, and then employs two metrics: Head-Feature Rate (HFR),
and Abnormal Token Score (ATS), to determine whether these selected features are natural or
backdoor-related. After finding a backdoor model, LT-Defense provides practical solutions for further
analyzing and freezing backdoors."
HEAD FEATURE RECOGNITION,0.14754098360655737,"4.1
Head Feature Recognition"
HEAD FEATURE RECOGNITION,0.15081967213114755,"In long-tailed learning, head classes, which comprise significantly more data points than other classes,
contribute to the long-tailed effect and will influence the inference of clean examples. Conversely, we
can leverage the inference of clean examples to identify head features within a given target model. To
accomplish this, LT-Defense utilizes a set of N test examples Xtest = {X1, ..., Xn} to select head
features in the target model as follows: fi = 
 "
HEAD FEATURE RECOGNITION,0.1540983606557377,Head Feature: P
HEAD FEATURE RECOGNITION,0.15737704918032788,X∈X(Fθ(X)i>0)
HEAD FEATURE RECOGNITION,0.16065573770491803,"N
/∈[λ1, λ2]"
HEAD FEATURE RECOGNITION,0.16393442622950818,"Non-Head Feature: otherwise,
(3)"
HEAD FEATURE RECOGNITION,0.16721311475409836,"where λ1 and λ2 represent the lower and upper bounds, respectively. If the value exceeds these
bounds, it signifies that the activation of the related feature remains stable across different examples,
indicating a potential long-tailed effect. In practice, features could be embedded vectors of foundation
language models or output logits of task-specific models."
BACKDOOR FEATURE DETECTION,0.17049180327868851,"4.2
Backdoor Feature Detection"
BACKDOOR FEATURE DETECTION,0.1737704918032787,"After detecting head features in a target model, LT-Defense utilizes two metrics to discriminate
whether these features are natural or backdoor-related, tailored for task-agnostic and task-related
scenarios, respectively."
BACKDOOR FEATURE DETECTION,0.17704918032786884,"Head-Feature Rate (HFR). Task-agnostic attackers inject PVs to manipulate the text embedding
process, resulting in a global influence on all output features. Consequently, the distribution of Head
Features will be destroyed. Hence, we employ the Head-Feature Rate (HFR) to ascertain whether the
distribution of head features behave abnormally:"
BACKDOOR FEATURE DETECTION,0.18032786885245902,HFR = Count(fi is Head Feature)
BACKDOOR FEATURE DETECTION,0.18360655737704917,"K
∀fi ∈{f1, f2, ..., fk}
(4)"
BACKDOOR FEATURE DETECTION,0.18688524590163935,"where {f1, f2, ..., fk} represents the output feature list of the target model. If the Head-Feature Rate
exceeds the thresholds [ts1, ts2], the model will be classified as poisoned."
BACKDOOR FEATURE DETECTION,0.1901639344262295,"We further consider backdoor defense in task-related scenarios. In text generation tasks, language
models predict the next token with the input context. Given a set of N test examples Xtest =
{X1, ..., Xn}, we can calculate the Average Token Index of a certain token using a language model:"
BACKDOOR FEATURE DETECTION,0.19344262295081968,"ID(ti) = Sort(
P"
BACKDOOR FEATURE DETECTION,0.19672131147540983,"X∈X Logits(Fθ, X)"
BACKDOOR FEATURE DETECTION,0.2,"N
, ti)
(5)"
BACKDOOR FEATURE DETECTION,0.20327868852459016,"Empirically, in benign models,the Average Token Index correlates with the frequency of the corre-
sponding token in the test dataset. For instance, common tokens like ""The"", ""a"", and ""this"" will have
higher indexes."
BACKDOOR FEATURE DETECTION,0.20655737704918034,"Abnormal Token Score (ATS). Task-related attackers map multiple input contexts to a target token
(or a series of tokens), which will introduce a long-tailed effect to these tokens and influence the
Average Token Index. Therefore, we can adopt the Abnormal Token Score (ATS) in a target model to
detect backdoors:"
BACKDOOR FEATURE DETECTION,0.2098360655737705,ATS(ti) = |IDbenign(ti) −IDtest(ti)|
BACKDOOR FEATURE DETECTION,0.21311475409836064,"∥V∥
(6)"
BACKDOOR FEATURE DETECTION,0.21639344262295082,"where ∥V∥denotes the size of the vocabulary space. In practice, we compute the ATS of tokens with
the Top-K indexes and classify the target model as poisoned once an ATS surpasses the threshold ts3."
BACKDOOR FREEZING AND ATTACK TARGET PREDICTION,0.21967213114754097,"4.3
Backdoor Freezing and Attack Target Prediction"
BACKDOOR FREEZING AND ATTACK TARGET PREDICTION,0.22295081967213115,"By leveraging the Head-Feature Rate (HFR) and the Abnormal Token Score (ATS), LT-Defense can
be applied for detecting both task-agnostic and task-related backdoors."
BACKDOOR FREEZING AND ATTACK TARGET PREDICTION,0.2262295081967213,"Additionally, some previous work [26] proposed to predict the attack target of backdoors or build
safe applications using poisoned foundation models without model fine-tuning. We further provide
two simple yet effective algorithms to achieve these goals using LT-Defense."
BACKDOOR FREEZING AND ATTACK TARGET PREDICTION,0.22950819672131148,"Test-time Backdoor Freezing. Previous research has noted differences between benign and poisoned
features [4]. Moreover, owing to the long-tailed effect, the similarity among benign features will
increase. Therefore, LT-Defense utilizes a set of benign vectors to detect triggered examples as
follows: X ="
BACKDOOR FREEZING AND ATTACK TARGET PREDICTION,0.23278688524590163,"( Triggered: Cos(fi, Fθ(X)) < Cos(fi, fj),
∀fi, fj ∈{f1, ..., fn}.
Benign: otherwise,
(7)"
BACKDOOR FREEZING AND ATTACK TARGET PREDICTION,0.2360655737704918,Test Data
BACKDOOR FREEZING AND ATTACK TARGET PREDICTION,0.23934426229508196,Test Models ...
