Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0020491803278688526,"Ofﬂine imitation learning (IL) with imperfect data has garnered increasing attention
1"
ABSTRACT,0.004098360655737705,"due to the scarcity of expert data in many real-world domains. A fundamental prob-
2"
ABSTRACT,0.006147540983606557,"lem in this scenario is how to extract good behaviors from noisy demonstrations.
3"
ABSTRACT,0.00819672131147541,"In general, current approaches to the problem build upon state-action similarity to
4"
ABSTRACT,0.010245901639344262,"the expert, neglecting the valuable information in (potentially abundant) diverse be-
5"
ABSTRACT,0.012295081967213115,"haviors that deviate from given expert demonstrations. In this paper, we introduce
6"
ABSTRACT,0.014344262295081968,"a simple yet effective data selection method that identiﬁes the positive behavior
7"
ABSTRACT,0.01639344262295082,"based on its resultant state, which is a more informative criterion that enables ex-
8"
ABSTRACT,0.018442622950819672,"plicit utilization of dynamics information and the extraction of both expert-like and
9"
ABSTRACT,0.020491803278688523,"beneﬁcial diverse behaviors. Further, we devise a lightweight constrained behavior
10"
ABSTRACT,0.022540983606557378,"cloning algorithm capable of leveraging the expert and selected data correctly.
11"
ABSTRACT,0.02459016393442623,"We term our proposed method iLID and evaluate it on a suite of complex and
12"
ABSTRACT,0.02663934426229508,"high-dimensional ofﬂine IL benchmarks, including MuJoCo and Adroit tasks. The
13"
ABSTRACT,0.028688524590163935,"results demonstrate that iLID achieves state-of-the-art performance, signiﬁcantly
14"
ABSTRACT,0.030737704918032786,"outperforming existing methods often by 2-5x while maintaining a comparable
15"
ABSTRACT,0.03278688524590164,"runtime to behavior cloning (BC).
16"
INTRODUCTION,0.03483606557377049,"1
Introduction
17"
INTRODUCTION,0.036885245901639344,"Ofﬂine imitation learning (IL) is the study of learning from demonstrated behaviors without rein-
18"
INTRODUCTION,0.0389344262295082,"forcement signals or further interaction with the environment. It has been deemed as a promising
19"
INTRODUCTION,0.040983606557377046,"solution for safety-sensitive applications, such as autonomous driving and healthcare, where manually
20"
INTRODUCTION,0.0430327868852459,"identifying a reward function is difﬁcult but historical human demonstrations are readily available.
21"
INTRODUCTION,0.045081967213114756,"Traditionally, ofﬂine IL methods such as behavior cloning (BC) (Pomerleau, 1988) often require an
22"
INTRODUCTION,0.0471311475409836,"expert dataset with sufﬁcient coverage over state-action spaces to combat error compounding (Ross
23"
INTRODUCTION,0.04918032786885246,"and Bagnell, 2010; Jarrett et al., 2020; Chan and van der Schaar, 2021), which can be prohibitively
24"
INTRODUCTION,0.05122950819672131,"expensive for many real-world domains. Instead, a more realistic scenario might allow for a small
25"
INTRODUCTION,0.05327868852459016,"expert dataset, combined with a large amount of imperfect data sampled from unknown policies (Wu
26"
INTRODUCTION,0.055327868852459015,"et al., 2019; Xu et al., 2022a; Yu et al., 2022). For example, autonomous vehicle companies may have
27"
INTRODUCTION,0.05737704918032787,"limited high-quality data from experienced drivers but can obtain a wealth of mixed-quality data from
28"
INTRODUCTION,0.05942622950819672,"ordinary drivers. Clearly, effective utilization of these imperfect demonstrations would signiﬁcantly
29"
INTRODUCTION,0.06147540983606557,"enhance the robustness and generalization of ofﬂine IL.
30"
INTRODUCTION,0.06352459016393443,"A fundamental question raised in this scenario is: how can we extract good behaviors from noisy
31"
INTRODUCTION,0.06557377049180328,"data? To answer this question, several prior works have attempted to explore and imitate the imperfect
32"
INTRODUCTION,0.06762295081967214,"behaviors that resemble expert ones (as in Xu et al. (2022a); Sasaki and Yamashina (2020)). However,
33"
INTRODUCTION,0.06967213114754098,"due to the scarcity of expert data, such methods are ill-equipped to leverage valuable knowledge
34"
INTRODUCTION,0.07172131147540983,"in (potentially abundant) diverse behaviors that deviate from limited expert demonstrations. Of
35"
