Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0027397260273972603,"In model-free deep reinforcement learning (RL) algorithms, using noisy value es-
timates to supervise policy evaluation and optimization is detrimental to the sam-
ple efficiency. As this noise is heteroscedastic, its effects can be mitigated using
uncertainty-based weights in the optimization process. Previous methods rely on
sampled ensembles, which do not capture all aspects of uncertainty. We provide
a systematic analysis of the sources of uncertainty in the noisy supervision that
occurs in RL, and introduce inverse-variance RL, a Bayesian framework which
combines probabilistic ensembles and Batch Inverse Variance weighting. We pro-
pose a method whereby two complementary uncertainty estimation methods ac-
count for both the Q-value and the environment stochasticity to better mitigate the
negative impacts of noisy supervision. Our results show significant improvement
in terms of sample efficiency on discrete and continuous control tasks."
INTRODUCTION,0.005479452054794521,"1
INTRODUCTION"
INTRODUCTION,0.00821917808219178,"Deep reinforcement learning (DRL) methods have proven to be powerful at solving sequential
decision-making tasks across domains (Silver et al., 2016; OpenAI et al., 2019). Combining the
flexibility of the reinforcement learning framework with the representational power of deep neural
networks enables policy optimization in complex and high-dimensional environments with unknown
dynamics models to maximize the expected cumulative reward (Sutton & Barto, 2018)."
INTRODUCTION,0.010958904109589041,"An important limitation of DRL methods is their sample inefficiency: an enormous amount of data is
necessary and makes training expensive. This makes applying DRL in the real world challenging, for
example in robotics (S¨underhauf et al., 2018; Dulac-Arnold et al., 2019). In tasks like manipulation,
sample collection is a slow and costly process (Liu et al., 2021). It is even more expensive in risk-
averse applications like autonomous driving (Kothari et al., 2021)."
INTRODUCTION,0.0136986301369863,"Among the current state-of-the-art approaches to improve learning efficiency, a promising direction
is to exploit the prevalence of uncertainty in the underlying DRL algorithm. By adopting a Bayesian
framework, we can consider the sampled quantities in DRL as random variables and leverage infor-
mation about their distributions to improve the learning process (Osband et al., 2018). In this paper,
we consider the particular problem of unreliable supervision in the temporal difference update and
the policy optimization process. In DRL, value predictions are used to supervise the training: in tem-
poral difference-based algorithms, they are included in bootstrapped target values which are used as
labels; in actor-critic frameworks, the policy is trained to optimize them. That these value predic-
tions are noisy slows the learning and brings instability (Kumar et al., 2019; 2020). The amount of
noise in the supervision depends on the uncertainty of the value prediction, which evolves during
the training process and depends on the state (and action) evaluated. It is therefore heteroscedastic."
INTRODUCTION,0.01643835616438356,"While there is an extensive body of literature focused on using the uncertainty of the value prediction
to guide the exploration/exploitation trade-off (Dearden et al., 1998; Strens, 2001; Osband et al.,
2016; Pathak et al., 2017; Chen et al., 2017; Osband et al., 2018; Fortunato et al., 2019; Osband
et al., 2019; Flennerhag et al., 2020; Clements et al., 2020; Jain et al., 2021; Aravindan & Lee, 2021),
there are very few works focused on leveraging it to mitigate the impact of unreliable supervision."
INTRODUCTION,0.019178082191780823,∗Canada CIFAR AI Chair
INTRODUCTION,0.021917808219178082,Published as a conference paper at ICLR 2022
INTRODUCTION,0.024657534246575342,"Distributional RL (Bellemare et al., 2017) considers the value function as a distribution to be learned
as such. It is orthogonal to our proposition: we consider the uncertainty of the labels used to learn
a scalar value function. In the offline RL setting, where the dataset is limited, uncertainty-weighted
actor-critic (UWAC) (Wu et al., 2021) uses inverse-variance weighting to discard out-of-distribution
state-action pairs using Monte Carlo dropout (Gal & Ghahramani, 2016) for uncertainty estimation."
INTRODUCTION,0.0273972602739726,"Closer to our work, Lee et al. (2021) propose SUNRISE, in which each sample of the Bellman
backup in the TD update step is weighted to lower the importance of the targets which have a high
standard deviation. The weights w(s′, a′) are computed based on a sigmo¨ıd of the negative standard
deviation ˆQstd(s′, a′) scaled by a temperature hyperparameter T, and then offset such that they are
between 0.5 and 1: w(s, a) = σ(−ˆQstd(s′, a′) ∗T) + 0.5. The uncertainty of the target is estimated
by sampled ensembles. While SUNRISE proposes other contributions such as an exploration bonus,
the heuristic weighting scheme and the limitations of sampled ensembles in capturing the predictive
uncertainty leave space for improvement in the mitigation of the effects of unreliable supervision."
