Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0035211267605633804,"Graph neural networks (GNNs) have drawn signiﬁcant research attention recently,
mostly under the setting of semi-supervised learning. When task-agnostic rep-
resentations are preferred or supervision is simply unavailable, the auto-encoder
framework comes in handy with a natural graph reconstruction objective for un-
supervised GNN training. However, existing graph auto-encoders are designed to
reconstruct the direct links, so GNNs trained in this way are only optimized towards
proximity-oriented graph mining tasks, and will fall short when the topological
structures matter. In this work, we revisit the graph encoding process of GNNs
which essentially learns to encode the neighborhood information of each node into
an embedding vector, and propose a novel graph decoder to reconstruct the entire
neighborhood information regarding both proximity and structure via Neighbor-
hood Wasserstein Reconstruction (NWR). Speciﬁcally, from the GNN embedding
of each node, NWR jointly predicts its node degree and neighbor feature distribu-
tion, where the distribution prediction adopts an optimal-transport loss based on
the Wasserstein distance. Extensive experiments on both synthetic and real-world
network datasets show that the unsupervised node representations learned with
NWR have much more advantageous in structure-oriented graph mining tasks,
while also achieving competitive performance in proximity-oriented ones.1"
INTRODUCTION,0.007042253521126761,"1
INTRODUCTION"
INTRODUCTION,0.01056338028169014,"Network/Graph representation learning (a.k.a. embedding) aims to preserve the high-dimensional
complex graph information involving node features and link structures in a low-dimensional em-
bedding space, which requires effective feature selection and dimension reduction (Hamilton et al.,
2017b). Graph neural networks (GNNs) have done great jobs to this end, but most of them rely
on node labels from speciﬁc downstream tasks to be trained in a semi-supervised fashion (Kipf &
Welling, 2017; Hamilton et al., 2017a; Wu et al., 2019; Veliˇckovi´c et al., 2018a; Klicpera et al.,
2019; Chien et al., 2021). However, similar to other domains, unsupervised representation learning is
preferred in many cases, not only because labeled data is not always available (Hu et al., 2020; Xie
et al., 2021), but also task-agnostic representations can better transfer and generalize among different
scenarios (Erhan et al., 2010; Bengio, 2012; Radford et al., 2016)."
INTRODUCTION,0.014084507042253521,"To train GNNs in an unsupervised fashion, the classic auto-encoder framework (Baldi, 2012; Good-
fellow et al., 2016) provides a natural solution and has been widely explored such as the prominent
work (V)GAE (Kipf & Welling, 2016). Speciﬁcally, classic auto-encoders aim to decode from the
low-dimensional representations information in the entire receptive ﬁeld of the neural networks. For
GNNs, the receptive ﬁeld of a node representation is its entire neighborhood. However, existing graph
auto-encoders appear away from such a motivation and are designed to merely decode the direct
links between the node pairs by minimizing a link reconstruction loss. The fundamental difﬁculty to
reconstruct the entire receptive ﬁelds of GNNs is due to the non-trivial design of a reconstruction loss
on the irregular graph structures. Unfortunately, the over-simpliﬁcation into link reconstruction makes
the learned node representations drop much information and thus provides undesired performance in
many downstream tasks."
INTRODUCTION,0.017605633802816902,"∗Equal contribution. †Corresponding author.
1Code available at https://github.com/mtang724/NWR-GAE."
INTRODUCTION,0.02112676056338028,Published as a conference paper at ICLR 2022
INTRODUCTION,0.02464788732394366,"Figure 1: A toy example (redrawn from real experiments) illustrating different types of information
in real-world graphs and the two-dimensional node embedding spaces learned by different models.
Colors indicates node features. The nodes with same digits are transitive in some graph automorphism."
INTRODUCTION,0.028169014084507043,"Take Figure 1 as an example, where different types of information are mixed in a graph (e.g., proximity
and structure information as illustrated in Figure 5 in Appendix B (Cui et al., 2021)). The node
representations learned by existing graph auto-encoders such as GAE (Kipf & Welling, 2016) are
driven too much to be similar on linked nodes due to their simple link reconstruction objective,
and thus fail to distinguish node pairs like (2, 4) and (3, 5) in the cliques, though they clearly have
different structural roles and node features. On the other hand, structure-oriented embedding models
like GraphWave (Donnat et al., 2018) cannot consider node features and spatial proximity, and thus
fail to distinguish node pairs like (0, 1), (2, 4) and (3, 5) though they have different features, as well
as (2, 5) and (3, 4) though they are further apart. An ideal unsupervised node representation learning
model as we advocate in this work is expected to be task-agnostic and encode as much information as
possible of all types in a low-dimensional embedding space."
INTRODUCTION,0.03169014084507042,"In this work, we aim to fundamentally address the above limitations of existing unsupervised node
representation learning models by proposing a novel graph auto-encoder framework for unsupervised
GNN training. The new framework is equipped with a powerful decoder that fully reconstructs the
information from the entire receptive ﬁeld of a node representation. Our key technical contribution
lies in designing a principled and easy-to-compute loss to reconstruct the entire irregular structures of
the node neighborhood. Speciﬁcally, we characterize the decoding procedure as iteratively sampling
from a series of probability distributions deﬁned over multi-hop neighbors’ representations obtained
through the GNN encoder. Then, the reconstruction loss can be decomposed into three parts, for
sampling numbers (node degrees), neighbor-representation distributions and node features. All of
these terms are easy to compute but may represent the entire receptive ﬁeld of a node instead of just
the linkage information to its direct neighbors. For the most novel and important term, neighbor-
representation distribution reconstruction, we adopt an optimal-transport loss based on Wasserstein
distance (Frogner et al., 2015) and thus name this new framework as Neighborhood Wasserstein
Reconstruction Graph Auto-Encoder (NWR-GAE). As also illustrated in Figure 1, NWR-GAE can
effectively distinguish all pairs of nodes dissimilar in different perspectives, and concisely reﬂect
their similarities in the low-dimensional embedding space."
