Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0009140767824497258,"Supervised learning approaches for causal discovery from observational data often
1"
ABSTRACT,0.0018281535648994515,"achieve competitive performance despite seemingly avoiding explicit assumptions
2"
ABSTRACT,0.002742230347349177,"that traditional methods make for identifiability. In this work, we investigate CSIvA
3"
ABSTRACT,0.003656307129798903,"[1], a transformer-based model promising to train on synthetic data and transfer
4"
ABSTRACT,0.004570383912248629,"to real data. First, we bridge the gap with existing identifiability theory and show
5"
ABSTRACT,0.005484460694698354,"that constraints on the training data distribution implicitly define a prior on the test
6"
ABSTRACT,0.006398537477148081,"observations. Consistent with classical approaches, good performance is achieved
7"
ABSTRACT,0.007312614259597806,"when we have a good prior on the test data, and the underlying model is identifiable.
8"
ABSTRACT,0.008226691042047532,"At the same time, we find new trade-offs. Training on datasets generated from
9"
ABSTRACT,0.009140767824497258,"different classes of causal models, unambiguously identifiable in isolation,
10"
ABSTRACT,0.010054844606946984,"improves the test generalization. Performance is still guaranteed, as the ambiguous
11"
ABSTRACT,0.010968921389396709,"cases resulting from the mixture of identifiable causal models are unlikely to occur
12"
ABSTRACT,0.011882998171846435,"(which we formally prove). Overall, our study finds that amortized causal discovery
13"
ABSTRACT,0.012797074954296161,"still needs to obey identifiability theory, but it also differs from classical methods
14"
ABSTRACT,0.013711151736745886,"in how the assumptions are formulated, trading more reliance on assumptions on
15"
ABSTRACT,0.014625228519195612,"the noise type for fewer hypotheses on the mechanisms.
16"
INTRODUCTION,0.015539305301645339,"1
Introduction
17"
INTRODUCTION,0.016453382084095063,"Causal discovery aims to uncover the underlying causal relationships between variables of a system
18"
INTRODUCTION,0.01736745886654479,"from pure observations, which is crucial for answering interventional and counterfactual queries when
19"
INTRODUCTION,0.018281535648994516,"experimentation is impractical or unfeasible [2, 3, 4]. Unfortunately, causal discovery is inherently
20"
INTRODUCTION,0.019195612431444242,"ill-posed [5]: unique identification of causal directions requires restrictive assumptions on the class
21"
INTRODUCTION,0.02010968921389397,"of structural causal models (SCMs) that generated the data [6, 7, 8]. These theoretical limitations
22"
INTRODUCTION,0.02102376599634369,"often render existing methods inapplicable, as the underlying assumptions are usually untestable or
23"
INTRODUCTION,0.021937842778793418,"difficult to verify in practice [9].
24"
