Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0011547344110854503,"Creating large-scale high-quality labeled datasets is a major bottleneck in
supervised machine learning workflows. Threshold-based auto-labeling (TBAL),
where validation data obtained from humans is used to find a confidence threshold
above which the data is machine-labeled, reduces reliance on manual annotation.
TBAL is emerging as a widely-used solution in practice. Given the long shelf-life
and diverse usage of the resulting datasets, understanding when the data obtained
by such auto-labeling systems can be relied on is crucial.
This is the first
work to analyze TBAL systems and derive sample complexity bounds on the
amount of human-labeled validation data required for guaranteeing the quality of
machine-labeled data. Our results provide two crucial insights. First, reasonable
chunks of unlabeled data can be automatically and accurately labeled by seemingly
bad models. Second, a hidden downside of TBAL systems is potentially prohibitive
validation data usage. Together, these insights describe the promise and pitfalls
of using such systems. We validate our theoretical guarantees with extensive
experiments on synthetic and real datasets1."
INTRODUCTION,0.0023094688221709007,"1
Introduction"
INTRODUCTION,0.003464203233256351,"Machine learning (ML) models with millions or even billions of parameters are used to obtain
state-of-the-art performance in many applications, e.g., object identification [53], machine
translation [63], and fraud detection [71]. Such large-scale models require training on large-scale
labeled datasets. As an outcome, the typical supervised ML workflow begins with the construction of
a large-scale high quality dataset. Datasets with up to millions of labeled data points have played a
pivotal role in the advancement of computer vision. However, collecting labeled data is an expensive
and time consuming process. A common approach is to rely on the services of crowdsourcing
platforms such as Amazon Mechanical Turk (AMT) to get groundtruth labels."
INTRODUCTION,0.004618937644341801,"Even with crowdsourcing, obtaining labels for the entire dataset is expensive. To reduce costs, data
labeling systems that partially rely on using a model’s predictions as labels have been developed.
Such systems date back to teacher-less training [21]. Modern examples include Amazon Sagemaker
Ground Truth [58] and others [61, 55, 2, 64]. These approaches can be broadly termed auto-labeling."
INTRODUCTION,0.005773672055427252,"Auto-labeling systems aim to label unlabeled data using predictions from ML models that are often
trained on small amounts of human labeled data which can produce incorrect labels. The shelf
life of datasets is longer than those of models, e.g., ImageNet continues to be a benchmark for
many computer vision tasks [14] fifteen years after its initial development. As a result, to reliably
train new models on auto-labeled datasets and deploy them, we need a thorough understanding of
how reliable the datasets output by these auto-labeling systems are. Unfortunately, many widely"
INTRODUCTION,0.006928406466512702,1https://github.com/harit7/TBAL
INTRODUCTION,0.008083140877598153,Bootstrap
INTRODUCTION,0.009237875288683603,Train Model
INTRODUCTION,0.010392609699769052,Labeled Data
INTRODUCTION,0.011547344110854504,"Unlabeled Data
Auto Label"
INTRODUCTION,0.012702078521939953,"Select Points for 
Human Labeling
Human Labeler"
INTRODUCTION,0.013856812933025405,Threshold Based Auto Labeling System
INTRODUCTION,0.015011547344110854,Seed Training Data
INTRODUCTION,0.016166281755196306,"Estimate Auto  
Labeling Region"
INTRODUCTION,0.017321016166281754,Validation Data
INTRODUCTION,0.018475750577367205,"(A)
(B)"
INTRODUCTION,0.019630484988452657,"(C)
(D)"
INTRODUCTION,0.020785219399538105,"Figure 1: High-level workflow threshold-based auto-labeling (TBAL). Box (B) shows the key component
estimating the auto-labeling region using validation data and auto-labeling points in it."
INTRODUCTION,0.021939953810623556,"used commercial auto-labeling systems [58, 55] are largely opaque with limited public information
on their functionality. It is therefore unclear whether the quality of the datasets obtained can be
trusted. To address this, we study the high level workflow of a popular threshold-based auto-labeling
(TBAL) system (see Figure 1). We emphasize that our goal is to understand such systems and their
performance—not to promote them as a superior alternative to other approaches. Our goal is:"
INTRODUCTION,0.023094688221709007,"Goal. Develop a fundamental understanding of TBAL systems. This is crucial since there is a
lack of theoretical understanding of the reliability of these systems despite their wide adoption."
INTRODUCTION,0.02424942263279446,"The TBAL systems we study (Figure 1) work iteratively. At a high level, in each iteration, the
system trains a model on currently available human labeled data and decides to label certain parts
of unlabeled data using the trained model by finding high-accuracy regions using validation data. It
then collects human labels on a small portion of unlabeled data that is deemed helpful for training the
current model in the next iteration. The validation data is created by sampling i.i.d. points from the
unlabeled pool and querying human labels for them. In addition to training data, the validation data
is a major driver of the cost and accuracy of auto-labeling and will be a key component in our study."
INTRODUCTION,0.025404157043879907,Our Contributions. We study TBAL systems (Figure 1) and make the following contributions:
INTRODUCTION,0.026558891454965358,"• Provide the first theoretical characterization of TBAL systems, developing tradeoffs between
the quantity of manually labeled data and the quantity and quality of auto-labeled data (Section 3)."
INTRODUCTION,0.02771362586605081,• Empirical results validating our theoretical understanding on real and synthetic data (Section 4).
INTRODUCTION,0.028868360277136258,"Our results reveal two important insights. Promisingly, even poor quality models are capable of
reliably labeling at least some data when we have access to sufficient validation data and a good
confidence function that can accurately quantify the confidence of a given model on any data point.
On the downside, in certain scenarios, the quantity of the validation data required to reach a certain
quantity and quality of auto-labeled data can be high."
THRESHOLD-BASED AUTO-LABELING ALGORITHM,0.03002309468822171,"2
Threshold-Based Auto-Labeling Algorithm"
THRESHOLD-BASED AUTO-LABELING ALGORITHM,0.03117782909930716,"We begin with the problem setup and describe the TBAL algorithm that is inspired by the commercial
systems [58]. Then we provide experiments and theoretical analysis shedding light on the pros and
cons of TBAL. We emphasize that TBAL is not our proposal and our goal is to understand the
effectiveness of such an auto-labeling system."
PROBLEM SETUP,0.03233256351039261,"2.1
Problem Setup"
PROBLEM SETUP,0.03348729792147806,"Notation.
Let the instance and label spaces be X and Y = {1, . . . , k}. We assume that there is
some deterministic but unknown function f ∗: X 7→Y that assigns true label y = f ∗(x) to any
x ∈X. We also assume that there is a noiseless oracle O that can provide the true label y ∈Y for
any given x ∈X. Let Xpool ⊆X denote a sufficiently large pool of unlabeled data to be labeled."
PROBLEM SETUP,0.03464203233256351,"The goal of an auto-labeling algorithm is to produce accurate labels ˜yi ∈Y for points xi ∈Xpool
while minimizing the number of queries to the oracle. Let [m] := {1, 2, . . . , m}, A ⊆[N] be the set
of indices of auto-labeled points, and Xpool(A) be these points. The auto-labeling error bE(Xpool(A))"
PROBLEM SETUP,0.03579676674364896,and the coverage bP(Xpool(A)) are defined as
PROBLEM SETUP,0.03695150115473441,bE(Xpool(A)) := 1 Na X
PROBLEM SETUP,0.03810623556581986,"i∈A
1(˜yi ̸= f ∗(xi)) and bP(Xpool(A)) := |A|"
PROBLEM SETUP,0.03926096997690531,N = Na
PROBLEM SETUP,0.04041570438799076,"N ,
(1)"
PROBLEM SETUP,0.04157043879907621,"where Na denotes the size of auto-labeled set A. TBAL algorithm aims to auto-label the dataset so
that bE(Xpool(A)) ≤ϵa while maximizing coverage bP(Xpool(A)) for any given ϵa ∈(0, 1)."
PROBLEM SETUP,0.042725173210161664,"Algorithm 1 Threshold-based Auto-Labeling (TBAL)
Input: Unlabeled pool Xpool,
auto labeling error
threshold ϵa, seed data size ns, batch size for active
query nb, labeled validation data pool Dval.
Output: Dout = {(xi, ˜yi) : ∀xi ∈Xpool}"
PROBLEM SETUP,0.04387990762124711,"1: X(1)
u
= Xpool; D(1)
val = Dval
2: D(1)
query = randomly_query_batch(X(1)
u , ns)"
PROBLEM SETUP,0.04503464203233257,"3: Remove queried points from X(1)
u
4: D(0)
train = ϕ; i = 1; Dout = D(1)
out = D(1)
query
5: while X(i)
u
̸= ϕ do
6:
D(i)
train = D(i−1)
train ∪D(i)
query
7:
ˆhi = empirical_risk_min(H, D(i)
train)"
PROBLEM SETUP,0.046189376443418015,"8:
ˆti = Estimate Threshold(X(i)
u , D(i)
val, ϵa, ˆhi, n0)"
PROBLEM SETUP,0.04734411085450346,"9:
D(i)
auto = {(x, ˆhi(x)) : x ∈X(i)
u , g(ˆhi, x) ≥ˆti}"
PROBLEM SETUP,0.04849884526558892,"10:
X(i+1)
u
= {x : x ∈X(i)
u , g(ˆhi, x) < ˆti}"
PROBLEM SETUP,0.049653579676674366,"11:
D(i+1)
val
= {(x, y): (x, y) ∈D(i)
val, g(ˆhi, x) < ˆti}"
PROBLEM SETUP,0.050808314087759814,"12:
D(i+1)
query = active_query_batch(ˆhi, X(i+1)
u
, nb)"
PROBLEM SETUP,0.05196304849884527,"13:
Remove queried points from X(i+1)
u
14:
Dout = Dout ∪D(i)
auto ∪D(i+1)
query
15:
i = i + 1
16: end while"
PROBLEM SETUP,0.053117782909930716,Algorithm 2 Estimate Threshold
PROBLEM SETUP,0.054272517321016164,"Input: X(i)
u , D(i)
val, ϵa, ˆhi, n0
Output: Threshold ˆti"
PROBLEM SETUP,0.05542725173210162,"1: Ti = {g(ˆhi, x) : (x, y) ∈D(i)
val}
2: for t ∈Ti do
3:
Nt = |{x ∈X(i)
v
: g(ˆhi, x) ≥t}|
4: end for
5: ˜Ti = {t : t ∈Ti, Nt ≥n0} ∪{∞}"
PROBLEM SETUP,0.05658198614318707,"6: ˆti = min{t ∈˜Ti : bEa(ˆhi, t|X(i)
v ) + C1ˆσi ≤ϵa}"
PROBLEM SETUP,0.057736720554272515,"Hypothesis
Class
and
Confidence
Function. A TBAL algorithm is given
a fixed hypothesis space H and a
confidence function g : H × X 7→T ⊆
R+ that quantifies the confidence of h ∈
H on any data point x ∈X. Confidence
functions include prediction probabilities
and margin scores. For example, when H
is a set of unit-norm homogeneous linear
classifiers, i.e.
hw(x) = sign(wT x)
with w
∈
{w
∈
Rd
:
||w||2
=
1}, a reasonable confidence function is
g(hw, x) = |wT x|."
PROBLEM SETUP,0.05889145496535797,"Note that the target f ∗might not
be in the hypothesis space H.
Our
analysis (Section 3) shows that the TBAL
algorithm can work well, i.e., accurately
label a reasonable fraction of unlabeled
data with simpler hypothesis classes that
do not contain the target hypothesis f ∗.
We illustrate this with a simple example
in Section 2.3 and Figure 2. Note as well
that the features x could be raw features
or representations from self-supervised
techniques, pre-trained models, etc. We
analyze TBAL in settings (i) with no
assumptions on the features and (ii) when
the features are linearly separable."
"DESCRIPTION OF THE ALGORITHM
THE
TBAL
ALGORITHM
IS
GIVEN
IN",0.06004618937644342,"2.2
Description of the algorithm
The
TBAL
algorithm
is
given
in
Algorithm 1. It starts with an unlabeled
pool Xpool and an auto-labeling error
threshold ϵ. For ease of exposition, the
algorithm is given the labeled validation
set Dval of size Nv separately.
In
practice, it is created by selecting points
at random from Xpool. The algorithm starts with an initial batch of ns random data points and obtains
oracle labels for these. The algorithm works in an iterative manner using the following steps."
"DESCRIPTION OF THE ALGORITHM
THE
TBAL
ALGORITHM
IS
GIVEN
IN",0.061200923787528866,"1. Oracle labeled data obtained in each iteration i is added to the training pool D(i)
train. It is used to
train a model ˆhi by performing empirical risk minimization (ERM).
2. Find the region where ˆhi can auto-label accurately. The algorithm estimates a threshold ˆti on the
confidence score above which it can auto-label with the desired auto-labeling accuracy on the
validation data (see Algorithm 2). Thresholds that have too little validation data are discarded,
since their estimates are unreliable. The minimum threshold is found such that the sum of the
estimated error bEa(ˆhi, t|X(i)
v ) (see eq. (2)) and an upper confidence bound using the standard
deviation of the estimated error, is at most the given auto-labeling error threshold."
"DESCRIPTION OF THE ALGORITHM
THE
TBAL
ALGORITHM
IS
GIVEN
IN",0.06235565819861432,"3. Auto-label the points in the pool, X(i)
u , which have confidence g(ˆhi, x) > ˆti. These are added
to the set Dout and removed from the unlabeled pool. The validation points that fall in the
auto-labeled region are also removed from the validation set so that in the next round the validation"
"DESCRIPTION OF THE ALGORITHM
THE
TBAL
ALGORITHM
IS
GIVEN
IN",0.06351039260969978,"TBAL Output
AL+SC Output"
"DESCRIPTION OF THE ALGORITHM
THE
TBAL
ALGORITHM
IS
GIVEN
IN",0.06466512702078522,Queried +ve
"DESCRIPTION OF THE ALGORITHM
THE
TBAL
ALGORITHM
IS
GIVEN
IN",0.06581986143187067,Queried -ve
"DESCRIPTION OF THE ALGORITHM
THE
TBAL
ALGORITHM
IS
GIVEN
IN",0.06697459584295612,Auto-Labeled +ve
"DESCRIPTION OF THE ALGORITHM
THE
TBAL
ALGORITHM
IS
GIVEN
IN",0.06812933025404157,Auto-Labeled -ve
"DESCRIPTION OF THE ALGORITHM
THE
TBAL
ALGORITHM
IS
GIVEN
IN",0.06928406466512702,Unlabeled
"DESCRIPTION OF THE ALGORITHM
THE
TBAL
ALGORITHM
IS
GIVEN
IN",0.07043879907621248,(a) TBAL and AL+SC on Circles dataset 200 400 600 800 1000 1200
"DESCRIPTION OF THE ALGORITHM
THE
TBAL
ALGORITHM
IS
GIVEN
IN",0.07159353348729793,# Max Training Samples 0 20 40 60 80 100
"DESCRIPTION OF THE ALGORITHM
THE
TBAL
ALGORITHM
IS
GIVEN
IN",0.07274826789838337,Coverage (%)
"DESCRIPTION OF THE ALGORITHM
THE
TBAL
ALGORITHM
IS
GIVEN
IN",0.07390300230946882,Auto-Labeling Error (%) 20 40 60 80 100 200 400 600 800 1000 1200
"DESCRIPTION OF THE ALGORITHM
THE
TBAL
ALGORITHM
IS
GIVEN
IN",0.07505773672055427,# Max Training Samples 0 2 4
"DESCRIPTION OF THE ALGORITHM
THE
TBAL
ALGORITHM
IS
GIVEN
IN",0.07621247113163972,"TBAL 
AL
AL+SC
PL+SC
PL
a"
"DESCRIPTION OF THE ALGORITHM
THE
TBAL
ALGORITHM
IS
GIVEN
IN",0.07736720554272518,(b) Auto labeling performance of various methods
"DESCRIPTION OF THE ALGORITHM
THE
TBAL
ALGORITHM
IS
GIVEN
IN",0.07852193995381063,"Figure 2: Comparison of TBAL, active learning (AL) followed by selective classification (AL+SC) and passive
learning (PL) followed b selective classification (PL+SC) on the Circles dataset (Sec. 2.3) using linear classifiers
and confidence functions. (a) Samples auto-labeled, queried, and left unlabeled. (b) The auto-labeling error and
coverage achieved by the algorithms. (50 trials.)"
"DESCRIPTION OF THE ALGORITHM
THE
TBAL
ALGORITHM
IS
GIVEN
IN",0.07967667436489607,"set and the unlabeled pool are from the same region and the same distribution. Removing the
auto-labeled points from Xpool is a crucial step in the TBAL algorithm that enables it to focus only
on the remaining unlabeled regions in the next iteration."
"DESCRIPTION OF THE ALGORITHM
THE
TBAL
ALGORITHM
IS
GIVEN
IN",0.08083140877598152,"4. If there are points left in Xpool, the algorithm selects points using some active querying strategy
[57], obtains human labels for them, and adds them to the training pool. Note that the auto-labeled
data is not added into the training set."
"DESCRIPTION OF THE ALGORITHM
THE
TBAL
ALGORITHM
IS
GIVEN
IN",0.08198614318706697,"This process continues until there are no data points left to be labeled. The algorithm then outputs the
labeled dataset, which is a mixture of human- and machine-labeled points."
"DESCRIPTION OF THE ALGORITHM
THE
TBAL
ALGORITHM
IS
GIVEN
IN",0.08314087759815242,"2.3
Comparison between Auto-Labeling, Active Learning and Selective Classification"
"DESCRIPTION OF THE ALGORITHM
THE
TBAL
ALGORITHM
IS
GIVEN
IN",0.08429561200923788,What is the difference between TBAL and methods such as active learning and selective classification?
"DESCRIPTION OF THE ALGORITHM
THE
TBAL
ALGORITHM
IS
GIVEN
IN",0.08545034642032333,"Active learning. The goal of active learning [57] (AL) is to find the best model in hypothesis class H
by training with less labeled data compared to passive learning. This is usually achieved by obtaining
labels for the most informative points. Note that the end goal is to output a model from the function
class whose predictions on new data as good as the best model in the function class could."
"DESCRIPTION OF THE ALGORITHM
THE
TBAL
ALGORITHM
IS
GIVEN
IN",0.08660508083140878,"Selective Classification. The goal of selective classification (SC) [17] is to find the best combination
of the hypothesis and selection functions to minimize error and maximize coverage of selection
regions."
"DESCRIPTION OF THE ALGORITHM
THE
TBAL
ALGORITHM
IS
GIVEN
IN",0.08775981524249422,"Auto-Labeling. The output of an auto-labeling procedure is a labeled dataset (not a model). When the
hypothesis class is of lower complexity, it is often not possible to find a good classifier. The goal
of an auto-labeling system is to label as much of the unlabeled data as accurately as possible with a
given function class and with limited labeled data from humans."
"DESCRIPTION OF THE ALGORITHM
THE
TBAL
ALGORITHM
IS
GIVEN
IN",0.08891454965357967,"Is active learning alone enough to auto-label data? AL has been found to be effective in reducing
the number of labels needed to learn versus passive learning, particularly in low-noise cases [28].
Doing auto-labeling using AL followed by SC may be effective in such settings. However, in
real-world scenarios, noise levels may be higher and the hypothesis class could be misspecified. In
these instances, using the model learned through active learning to automatically label all data may
result in a high number of errors."
"DESCRIPTION OF THE ALGORITHM
THE
TBAL
ALGORITHM
IS
GIVEN
IN",0.09006928406466513,"We illustrate this difference between AL, SC, and auto-labeling through an example. Suppose the
data consists of two concentric circles, one for each class, with the same number of points per class
(Figure 2(a)). This setting is not linearly separable. We run TBAL, AL, and AL followed by SC
with an error tolerance of ϵa = 1% and linear classifiers and confidence functions. The results are
shown in Figure 2. Note that the multiple optimal linear classifiers will all incur an error of 50%. AL
algorithms can only output models that make at least 50% error. If we naively use the output model
for auto-labeling, we can obtain near full coverage but incur around 50% auto-labeling error. If we
use the model output by AL with threshold-based SC, labeling error is reduced. However, it can only
label ≈25% of the unlabeled data. In contrast, TBAL can label almost all of the data accurately
(close to 100% coverage) with less than 1% auto-labeling error."
THEORETICAL ANALYSIS,0.09122401847575058,"3
Theoretical Analysis"
THEORETICAL ANALYSIS,0.09237875288683603,"The performance of the TBAL (Algorithm 1) depends on many factors including the hypothesis class,
the accuracy of the confidence function, the data sampling strategy, and the size of the training and
validation data. In particular, the amount of validation data plays a critical role in determining the
accuracy of the confidence function, which in turn affects the accuracy and coverage."
THEORETICAL ANALYSIS,0.09353348729792148,"We derive bounds on the auto-labeling error and the coverage for Algorithm 1 in terms of the size of
the validation data, the number of auto-labeled points N (k)
a , and the Rademacher complexity of the
extended hypothesis class HT,g induced by the confidence function g. Our first result, Theorem (3.2),
applies to general settings and makes no assumptions on the particular form of the hypothesis class,
the data distribution, and the confidence function. We then instantiate and specialize the results for a
specific setting in Section 3.1. We introduce some notation to aid in stating our results,"
THEORETICAL ANALYSIS,0.09468822170900693,"Definition 3.1. (Hypothesis Class with Abstain) The function g, set T and H induce an extended
hypothesis class HT,g := H × T. Any function (h, t) ∈HT,g is defined as (h, t)(x) = h(x) if
g(h, x) ≥t and ⊥otherwise. Here (h, t)(x) =⊥means (h, t) abstains in classifying the point x."
THEORETICAL ANALYSIS,0.09584295612009237,"Error Definitions. Let S ⊆X denote a non-empty sub-region of X and S ⊆S be a finite set of
i.i.d. samples from S. The subset S(h, t) ⊆S denotes the regions where (h, t) does not abstain
i.e. S(h, t) := {x ∈S : (h, t)(x) ̸=⊥}, and the conditional probability mass associated with it is
P(h, t|S) := P(S(h, t)|S), and its empirical counterpart bP(h, t|S) := |S(h, t)|/|S|. We use P(S) to
denote the probability mass of set S and P(S′|S) for the conditional probability of subset S′ ⊆S
given S. The population level and empirical auto-labeling errors are defined as follows:"
THEORETICAL ANALYSIS,0.09699769053117784,"Ea(h, t|S) := Ex|S[ℓ⊥
0−1(h, t, x, y)]/P(h, t|S),
bEa(h, t|S) := (P"
THEORETICAL ANALYSIS,0.09815242494226328,"xi∈S(h,t) ℓ⊥
0−1(h, t, xi, yi))/|S(h, t)|
(2)"
THEORETICAL ANALYSIS,0.09930715935334873,"Here ℓ⊥
0−1(h, t, x, y) := ℓ0−1(h, x, y) · ℓ⊥(h, t, x) with ℓ0−1(h, x, y) := 1(h(x) ̸= y), and
ℓ⊥(h, t, x) := 1(g(h, x) ≥t)."
