Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.000992063492063492,"Researchers have reported high decoding accuracy (>95%) using non-invasive
1"
ABSTRACT,0.001984126984126984,"Electroencephalogram (EEG) signals for brain-computer interface (BCI) decod-
2"
ABSTRACT,0.002976190476190476,"ing tasks like image decoding, emotion recognition, auditory spatial attention
3"
ABSTRACT,0.003968253968253968,"detection, etc. Since these EEG data were usually collected with well-designed
4"
ABSTRACT,0.00496031746031746,"paradigms in labs, the reliability and robustness of the corresponding decoding
5"
ABSTRACT,0.005952380952380952,"methods were doubted by some researchers, and they argued that such decoding
6"
ABSTRACT,0.006944444444444444,"accuracy was overestimated due to the inherent temporal autocorrelation of EEG
7"
ABSTRACT,0.007936507936507936,"signals. However, the coupling between the stimulus-driven neural responses and
8"
ABSTRACT,0.008928571428571428,"the EEG temporal autocorrelations makes it difﬁcult to conﬁrm whether this over-
9"
ABSTRACT,0.00992063492063492,"estimation exists in truth. Furthermore, the underlying pitfalls behind overesti-
10"
ABSTRACT,0.010912698412698412,"mated decoding accuracy have not been fully explained due to a lack of appro-
11"
ABSTRACT,0.011904761904761904,"priate formulation. In this work, we formulate the pitfall in various EEG decod-
12"
ABSTRACT,0.012896825396825396,"ing tasks in a uniﬁed framework. EEG data were recorded from watermelons
13"
ABSTRACT,0.013888888888888888,"to remove stimulus-driven neural responses. Labels were assigned to continuous
14"
ABSTRACT,0.01488095238095238,"EEG according to the experimental design for EEG recording of several typical
15"
ABSTRACT,0.015873015873015872,"datasets, and then the decoding methods were conducted. The results showed the
16"
ABSTRACT,0.016865079365079364,"label can be successfully decoded as long as continuous EEG data with the same
17"
ABSTRACT,0.017857142857142856,"label were split into training and test sets. Further analysis indicated that high
18"
ABSTRACT,0.018849206349206348,"accuracy of various BCI decoding tasks could be achieved by associating labels
19"
ABSTRACT,0.01984126984126984,"with EEG intrinsic temporal autocorrelation features. These results underscore
20"
ABSTRACT,0.020833333333333332,"the importance of choosing the right experimental designs and data splits in BCI
21"
ABSTRACT,0.021825396825396824,"decoding tasks to prevent inﬂated accuracies due to EEG temporal correlations.
22"
ABSTRACT,0.022817460317460316,"The watermelon EEG dataset collected in this work can be obtained at Zenodo:
23"
ABSTRACT,0.023809523809523808,"https://zenodo.org/records/11238929, and all the codes of this work can
24"
ABSTRACT,0.0248015873015873,"be obtained in the supplementary materials.
25"
INTRODUCTION AND RELATED WORKS,0.025793650793650792,"1
Introduction and related works
26"
INTRODUCTION AND RELATED WORKS,0.026785714285714284,"A brain-computer interface (BCI) is a type of human-machine interaction that bridges a pathway
27"
INTRODUCTION AND RELATED WORKS,0.027777777777777776,"from the brain to external devices [1]. Electroencephalogram (EEG) has emerged as a valuable tool
28"
INTRODUCTION AND RELATED WORKS,0.028769841269841268,"for BCI because of its high time resolution, low cost, and good portability [2], and algorithms of
29"
INTRODUCTION AND RELATED WORKS,0.02976190476190476,"neural decoding from EEG signals play a role in its practical applications. Recently, deep learning
30"
INTRODUCTION AND RELATED WORKS,0.030753968253968252,"methods have been developed widely for various EEG decoding tasks, and high decoding accuracy
31"
INTRODUCTION AND RELATED WORKS,0.031746031746031744,"was reported. For example, in the task of decoding image classes with EEG recordings, when
32"
INTRODUCTION AND RELATED WORKS,0.03273809523809524,"subjects were required to watch images of different classes, a decoding accuracy of 82.90% was
33"
INTRODUCTION AND RELATED WORKS,0.03373015873015873,"reported for the 40-way classiﬁcation by Spampinato et al. [3]. With their EEG dataset, subsequent
34"
INTRODUCTION AND RELATED WORKS,0.034722222222222224,"studies reported a higher decoding accuracy (98.30%, [4]), high performance on image retrieval, and
35"
INTRODUCTION AND RELATED WORKS,0.03571428571428571,"even image generation from EEG [5, 6, 7].
36"
INTRODUCTION AND RELATED WORKS,0.03670634920634921,"However, it remains unclear what kind of EEG features are learned by the DNN-based models. Some
37"
INTRODUCTION AND RELATED WORKS,0.037698412698412696,"researchers have posited that the high decoding accuracy on the image-evoked EEG dataset was
38"
INTRODUCTION AND RELATED WORKS,0.03869047619047619,"attributed to the block-design paradigm during EEG recording [8, 9, 10], in which 50 images with the
39"
INTRODUCTION AND RELATED WORKS,0.03968253968253968,"same class label were presented to the subject continuously in one block, and the 40 image-classes
40"
INTRODUCTION AND RELATED WORKS,0.040674603174603176,"were presented as 40 separate blocks. Due to the existence of temporal autocorrelation of EEG
41"
INTRODUCTION AND RELATED WORKS,0.041666666666666664,"signals, i.e., the temporally nearby data is more similar than the temporally distal [11, 12, 13, 14],
42"
INTRODUCTION AND RELATED WORKS,0.04265873015873016,"the models could learn the block-related features rather than the image-related.
43"
INTRODUCTION AND RELATED WORKS,0.04365079365079365,"To verify their concerns, Li et al. [8] recorded EEG with two experimental designs: block design
44"
INTRODUCTION AND RELATED WORKS,0.044642857142857144,"and rapid-event design. For the rapid-event design, images across the 40 classes were presented
45"
INTRODUCTION AND RELATED WORKS,0.04563492063492063,"alternately and randomly. When the same DNN model was used, it was found that the decoding
46"
INTRODUCTION AND RELATED WORKS,0.04662698412698413,"accuracy was close to Spampinato et al. [3] with the block-design EEG data, but it was dramati-
47"
INTRODUCTION AND RELATED WORKS,0.047619047619047616,"cally decreased to the chance-level (2.50%) with the rapid-event design data. Subsequent work also
48"
INTRODUCTION AND RELATED WORKS,0.04861111111111111,"conﬁrmed the low decoding accuracy for EEG recorded with rapid-event design [9, 10]. However,
49"
