Section,Section Appearance Order,Paragraph
ABSTRACT,0.0033783783783783786,Abstract
ABSTRACT,0.006756756756756757,"Oversmoothing in Graph Neural Networks (GNNs) refers to the phenomenon
where increasing network depth leads to homogeneous node representations.
While previous work has established that Graph Convolutional Networks (GCNs)
exponentially lose expressive power, it remains controversial whether the graph
attention mechanism can mitigate oversmoothing. In this work, we provide a
definitive answer to this question, by viewing attention-based GNNs as nonlinear
time-varying dynamical systems and incorporating tools and techniques from the
theory of products of inhomogeneous matrices and the joint spectral radius. We
establish that, contrary to popular belief, the graph attention mechanism cannot
prevent oversmoothing and loses expressive power exponentially. The proposed
framework extends the existing results on oversmoothing for symmetric GCNs
to a significantly broader class of GNN models, including random walk GCNs,
Graph Attention Networks (GATs) and (graph) transformers. In particular, our
analysis accounts for asymmetric, state-dependent and time-varying aggregation
operators and a wide range of common nonlinear activation functions, such as
ReLU, LeakyReLU, GELU and SiLU."
INTRODUCTION,0.010135135135135136,"1
Introduction"
INTRODUCTION,0.013513513513513514,"Graph neural networks (GNNs) have emerged as a powerful framework for learning with graph-
structured data [1–7]. Most GNN models follow the message-passing paradigm [8], where the
representation of each node is computed by recursively aggregating and transforming the representa-
tions of its neighboring nodes."
INTRODUCTION,0.016891891891891893,"One notable drawback of repeated message-passing is oversmoothing, which refers to the phenomenon
that stacking message-passing GNN layers makes node representations of the same connected
component converge to the same vector [6, 9–14]. As a result, most GNNs used in practice remain
relatively shallow and often only have few layers [6, 7, 15]. On the theory side, while previous works
have shown that the symmetric Graph Convolution Networks (GCNs) with ReLU and LeakyReLU
nonlinearities exponentially lose expressive power, analyzing the oversmoothing phenomenon in
other types of GNNs is still an open question [10, 11]. In particular, the question of whether the
graph attention mechanism can prevent oversmoothing has not been settled yet. Motivated by the
capacity of graph attention to distinguish the importance of different edges in the graph, some works
claim that oversmoothing is alleviated in Graph Attention Networks (GATs), heuristically crediting
to GATs’ ability to learn adaptive node-wise aggregation operators via the attention mechanism [16].
On the other hand, it has been empirically observed that similar to the case of GCNs, oversmoothing
seems inevitable for attention-based GNNs such as GATs or (graph) transformers [14, 17]."
INTRODUCTION,0.02027027027027027,"In this work, we provide a definitive answer to this question — attention-based GNNs also lose
expressive power exponentially, albeit potentially at a slower exponential rate compared to GCNs.
Given that attention-based GNNs can be viewed as nonlinear time-varying dynamical systems, our
analysis is built on the theory of products of inhomogeneous matrices [18, 19] and the concept
of joint spectral radius [20], as these methods have been long proved effective in the analysis of"
INTRODUCTION,0.02364864864864865,Demystifying Oversmoothing in Attention-Based Graph Neural Networks
INTRODUCTION,0.02702702702702703,"time-inhomogeneous markov chains and ergodicity of dynamical systems [18, 19, 21]. Our approach
generalizes the existing results on oversmoothing for symmetric GCNs to a significantly broader
class of GNN models with asymmetric, state-dependent and time-varying aggregation operators
and nonlinear activation functions under general conditions. In particular, our analysis accounts for
asymmetric, state-dependent and time-varying aggregation operators and a wide range of common
nonlinearities such as ReLU, LeakyReLU, and even non-monotone ones like GELU and SiLU."
IMPLEMENTATION/METHODS,0.030405405405405407,"2
Problem Setup"
IMPLEMENTATION/METHODS,0.033783783783783786,"2.1
Graph attention mechanism and attention-based GNNs"
