Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.001282051282051282,"Sequential training from task to task is becoming one of the major objects in deep
learning applications such as continual learning and transfer learning. Nevertheless,
it remains unclear under what conditions the trained model’s performance improves
or deteriorates. To deepen our understanding of sequential training, this study
provides a theoretical analysis of generalization performance in a solvable case of
continual learning. We consider neural networks in the neural tangent kernel (NTK)
regime that continually learn target functions from task to task, and investigate
the generalization by using an established statistical mechanical analysis of kernel
ridge-less regression. We ﬁrst show characteristic transitions from positive to
negative transfer. More similar targets above a speciﬁc critical value can achieve
positive knowledge transfer for the subsequent task while catastrophic forgetting
occurs even with very similar targets. Next, we investigate a variant of continual
learning which supposes the same target function in multiple tasks. Even for the
same target, the trained model shows some transfer and forgetting depending on the
sample size of each task. We can guarantee that the generalization error monotoni-
cally decreases from task to task for equal sample sizes while unbalanced sample
sizes deteriorate the generalization. We respectively refer to these improvement and
deterioration as self-knowledge transfer and forgetting, and empirically conﬁrm
them in realistic training of deep neural networks as well."
INTRODUCTION,0.002564102564102564,"1
INTRODUCTION"
INTRODUCTION,0.0038461538461538464,"As deep learning develops for a single task, it enables us to work on more complicated learning frame-
works where the model is sequentially trained on multiple tasks, e.g., transfer learning, curriculum
learning, and continual learning. Continual learning deals with the situation in which the learning
machine cannot access previous data due to memory constraints or privacy reasons. It has attracted
much attention due to the demand on applications, and fundamental understanding and algorithms
are being explored (Hadsell et al., 2020). One well-known phenomenon is catastrophic forgetting;
when a network is trained between different tasks, naive training cannot maintain performance on the
previous task (McCloskey & Cohen, 1989; Kirkpatrick et al., 2017)."
INTRODUCTION,0.005128205128205128,"It remains unclear in most cases under what conditions a trained model’s performance improves
or deteriorates in sequential training. Understanding its generalization performance is still limited
(Pentina & Lampert, 2014; Bennani et al., 2020; Lee et al., 2021). For single-task training, however,
many empirical and theoretical studies have succeeded in characterizing generalization performance
in over-parameterized neural networks and given quantitative evaluation on sample-size dependencies,
e.g., double descent (Nakkiran et al., 2020). For further development, it will be helpful to extend the
analyses on single-task training to sequential training on multiple tasks and give theoretical backing."
INTRODUCTION,0.00641025641025641,"To deepen our understanding of sequential training, this study shows a theoretical analysis of its
generalization error in the neural tangent kernel (NTK) regime. In more details, we consider the
NTK formulation of continual learning proposed by Bennani et al. (2020); Doan et al. (2021). By
extending a statistical mechanical analysis of kernel ridge-less regression, we investigate learning
curves, i.e., the dependence of generalization error on sample size or number of tasks. The analysis"
INTRODUCTION,0.007692307692307693,Published as a conference paper at ICLR 2022
INTRODUCTION,0.008974358974358974,"focuses on the continual learning with explicit task boundaries. The model learns data generated
by similar teacher functions, which we call target functions, from one task to another. All input
samples are generated from the same distribution in an i.i.d. manner, and each task has output samples
(labels) generated by its own target function. Our main contributions are summarized as follows.
First, we revealed characteristic transitions from negative to positive transfer depending on the target
similarity. More similar targets above a speciﬁc critical value can achieve positive knowledge transfer
(i.e., better prediction on the subsequent task than training without the ﬁrst task). Compared to
this, backward transfer (i.e., prediction on the previous task) has a large critical value, and subtle
dissimilarity between targets causes negative transfer. The error can rapidly increase, which clariﬁes
that catastrophic forgetting is literally catastrophic (Section 4.1)."
INTRODUCTION,0.010256410256410256,"Second, we considered a variant of continual learning, that is, learning of the same target function
in multiple tasks. Even for the same target function, the trained model’s performance improves
or deteriorates in a non-monotonic way. This depends on the sample size of each task; for equal
sample sizes, we can guarantee that the generalization error monotonically decreases from task to task
(Section 4.2 for two tasks & Section 5 for more tasks). Unbalanced sample sizes, however, deteriorates
generalization (Section 4.3). We refer to these improvement and deterioration of generalization as
self-knowledge transfer and forgetting, respectively. Finally, we empirically conﬁrmed that self-
knowledge transfer and forgetting actually appear in the realistic training of multi-layer perceptron
(MLP) and ResNet-18 (Section 5.1). Thus, this study sheds light on fundamental understanding and
the universal behavior of sequential training in over-parameterized learning machines."
RELATED WORK,0.011538461538461539,"2
RELATED WORK"
