Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0023094688221709007,"1In clustering, the choice of initial centers is crucial for the convergence speed of
the algorithms. We propose a new initialization scheme for the k-median problem
in the general metric space (e.g., discrete space induced by graphs), based on
the construction of metric embedding tree structure of the data. We propose a
novel and efficient search algorithm which finds initial centers that can be used
subsequently for the local search algorithm. The so-called HST initialization
method can produce initial centers achieving lower error than those from another
popular method k-median++, also with higher efficiency when k is not too small.
Our HST initialization are then extended to the setting of differential privacy
(DP) to generate private initial centers. We show that the error of applying DP
local search followed by our private HST initialization improves prior results on
the approximation error, and approaches the lower bound within a small factor.
Experiments demonstrate the effectiveness of our proposed methods."
INTRODUCTION,0.004618937644341801,"1
Introduction"
INTRODUCTION,0.006928406466512702,"Clustering is an important classic problem in unsupervised learning that has been widely studied in
statistics, data mining, machine learning, network analysis, etc. (Punj and Stewart, 1983; Dhillon
and Modha, 2001; Banerjee et al., 2005; Berkhin, 2006; Abbasi and Younis, 2007). The objective of
clustering is to divide a set of data points into clusters, such that items within the same cluster exhibit
similarities, while those in different clusters distinctly differ. This is concretely measured by the sum
of distances (or squared distances) between each point to its nearest cluster center. One conventional
notion to evaluate a clustering algorithms is: with high probability, cost(C, D) ≤γOPTk(D) + ξ,
where C is the centers output by the algorithm and cost(C, D) is a cost function defined for C on
dataset D. OPTk(D) is the cost of optimal clustering solution on D. When everything is clear from
context, we will use OPT for short. Here, γ is called multiplicative error and ξ is called additive
error. Alternatively, we may also use the notion of expected cost."
INTRODUCTION,0.009237875288683603,"Two popularly studied clustering problems are 1) the k-median problem, and 2) the k-means problem.
The origin of k-median dates back to the 1970’s (e.g., Kaufman et al. (1977)), where one tries to find
the best location of facilities that minimizes the cost measured by the distance between clients and
facilities. Formally, given a set of points D and a distance measure, the goal is to find k center points
minimizing the sum of absolute distances of each sample point to its nearest center. In k-means, the
objective is to minimize the sum of squared distances instead. There are two general frameworks
for clustering. One heuristic is the Lloyd’s algorithm (Lloyd, 1982), which is built upon an iterative
distortion minimization approach. In most cases, this method can only be applied to numerical data,"
INTRODUCTION,0.011547344110854504,1This work was initially submitted in 2020 and was made public in 2021.
INTRODUCTION,0.013856812933025405,"typically in the (continuous) Euclidean space. Clustering in general metric spaces (discrete spaces) is
also important and useful when dealing with, for example, the graph data, where Lloyd’s method
is no longer applicable. A more generally applicable approach, the local search method (Kanungo
et al., 2002; Arya et al., 2004), has also been widely studied. It iteratively finds the optimal swap
between the center set and non-center data points to keep lowering the cost. Local search can achieve
a constant approximation (i.e., γ = O(1)) to the optimal solution (Arya et al., 2004). For general
metric spaces, the state of the art approximation ratio is 2.675 for k-median Byrka et al. (2015) and
6.357 for k-means Ahmadian et al. (2017)."
INTRODUCTION,0.016166281755196306,"Initialization of cluster centers. It is well-known that the performance of clustering can be highly
sensitive to initialization. If clustering starts with good initial centers with small approximation error,
the algorithm may use fewer iterations to find a better solution. The k-median++ algorithm (Arthur
and Vassilvitskii, 2007) iteratively selects k data points as initial centers, favoring distant points in a
probabilistic way, such that the initial centers tend to be well spread over the data points (i.e., over
different clusters). The produced initial centers are proved to have O(log k) multiplicative error.
Follow-up works further improved its efficiency and scalability, e.g., Bahmani et al. (2012); Bachem
et al. (2016); Lattanzi and Sohler (2019); Choo et al. (2020); Cohen-Addad et al. (2021); Grunau
et al. (2023); Fan et al. (2023). In this work, we propose a new initialization framework, called HST
initialization, which is built upon a novel search algorithm on metric embedding trees constructed
from the data. Our method achieves improved approximation error compared with k-median++.
Moreover, importantly, our initialization scheme can be conveniently combined with the notion of
differential privacy (DP) to protect the data privacy."
INTRODUCTION,0.018475750577367205,"Clustering with Differential Privacy. The concept of differential privacy (Dwork, 2006; McSherry
and Talwar, 2007) has been popular to rigorously define and resolve the problem of keeping useful
information for machine learning models, while protecting privacy for each individual. DP has been
adopted to a variety of algorithms and tasks, such as regression, classification, principle component
analysis, graph distance release, matrix completion, optimization, and deep learning (Chaudhuri and
Monteleoni, 2008; Chaudhuri et al., 2011; Abadi et al., 2016; Ge et al., 2018; Wei et al., 2020; Dong
et al., 2022; Fan and Li, 2022; Fan et al., 2022; Fang et al., 2023; Li and Li, 2023a,b). Private k-means
clustering has also been widely studied, e.g., Feldman et al. (2009); Nock et al. (2016); Feldman
et al. (2017), mostly in the continuous Euclidean space. Balcan et al. (2017) considered identifying a
good candidate set (in a private manner) of centers before applying private local search, which yields
O(log3 n) multiplicative error and O((k2 + d) log5 n) additive error. Later on, the private Euclidean
k-means error ais further improved by Stemmer and Kaplan (2018), with more advanced candidate
set selection. Huang and Liu (2018) gave an optimal algorithm in terms of minimizing Wasserstein
distance under some data separability condition."
INTRODUCTION,0.020785219399538105,"For private k-median clustering, Feldman et al. (2009); Ghazi et al. (2020) considered the problem
in high dimensional Euclidean space. However, it is rather difficult to extend their analysis to more
general metrics in discrete spaces (e.g., on graphs). The strategy of Balcan et al. (2017) to form a
candidate center set could as well be adopted to k-median, which leads to O(log3/2 n) multiplicative
error and O((k2 + d) log3 n) additive error in the Euclidean space where n is the sample size. In
discrete space, Gupta et al. (2010) proposed a private method for the classical local search heuristic,
which applies to both k-medians and k-means. To cast privacy on each swapping step, the authors
applied the exponential mechanism of McSherry and Talwar (2007). Their method produced an
ϵ-differentially private solution with cost 6OPT + O(△k2 log2 n/ϵ), where △is the diameter of
the point set. In this work, we will show that our proposed HST initialization can improve the DP
local search for k-median of Gupta et al. (2010) in terms of both approximation error and efficiency.
Stemmer and Kaplan (2018); Jones et al. (2021) proposed (ϵ, δ)-differentially private solution also
with constant multiplicative error but smaller additive error."
