Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0018587360594795538,"Large language models (LMs) such as GPT-3 have the surprising ability to do
in-context learning, where the model learns to do a downstream task simply by
conditioning on a prompt consisting of input-output examples. The LM learns
from these examples without being explicitly pretrained to learn. Thus, it is unclear
what enables in-context learning. In this paper, we study how in-context learning
can emerge when pretraining documents have long-range coherence. Here, the
LM must infer a latent document-level concept to generate coherent next tokens
during pretraining. At test time, in-context learning occurs when the LM also
infers a shared latent concept between examples in a prompt. We prove when this
occurs despite a distribution mismatch between prompts and pretraining data in
a setting where the pretraining distribution is a mixture of HMMs. In contrast to
messy large-scale datasets used to train LMs capable of in-context learning, we
generate a small-scale synthetic dataset (GINC) where Transformers and LSTMs
both exhibit in-context learning1. Beyond the theory, experiments on GINC exhibit
large-scale real-world phenomena including improved in-context performance with
model scaling (despite the same pretraining loss), sensitivity to example order, and
instances where zero-shot is better than few-shot in-context learning."
INTRODUCTION,0.0037174721189591076,"1
INTRODUCTION"
INTRODUCTION,0.0055762081784386614,"Large language models (LMs) such as GPT-3 (Brown et al., 2020; Lieber et al., 2021; Wang &
Komatsuzaki, 2021; Radford et al., 2019) are pretrained on massive text corpora to predict the next
word given previous words. They demonstrate the surprising ability to do in-context learning, where an
LM “learns” to do a task simply by conditioning on a prompt containing input-output pairs, achieving
SOTA results on LAMBADA (Paperno et al., 2016) and TriviaQA (Joshi et al., 2017) tasks (18%
and 3% over previous SOTA (Brown et al., 2020)). For example, consider the task of predicting
nationalities from names. A prompt (Figure 1) is constructed by concatenating independent “training”
examples (e.g., “Albert Einstein was German”) followed by a “test example” (“Marie Curie was”).
Conditioning on this prompt, GPT-3 places the largest probability on the correct output"
INTRODUCTION,0.007434944237918215,p(“Polish”|“Albert Einstein was German \n Mahatma Gandhi was Indian \n Marie Curie was”)
INTRODUCTION,0.00929368029739777,"by inferring the task from examples. Intruigingly, GPT-3 was not explicitly pretrained to learn from
examples, and the distribution of prompts (which concatenate independent examples) is quite different
from natural language. Our understanding of in-context learning is limited since (i) real pretraining
data is messy and (ii) in-context learning has so far required large-scale datasets and models."
INTRODUCTION,0.011152416356877323,"In this paper, we introduce a simple pretraining distribution where in-context learning emerges.
To generate a document, we ﬁrst draw a latent concept θ, which parameterizes the transitions of a
Hidden Markov Model (HMM) (Baum & Petrie, 1966), then sample a sequence of tokens from the
HMM (Figure 9). This latent variable structure is common in topic models such as LDA (Blei et al.,
2003; Gruber et al., 2007). During pretraining, the LM must infer the latent concept across multiple
sentences to generate coherent continuations. When conditioning on a prompt, in-context learning
occurs when the LM also infers a shared prompt concept across examples to make a prediction. We
assume the LM ﬁts the pretraining distribution p exactly with enough data and expressivity, so that
the question of in-context learning becomes characterizing the conditional distribution of completions"
INTRODUCTION,0.013011152416356878,"1The code, data, and experiments are located on GitHub and CodaLab."
INTRODUCTION,0.01486988847583643,Published as a conference paper at ICLR 2022
INTRODUCTION,0.016728624535315983,"Figure 1: In-context learning can emerge from modeling long-range coherence in the pretraining data.
During pretraining, the language model (LM) implicitly learns to infer a latent concept (e.g., wiki
bios, which typically transition between name (Albert Einstein) →nationality (German) →occupation
(physicist) →...) shared across sentences in a document. Although prompts are unnatural sequences
that concatenate independent examples, in-context learning occurs if the LM can still infer the shared
concept across examples to do the task (name →nationality, which is part of wiki bios)."
