Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.003246753246753247,"Standard deep reinforcement learning (DRL) agents aim to maximize expected
reward, considering collected experiences equally in formulating a policy. This
differs from human decision-making, where gains and losses are valued differently
and outlying outcomes are given increased consideration. It also wastes an oppor-
tunity for the agent to modulate behavior based on distributional context. Several
approaches to distributional DRL have been investigated, with one popular strategy
being to evaluate the projected distribution of returns for possible actions. We
propose a more direct approach, whereby the distribution of full-episode outcomes
is optimized to maximize a chosen function of its cumulative distribution func-
tion (CDF). This technique allows for outcomes to be weighed based on relative
quality, does not require modiﬁcation of the reward function to modulate agent
behavior, and may be used for both continuous and discrete action spaces. We show
how to achieve an asymptotically consistent estimate of the policy gradient for
a broad class of CDF-based objectives via sampling, subsequently incorporating
variance reduction measures to facilitate effective on-policy learning. We use the
resulting algorithm to train agents with different “risk proﬁles” in penalty-based
formulations of six OpenAI Safety Gym environments, observing that moderate
emphasis on improvement in training scenarios where the agent performs poorly
both increases the accumulation of positive rewards and decreases the frequency
of incurred penalties. We found that, in all environments tested, the same risk
proﬁle can be used to produce both stronger overall performance than standard
Proximal Policy Optimization (PPO) and higher levels of positive reward than PPO
constrained by Lagrangians to maintain the same cost levels."
INTRODUCTION,0.006493506493506494,"1
INTRODUCTION"
INTRODUCTION,0.00974025974025974,"While deep reinforcement learning (DRL) has been used to master an impressive array of simulated
tasks in controlled settings, it has not yet been widely adopted for high-stakes, real-world applications.
One reason for this gap is the lack of distributional perspective in standard artiﬁcial agents. Endowing
agents with such perspective could make their decision-making more robust, potentially leading to
increased safety, increased trust from humans, and more widespread real-world adoption."
INTRODUCTION,0.012987012987012988,"In reinforcement learning (RL), risk arises due to uncertainty around the possible outcomes of an
agent’s future actions. It is a result of randomness in the operating environment, mismatch between
training and test conditions, and the inherent randomness of a stochastic policy. Risk-sensitive policies,
or those that consider more than a mean over the distribution of possible outcomes, offer the potential
for added robustness under uncertain and dynamic conditions. There is an evolving landscape of
algorithmic paradigms for handling risk in RL, from constraint-based approaches adapted from
optimal control (Achiam et al., 2017; Chow et al., 2019; Ray et al., 2019; Zhong et al., 2020) to
adversarial approaches emerging from AI Safety (Garc´ıa & Fern´andez, 2015; Amodei et al., 2016).
Within this landscape, learning approaches that optimize distributional measures offer the ability to
express design preferences over the full distribution of potential outcomes, through the speciﬁcation
of a risk-sensitivity criterion."
INTRODUCTION,0.016233766233766232,"Distributional RL has been studied for value-based methods, with a popular strategy being to use the
distributional Bellman equation to estimate the distribution of Q-values for each member of a discrete
set of potential actions (Bellemare et al., 2017; Dabney et al., 2018a;b). However, distributional RL
has not been widely explored for policy gradient methods, which could permit direct optimization of
risk-sensitive measures and naturally accommodate both discrete and continuous action spaces."
INTRODUCTION,0.01948051948051948,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.022727272727272728,"In the following, we introduce a novel framework for risk-sensitive learning using policy gradients.
Our approach allows agents to be trained with different risk proﬁles through design-time speciﬁcation
of both utility and weight functions, with the latter being deﬁned over the estimated distribution of
full-episode rewards. This framework enables agent-based learning that captures aspects of human
decision-making, such as overemphasis of rare occurrences and diminishing marginal utility relative
to a reference outcome (Kahneman & Tversky, 1979). It also allows implementation of another
key strategy of human learning: emphasizing improvement on tasks where one is deﬁcient. We
demonstrate the ability of our algorithm to use this strategy to improve performance relative to both
unconstrained and constrained methods in six OpenAI Safety Gym environments (Ray et al., 2019)."
RELATED WORK,0.025974025974025976,"2
RELATED WORK"
RELATED WORK,0.02922077922077922,"Constrained RL offers a set of approaches to safe exploration (Garc´ıa & Fern´andez (2015)) that aim
to enforce explicit constraints throughout the learning process via methods including Lagrangian
constraints (Ray et al. (2019)) and constraint coefﬁcients (Achiam et al. (2017)). Differing from the
safe exploration scenario, we here consider problems with distinct training and test phases where
agent performance is to be evaluated. Our experiments indicate that risk-sensitive learning can offer
performance improvements over constrained learning in scenarios where safety constraints need not
be enforced during training."
RELATED WORK,0.032467532467532464,"Distributional approaches to risk-sensitive RL have primarily been explored in the value-based
setting. Therein, the value distribution has been explicitly modeled through categorical techniques
(Bellemare et al., 2017) or quantile regression (Dabney et al., 2018a) and used to improve both value
predictions and overall performance. Recent works utilize distributional modeling in the actor-critic
setting to enable application to continuous action spaces, again demonstrating improved performance
over baseline approaches (Ma et al., 2020; Zhang et al., 2021; Duan et al., 2021). In value-based
approaches, risk-sensitivity criteria are applied at run time as a nonlinear warping of the estimated
value distribution."
RELATED WORK,0.03571428571428571,"Policy gradient approaches offer additional promise for risk-sensitive RL, but require direct optimiza-
tion of a parameterized policy with respect to a distributional objective. Some existing methods are
limited to a speciﬁc class of learning objective, such as the set of concave risk measures that allow
a globally-optimal solution (Tamar et al., 2015; Zhong et al., 2020). Others allow a broader class
of measures but are more restrictive in the class of policies that can be represented (Prashanth et al.,
2016). We aim for a risk-sensitive policy gradient approach that both offers signiﬁcant ﬂexibility in
the choice of learning objective and can learn policies parameterized by a deep neural network."
RELATED WORK,0.03896103896103896,"Various measures have been considered in the context of risk-sensitive RL, including exponential
utility (Pratt, 1964), percentile performance criteria (Wu & Lin, 1999), value-at-risk (Leavens, 1945),
conditional value-at-risk (Rockafellar & Uryasev, 2000), and prospect theory (Kahneman & Tversky,
1979). In this work, we consider a class of risk-sensitivity measures motivated by Cumulative
Prospect Theory (CPT) (Tversky & Kahneman, 1992). CPT uniquely models two key aspects of
human decision-making: (1) a utility function u, computed relative to a reference point that induces
more risk-averse behavior in the presence of gains than losses and (2) a weight function w that
prioritizes outlying events. Speciﬁc forms of u and w are given in Tversky & Kahneman (1992) (and
in Appendix A.4), but the general form of CPT admits a wide variety of risk-sensitive objectives."
RELATED WORK,0.04220779220779221,"Here we show how to train agents to optimize this class of objectives through sampling-based
estimation of their policy gradients and requisite variance reduction. The ﬁnal algorithm resembles
well-known on-policy approaches such as Proximal Policy Optimization (Schulman et al., 2017b) and
is similarly widely applicable. Although we do not explore it here, the incorporation of an appropriate
risk-sensitivity criterion could additionally enable risk-aware exploration and adversarial training for
increased robustness (Pinto et al., 2017; Parisi et al., 2019; Zhang et al., 2020)."
RISK-SENSITIVE POLICY OPTIMIZATION,0.045454545454545456,"3
RISK-SENSITIVE POLICY OPTIMIZATION"
RISK-SENSITIVE POLICY OPTIMIZATION,0.048701298701298704,"In this section we formalize the class of distributional objectives to be considered, derive a sampling-
based approximation of its policy gradient, enact variance reduction on this estimate, and use the
result to produce a practical learning algorithm."
RISK-SENSITIVE POLICY OPTIMIZATION,0.05194805194805195,Under review as a conference paper at ICLR 2022
RISK-SENSITIVE POLICY OPTIMIZATION,0.05519480519480519,"3.1
PRELIMINARIES: PROBLEM AND NOTATION"
RISK-SENSITIVE POLICY OPTIMIZATION,0.05844155844155844,"Standard deep reinforcement learning seeks to maximize the expected reward of an agent over
encountered trajectories; that is, it maximizes the objective"
RISK-SENSITIVE POLICY OPTIMIZATION,0.06168831168831169,J(θ) = Eτ∼pθ(τ)  X
RISK-SENSITIVE POLICY OPTIMIZATION,0.06493506493506493,"t
r(st, at)

.
(1)"
RISK-SENSITIVE POLICY OPTIMIZATION,0.06818181818181818,"Here pθ(τ) is the distribution over trajectories τ ≡s1, a1, . . . , sT , aT induced by a policy parameter-
ized by θ; st, at, and r(st, at) denote the state, action, and reward at time t, respectively. To enable
the incorporation of distributional context, we instead consider the objective"
RISK-SENSITIVE POLICY OPTIMIZATION,0.07142857142857142,"J(θ) =
Z +∞"
RISK-SENSITIVE POLICY OPTIMIZATION,0.07467532467532467,"−∞
u(r(τ))
d
dr(τ)"
RISK-SENSITIVE POLICY OPTIMIZATION,0.07792207792207792,"
w(Pθ(r(τ))

dr(τ),
(2)"
RISK-SENSITIVE POLICY OPTIMIZATION,0.08116883116883117,where u(r(τ)) is the utility associated with full-trajectory reward r(τ) ≡P
RISK-SENSITIVE POLICY OPTIMIZATION,0.08441558441558442,"t r(st, at) and w
is a piecewise differentiable weighting function of the CDF of trajectory reward Pθ(r(τ)) =
R r(τ)
−∞pθ(r′)dr′."
RISK-SENSITIVE POLICY OPTIMIZATION,0.08766233766233766,"Equation 2 is inspired by CPT (Tversky & Kahneman, 1992), which includes a pair of integrals of
this form. It was chosen for its generality; by using different utility functions u and weight functions
w one may represent all of the risk measures mentioned in Section 2 and all of the risk measures
evaluated by Dabney et al. (2018a). The form (2) reduces to (1) when u and w are both the identity
mapping. While designed for the episodic setting, the objective (2) may be considered for inﬁnite
horizons through the choice of appropriately long windows."
RISK-SENSITIVE POLICY GRADIENT,0.09090909090909091,"3.2
RISK-SENSITIVE POLICY GRADIENT"
RISK-SENSITIVE POLICY GRADIENT,0.09415584415584416,"To optimize the objective (2), we ﬁrst derive an approximation to its gradient with respect to the policy
parameters θ. Working toward a representation that can be sampled, we assert the independence of
the reward on θ and use the chain rule to write"
RISK-SENSITIVE POLICY GRADIENT,0.09740259740259741,"∇θJ(θ) =
Z ∞"
RISK-SENSITIVE POLICY GRADIENT,0.10064935064935066,"−∞
u(r(τ))
d
dr(τ)"
RISK-SENSITIVE POLICY GRADIENT,0.1038961038961039,"
w′(Pθ(r(τ)))∇θPθ(r(τ))

dr(τ),
(3)"
RISK-SENSITIVE POLICY GRADIENT,0.10714285714285714,"where w′ is the derivative of w with respect to Pθ(r(τ)). The gradient of the CDF may be written as
follows:"
RISK-SENSITIVE POLICY GRADIENT,0.11038961038961038,∇θPθ(r(τ))=∇θ
RISK-SENSITIVE POLICY GRADIENT,0.11363636363636363,Z r(τ)
RISK-SENSITIVE POLICY GRADIENT,0.11688311688311688,"−∞
pθ(r′)dr′ = ∇θ Z"
RISK-SENSITIVE POLICY GRADIENT,0.12012987012987013,"τ ′ H(r(τ) −r(τ ′))pθ(τ ′)dτ ′ =
Z"
RISK-SENSITIVE POLICY GRADIENT,0.12337662337662338,"τ ′H(r(τ)−r(τ ′))∇θpθ(τ ′)dτ ′ =
Z"
RISK-SENSITIVE POLICY GRADIENT,0.1266233766233766,"τ ′H(r(τ)−r(τ ′))pθ(τ ′)∇θ log pθ(τ ′)dτ ′.
(4)"
RISK-SENSITIVE POLICY GRADIENT,0.12987012987012986,"Here the ﬁrst equality is the integral representation of Pθ(r(τ)), the second uses the Heaviside step
function to select all trajectories with total reward ≤r(τ), the third follows from the independence of
reward on θ, and the fourth follows from the expression for the derivative of the natural logarithm. In
the following, we also use the complementary expression"
RISK-SENSITIVE POLICY GRADIENT,0.1331168831168831,∇θPθ(r(τ)) = ∇θ
RISK-SENSITIVE POLICY GRADIENT,0.13636363636363635,"
1 −
Z ∞"
RISK-SENSITIVE POLICY GRADIENT,0.1396103896103896,"r(τ)
pθ(r′)dr′

= −
Z"
RISK-SENSITIVE POLICY GRADIENT,0.14285714285714285,τ ′ H(r(τ ′) −r(τ))pθ(τ ′)∇θ log pθ(τ ′)dτ ′. (5)
