Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.004901960784313725,"Inverse problems are paramount in Science and Engineering. In this paper, we con-
sider the setup of Statistical Inverse Problem (SIP) and demonstrate how Stochastic
Gradient Descent (SGD) algorithms can be used to solve linear SIP. We provide
consistency and finite sample bounds for the excess risk. We also propose a modi-
fication for the SGD algorithm where we leverage machine learning methods to
smooth the stochastic gradients and improve empirical performance. We exem-
plify the algorithm in a setting of great interest nowadays: the Functional Linear
Regression model. In this case we consider a synthetic data example and a classifi-
cation problem for predicting the main activity of bitcoin addresses based on their
balances."
INTRODUCTION,0.00980392156862745,"1
Introduction"
INTRODUCTION,0.014705882352941176,"Inverse Problems (IP) might be described as the search of an unknown parameter (that could be a
function) that satisfies a given, known equation. Considering the notation:"
INTRODUCTION,0.0196078431372549,"y = A[f ◦] + noise,"
INTRODUCTION,0.024509803921568627,"where f ◦and y are elements of given Hilbert spaces, we would like to compute (or estimate) f ◦
given the data y for some level of noise. Typically, IPs are ill-posed in the sense that the solution
does not depend continuously on the data. There are several very important and impressive examples
of IPs in our daily lives. Medical imaging has been using IPs for decades and it has shaped the area,
as for instance, Computerized Tomography (CT) and Magnetic Resonance Imaging (MRI). For an
introductory text, see Vogel [2002]."
INTRODUCTION,0.029411764705882353,"A vast literature of IPs is devoted to deterministic problems where the noise term is also a element of
a Hilbert space and commonly assumed small in norm, which is not usually verifiable in practice. In
this work, we will take a different avenue, known as Statistical Inverse Problems (SIP). This approach
is a formalization of IPs within a probabilistic setting, where the uncertainty of all measurements are
properly considered. Our focus in this work is to propose a direct and practical method for solving
SIP problems and, at the same time, provide theoretical guarantees for the excess risk performance of
the algorithm we develop. Our algorithm is based on a gradient descent framework, where stochastic
gradients (or base learners that approximate the stochastic gradients) are used to estimate general
functional parameters."
INTRODUCTION,0.03431372549019608,"The paper is organized as follows. We finish this section contextualizing our paper in the broad
literature and stating our main contributions. In Section 2, we formally introduce the learning
problem that we analyze. In Section 3, we provide examples of practical problems that fits within
our formulation. In Section 4 we provide our main results and algorithms. Finally, in Section 5 we
provide numerical examples and a real data application for a Functional Linear Regression problem"
INTRODUCTION,0.0392156862745098,"(FLR). Due to space constraints, some of the figures, proofs and experiments were moved to the
supplementary material."
CONTRIBUTION,0.04411764705882353,"1.1
Contribution"
CONTRIBUTION,0.049019607843137254,"We provide a novel numerical method to estimate functional parameters in SIP problems using
stochastic gradients. More precisely, we extend the properties and flexibility of SGD and boosting
algorithms to a broader class of problems by bridging the gap between the IP and machine learning
communities."
CONTRIBUTION,0.05392156862745098,"Whereas most of the IPs methods focus on regularization strategies to “invert"" the operator A, we
propose a gradient descent type of algorithm to estimate the functional parameter directly. Our
algorithm works in the same spirit as Stochastic Gradient Descent algorithms with sample averaging.
While results of SGD are well understood in the context of regression problems in finite and infinite
dimensions and SGD is well understood in deterministic IPs, SGD have not yet been considered
under the SIP formulation."
CONTRIBUTION,0.058823529411764705,"We show that our procedure also ensures risk consistency in expectation and high probability under
the statistical setting. Furthermore, we propose a modification in our algorithm to substitute the
stochastic gradients by base learners similarly to boosting algorithms, Mason et al. [1999], Friedman
[2001]. This modification improve a common challenge faced by SIP problems: the discretization
procedures of the operator A that arises in SIP."
LITERATURE REVIEW,0.06372549019607843,"1.2
Literature Review"
LITERATURE REVIEW,0.06862745098039216,"Historically, SIP was first introduced in Sudakovand and Khalfin [1964] where IPs from Mathematical
Physics were recast into a statistical framework. For a more structured introduction, we forward the
reader to Kaipio and Somersalo [2004]. Several advances were made in the parametric approach to
SIP, where the unknown function is assumed to be completely described by an unknown parameter
living in a finite dimensional space, see for instance Evans and Stark [2002]. In our paper, however,
we will consider the nonparametric framework as described in Cavalier [2008]. In this setting, we see
the IP as a search of an element of an infinite dimensional space."
LITERATURE REVIEW,0.07352941176470588,"When considering IPs (and SIP, in particular), there are several ways to regularize the problem in order
to deal with its ill-posedness. For instance, one could consider roughness penalty or a functional basis
as in Tenorio [2001]. Additionally, one could examine Tikhonov and spectral cut-off regularizations
as in Bissantz et al. [2007]. For many of those standard approaches, consistency under the SIP setting
and rates of convergences were established. See for instance Bissantz et al. [2004], Bissantz and
Holzmann [2008]. A thoroughly discussion of stochastic gradient algorithms is outside the scope of
this work and we refer the reader to Zinkevich [2003], Nesterov et al. [2018] and references therein."
LITERATURE REVIEW,0.0784313725490196,"There have been numerous applications of Machine Learning (and Deep Learning, in particular) to
solve IPs, in recent years. However, in our opinion, these applications are akin of the capabilities
that these new techniques could bring to this area of research. Some attention have been given to
imaging problems as in Jin et al. [2017] and Ongie et al. [2020]. Under deterministic IP, the paper
Li et al. [2020] studies the regularization and convergence rates of penalized neural networks when
solving regression problems. See also Adler and Öktem [2017] and Bai et al. [2020]. Other important
references regarding SGD for deterministic IP are Jin et al. [2021], Tang et al. [2019], Jin et al. [2020]."
