Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0016501650165016502,"Modern advancements in large-scale machine learning would be impossible without
1"
ABSTRACT,0.0033003300330033004,"the paradigm of data-parallel distributed computing. Since distributed computing
2"
ABSTRACT,0.0049504950495049506,"with large-scale models imparts excessive pressure on communication channels, a
3"
ABSTRACT,0.006600660066006601,"lot of recent research was directed towards co-designing communication compres-
4"
ABSTRACT,0.00825082508250825,"sion strategies and training algorithms with the goal of reducing communication
5"
ABSTRACT,0.009900990099009901,"costs. While pure data parallelism allows better data scaling, it suffers from poor
6"
ABSTRACT,0.01155115511551155,"model scaling properties. Indeed, compute nodes are severely limited by memory
7"
ABSTRACT,0.013201320132013201,"constraints, preventing further increases in model size. For this reason, the latest
8"
ABSTRACT,0.01485148514851485,"achievements in training giant neural network models rely on some form of model
9"
ABSTRACT,0.0165016501650165,"parallelism as well. In this work, we take a closer theoretical look at Independent
10"
ABSTRACT,0.018151815181518153,"Subnetwork Training (IST), which is a recently proposed and highly effective
11"
ABSTRACT,0.019801980198019802,"technique for solving the aforementioned problems. We identify fundamental
12"
ABSTRACT,0.02145214521452145,"differences between IST and alternative approaches, such as distributed methods
13"
ABSTRACT,0.0231023102310231,"with compressed communication, and provide a precise analysis of its optimization
14"
ABSTRACT,0.024752475247524754,"performance on a quadratic model.
15"
INTRODUCTION,0.026402640264026403,"1
Introduction
16"
INTRODUCTION,0.028052805280528052,"A huge part of today’s machine learning success drives from the possibility to build more and more
17"
INTRODUCTION,0.0297029702970297,"complex models and train them on increasingly larger datasets. This fast progress has become
18"
INTRODUCTION,0.03135313531353135,"feasible due to advancements in distributed optimization, which is necessary for proper scaling
19"
INTRODUCTION,0.033003300330033,"when the training data sizes grow [50]. In a typical scenario data parallelism is used for efficiency
20"
INTRODUCTION,0.034653465346534656,"which consists of sharding the dataset across computing devices. This allowed very efficient scaling
21"
INTRODUCTION,0.036303630363036306,"and accelerating of training moderately sized models by using additional hardware [19]. Though,
22"
INTRODUCTION,0.037953795379537955,"such data parallel approach can suffer from communication bottleneck, which sparked a lot of
23"
INTRODUCTION,0.039603960396039604,"research on distributed optimization with compressed communication of the parameters between
24"
INTRODUCTION,0.041254125412541254,"nodes [3, 27, 38].
25"
THE NEED FOR MODEL PARALLEL,0.0429042904290429,"1.1
The need for model parallel
26"
THE NEED FOR MODEL PARALLEL,0.04455445544554455,"Despite the efficiency gains of data parallelism, it has some fundamental limitations when it comes to
27"
THE NEED FOR MODEL PARALLEL,0.0462046204620462,"scaling up the model size. As the model dimension grows, the amount of memory required to store
28"
THE NEED FOR MODEL PARALLEL,0.04785478547854786,"and update the parameters also increases, which becomes problematic due to resource constraints
29"
THE NEED FOR MODEL PARALLEL,0.04950495049504951,"on individual devices. This has led to the development of model parallelism [11, 37], which splits
30"
THE NEED FOR MODEL PARALLEL,0.05115511551155116,"a large model across multiple nodes, with each node responsible for computations of model parts
31"
THE NEED FOR MODEL PARALLEL,0.052805280528052806,"[15, 47]. However, naive model parallelism also poses challenges because each node can only update
32"
THE NEED FOR MODEL PARALLEL,0.054455445544554455,"its portion of the model based on the data it has access to. This creates a need for a very careful
33"
THE NEED FOR MODEL PARALLEL,0.056105610561056105,"management of communication between devices. Thus, a combination of both data and model
34"
THE NEED FOR MODEL PARALLEL,0.057755775577557754,"parallelism is often necessary to achieve efficient and scalable training of huge models.
35"
THE NEED FOR MODEL PARALLEL,0.0594059405940594,Algorithm 1 Distributed Submodel (Stochastic) Gradient Descent
THE NEED FOR MODEL PARALLEL,0.06105610561056106,"1: Parameters: learning rate γ > 0; sketches C1, . . . , Cn; initial model x0 ∈Rd"
THE NEED FOR MODEL PARALLEL,0.0627062706270627,"2: for k = 0, 1, 2 . . . do
3:
Select submodels wk
i = Ck
i xk for i ∈[n] and broadcast to all computing nodes
4:
for i = 1, . . . , n in parallel do
5:
Compute local (stochastic) gradient w.r.t. submodel: Ck
i ∇fi(wk
i )
6:
Take (maybe multiple) gradient descent step z+
i = wk
i −γCk
i ∇fi(wk
i )
7:
Send z+
i to the server
8:
end for
9:
Aggregate/merge received submodels: xk+1 = 1"
THE NEED FOR MODEL PARALLEL,0.06435643564356436,"n
Pn
i=1 z+
i
10: end for"
THE NEED FOR MODEL PARALLEL,0.066006600660066,"IST.
Independent Subnetwork Training (IST) is a technique which suggests dividing the neural
36"
THE NEED FOR MODEL PARALLEL,0.06765676567656766,"network into smaller independent sub-parts, training them in a distributed parallel fashion and then
37"
THE NEED FOR MODEL PARALLEL,0.06930693069306931,"aggregating the results to update the weights of the whole model. According to IST, every subnetwork
38"
THE NEED FOR MODEL PARALLEL,0.07095709570957096,"is operational on its own, has fewer parameters than the full model, and this not only reduces the load
39"
THE NEED FOR MODEL PARALLEL,0.07260726072607261,"on computing nodes but also results in faster synchronization. A generalized analog of the described
40"
THE NEED FOR MODEL PARALLEL,0.07425742574257425,"method is formalized as an iterative procedure in Algorithm 1. This paradigm was pioneered by
41"
THE NEED FOR MODEL PARALLEL,0.07590759075907591,"[45] for networks with fully-connected layers and was later extended to ResNets [14] and Graph
42"
THE NEED FOR MODEL PARALLEL,0.07755775577557755,"architectures [43]. Previous experimental studies have shown that IST is a very promising approach
43"
THE NEED FOR MODEL PARALLEL,0.07920792079207921,"for various applications as it allows to effectively combine data with model parallelism and train
44"
THE NEED FOR MODEL PARALLEL,0.08085808580858085,"larger models with limited compute. In addition, [28] performed theoretical analysis of IST for
45"
THE NEED FOR MODEL PARALLEL,0.08250825082508251,"overparameterized single hidden layer neural networks with ReLU activations. The idea of IST was
46"
THE NEED FOR MODEL PARALLEL,0.08415841584158416,"also recently extended to the federated setting via an asynchronous distributed dropout [13] technique.
47"
THE NEED FOR MODEL PARALLEL,0.0858085808580858,"Federated Learning.
Another important setting when the data is distributed (due to privacy reasons)
48"
THE NEED FOR MODEL PARALLEL,0.08745874587458746,"is Federated Learning [22, 27, 31]. In this scenario computing devices are often heterogeneous and
49"
THE NEED FOR MODEL PARALLEL,0.0891089108910891,"more resource-constrained [5] (e.g. mobile phones) in comparison to data-center setting. Such
50"
THE NEED FOR MODEL PARALLEL,0.09075907590759076,"challenges prompted extensive research efforts into selecting smaller and more efficient submodels
51"
THE NEED FOR MODEL PARALLEL,0.0924092409240924,"for local on-device training [2, 6, 8, 12, 20, 21, 29, 35, 42, 44]. Many of these works propose
52"
THE NEED FOR MODEL PARALLEL,0.09405940594059406,"approaches to adapt submodels, often tailored to specific neural network architectures, based on
53"
THE NEED FOR MODEL PARALLEL,0.09570957095709572,"the capabilities of individual clients for various machine learning tasks. However, there is a lack of
54"
THE NEED FOR MODEL PARALLEL,0.09735973597359736,"comprehension regarding the theoretical properties of these methods.
55"
SUMMARY OF CONTRIBUTIONS,0.09900990099009901,"1.2
Summary of contributions
56"
SUMMARY OF CONTRIBUTIONS,0.10066006600660066,"When reviewing the literature, we have found that a rigorous understanding of IST convergence
57"
SUMMARY OF CONTRIBUTIONS,0.10231023102310231,"virtually does not exist, which motivates our work. The main contributions of this paper include
58"
SUMMARY OF CONTRIBUTIONS,0.10396039603960396,"• A novel approach to analyzing distributed methods that combine data and model parallelism
59"
SUMMARY OF CONTRIBUTIONS,0.10561056105610561,"by operating with sparse submodels for a quadratic model.
60"
SUMMARY OF CONTRIBUTIONS,0.10726072607260725,"• The first analysis of independent subnetwork training in homogeneous and heterogeneous
61"
