Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0013458950201884253,"Most graph neural networks (GNNs) use the message passing paradigm, in which
node features are propagated on the input graph. Recent works pointed to the
distortion of information ﬂowing from distant nodes as a factor limiting the efﬁ-
ciency of message passing for tasks relying on long-distance interactions. This
phenomenon, referred to as ‘over-squashing’, has been heuristically attributed to
graph bottlenecks where the number of k-hop neighbors grows rapidly with k. We
provide a precise description of the over-squashing phenomenon in GNNs and
analyze how it arises from bottlenecks in the graph. For this purpose, we introduce
a new edge-based combinatorial curvature and prove that negatively curved edges
are responsible for the over-squashing issue. We also propose and experimentally
test a curvature-based graph rewiring method to alleviate the over-squashing."
INTRODUCTION,0.0026917900403768506,"1
INTRODUCTION"
INTRODUCTION,0.004037685060565276,"Figure 1: Top: evolution of curvature on a surface may
reduce the bottleneck. Bottom: this paper shows how
the same may be done on graphs to improve GNN per-
formance. Blue/red shows negative/positive curvature."
INTRODUCTION,0.005383580080753701,"In the past few years, deep learning on
graphs and in particular graph neural net-
works (GNNs) (Sperduti, 1994; Goller &
Kuchler, 1996; Sperduti & Starita, 1997;
Frasconi et al., 1998; Gori et al., 2005;
Scarselli et al., 2008; Bruna et al., 2014;
Defferrard et al., 2016; Kipf & Welling,
2017; Gilmer et al., 2017) have become
very popular in the machine learning com-
munity due to their ability to deal with
broad classes of systems of relations and
interactions, ranging from social networks
to particle physics (Shlomi et al., 2021)."
INTRODUCTION,0.006729475100942127,"The vast majority of GNNs follow the
message passing paradigm (Gilmer et al.,
2017), using learnable non-linear functions to diffuse information on the graph. Multiple popular
GNN architectures such as GCN (Kipf & Welling, 2017) and GAT (Veliˇckovi´c et al., 2018) can be
posed as particular ﬂavors of this scheme and considered instances of a more general framework of
geometric deep learning (Bronstein et al., 2021)."
INTRODUCTION,0.008075370121130552,"Some of the drawbacks of the message passing paradigm have now been identiﬁed and formalized,
including the limits of expressive power (Xu et al., 2019; Morris et al., 2019; Maron et al., 2019)
and the problem of over-smoothing (NT & Maehara, 2019; Oono & Suzuki, 2020). On the other
hand, much less is known about the phenomenon of over-squashing, consisting in the distortion of
messages being propagated from distant nodes. Alon & Yahav (2021) proposed rewiring the graph
as a way of reducing the bottleneck, deﬁned as those topological properties in the graph leading to
over-squashing. This approach is in line with multiple other results e.g. using connectivity diffusion
(Klicpera et al., 2019) as a preprocessing step to facilitate graph learning. Yet, the exact understanding
of the over-squashing and how it originates from the bottlenecks in the topology of the underlying"
INTRODUCTION,0.009421265141318977,†Equal contribution
INTRODUCTION,0.010767160161507403,Published as a conference paper at ICLR 2022
INTRODUCTION,0.012113055181695828,"graph are still elusive. Consequently, there is currently no consensus on the right method (either
based on graph rewiring or not) to address the bottleneck and hence alleviate the over-squashing."
