Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0010570824524312897,"Neural data compression based on nonlinear transform coding has made great
progress over the last few years, mainly due to improvements in prior models,
quantization methods and nonlinear transforms.
A general trend in many re-
cent works pushing the limit of rate-distortion performance is to use ever more
expensive prior models that can lead to prohibitively slow decoding. Instead,
we focus on more expressive transforms that result in a better rate-distortion-
computation trade-off. Speciﬁcally, we show that nonlinear transforms built on
Swin-transformers can achieve better compression efﬁciency than transforms built
on convolutional neural networks (ConvNets), while requiring fewer parameters
and shorter decoding time. Paired with a compute-efﬁcient Channel-wise Auto-
Regressive Model prior, our SwinT-ChARM model outperforms VTM-12.1 by
3.68% in BD-rate on Kodak with comparable decoding speed. In P-frame video
compression setting, we are able to outperform the popular ConvNet-based scale-
space-ﬂow model by 12.35% in BD-rate on UVG. We provide model scaling stud-
ies to verify the computational efﬁciency of the proposed solutions and conduct
several analyses to reveal the source of coding gain of transformers over Conv-
Nets, including better spatial decorrelation, ﬂexible effective receptive ﬁeld, and
more localized response of latent pixels during progressive decoding."
INTRODUCTION,0.0021141649048625794,"1
INTRODUCTION"
INTRODUCTION,0.003171247357293869,"Transform coding (Goyal, 2001) is the dominant paradigm for compression of multi-media signals,
and serves as the technical foundation for many successful coding standards such as JPEG, AAC,
and HEVC/VVC. Codecs based on transform coding divide the task of lossy compression into three
modularized components: transform, quantization, and entropy coding. All three components can
be enhanced by deep neural networks: autoencoder networks are adopted as ﬂexible nonlinear trans-
forms, deep generative models are used as powerful learnable entropy models, and various differen-
tiable quantization schemes are proposed to aid end-to-end training. Thanks to these advancements,
we have seen rapid progress in the domain of image and video compression. Particularly, the hyper-
prior line of work (Ball´e et al., 2018; Minnen et al., 2018; Lee et al., 2019; Agustsson et al., 2020;
Minnen & Singh, 2020) has led to steady progress of neural compression performance over the past
two years, reaching or even surpassing state-of-the-art traditional codecs. For example, in image
compression, BPG444 was surpassed by a neural codec in 2018 (Minnen et al., 2018), and (Cheng
et al., 2020; Xie et al., 2021; Ma et al., 2021; Guo et al., 2021; Wu et al., 2020) have claimed on-par
or better performance than VTM (a test model of the state-of-the-art non-learned VVC standard)."
INTRODUCTION,0.004228329809725159,"One general trend in the advancement of neural image compression schemes is to develop ever
more expressive yet expensive prior models based on spatial context. However, the rate-distortion
improvement from context based prior modeling often comes with a hefty price tag1 in terms of
decoding complexity. Noteably, all existing works that claimed on-par or better performance than
VTM (Cheng et al., 2020; Xie et al., 2021; Ma et al., 2021; Guo et al., 2021; Wu et al., 2020) rely
on slow and expensive spatial context based prior models."
INTRODUCTION,0.005285412262156448,"∗Equal contribution.
†Qualcomm AI Research is an initiative of Qualcomm Technologies, Inc.
1In the extreme case when a latent-pixel-level spatial autoregressive prior is used, decoding of a single
512x768 image requires no less than 1536 interleaved executions of prior model inference and entropy decoding
(assuming the latent is downsampled by a factor of 16x16)."
INTRODUCTION,0.006342494714587738,Published as a conference paper at ICLR 2022
INTRODUCTION,0.007399577167019027,"The development of nonlinear transforms, on the other hand, are largely overlooked. This leads us
to the following questions: can we achieve the same performance as that of expensive prior models
by designing a more expressive transform together with simple prior models? And if so, how much
more complexity in the transform is required? 100 150 200 250 300"
INTRODUCTION,0.008456659619450317,Decoding time (ms) 5 0 5 10 15 20 25
INTRODUCTION,0.009513742071881607,BD-rate over VTM-12.1 (%) on Kodak
