Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.003389830508474576,"Lightweight speech recognition models have seen explosive demands owing to a
growing amount of speech-interactive features on mobile devices. Since designing
such systems from scratch is non-trivial, practitioners typically choose to compress
large (pre-trained) speech models. Recently, lottery ticket hypothesis reveals the
existence of highly sparse subnetworks that can be trained in isolation without
sacriﬁcing the performance of the full models. In this paper, we investigate the
tantalizing possibility of using lottery ticket hypothesis to discover lightweight
speech recognition models, that are (1) robust to various noise existing in speech;
(2) transferable to ﬁt the open-world personalization; and 3) compatible with
structured sparsity. We conducted extensive experiments on CNN-LSTM, RNN-
Transducer, and Transformer models, and veriﬁed the existence of highly sparse
“winning tickets” that can match the full model performance across those backbones.
We obtained winning tickets that have less than 20% of full model weights on
all backbones, while the most lightweight one only keeps 4.4% weights. Those
winning tickets generalize to structured sparsity with no performance loss, and
transfer exceptionally from large source datasets to various target datasets. Perhaps
most surprisingly, when the training utterances have high background noises,
the winning tickets even substantially outperform the full models, showing the
extra bonus of noise robustness by inducing sparsity. Codes are available at
https://github.com/VITA-Group/Audio-Lottery."
INTRODUCTION,0.006779661016949152,"1
INTRODUCTION"
INTRODUCTION,0.010169491525423728,"End-to-end automatic speech recognition (ASR) (Wang et al., 2019; Hannun et al., 2014; Graves,
2012; Chorowski et al., 2015; Dong et al., 2018a) has become an indispensable technology in
consumer-interactive devices (e.g., smartphones, smart speakers, tablets) over the past few years (He
et al., 2019; Cohen, 2008; Schalkwyk et al., 2010). Conventional on-device ASR systems usually
require the involvement of servers, i.e., streaming the audio to servers and then streaming the results
back to the devices. By contrast, recent studies (He et al., 2019; McGraw et al., 2016; Kim et al.,
2019; Sim et al., 2019; Park et al., 2018; Waibel et al., 2003; Arık et al., 2017) have spurred the
success of ASR models fully run on devices, which can be advantageous in terms of computational
resources, latency, and user data privacy."
INTRODUCTION,0.013559322033898305,"Developing on-device ASR models is challenging since the computational resources (e.g., CPU,
memory, battery) are typically very limited. A standard design approach to ﬁt ASR model under
budget is through applying various neural network compression techniques to the larger ASR models,
such as network pruning (Takeda et al., 2017; Shangguan et al., 2019; Gao et al., 2020), knowledge
distillation (Li et al., 2018a), and parameter quantization (He et al., 2019; Sainath et al., 2020).
However, there always exists a trade-off between computational efﬁciency and the model performance,
and the efﬁciency improvements are usually at the cost of word error rate (WER). In most prior works,
we observed a non-negligible degradation of WER in compressed models."
INTRODUCTION,0.01694915254237288,"*Equal Contribution. Shaojin Ding is now with Google. This work was ﬁnished when he was with Texas
A&M University."
INTRODUCTION,0.020338983050847456,Published as a conference paper at ICLR 2022
INTRODUCTION,0.023728813559322035,"A new horizon emerges with the discovery of lottery tickets hypothesis (LTH) (Frankle & Carbin,
2019b). LTH empirically demonstrated the existence of highly sparse matching subnetworks (i.e.,
winning tickets) in full dense networks, that can be independently trained from scratch to match or
even surpass the performance of the latter. LTH was widely observed in various models in computer
vision (Liu et al., 2019b; Evci et al., 2019; Frankle et al., 2020c; Savarese et al., 2020; Wang et al.,
2020a; You et al., 2020; Ma et al., 2021; Girish et al., 2020) and natural language processing (Gale
et al., 2019; Yu et al., 2020; Prasanna et al., 2020; Chen et al., 2020b;c). Yet to our best knowledge, it
has not been studied nor utilized in the realm of speech processing and recognition ."
INTRODUCTION,0.02711864406779661,"This paper presents the ﬁrst investigation on LTH for developing on-device ASR models. Despite the
rich literature of LTH in vision and language, a practically useful winning ticket for real-world ASR
would demand two unique properties: transferability, noise robustness."
INTRODUCTION,0.030508474576271188,"• As one persistent challenges of ASR, each individual has a different voice and speaking style.
Unlike text or images, whose data are much more “standardized”, the spoken word varies greatly
based on regional dialects, speed, emphasis, even social class and gender. Therefore, scaling up
any ASR system has always been a signiﬁcant obstacle, since the testing utterances may have very
different distribution from the training utterances. That has made transferability a crucial demand
for ASR in the open world.
• In an ideal world, one would have to speak very clearly, slowly, and in an environment with no
background noise, for the sounds being recognized: that unfortunately will not happen in the
practice. In the real-world ASR applications, noise robustness is becoming another crucially
demanded technological factor since ASR is now expected to work in much more difﬁcult acoustic
environments than in the past (Li et al., 2014). For example, the recognition of speech recorded
by distant microphones is challenged by acoustic interference such as noise, reverberation and
interference speakers (Kinoshita et al., 2020; Haeb-Umbach et al., 2019; Kinoshita et al., 2013).
Even in the standard ASR benchmark such as LibriSpeech (Panayotov et al., 2015), there are
signiﬁcant background noise in its “clean” subset (Zen et al., 2019)."
INTRODUCTION,0.03389830508474576,"More importantly, prior LTH studies mostly use unstructured sparsity during model pruning. However,
designing chips that speeds up unstructured sparse networks are much more complex than those for
structured sparsity (e.g., Block-Sparse GPU Kernels (Gray et al., 2017)). Together with the two
unique gaps, they make ASR no less challenging than visual recognition or text understanding, if not
more. They account for the prior arts’ difﬁculty to maintain a satisfactory balance between model
efﬁciency and recognition performance; and similarly, they question the applicability of LTH in ASR."
INTRODUCTION,0.03728813559322034,"We provide an afﬁrmative, positive answer of LTH in ASR. As the subject of study, we choose
most commonly used ASR architectures in both research and products over the past few years:
1) CNN-LSTM with connectionist temporal classiﬁcation (CTC) (Graves et al., 2006); 2) RNN-
Transducer (Graves, 2012); and 3) Convolution-augmented Transformer (Gulati et al., 2020; Burchi
& Vielzeuf, 2021). We conducted extensive LTH experiments using these backbones on three
popular corpora: TED-LIUM (Rousseau et al., 2012), Common Voice (Ardila et al., 2020), and
LibriSpeech (Panayotov et al., 2015). Unlike most of existing LTH studies that only approached to
explaining and demonstrating the correctness of LTH theory, in this work, we make the ﬁrst attempt
to apply LTH to real-world use cases. Namely, we investigate three unique properties that were rarely
studied in previous LTH research but are key to user-interactive ASR devices, bringing new insights
to both LTH theory and lightweight ASR research. Our main contributions are outlined below:"
INTRODUCTION,0.04067796610169491,"• We for the ﬁrst time reveal the existence of winning tickets in the context of ASR by answering three
research questions regarding LTH theory. The most lightweight winning tickets from CNN-LSTM,
RNN-Transducer, and Conformer backbones only possess 21.0%, 10.7%, and 8.6% remaining
nonzero weights, respectively. We also show that winning tickets signiﬁcantly outperform other
state-of-the-art network pruning and knowledge distillation methods.
• We are the ﬁrst to explore the use of structured sparsity (i.e., block sparsity (Narang et al., 2017b))
in LTH, and successfully found highly sparse winning tickets (e.g., 4.4% remaining weights) that
have no performance degradation compared to using unstructured sparsity.
• Winning tickets have exceptional transferability across different datasets, which are notably better
than full models. Also, the winning tickets identiﬁed from large source datasets transfer better.
• In the presence of various levels of background noise, the winning tickets consistently achieve
signiﬁcantly better WERs than full models. That indicates stronger noise robustness might be an
extra bonus of inducing sparsity, and a missing gem by previous LTH works."
INTRODUCTION,0.04406779661016949,Published as a conference paper at ICLR 2022
RELATED WORKS,0.04745762711864407,"2
RELATED WORKS"
RELATED WORKS,0.05084745762711865,"End-to-End Automatic Speech Recognition.
Previous mainstream ASR systems are mostly based
on hidden Markov model (HMM)-Gaussian mixture model (GMM) or HMM-Deep neural network
(DNN). These systems can achieve descent performance. However, such system is usually composed
of modules (e.g., acoustic model, language model, lexicon) that are needed to be trained separately,
which makes it hard to be optimize globally in products (Wang et al., 2019)."
RELATED WORKS,0.05423728813559322,"End-to-end ASR can directly transcribe an input audio sequence to a token (e.g., grapheme or
phoneme) sequence. Current end-to-end ASR frameworks can be generally categorized into three
types: CTC-based (Hannun et al., 2014; Amodei et al., 2016; Graves & Jaitly, 2014; Miao et al.,
2015; Eyben et al., 2009), RNN-transducer (Graves, 2012; Graves et al., 2013; Rao et al., 2017; Dong
et al., 2018b), sequence-to-sequence (Seq2Seq) model (Chorowski et al., 2015; Bahdanau et al., 2016;
Chan et al., 2016; Zhang et al., 2017; Chiu et al., 2018; Prabhavalkar et al., 2018), and Transformer
model (Gulati et al., 2020; Dong et al., 2018a; Wang et al., 2020b; Baevski et al., 2020)."
RELATED WORKS,0.0576271186440678,"CTC (Graves et al., 2006) is essentially a loss function, which maximizes the probability of all
the paths that correspond to the ground-truth token sequence, with an augmented blank token “-”
indicating no output. It avoids the need of segmental alignment/labels in training utterances, which
makes tons of speech materials usable without additional annotating effort and thus fully exploits
the modeling capacity of DNNs. RNN-transducer is composed of an encoder for the input audio
sequence, a prediction network to model the interdependencies in between the output token sequence,
and a joint network to align the input and output sequence and produce the prediction. Seq2Seq
model usually has an encoder-decoder structure, where the encoder maps the input audio sequence to
a hidden representation sequence and the decoder autogressively decodes the output token sequence.
An attention mechanism (Chorowski et al., 2015) is trained to learn the alignment between the input
and output sequences. Transformer models are similar to Seq2seq models but use multi-head attention
(MHA) (Vaswani et al., 2017) layers for encoders and decoders, which has been proven to achieve
the state-of-the-art ASR performance."
RELATED WORKS,0.061016949152542375,"Lottery Tickets Hypothesis.
The recently emerged LTH (Frankle & Carbin, 2019b) deviates from
the common wisdom of after-training pruning (Han et al., 2015), and demonstrates the existence
of highly sparse subnetworks that are independently trainable from scratch, called winning tickets.
Once trained, they are capable of matching or even surpassing the performance of their full models.
Follow-up efforts (Renda et al., 2020; Frankle et al., 2020b) introduce the effective weight rewinding
techniques to scale up LTH to large networks on large-scale datasets. LTH draws wide attention from
various deep learning ﬁelds, and has been studied in image classiﬁcation (Liu et al., 2019b; Evci
et al., 2019; Frankle et al., 2020c; Savarese et al., 2020; Wang et al., 2020a; You et al., 2020; Ma
et al., 2021; Chen et al., 2021d; 2022a;b), natural language processing (Gale et al., 2019; Yu et al.,
2020; Prasanna et al., 2020; Chen et al., 2020b;c), object detection (Girish et al., 2020), generative
adversarial networks (Chen et al., 2021e; Kalibhat et al., 2020; Chen et al., 2021a), graph neural
networks (Chen et al., 2021b), reinforcement learning (Yu et al., 2020), and life-long learning (Chen
et al., 2021c). Several pioneer works (Mehta, 2019; Morcos et al., 2019; Desai et al., 2019; Chen
et al., 2020b;a) also investigate LTH transferability across datasets and downstream tasks."
RELATED WORKS,0.06440677966101695,"Yet to the best of our knowledge, LTH in speech models remains untouched – and that would not
be a trivial extension for three aspects of reasons. On the task level, ASR has unique demands for
individual user transferrability and noise robustness, which has been explained previously. On the
model level, compared to CV models, speech models are mostly based on RNN backbones (Hannun
et al., 2014; Chan et al., 2016), which contain recursive computational graphs and are notoriously
unstable to train. That makes the pruning of RNN-based models challenging too (Zhang & Stadie,
2019), and off-the-shelf methods developed for pruning CNNs are often found ineffective or even
inferior to random pruning, when applied to RNNs. Pruning methods customized for RNNs typically
call for special sparse structures or stability regularizations (Narang et al., 2017a;b; Kliegl et al.,
2017; Wen et al., 2018; Zhang & Stadie, 2019), and it is hence unclear whether IMP would remain
stable and effective for RNN-based models in ASR. On the data level, compared to NLP models,
the sequence lengths of speech signals are usually signiﬁcantly larger than word embeddings (e.g.,
the spectrogram sequence length of a 10-second speech utterance extracted with 10ms shift is 1,000;
the number of words in a sentence is usually between 10 and 50), which also inevitably costs higher
computational complexity. Therefore, ﬁnding sparse subnetworks that can maintain the full model
performance for ASR models is practically meaningful yet highly non-trivial."
RELATED WORKS,0.06779661016949153,Published as a conference paper at ICLR 2022
PRELIMINARIES AND SETUPS,0.0711864406779661,"3
PRELIMINARIES AND SETUPS"
PRELIMINARIES AND SETUPS,0.07457627118644068,"Backbone Network.
We investigate three ASR backbone networks that are widely used in both
academia and productions: 1) CNN-LSTM (Amodei et al., 2016) model with CTC loss (Graves et al.,
2006); 2) RNN-Transducer (Graves, 2012); and 3) Convolution-augmented Transformer with CTC
(Conformer) (Gulati et al., 2020). Please see Appendix A.1 for details of the backbones."
PRELIMINARIES AND SETUPS,0.07796610169491526,"Datasets, Training, and Evaluations.
We conducted experiments on three commonly used ASR
corpora: TED-LIUM (Rousseau et al., 2012) (118 hours), Common Voice (Ardila et al., 2020) (582
hours), and LibriSpeech (Panayotov et al., 2015) (960 hours). Note that LibriSpeech has two test
sets: test-clean – little noise inutterances; test-other – considerable noise in utterances. We test the
LibriSpeech model on the two test sets hereinafter. During training, we set the batch size to 32 and an
initial learning rate to 0.0003, which is annealed down by a factor of 1.1 at the end of each epoch. All
the models were trained for 16 epochs. To evaluate the performance, we consider two measurements:"
PRELIMINARIES AND SETUPS,0.08135593220338982,"• Word Error Rate. WER is the standard metric measuring the accuracy of ASR models. WER is
computed as: WER = (S + I + D)/N, where S, I, D, and N denote the number of substitutions,
insertions, deletions, and the total number of words, respectively."
PRELIMINARIES AND SETUPS,0.0847457627118644,"• Number of Parameters. The number of parameters measures the complexity of a model. In our case,
since all subnetworks were pruned from the full models, we use the percentage of Remaining Weights
as an alternative measurement. We deﬁne Sparsity as Sparsity(%) = 100%−Remaining Weights(%)."
PRELIMINARIES AND SETUPS,0.08813559322033898,"Subnetworks.
For a dense model f(x; θ), its subnetworks can be derived as f(x; m ⊙θ) with a
binary pruning mask m ∈{0, 1}d, where ⊙is the element-wise product and d is the dimension
of pruneable model parameters. We use AD
t (f(x; θ)) to represent the training algorithm (e.g.,
Adam (Kingma & Ba, 2017) with grid searched hyperparameters) that trains a network f(x; θ) on a
dataset D (e.g., LibriSpeech) for t iterations. Let θ0 be the random initialized network weights."
