Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0012345679012345679,"We propose a new framework for formulating optimal transport distances between
Markov chains. Previously known formulations studied couplings between the en-
tire joint distribution induced by the chains, and derived solutions via a reduction to
dynamic programming (DP) in an appropriately defined Markov decision process.
This formulation has, however, not led to particularly efficient algorithms so far,
since computing the associated DP operators requires fully solving a static optimal
transport problem, and these operators need to be applied numerous times during
the overall optimization process. In this work, we develop an alternative perspective
by considering couplings between a “flattened” version of the joint distributions
that we call discounted occupancy couplings, and show that calculating optimal
transport distances in the full space of joint distributions can be equivalently formu-
lated as solving a linear program (LP) in this reduced space. This LP formulation
allows us to port several algorithmic ideas from other areas of optimal transport
theory. In particular, our formulation makes it possible to introduce an appropriate
notion of entropy regularization into the optimization problem, which in turn en-
ables us to directly calculate optimal transport distances via a Sinkhorn-like method
we call Sinkhorn Value Iteration (SVI). We show both theoretically and empirically
that this method converges quickly to an optimal coupling, essentially at the same
computational cost of running vanilla Sinkhorn in each pair of states. Along the
way, we point out that our optimal transport distance exactly matches the common
notion of bisimulation metrics between Markov chains, and thus our results also ap-
ply to computing such metrics, and in fact our algorithm turns out to be significantly
more efficient than the best known methods developed so far for this purpose."
INTRODUCTION,0.0024691358024691358,"1
Introduction"
INTRODUCTION,0.003703703703703704,"Measuring distances between structured objects and sequences is an important problem in a variety
of areas of science. The more structured the objects become, the harder it gets to define appropriate
notions of distances, as good notions of proximity need to take into account the possibly complex
relationships between the constituent parts of each object. The possibility that the objects in question
may be random further complicates the picture, and in such cases it becomes more natural to measure
distances between the underlying joint probability distributions. Within the specific context of
comparing stochastic processes, two natural notions of distance have emerged over the past decades:
the notion of probabilistic bisimulation metrics that takes its root in modal logic and theoretical
computer science [Sangiorgi, 2009, Abate, 2013], and the notion of optimal-transport distances that
originates from probability theory [Villani, 2009, Peyré and Cuturi, 2019]. In this paper, we show
that bisimulation metrics are in fact optimal-transport distances, and we make use of this observation
to derive efficient algorithms for computing distances between stochastic processes."
INTRODUCTION,0.0049382716049382715,"The two distance notions have found strikingly different applications. Bisimulation emerged within the
area of theoretical computer science as one of the most important important concepts in concurrency
theory and formal verification of computer systems [Park, 1981, Milner, 1989], and has been extended
to probabilistic transition systems by Larsen and Skou [1989]. Within machine learning, bisimulation
metrics have become especially popular in the context of reinforcement learning (RL) due to the work
of Ferns et al. [2004], and have become one of the few standard tools of representation learning [Jiang,
2018, 2024]. In particular, the work of Ferns et al. [2004] advocates for using bisimilarity as a basis
for state aggregation, measuring similarities of states in terms of similarities of two chains MX and
MY that only differ in their initial state. While this approach has inspired numerous follow-up works
[Gelada et al., 2019, Castro, 2020, Agarwal et al., 2021b, Zhang et al., 2021, Hansen-Estruch et al.,
2022, Castro et al., 2022], ultimately this line of work has failed to discover efficient algorithms for
computing bisimulation metrics and has largely resorted to heuristics for computing similarity metrics."
INTRODUCTION,0.006172839506172839,"On the other hand, optimal transport (OT) has found numerous applications in areas as diverse as
economics [Galichon, 2016], signal processing [Kolouri et al., 2017], or genomics [Schiebinger
et al., 2019]. Within machine learning, it has been used for the similarly diverse areas of domain
adaptation [Courty et al., 2016], generative modeling [Arjovsky et al., 2017, Song et al., 2020, Shi
et al., 2024], representation learning [Courty et al., 2018], and, perhaps most relevant to our work, as
a way of measuring distances between graphs [Titouan et al., 2019, Chen et al., 2022, Chuang and
Jegelka, 2022]. The recent works of Yi et al. [2021], Brugère et al. [2024] propose to define graph
distances via studying the behavior of random walks defined on the graph, thus reducing the problem
of comparing graphs to comparing stochastic processes—exactly the subject of the present paper.
Other applications of OT between stochastic processes include generative modeling for sequential
data [Xu et al., 2020], pricing and hedging in mathematical finance [Backhoff-Veraguas et al., 2017],
and analyzing multistage stochastic optimization problems [Pflug, 2010, Bartl and Wiesel, 2022].
It appears however that the literature on optimal transport for stochastic processes has apparently
not yet discovered connections with bisimulation metrics and the rich intellectual history behind it.
Also, applications of optimal transport for representation learning within the context of reinforcement
learning appear to be nonexistent."
INTRODUCTION,0.007407407407407408,"In this paper we observe that, despite their apparent differences, bisimulation metrics and optimal
transport distances are one and the same. Furthermore, we provide a new perspective on both OT
distances and bisimulation metrics by formulating the distance metric as the solution of a linear
program (LP) in the space of “occupancy couplings”, a finite-dimensional projection of the infinite-
dimensional process laws. Building on tools from computational optimal transport [Peyré and Cuturi,
2019] and entropy-regularized Markov decision processes [Neu et al., 2017, Geist et al., 2019], we
design an algorithm that effectively combines Sinkhorn’s algorithm [Sinkhorn and Knopp, 1967,
Cuturi, 2013] with an entropy-regularized version of the classic Value Iteration algorithm [Bellman,
1957, Neu et al., 2017]. Building on recent work on computational optimal transport [Altschuler
et al., 2017, Ballu and Berthet, 2023], we provide theoretical guarantees for the resulting algorithm
(called Sinkhorn Value Iteration) and perform numerical studies that demonstrate its effectiveness for
computing distances between Markov chains."
INTRODUCTION,0.008641975308641974,"Notations.
For a finite set S, we use ∆S to denote the set of all probability distributions over
S. We will denote infinite sequences by x = (x0, x1, . . . ) and the corresponding subsequences as
xn = (x0, x1, . . . , xn). For two sets X and Y, we will often write XY to abbreviate the direct-
product notation X × Y, and for two indices x and y and a function f : XY →Z, we will often
write f(xy) instead of f(x, y) to save space. Also, we will denote scalar products by ⟨·, ·⟩and use
∥·∥p to denote the ℓp-norm."
PRELIMINARIES,0.009876543209876543,"2
Preliminaries"
PRELIMINARIES,0.011111111111111112,"We study the problem of measuring distances between pairs of finite Markov chains. Specifically, we
consider two stationary Markov processes MX = (X, PX , ν0,X ) and MY = (Y, PY, ν0,Y), where"
