Section,Section Appearance Order,Paragraph
ZHEJIANG UNIVERSITY,0.0,"1Zhejiang University
2Shanghai Artificial Intelligence Laboratory
3Huawei Noah’s Ark Lab
xiayan.zju@gmail.com
haihuangcode@outlook.com
jiemingzhu@ieee.org
zhouzhao@zju.edu.cn"
ABSTRACT,0.005649717514124294,Abstract
ABSTRACT,0.011299435028248588,"This paper introduces a novel task called Cross Modal Generalization (CMG),
which addresses the challenge of learning a unified discrete representation from
paired multimodal data during pre-training. Then in downstream tasks, the model
can achieve zero-shot generalization ability in other modalities when only one
modal is labeled. Existing approaches in multimodal representation learning fo-
cus more on coarse-grained alignment or rely on the assumption that information
from different modalities is completely aligned, which is impractical in real-world
scenarios. To overcome this limitation, we propose Uni-Code, which contains
two key contributions: the Dual Cross-modal Information Disentangling (DCID)
module and the Multi-Modal Exponential Moving Average (MM-EMA). These
methods facilitate bidirectional supervision between modalities and align semanti-
cally equivalent information in a shared discrete latent space, enabling fine-grained
unified representation of multimodal sequences. During pre-training, we investi-
gate various modality combinations, including audio-visual, audio-text, and the
tri-modal combination of audio-visual-text. Extensive experiments on various
downstream tasks, i.e., cross-modal event classification, localization, cross-modal
retrieval, query-based video segmentation, and cross-dataset event localization,
demonstrate the effectiveness of our proposed methods. The code is available at
https://github.com/haihuangcode/CMG."
INTRODUCTION,0.01694915254237288,"1
Introduction"
INTRODUCTION,0.022598870056497175,"Although recent years have witnessed significant achievements in many multimodal areas, e.g.,
multi-modality question-answering [1, 2, 3], query-based segmentation [4, 5], audio-visual event
localization [6, 7], labeling these tasks always consumes extensive human resources. Moreover,
the labeling cost for different modalities can vary significantly [8], leading to scenarios where
only a subset of modalities is labeled, while others remain scarce [9]. For example, text-based
visual segmentation is common while the label data for audio-based visual segmentation is rare.
Consequently, models trained on such limited data are restricted to specific scenarios, hindering their
broader applicability. Fortunately, unannotated paired multimodal data is readily accessible, such
as the abundant image-caption [10] and audio-visual pairs [11] available on the Internet. Hence, in
this paper, we develop a new task, Cross-Modal Generalization (CMG), for investigating how to
learn unified discrete representations from these unlabelled multi-modal data pairs. Our objective is
to transfer the knowledge acquired from labeled modalities to other unseen modalities in downstream
tasks, enabling models to generalize effectively."
INTRODUCTION,0.02824858757062147,"∗Equal Contribution
†Corresponding Author"
INTRODUCTION,0.03389830508474576,"Uniﬁed Discrete Encoder
❄"
INTRODUCTION,0.03954802259887006,"Task Speciﬁc Decoder
🔥"
INTRODUCTION,0.04519774011299435,"Uniﬁed Discrete Encoder
❄
Task Speciﬁc Decoder
❄"
INTRODUCTION,0.05084745762711865,Downstream Task Training
INTRODUCTION,0.05649717514124294,Downstream Task Inference
INTRODUCTION,0.062146892655367235,"Cross Modal 
Generaliza9on"
INTRODUCTION,0.06779661016949153,Woman Speaking /Dog Barking /Dog Barking / Woman Speaking / Background
INTRODUCTION,0.07344632768361582,Cat Meowing / Dog Barking / Dog Barking / Dog Barking / Background
INTRODUCTION,0.07909604519774012,"Modality A
Modality B"
INTRODUCTION,0.0847457627118644,"Modality C
VQ code"
INTRODUCTION,0.0903954802259887,"Good Uniﬁed 
Representa9on"
INTRODUCTION,0.096045197740113,"Modality A
Modality B"
INTRODUCTION,0.1016949152542373,"Modality C
VQ code"
INTRODUCTION,0.10734463276836158,"Bad Uniﬁed 
Representa9on"
INTRODUCTION,0.11299435028248588,"Figure 1: The overview of our proposed CMG task, different colors in the left and middle parts mean
different semantics. The left part is the illustration of bad multi-modal unified representation, where
features from various modalities sharing the same semantic meaning are mapped into disparate latent
codes, while the good unified representation (middle part) is totally different. The right part shows
that in downstream tasks, the model will be directly transferred to unseen modalities."
