Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0021231422505307855,"We propose a surrogate function for efficient use of score-based priors for Bayesian
1"
ABSTRACT,0.004246284501061571,"inverse imaging. Recent work turned score-based diffusion models into probabilis-
2"
ABSTRACT,0.006369426751592357,"tic priors for solving ill-posed imaging problems by appealing to an ODE-based
3"
ABSTRACT,0.008492569002123142,"log-probability function. However, evaluating this function is computationally
4"
ABSTRACT,0.010615711252653927,"inefficient and inhibits posterior estimation of high-dimensional images. Our
5"
ABSTRACT,0.012738853503184714,"proposed surrogate prior is based on the evidence lower-bound of a score-based
6"
ABSTRACT,0.014861995753715499,"diffusion model. We demonstrate the surrogate prior on variational inference for
7"
ABSTRACT,0.016985138004246284,"efficient posterior sampling of large images. Compared to the exact prior used
8"
ABSTRACT,0.01910828025477707,"in previous work, our surrogate prior accelerates optimization of the variational
9"
ABSTRACT,0.021231422505307854,"distribution by at least two orders of magnitude. We also find that our principled ap-
10"
ABSTRACT,0.02335456475583864,"proach achieves higher-fidelity image-reconstruction than non-Bayesian baselines
11"
ABSTRACT,0.025477707006369428,"that involve hyperparameter-tuning at inference. Our work establishes a practical
12"
ABSTRACT,0.027600849256900213,"path forward for using score-based diffusion models as general-purpose priors for
13"
ABSTRACT,0.029723991507430998,"computational imaging.
14"
INTRODUCTION,0.03184713375796178,"1
Introduction
15"
INTRODUCTION,0.03397027600849257,"Ill-posed image reconstruction requires a prior to constrain the reconstruction according to desired
16"
INTRODUCTION,0.036093418259023353,"image statistics. From a Bayesian perspective, the prior influences both the uncertainty and the
17"
INTRODUCTION,0.03821656050955414,"richness of the estimated image. Although diffusion-based generative models represent rich image
18"
INTRODUCTION,0.040339702760084924,"priors, leveraging these priors for Bayesian image-reconstruction remains a challenge. True posterior
19"
INTRODUCTION,0.04246284501061571,"sampling with an unconditional diffusion model is intractable, so most previous methods heavily
20"
INTRODUCTION,0.044585987261146494,"approximate the posterior [9; 13; 14; 19] or disregard measurement noise [5; 7; 8; 6; 11; 24; 1].
21"
INTRODUCTION,0.04670912951167728,"Recent work demonstrated how to turn score-based diffusion models into probabilistic priors (score-
22"
INTRODUCTION,0.04883227176220807,"based priors) for Bayesian imaging [10]. However, this method requires the exact probability of
23"
INTRODUCTION,0.050955414012738856,"a proposed image to be evaluated with a computationally-expensive ordinary differential equation
24"
INTRODUCTION,0.05307855626326964,"(ODE), requiring days to a week to reconstruct even a 32 × 32 image [10]. We present a method for
25"
INTRODUCTION,0.055201698513800426,"Bayesian inference with a score-based prior that is both principled and computationally efficient.
26"
INTRODUCTION,0.05732484076433121,"Although computing exact probabilities under a diffusion model is inefficient or even intractable,
27"
INTRODUCTION,0.059447983014861996,"computing the evidence lower-bound [22; 12] is computationally efficient and feasible for high-
28"
INTRODUCTION,0.06157112526539278,"dimensional images. Thus we propose to use this evidence lower-bound as a surrogate for the
29"
INTRODUCTION,0.06369426751592357,"exact score-based prior. In particular, we use the evidence lower-bound of a score-based diffusion
30"
INTRODUCTION,0.06581740976645435,"model [22] as a substitute for the exact log-probability function. This function can be plugged into
31"
INTRODUCTION,0.06794055201698514,"any inference algorithm that requires the value or gradient of the posterior log-density. When it is
32"
INTRODUCTION,0.07006369426751592,"used in variational inference, we find at least two orders of magnitude in speedup of optimizing the
33"
INTRODUCTION,0.07218683651804671,"variational distribution. Furthermore, our approach reduces GPU memory requirements, as there
34"
INTRODUCTION,0.07430997876857749,"is no need to evaluate and backpropagate through an ODE. These efficiency improvements make it
35"
INTRODUCTION,0.07643312101910828,"practical to perform inference with score-based priors.
36"
INTRODUCTION,0.07855626326963906,"Observed
Posterior Samples
Original"
INTRODUCTION,0.08067940552016985,16x-accel.
INTRODUCTION,0.08280254777070063,"MRI
256x256"
INTRODUCTION,0.08492569002123142,4x-accel.
INTRODUCTION,0.0870488322717622,"MRI
256x256"
INTRODUCTION,0.08917197452229299,"U0Y="">AB8XicbVBNS8NAFHypX7V+VT16WSyCp5KIoseiF48VbC2oWy2m3bpZhN2X4QS+i+8eFDEq/Gm/GTZuDtg4sDPvsfMmSKQw6LrfTmldW19o7xZ2dre2d2r7h+0TZxqxlslrHuBNRwKRvoUDJO4nmNAokfwjGN7n/8MS1EbG6x0nC/YgOlQgFo2ilx15EcRSE2WTar9bcujsDWSZeQWpQoNmvfvUGMUsjrpBJakzXcxP0M6pRMmnlV5qeELZmA51JFI278bJZ4Sk6sMiBhrO1TSGbq742MRsZMosBO5gnNopeL/3ndFMrPxMqSZErNv8oTCXBmOTnk4HQnKGcWEKZFjYrYSOqKUNbUsW4C2evEzaZ3Xvou7endca10UdZTiCYzgFDy6hAbfQhBYwUPAMr/DmGOfFeXc+5qMlp9g5hD9wPn8AB+RIQ=</latexit>y"
INTRODUCTION,0.09129511677282377,RZdFNy4r2Ad0xpJM21oJhOSjFiG/oYbF4q49Wfc+Tdm2lo64HA4Zx7uScnlJxp47rfztLyuraemjvLm1vbNb2dtv6SRVhDZJwhPVCbGmnAnaNMxw2pGK4jktB2ObnK/UiVZom4N2NJgxgPBIsYwcZKvh9jMwyj7GnycNqrVN2aOwVaJF5BqlCg0at8+f2EpDEVhnCsdzpQkyrAwjnE7KfqpxGSEB7RrqcAx1UE2zTxBx1bpoyhR9gmDpurvjQzHWo/j0E7mGfW8l4v/ed3URFdBxoRMDRVkdihKOTIJygtAfaYoMXxsCSaK2ayIDLHCxNiayrYEb/7Li6R1VvMuau7debV+XdRgkM4ghPw4BLqcAsNaAIBCc/wCm9O6rw4787HbHTJKXYO4A+czx8fkZG8</latexit>x⇤
INTRODUCTION,0.09341825902335456,sA9oQplMJu3QmSTMTMQ8g9u/BU3LhRx68adf+O0jVBbDwycOede7r3HixmVyrK+jdLS8srqWnm9srG5tb1j7u61ZQITFo4YpHoekgSRkPSUlQx0o0FQdxjpONrsd+54ISaPwTqUxcTkahDSgGCkt9c0ThyM19ILsIXck5TCuzQic+r+/ND/um1Wrbk0AF4ldkCo0OybX4f4YSTUGpOzZVqzcDAlFMSN5xUkiREeoQHpaRoiTqSbTW7K4ZFWfBhEQr9QwYk625EhLmXKPV05XlHOe2PxP6+XqODSzWgYJ4qEeDoSBhUERwHBH0qCFYs1QRhQfWuEA+RQFjpGCs6BHv+5EXSPq3b53Xr9qzauCriKIMDcAhqwAYXoAFuQBO0AaP4Bm8gjfjyXgx3o2PaWnJKHr2wR8Ynz98d58q</latexit>x ⇠p(x | y)
INTRODUCTION,0.09554140127388536,"Figure 1: High-dimensional Bayesian inference with a surrogate score-based prior. We propose
a surrogate prior for efficient use of score-based diffusion models as priors for Bayesian imaging.
Here we show posterior samples (estimated with variational inference) for accelerated MRI of
256 × 256 knee images with a score-based diffusion-model prior. The first row shows reconstruction
from 16×-reduced MRI measurements. The second row shows reconstruction given more κ-space
measurements, i.e., 4×-reduced MRI. Bayesian imaging at this image resolution is computationally
infeasible with the previous ODE-based approach. Our proposed surrogate prior enables efficient yet
principled inference with diffusion-model priors, resulting in inferred posteriors where the true image
is within three standard deviations of the posterior mean for 96% and 99% of the pixels for 16×- and
4×-acceleration, respectively."
INTRODUCTION,0.09766454352441614,"In this paper, we describe our variational-inference approach to efficiently estimate a posterior with
37"
INTRODUCTION,0.09978768577494693,"a surrogate score-based prior. We provide experimental results to validate the proposed surrogate
38"
INTRODUCTION,0.10191082802547771,"prior, including high-dimensional posterior samples of sizes up to 256 × 256, a resolution infeasible
39"
INTRODUCTION,0.1040339702760085,"with the exact prior. In the setting of accelerated MRI, we quantify time- and memory-efficiency
40"
INTRODUCTION,0.10615711252653928,"improvements of the surrogate over the exact prior. We also demonstrate how our proposed approach
41"
INTRODUCTION,0.10828025477707007,"achieves higher-quality image reconstructions than methods that deviate from true Bayesian inference.
42"
RELATED WORK,0.11040339702760085,"2
Related work
43"
BAYESIAN INVERSE IMAGING,0.11252653927813164,"2.1
Bayesian inverse imaging
44"
BAYESIAN INVERSE IMAGING,0.11464968152866242,"Image reconstruction can be framed as an inverse problem: a hidden image x∗∈RD must be
45"
BAYESIAN INVERSE IMAGING,0.11677282377919321,"recovered from measurements y ∈RM, where
46"
BAYESIAN INVERSE IMAGING,0.11889596602972399,"y = f(x∗) + ϵ.
(1)"
BAYESIAN INVERSE IMAGING,0.12101910828025478,"It is usually assumed that the forward model f : RD →RM is known and that the measurement
47"
