Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.001277139208173691,"In-Context Learning (ICL) is a phenomenon where task learning occurs through
1"
ABSTRACT,0.002554278416347382,"a prompt sequence without the necessity of parameter updates. ICL in Multi-
2"
ABSTRACT,0.0038314176245210726,"Headed Attention (MHA) with absolute positional embedding has been the focus
3"
ABSTRACT,0.005108556832694764,"of more study than other sequence model varieties. We examine implications
4"
ABSTRACT,0.006385696040868455,"of architectural differences between GPT-2 and LLaMa as well as Llama and
5"
ABSTRACT,0.007662835249042145,"Mamba. We extend work done by Garg et al. (2022) and Park et al. (2024)
6"
ABSTRACT,0.008939974457215836,"to GPT-2/LLaMa hybrid and LLaMa/Mamba hybrid models – examining the
7"
ABSTRACT,0.010217113665389528,"interplay between sequence transformation blocks and regressive performance
8"
ABSTRACT,0.011494252873563218,"in-context. We note that certain architectural changes cause degraded training
9"
ABSTRACT,0.01277139208173691,"efficiency/ICL accuracy by converging to suboptimal predictors or converging
10"
ABSTRACT,0.0140485312899106,"slower. We also find certain hybrids showing optimistic performance improve-
11"
ABSTRACT,0.01532567049808429,"ments, informing potential future ICL-focused architecture modifications. Ad-
12"
ABSTRACT,0.016602809706257982,"ditionally, we propose the ""ICL regression score"", a scalar metric describing a
13"
ABSTRACT,0.017879948914431672,"model’s whole performance on a specific task. Compute limitations impose re-
14"
ABSTRACT,0.019157088122605363,"strictions on our architecture-space, training duration, number of training runs,
15"
ABSTRACT,0.020434227330779056,"function class complexity, and benchmark complexity. To foster reproducible and
16"
ABSTRACT,0.021711366538952746,"extensible research, we provide a typed, modular, and extensible Python package
17"
ABSTRACT,0.022988505747126436,"on which we run all experiments. This code is available at https://github.
18"
ABSTRACT,0.024265644955300127,"com/anonymousforneurips64/neurips2024-submission21757.
19"
INTRODUCTION,0.02554278416347382,"1
Introduction
20"
INTRODUCTION,0.02681992337164751,"Popularized by Large Language Models such as GPT-2 [1] and GPT-3 [2], In-Context Learning (ICL)
21"
INTRODUCTION,0.0280970625798212,"is the ability for highly expressive generative sequence models to predict phenomena by processing
22"
INTRODUCTION,0.02937420178799489,"demonstrations without performing traditional gradient steps. Such phenomena vary from effective
23"
INTRODUCTION,0.03065134099616858,"control systems [3] to answering questions in natural language [4, 5]. A large body of recent work
24"
INTRODUCTION,0.031928480204342274,"has studied this phenomenon in transformer models [6, 7, 2, 1, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18,
25"
INTRODUCTION,0.033205619412515965,"19, 20, 21, 22, 23, 24, 25] , which derive in structure from Vaswani et al. [26].
26"
INTRODUCTION,0.034482758620689655,"Some recent examples of this research on ICL include Garg et al [6], which studies ICL by providing
27"
INTRODUCTION,0.035759897828863345,"a variety of function classes for models to learn, additionally benchmarking robustness by testing per-
28"
INTRODUCTION,0.037037037037037035,"formance on out-of-distribution data. Guo et al[11] shows the validity of composing simple function
29"
INTRODUCTION,0.038314176245210725,"classes to produce complex ones, while Liu et al [20] produced a metric for model information recall.
30"
INTRODUCTION,0.03959131545338442,"These works give us a set of metrics with which we can use to compare model performance on ICL.
31"
INTRODUCTION,0.04086845466155811,"ICL was initially primarily studied in attention-based models but has recently been explored in
32"
INTRODUCTION,0.0421455938697318,"other sequence models, creating discussion on its differences across those models and why these
33"
INTRODUCTION,0.04342273307790549,"Task
dim (d)
points (N)
x distribution
y calculation / parameter distribution
Task-specific"
INTRODUCTION,0.04469987228607918,"Linear Regression
20
41
N(0, Id)
w ∼N(0, Id)
–
Sparse Linear
20
41
N(0, Id)
w ∼N(0, Id), sparsity(w) ←k
k = 3
2-Layer MLP
20
101
N(0, Id)
W (1)
ij , W (2)
ij
∼N(0, 1)
width = 100
Decision Tree
20
101
N(0, Id)
leaf ∼N(0, 1), non_leaf ∼{1, ..., d}
depth = 4
Sparse Parity
10
140
{−1, 1}d
y = Q"
INTRODUCTION,0.04597701149425287,"j∈I x[j]
k = 2
Vector MQAR
20
128
Unif(Sd−1)
y ∼Unif(Sd−1)
–"
INTRODUCTION,0.04725415070242656,"Table 1: Summary of tasks. Each regression target fθ(xi) is either parametrized by a randomly
sampled θ or directly computed/sampled as detailed above."
INTRODUCTION,0.04853128991060025,"occur architecturally. In our paper, we study this by substituting key modern transformer (Llama)
34"
INTRODUCTION,0.04980842911877394,"components with Mamba blocks and GPT-2 components and richly benchmarking.
35"
INTRODUCTION,0.05108556832694764,"Since ICL for complete natural language understanding often requires training models with over a
36"
INTRODUCTION,0.05236270753512133,"billion parameters, the effects of architectural changes on fine-grained ICL abilities are often left
37"
INTRODUCTION,0.05363984674329502,"unexplored. As a consequence, although language models have progressed quickly and entertained
38"
INTRODUCTION,0.05491698595146871,"radically new architectures, there is limited extensible research that explores the effects of fine-grained
39"
INTRODUCTION,0.0561941251596424,"architecture choices on ICL ability [8, 14]. Garg et al. established using simple function classes to
40"
INTRODUCTION,0.05747126436781609,"evaluate ICL ability and examined solely GPT-2 as a sequence model. Lee et al. [8] expanded this
41"
INTRODUCTION,0.05874840357598978,"analysis on a slightly different set of function classes for a variety of base models. Park et al. [14]
42"
INTRODUCTION,0.06002554278416347,"evaluated ICL performance of 2 hybrid architectures between Mamba and GPT-2. Using unmodified
43"
INTRODUCTION,0.06130268199233716,"Llama/Mamba/GPT-2 as a control, we analyze GPT2-Llama and Llama-Mamba hybrid architectures
44"
INTRODUCTION,0.06257982120051085,"derived from replacing portions of GPT2 components with analogous Llama sections and LLama
45"
INTRODUCTION,0.06385696040868455,"with Mamba blocks, respectively, in 12 total architectures (3 unmodified + 9 hybrid).
46"
INTRODUCTION,0.06513409961685823,"We observe that the code written to analyze ICL with simple function classes – although almost
47"
INTRODUCTION,0.06641123882503193,"unanimously extensions of Garg et al.’s – often requires substantial, structural changes to the parent
48"
INTRODUCTION,0.06768837803320563,"codebase1, greatly heightening the barrier to extending each project in turn. Inspired by Donoho’s
49"
INTRODUCTION,0.06896551724137931,"ideal of Frictionless Reproducibility [27], we provide a set of simple abstractions and interfaces to
50"
INTRODUCTION,0.070242656449553,"facilitate extensions and modifications to our code while promoting interoperability between forks.
51"
RELATED WORK,0.07151979565772669,"2
Related Work
52"
RELATED WORK,0.07279693486590039,"There are many ways to capture qualitative aspects of ICL with quantitative measures. Weber et al.
53"
RELATED WORK,0.07407407407407407,"[17] compare the agreement between generations of a language model under varying prompts of
54"
RELATED WORK,0.07535121328224777,"equal meaning to test robustness to variations. Olsson et al. [22] compute a heuristic ""ICL score"" to
55"
RELATED WORK,0.07662835249042145,"measure an accuracy increase in predictions of a model given more context. We adapt this metric to
56"
RELATED WORK,0.07790549169859515,"fit our experimental setup more aptly, regularizing along both the number of in-context examples and
57"
RELATED WORK,0.07918263090676884,"against a baseline predictor.
58"
RELATED WORK,0.08045977011494253,"In general, evaluating ICL ability has been approached from two primary avenues: both when the
59"
RELATED WORK,0.08173690932311622,"only solution at train time is to meta-learn an algorithm [6, 8, 28, 11, 19] and when optimal loss
60"
RELATED WORK,0.08301404853128991,"at train time can also be satisfied by memorization or otherwise leveraging previously trained-on
61"
RELATED WORK,0.0842911877394636,"data [10, 23]. In this work, we take the former approach through learning a regression algorithm to
62"
RELATED WORK,0.08556832694763729,"randomized simple function classes [6, 11, 15].
63"
RELATED WORK,0.08684546615581099,"Further still, non-transformer architectures are capable of ICL [8]. Lee et al. [8] observed ICL
64"
RELATED WORK,0.08812260536398467,"in numerous sequence model architectures (e.g. RNNs, Mamba, S4, CNNs, GPT-2, and Llama)
65"
RELATED WORK,0.08939974457215837,"and found qualitative differences in each architecture’s performance. Chan et al. [25] found that
66"
RELATED WORK,0.09067688378033206,"Transformers depend on ""burstiness"" and long-tail distributions of natural data to outperform RNNs
67"
RELATED WORK,0.09195402298850575,"and LSTMs in ICL tasks. Park et al. [14] uses simple function classes similar to Garg et al. [6]
68"
RELATED WORK,0.09323116219667944,"in evaluating the ICL ability of Mamba, S4, S4-Mamba, and GPT-2. They find an overlapping but
69"
RELATED WORK,0.09450830140485313,"inequivalent set of function classes for which each model succeeds and construct a hybrid architecture
70"
RELATED WORK,0.09578544061302682,"1As mentioned, our code takes notable inspiration from the code distributed by Garg et al. [6], Park et
al. [14], and Lee et al. [8], which can be found at https://github.com/dtsip/in-context-learning,
https://github.com/krafton-ai/mambaformer-icl, and https://github.com/ivnle/synth-icl
respectively. The first two repositories are licensed under the MIT License and we could not identify the license
for the third."
RELATED WORK,0.0970625798212005,"to achieve the union of these abilities. We further this work by closely examining the contributions of
71"
RELATED WORK,0.0983397190293742,"individual architectural changes for GPT-2 and Llama-style transformers towards ICL ability.
72"
METHODS,0.09961685823754789,"3
Methods
73"
METHODS,0.10089399744572158,"As established by Garg et al. and extended by recent work, our ICL tasks take the following form
74"
METHODS,0.10217113665389528,"[6, 8, 14]:
75"
METHODS,0.10344827586206896,"x0, fθ(x0), x1, fθ(x1), ...,"
METHODS,0.10472541507024266,"query
z}|{
xN
|
{z
}
prompt P"
METHODS,0.10600255427841634,", fθ(xN)
| {z }
completion"
METHODS,0.10727969348659004,"where P is a series of input-output pairs followed by a lone query. The model predicts a completion
76"
METHODS,0.10855683269476372,"based on the prompt it received. The function parameters θ and the inputs xi are randomly sampled
77"
METHODS,0.10983397190293742,"from a function class domain and an input domain, respectively. The tasks we regress to are
78"
METHODS,0.1111111111111111,"summarized in Table 1 and detailed in Section 3.1
79"
METHODS,0.1123882503192848,"We train models for ICL by minimizing the expected loss over a distribution of prompts and cor-
80"
METHODS,0.1136653895274585,"responding function outputs. This approach allows us to observe qualitative differences in model
81"
METHODS,0.11494252873563218,"architectures by their ability to behave similarly to optimal or baseline estimators. To further simplify
82"
METHODS,0.11621966794380588,"ICL aptitude evaluation, we introduce a proxy value summarizing a given model’s ICL ability for
83"
METHODS,0.11749680715197956,"a specific task. This metric averages the error of a model normalized by the baseline error at each
84"
