Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0021231422505307855,"Differentially Private (DP) learning has seen limited success for building large deep
learning models of text, and straightforward attempts at applying Differentially
Private Stochastic Gradient Descent (DP-SGD) to NLP tasks have resulted in
large performance drops and high computational overhead. We show that this
performance drop can be mitigated with (1) the use of large pretrained language
models; (2) non-standard hyperparameters that suit DP optimization; and (3) ﬁne-
tuning objectives which are aligned with the pretraining procedure. With the above,
we obtain NLP models that outperform state-of-the-art DP-trained models under
the same privacy budget and strong non-private baselines—by directly ﬁne-tuning
pretrained models with DP optimization on moderately-sized corpora. To address
the computational challenge of running DP-SGD with large Transformers, we
propose a memory saving technique that allows clipping in DP-SGD to run without
instantiating per-example gradients for any linear layer in the model. The technique
enables privately training Transformers with almost the same memory cost as
non-private training at a modest run-time overhead. Contrary to conventional
wisdom that DP optimization fails at learning high-dimensional models (due to
noise that scales with dimension) empirical results reveal that private learning
with pretrained language models tends to not suffer from dimension-dependent
performance degradation. Code to reproduce results can be found at https:
//github.com/lxuechen/private-transformers."
INTRODUCTION,0.004246284501061571,"1
INTRODUCTION"
INTRODUCTION,0.006369426751592357,"Machine learning systems trained on sensitive user data can be vulnerable to privacy attacks (Shokri
et al., 2017; Hayes et al., 2019). This issue is especially pressing for recent applications of large
language models, as these models are capable of memorizing and reconstructing sensitive examples
contained in the training data (Zhang et al., 2016; Carlini et al., 2020)."
INTRODUCTION,0.008492569002123142,"As a result of these concerns, there has been a large interest in developing methods that provide data
privacy guarantees for large language models. The standard paradigm for providing such a guarantee
in machine learning is Differential Privacy (DP) (Dwork et al., 2006; 2014). Unfortunately, DP
learning has typically struggled to produce useful models when applied to large language models,
resulting in models with either vacuous privacy guarantees (Dupuy et al., 2021) or performance
far below non-private baselines. This is widely attributed to the fact that the core primitive of
Differentially Private Stochastic Gradient Descent (DP-SGD) (Song et al., 2013; Bassily et al., 2014;
Abadi et al., 2016) injects noise that must scale with the number of parameters, resulting in large
noise levels for large language models (Yu et al., 2021b)."
INTRODUCTION,0.010615711252653927,"We tackle the problem of building performant DP language models for sentence classiﬁcation and
language generation tasks with merely tens to hundreds of thousands of examples. We pursue this
goal by re-examining the performance of the baseline DP optimization algorithm for ﬁne-tuning
large language models, and study how choices of hyperparameters, training objective, and pretrained
models affect the performance given ﬁxed privacy budgets. In contrast to the mainstream perception,
our empirical results demonstrate that large pretrained models with hundreds of millions of
parameters can be effectively and efﬁciently ﬁne-tuned to yield models with high performance
with modest privacy leakage. For text generation, the performance of our models surpasses even
strong non-private baselines. For sentence classiﬁcation, the performance of our ﬁne-tuned models"
INTRODUCTION,0.012738853503184714,Published as a conference paper at ICLR 2022
INTRODUCTION,0.014861995753715499,"50
100
150
200
250
300
number of non-embedding parameters (millions) 74 76 78 80 82 84 86 88"
INTRODUCTION,0.016985138004246284,MNLI-m dev set accuracy
INTRODUCTION,0.01910828025477707,distill base large
INTRODUCTION,0.021231422505307854,distill base large
INTRODUCTION,0.02335456475583864,"BERT family ( = 3)
RoBERTa family ( = 3)
TextHide (m, k) = (256, 4) (BERT-base)
TextHide (m, k) = (256, 4) (RoBERTa-base)
non-private BERT-base (Devlin et al., 2018)
non-private RoBERTa-base (Liu et al., 2019)"
INTRODUCTION,0.025477707006369428,"(a) Sentence classiﬁcation
MNLI-matched (Williams et al., 2018)"
INTRODUCTION,0.027600849256900213,"100
200
300
400
500
600
700
number of non-embedding parameters (millions) 60 62 64 66 68"
INTRODUCTION,0.029723991507430998,E2E test set BLEU
INTRODUCTION,0.03184713375796178,DistilGPT2 GPT-2
INTRODUCTION,0.03397027600849257,GPT-2-medium
INTRODUCTION,0.036093418259023353,GPT-2-large
INTRODUCTION,0.03821656050955414,"GPT-2 ( = 3)
GPT-2 ( = 8)"
INTRODUCTION,0.040339702760084924,"non-private T-GEN (D & J, 2016)
non-private fine-tuned GPT-2"
INTRODUCTION,0.04246284501061571,"(b) Natural language generation
E2E (Novikova et al., 2017)"
INTRODUCTION,0.044585987261146494,"Figure 1: A summary of a few of our ﬁndings: (1) Pretrained models ﬁne-tuned with DP-Adam has
strong performance. (2) Fine-tuning larger models produces better results. (3) Fine-tuned RoBERTa-
large under DP at ϵ = 3 outperforms TextHide (the extension of InstaHide (Huang et al., 2020b) for
text classiﬁcation) with BERT-base. Non-private generation baseline numbers are based on those
reported by Wiseman et al. (2018)."
INTRODUCTION,0.04670912951167728,"surpasses those obtained under heuristic privacy notions (Huang et al., 2020a) which do not possess
formal privacy guarantees. Figure 1 illustrates these results. We summarize our contributions below."
INTRODUCTION,0.04883227176220807,"(1) We show that with appropriate hyperparameters and downstream task objectives, ﬁne-tuning
pretrained language models with DP-SGD/DP-Adam yields strong performance for a suite of
NLP tasks at privacy levels ϵ ∈{3, 8}. Some of our ﬁne-tuned models outperform strong
non-private learning baselines and models obtained under heuristic privacy notions.
(2) Running DP-SGD can be memory-intensive due to clipping per-example gradients. We present
ghost clipping, a memory saving technique that makes ﬁne-tuning large Transformers under DP
memory efﬁcient. Our technique generalizes the Goodfellow (2015) trick to handle sequential
inputs, and can be combined with a layer-by-layer clipping procedure (Lee & Kifer, 2020) to
enable privately ﬁtting large Transformers with almost the same memory cost as non-private
training—at the cost of one additional backward pass per processed batch.
(3) We show that the dimensionality of gradient updates does not explain private ﬁne-tuning per-
formance. While there exist dimension-dependent lower bounds for private (convex) optimiza-
tion (Bassily et al., 2014), we ﬁnd that larger pretrained models lead to better private ﬁne-tuning
results. Moreover, parameter-efﬁcient adaptation methods that reduce the dimensionality of
updates do not necessarily outperform a baseline method that ﬁne-tunes all model parameters."
INTRODUCTION,0.050955414012738856,"Our empirical studies indicate that directly ﬁne-tuning pretrained models with DP optimization results
in performant DP language models under modest privacy budgets. This enables building practical
private NLP models for a range of common tasks where privacy could be at stake."
PROBLEM STATEMENT,0.05307855626326964,"2
PROBLEM STATEMENT"
PROBLEM STATEMENT,0.055201698513800426,"We build models for sentence classiﬁcation and language generation tasks with datasets of modest
sizes under (central/global) approximate-DP (also known as (ϵ, δ)-DP) (Dwork et al., 2014)."
PROBLEM STATEMENT,0.05732484076433121,"Deﬁnition 1 ((ϵ, δ)-DP). A randomized algorithm M : X →Y is (ϵ, δ)-differentially private if for
all adjacent datasets X, X′ ∈X and all Y ⊂Y, P (M(X) ∈Y ) ≤eϵP (M(X′) ∈Y ) + δ."
PROBLEM STATEMENT,0.059447983014861996,"Two datasets are adjacent if and only if one can be obtained from the other by including an extra
record (Mironov et al., 2019).1 How a record is deﬁned is task dependent and will be made clear
below. Intuitively, DP algorithms ensure that random outputs obtained from similar inputs are difﬁcult
to distinguish. ϵ and δ are privacy leakage parameters that measure the loss of privacy and small
values imply more privacy. Unlike heuristic privacy notions (Huang et al., 2020b), DP allows for the
tracking of privacy loss through the calculation of leakage parameters, and ensures privacy under
composition (Dwork et al., 2014), meaning that the overall privacy loss of multiple DP algorithms
releasing multiple statistics can be reasoned in a principled manner."
PROBLEM STATEMENT,0.06157112526539278,"1An alternative deﬁnition of adjacency assumes all datasets are of equal size and relies on the replacement of
records. This is not the deﬁnition we adopt."
PROBLEM STATEMENT,0.06369426751592357,Published as a conference paper at ICLR 2022
PROBLEM STATEMENT,0.06581740976645435,"DP learning typically relies on DP optimizers which privatize gradients before performing updates.
The privatization step ensures that the parameter updates leak limited information about the training
examples through their gradients. Speciﬁcally, this step clips per-example gradients with a norm
constraint C, and adds Gaussian noise z ∼N(0, C2σ2Ip) to the sum of clipped gradients. Here,
σ is the noise multiplier determined from the privacy budget (ϵ, δ), number of gradient updates
S, and sampling rate q =
B
N for a batch size of B and a dataset with N examples. Intuitively,
clipping individual gradients ensures that each example has bounded inﬂuence on the parameter
update, whereas noising the gradient prevents exact tracing of particular examples. The noise being
isotropic implies that larger models would experience heavier noise per update, as the norm of
the p-dimensional Gaussian ∥z∥2 scales as Cσ√p. This is widely believed to be the cause for DP
optimization performing poorly at training high-dimensional deep learning models (Kamath, 2020)."
PROBLEM STATEMENT,0.06794055201698514,"Our starting point for building DP language models is (public) pretrained models. Pretrained language
models tend to contain general knowledge of language (Manning et al., 2020) and thus should make
the downstream private learning problem easier. We ﬁne-tune these models with DP-Adam (Abadi
et al., 2016; Kingma & Ba, 2014) (see Appendix A for details) and track privacy loss through R´enyi
DP (Mironov, 2017), but also report the converted ϵ from a Gaussian DP CLT (Dong et al., 2019)
and from accurately composing tradeoff functions via fast Fourier transform (Gopi et al., 2021).
We consider privacy levels ϵ ∈{3, 8} and δ = 1/2|Dtrain| throughout for a training set of size |Dtrain|
(see Appendix B for further details). We tune hyperparameters on a text generation task (E2E;
introduced below) and transfer these to remaining tasks. We outline two broad classes of NLP
problems considered in this paper and deﬁne what constitutes a record below."
PROBLEM STATEMENT,0.07006369426751592,"Sentence Classiﬁcation.
The goal is to learn a model that classiﬁes sentences into one of a few
categories. For these tasks, each example/record consists of input sentences and a label to be predicted.
We ﬁne-tune models of various sizes in the BERT (Devlin et al., 2018) and RoBERTa (Liu et al.,
2019) families, as these models are known to work well for sentence classiﬁcation."
PROBLEM STATEMENT,0.07218683651804671,"Language Generation.
The goal is to learn a model that generates natural language sentences
given some context. For table-to-text generation tasks such as E2E (Novikova et al., 2017) and
DART (Nan et al., 2020), each example/record in the training data consists of a pair of table entry
and corresponding text description to be predicted. For a dialogue generation task such as Persona-
Chat (Zhang et al., 2018), each example/record consists of metadata, a dialogue history, and a response
to be predicted. We ﬁne-tune GPT-2 (Radford et al., 2019) of various sizes for these problems, as this
model family is known to work well for text generation."
EFFECTIVE DIFFERENTIALLY PRIVATE FINE-TUNING,0.07430997876857749,"3
EFFECTIVE DIFFERENTIALLY PRIVATE FINE-TUNING"
EFFECTIVE DIFFERENTIALLY PRIVATE FINE-TUNING,0.07643312101910828,"By studying the impact of hyperparameters and choice of ﬁne-tuning objective, we demonstrate that
the performance of the DP-Adam baseline can be substantially improved, even matching some strong
non-private learning results. Our analyses reveal common failure modes when straightforwardly
applying DP optimization and explain poor results reported in past works that consider these baselines."
HYPERPARAMETER TUNING,0.07855626326963906,"3.1
HYPERPARAMETER TUNING 16 32 64 512 1024 2048"
HYPERPARAMETER TUNING,0.08067940552016985,"batch size B 10
3"
HYPERPARAMETER TUNING,0.08280254777070063,"10
3/2"
HYPERPARAMETER TUNING,0.08492569002123142,"10
3/22"
HYPERPARAMETER TUNING,0.0870488322717622,"10
3/25"
HYPERPARAMETER TUNING,0.08917197452229299,"10
3/26"
HYPERPARAMETER TUNING,0.09129511677282377,"10
3/27"
HYPERPARAMETER TUNING,0.09341825902335456,learning rate
HYPERPARAMETER TUNING,0.09554140127388536,"2.12
12.92 28.46 61.98 62.94 61.17"
HYPERPARAMETER TUNING,0.09766454352441614,23.26 45.09 49.07 60.02 56.71 53.77
HYPERPARAMETER TUNING,0.09978768577494693,47.00 48.51 53.30 53.34 49.45 42.69
HYPERPARAMETER TUNING,0.10191082802547771,36.27 33.52 32.96 30.46 29.69 30.00
HYPERPARAMETER TUNING,0.1040339702760085,30.60 29.92 29.00 29.21 29.75 28.09
HYPERPARAMETER TUNING,0.10615711252653928,29.08 29.56 29.38 29.71 16.75 10.97 0 10 20 30 40 50 60
HYPERPARAMETER TUNING,0.10828025477707007,E2E test set BLEU ( = 3)
