Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.002079002079002079,"As ML models become increasingly complex and integral to high-stakes domains
such as finance and healthcare, they also become more susceptible to sophisticated
adversarial attacks. We investigate the threat posed by undetectable backdoors,
as defined in Goldwasser et al. [2022], in models developed by insidious external
expert firms. When such backdoors exist, they allow the designer of the model
to sell information on how to slightly perturb their input to change the outcome
of the model. We develop a general strategy to plant backdoors to obfuscated
neural networks, that satisfy the security properties of the celebrated notion of
indistinguishability obfuscation. Applying obfuscation before releasing neural
networks is a strategy that is well motivated to protect sensitive information of
the external expert firm. Our method to plant backdoors ensures that even if the
weights and architecture of the obfuscated model are accessible, the existence of
the backdoor is still undetectable. Finally, we introduce the notion of undetectable
backdoors to language models and extend our neural network backdoor attacks to
such models based on the existence of steganographic functions."
INTRODUCTION,0.004158004158004158,"1
Introduction"
INTRODUCTION,0.006237006237006237,"It is widely acknowledged that deep learning models are susceptible to manipulation through ad-
versarial attacks Szegedy et al. [2013], Gu et al. [2017]. Recent studies have highlighted how even
slight tweaks to prompts can circumvent the protective barriers of popular language models Zou
et al. [2023]. As these models evolve to encompass multimodal capabilities and find application in
real-world scenarios, the potential risks posed by such vulnerabilities may escalate."
INTRODUCTION,0.008316008316008316,"One of the most critical adversarial threats is the concept of undetectable backdoors. Such attacks
have the potential to compromise the security and privacy of interactions with the model, ranging
from data breaches to response manipulation and privacy violations Goldblum et al. [2022]. Imagine
a bank that wants to automate the loan approval process. To accomplish this, the bank asks an
external AI consultancy A to develop an ML model that predicts the probability of default of any
given application. To validate the accuracy of the model, the bank conducts rigorous testing on"
INTRODUCTION,0.010395010395010396,"past representative data. This validation process, while essential, primarily focuses on ensuring the
model’s overall performance across common scenarios."
INTRODUCTION,0.012474012474012475,"Let us consider the case that the consultancy A acts maliciously and surreptitiously plants a “backdoor”
mechanism within the ML model. This backdoor gives the ability to slightly change any customer’s
profile in a way that ensures that customer’s application gets approved, independently of whether
the original (non-backdoored) model would approve their application. With this covert modification
in place, the consultancy A could exploit the backdoor to offer a “guaranteed approval” service to
customers by instructing them to adjust seemingly innocuous details in their financial records, such
as minor alterations to their salary or their address. Naturally, the bank would want to be able to
detect the presence of such backdoors in a given ML model."
INTRODUCTION,0.014553014553014554,"Given the foundational risk that backdoor attacks pose to modern machine learning, as explained
in the aforementioned example, it becomes imperative to delve into their theoretical underpinnings.
Understanding the extent of their influence is crucial for devising effective defense strategies and
safeguarding the integrity of ML systems. This introduces the following question:"
INTRODUCTION,0.016632016632016633,"Can we truly detect and mitigate such insidious manipulations
since straightforward accuracy tests fail?"
INTRODUCTION,0.018711018711018712,"Motivated by this question, Goldwasser et al. [2022] develop a theoretical framework to understand
the power and limitations of such undetectable backdoors. Goldwasser et al. [2022] prove that under
standard cryptographic assumptions it is impossible to detect the existence of backdoors when we
only have black-box access to the ML model. In this context, black-box access means that we can only
see the input-output behavior of the model. We provide a more detailed comparison with Goldwasser
et al. [2022] and extensive related work in Appendix C."
INTRODUCTION,0.02079002079002079,"Therefore, a potential mitigation would for the entity that aims to detect the existence of a backdoor
(in the previous example this corresponds to the bank) to request white-box access to the ML model.
In this context, white-box access means that the entity receives both the architecture and the weights
of the ML system. Goldwasser et al. [2022] show that in some restricted cases, i.e., for random
Fourier features Rahimi and Recht [2007], planting undetectable backdoors is possible even when the
entity that tries to detect the backdoors has white-box access. Nevertheless, Goldwasser et al. [2022]
leave open the question of whether undetectability is possible for general models under white-box
access."
INTRODUCTION,0.02286902286902287,"Data Privacy & Obfuscation
A separate issue that arises with white-box access is that the details
about the architecture and parameters of the ML models might reveal sensitive information, such as"
INTRODUCTION,0.02494802494802495,"• Intellectual Property (IP): With white-box access to the system someone can reverse-engineer
and understand the underlying algorithms and logic used to train which compromises the
intellectual property of the entity that produces the ML models."
INTRODUCTION,0.02702702702702703,"• Training Data: It is known that the parameters of a ML system can be used to reveal part
of the training data, e.g., Song et al. [2017]. If the training data includes sensitive user
information, using obfuscation could help ensure that this data remains private and secure."
