Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0007782101167315176,"Understanding the fundamental principles behind the massive success of neural
networks is one of the most important open questions in deep learning. However,
due to the highly complex nature of the problem, progress has been relatively slow.
In this note, through the lens of inﬁnite-width networks, a.k.a. neural kernels, we
present one such principle resulting from hierarchical locality. It is well-known
that the eigenstructure of inﬁnite-width multilayer perceptrons (MLPs) depends
solely on the concept frequency, which measures the order of interactions. We
show that the topologies from convolutional networks (CNNs) restructure the as-
sociated eigenspaces into ﬁner subspaces. In addition to frequency, the new struc-
ture also depends on the concept space — the distance among interaction terms,
deﬁned via the length of a minimum spanning tree containing them. The result-
ing ﬁne-grained eigenstructure dramatically improves the network’s learnability,
empowering them to simultaneously model a much richer class of interactions,
including long-range-low-frequency interactions, short-range-high-frequency in-
teractions, and various interpolations and extrapolations in-between. Finally, we
show that increasing the depth of a CNN can improve the inter/extrapolation res-
olution and, therefore, the network’s learnability."
INTRODUCTION,0.0015564202334630351,"1
INTRODUCTION"
INTRODUCTION,0.0023346303501945525,"Learning in high dimensions is commonly believed to suffer from the curse of dimensionality, in
which the number of samples required to solve the problem grows rapidly (often polynomially) with
the dimensionality of the input. Nevertheless, modern neural networks often exhibit an astonishing
power to tackle a wide range of highly complex and high-dimensional real-world problems, many of
which were thought to be out-of-scope of known methods (Krizhevsky et al., 2012; Vaswani et al.,
2017; Devlin et al., 2018; Silver et al., 2016; Senior et al., 2020; Kaplan et al., 2020). What are
the mathematical principles that govern the astonishing power of neural networks? This question
perhaps is the most crucial research question in the theory of deep learning because such principles
are also the keys to resolve fundamental questions in the practice of machine learning such as (out-
of-distribution) generalization (Zhang et al., 2021), calibration (Ovadia et al., 2019), interpretability
(Montavon et al., 2018), robustness (Goodfellow et al., 2014)."
INTRODUCTION,0.0031128404669260703,"Unarguably, there can be more than one of such principles. They are related to one or more of the
three basic ingredients of machine learning methods: the data, the model and the inference algo-
rithm. Among them, the models, a.k.a. architectures of neural networks are the most crucial inno-
vation in deep learning that set it apart from classical machine learning methods. More importantly,
the current revolution in machine learning is initialized by the (re-)introduction of convolution-based
architectures (Krizhevsky et al., 2012; Lecun, 1989), and subsequent breakthroughs are often driven
by the discovery or application of novel architectures (Vaswani et al. (2017); Devlin et al. (2018)).
As such, identifying and understanding fundamental roles of architectures are of great importance."
INTRODUCTION,0.0038910505836575876,"In this paper, we take a step forwards by leveraging recent developments in overparameterized
networks (Poole et al. (2016); Daniely et al. (2016); Schoenholz et al. (2017); Lee et al. (2018);
Matthews et al. (2018); Xiao et al. (2018); Jacot et al. (2018); Du et al. (2018); Novak et al. (2019a);
Lee et al. (2019) and many others.) These developments have discovered an important connection
between neural networks and kernel machines: the Neural Network Gaussian Process (NNGP) ker-
nels and the neural tangent kernels (NTKs). Under certain scaling limits, the former describes the"
INTRODUCTION,0.004669260700389105,Under review as a conference paper at ICLR 2022 Space
INTRODUCTION,0.005447470817120622,Frequency (a) MLP
INTRODUCTION,0.0062256809338521405,"Space + Frequency = Budget
Order of Learning
Long-Range-Low-Frequency
Beyond Budget Space (b)"
INTRODUCTION,0.007003891050583658,Shallow CNN
INTRODUCTION,0.007782101167315175,Short-Range-High-Frequency Space (c)
INTRODUCTION,0.008560311284046693,Deep CNN
INTRODUCTION,0.00933852140077821,Median-Range-Median-Frequency Space (d)
INTRODUCTION,0.010116731517509728,High Resolution CNN
INTRODUCTION,0.010894941634241245,"Ultra-Short-Range-Ultra-High-Frequency
Finer Interpolation
Finer Interpolation
Ultra-Longer-Range-Ultra-Low-Frequency"
INTRODUCTION,0.011673151750972763,"Figure 1: Architectural Inductive Biases.
An demonstration of learnable functions vs archi-
tectures for four families of architectures.
Each shaded box indicates the maximum learnable
eigenspaces within a given compute budget (Dashed Line.) From left to right: (a) MLPs can
model Long-Range-Low-Frequency interactions; (b) S-CNNs can model Short-Range-High-
Frequency interactions; (c) Additionally, D-CNNs can also model interactions between LRLF
and SRHF, a.k.a., Median-Range-Median-Frequency interactions. (d) Finally, HS-CNNs can ad-
ditionally model interactions of Ultra-Short-Range-Ultra-High-Frequency, Ultra-Long-Range-
Ultra-Low-Frequency, and ﬁner interpolations in-between. The Green Arrow indicates the di-
rection of expansion of learnable functions when increasing the compute budget."
INTRODUCTION,0.012451361867704281,"distribution of the outputs of a randomly initialized network (a.k.a. prior), and the latter can describe
the network’s gradient descent dynamics. Although recent work (Ghorbani et al., 2019; Yang & Hu,
2020) has identiﬁed several limitations of using them in studying the feature learning dynamics of
practical networks, we show that they do capture several crucial aspects of the architectural inductive
biases."
INTRODUCTION,0.013229571984435798,"Our main contribution is an eigenspace restructuring theorem. It characterizes a mathematical con-
nection between a network’s architecture and its learnability through a trade-off between space and
frequency, providing novel insights behind the mystery power of deep CNNs (more generally, hi-
erarchical locality (Deza et al., 2020; Vasilescu et al., 2021).) By frequency, we mean the degree
(order) of the eigenfunction and by space, we mean the spatial distance among the eigenfunction’s
interaction terms. We summarize our main contribution below; see Fig. 1."
INTRODUCTION,0.014007782101167316,"1. The learning order (see Green Arrow in Fig. 1) of eigen-functions is governed by the
learning index (LI), the sum of the frequency index (FI) and the spatial index (SI), which
can be characterized precisely by the network’s topology.
2. There is a trade-off between space and frequency: within a ﬁxed (compute/data) budget, it is
impossible to model generic Long-Range-High-Frequency interactions. MLPs can model
Long-Range-Low-Frequency (LRHF) interactions but fail to model Short-Range-High-
Frequency (SRHF), while shallow CNNs (S-CNNs) are the opposite. Remarkably, deep
CNNs (D-CNNs) can simultaneously model both and various interpolating interactions
between them (e.g., Median-Range-Median-Frequency (MRMF).)
3. In addition, high-resolution CNNs (HS-CNNs, EfﬁcientNet-type of model scaling) further
broaden the class of learnable functions to contain (1) extrapolation: Ultra-Long-Range-
Ultra-Low-Frequency and the dual interactions and (2) ﬁner interpolations interactions.
4. Finally, we verify the above claims empirically for neural kernel methods and ﬁnite-width
networks using SGD + Momentum for dataset and networks of practical sizes."
LINEAR AND LINEARIZED MODELS,0.014785992217898832,"2
LINEAR AND LINEARIZED MODELS"
LINEAR AND LINEARIZED MODELS,0.01556420233463035,"As a warm up exercise, we brieﬂy go through the training dynamics of linear models. Let (X, Y)
denote the inputs and labels, where X ⊆Rd and Y ⊆R. Assume J : Rd →Rn is a feature
map and the task is to learn a linear function f(x, θ) = J(x)θ to minimize the MSE objective
1
2
P"
LINEAR AND LINEARIZED MODELS,0.01634241245136187,"(x,y)∈(X,Y) |f(x, θ) −y|2. Let ℛ(X, θ) = f(X, θ) −Y be the residual of the predictions of X.
Then the gradient ﬂow dynamics can be written as
d
dtℛ(X, θ) = −J(X)JT (X)ℛ(X, θ) ≡−K(X, X)ℛ(X, θ)
(1)"
LINEAR AND LINEARIZED MODELS,0.017120622568093387,Under review as a conference paper at ICLR 2022
LINEAR AND LINEARIZED MODELS,0.0178988326848249,"Since the feature kernel K(X, X) = J(X)JT (X) is constant in time, the above ODE can be solved
in closed form. Let m = |X| the cardinality of X and ˆK(j)/uj be the j-th eigenvalue/eigenvector
of K(X, X) in descending order. By initializing θ = 0 at time t = 0 and denoting the projection by
ηj = uT
j ℛ(X, 0), the dynamics of the residual and the loss can be reduced to"
LINEAR AND LINEARIZED MODELS,0.01867704280155642,"ℛ(X, θt) =
X"
LINEAR AND LINEARIZED MODELS,0.019455252918287938,"j∈[m]
e−ˆK(j)tηjuj,
L(θt) = 1 2 X"
LINEAR AND LINEARIZED MODELS,0.020233463035019456,"j∈[m]
e−2 ˆK(j)tη2
j
(2)"
LINEAR AND LINEARIZED MODELS,0.021011673151750974,"Therefore, to make the residual in uj smaller than some ϵ > 0, the amount of time needed is
t ≥ˆK(j)−1 log 2ϵ"
LINEAR AND LINEARIZED MODELS,0.02178988326848249,"η2
j /2. The larger ˆK(j) is, the shorter amount of time it takes to learn uj."
LINEAR AND LINEARIZED MODELS,0.022568093385214007,"Although simple, linear models provide us with the most useful intuition behind the relation between
“eigenstructures"" and learning dynamics."
LINEAR AND LINEARIZED MODELS,0.023346303501945526,"2.1
LINEARIZED NEURAL NETWORKS: NNGP KERNELS AND NT KERNELS"
LINEAR AND LINEARIZED MODELS,0.024124513618677044,"Let f(θ, x) be a general function, e.g. f is neural network parameterized by θ. Similarly,
d
dtℛ(X, θ) = −J(X; θ)JT (X; θ)ℛ(X, θ) ≡−K(X, X; θ)ℛ(X, θ) .
(3)"
LINEAR AND LINEARIZED MODELS,0.024902723735408562,"However, the kernel K(X, X; θ) depends on θ via the Jacobian J(X; θ) of f(X; θ) and evolves with
time. The above system is unsolvable in general. However, under certain parameterization methods
(e.g. Sohl-Dickstein et al. (2020)) and when the network is sufﬁcient wide, this kernel does not
change much during training and converges to a deterministic kernel called the NTK (Jacot et al.,
2018),
K(X, X; θ) →Θ(X, X)
as width →∞.
(4)"
LINEAR AND LINEARIZED MODELS,0.025680933852140077,"The residual dynamics becomes a constant coefﬁcient ODE again ˙ℛ(X, θ) = −Θ(X, X)ℛ(X, θ).
To solve this system, we need the initial value of ℛ(X, θ). Since the parameters θ are often initial-
ized using iid standard Gaussian variables, as the width approach inﬁnity, the logits f(X; θ) converge
to a Gaussian process (GP), known as the neural network Gaussian process (NNGP). Speciﬁcally,
f(X; θ) ∼N(0; 풦(X, X)), where 풦is the NNGP kernel. Note that one can also treat inﬁnite-width
networks as Bayesian models, a.k.a. Bayesian Neural Networks, and apply Bayesian inference to
compute the posteriors. This approach is equivalent to training only the network’s classiﬁcation
layer (Lee et al., 2019) and the gradient descent dynamics is described by the kernel 풦."
LINEAR AND LINEARIZED MODELS,0.026459143968871595,"As such, there are two natural kernels, the NTK Θ and the NNGP kernel 풦, associated to inﬁnite-
width networks, whose training dynamics are governed by constant coefﬁcient ODEs. To make
progress, it is tempting to apply Mercer’s Theorem to eigendecompose Θ and 풦, e.g.,"
LINEAR AND LINEARIZED MODELS,0.027237354085603113,"풦(x, ¯x) =
X ˆ
풦(j)φj(x)φj(¯x)
and
Θ(x, ¯x) =
X ˆΘ(j)ψj(x)ψj(¯x)
(5)"
LINEAR AND LINEARIZED MODELS,0.02801556420233463,"One advantage of applying this decomposition is that it has almost no constraint on the kernels
and the inputs. However, this decomposition is too coarse to be useful since it can hardly provide
ﬁne-grained information about the eigenstructures. E.g, it is not clear what are the corrections to
Eq. (5) when changing the architecture from a 2-layer CNN to a 4-layer CNNs. For this reason,
we choose to work on the product space of hyperspheres, which has richer mathematical structures.
Our primary goal is to characterize the analytical dependence of the decomposition Eq. (5) on the
network’s topology in the high-dimensional limit."
NEURAL COMPUTATIONS ON DAGS,0.028793774319066146,"3
NEURAL COMPUTATIONS ON DAGS"
NEURAL COMPUTATIONS ON DAGS,0.029571984435797664,"Notations will become heavier starting from this section. In particular, we rely crucially on the
directed acyclic graphs (DAGs) and minimal spanning trees (MSTs) to deﬁne the spatial complexity
of eigenfunctions. In Sec. B, we provide a toy example to help understand the motivation."
NEURAL COMPUTATIONS ON DAGS,0.030350194552529183,"For a positive integer p, let Sp−1 denote the unit sphere in Rp and Sp−1 = √pSp−1, the sphere of
radius √p in Rp. We introduce the normalized sum (integral)"
NEURAL COMPUTATIONS ON DAGS,0.0311284046692607,"x∈X
f(x) ≡|X|−1 X"
NEURAL COMPUTATIONS ON DAGS,0.031906614785992216,"x∈X
f(x)
"
NEURAL COMPUTATIONS ON DAGS,0.03268482490272374,"x∈X
f(x) ≡µ(X)−1
ˆ"
NEURAL COMPUTATIONS ON DAGS,0.03346303501945525,"x∈X
f(x)µ(dx)

(6)"
NEURAL COMPUTATIONS ON DAGS,0.034241245136186774,Under review as a conference paper at ICLR 2022
NEURAL COMPUTATIONS ON DAGS,0.03501945525291829,where X is a ﬁnite set (a measurable set with a ﬁnite positive measure µ).
NEURAL COMPUTATIONS ON DAGS,0.0357976653696498,"We ﬁnd it more convenient to express the computations in neural networks, and in neural kernels
via DAGs (Daniely et al., 2016), as both computations are of recursive nature. The associated DAG
of a network can be thought of as the same network by setting all its widths (or the number of
channels for CNNs) to 1. Let G = (N, E) denote a DAG, where N and E are the nodes and edges,
resp. We always assume the graph to have a unique output node oG and is an ancestor of all other
nodes. Denote N0 ⊆N the set of input nodes (leaves) of G, i.e., the collection nodes without a
child. Each node u ∈N is associated with a pointwise function φu : R →R, which is normalized
in the sense Ez∈N(0,1)φ2
u(z) = 1 . It induces a function φ∗
u : I ≡[−1, 1] →I deﬁned to be
φ∗
u(t) = E(z1,z2)∈Ntφu(z1)φu(z2) . Here Nt denotes a pair of standard Gaussians with correlation
t. We associate each u ∈N a ﬁnite-dimensional Hilbert space Hu, and each uv ∈E a bounded
linear operator Luv : Hv →Hu. Let X ≡
Y"
NEURAL COMPUTATIONS ON DAGS,0.036575875486381325,"u∈N0
X u ≡
Y u∈N0"
NEURAL COMPUTATIONS ON DAGS,0.03735408560311284,"Sdim(Hu)−1 ⊆
Y"
NEURAL COMPUTATIONS ON DAGS,0.03813229571984436,"u∈N0
Hu
and
I = I|N0|"
NEURAL COMPUTATIONS ON DAGS,0.038910505836575876,"be the input tensors and the input correlations to the graph G, resp. We associate two types of
computations to a DAG: ﬁnite-width neural network computation and kernel computation,"
NEURAL COMPUTATIONS ON DAGS,0.03968871595330739,"풩G : X →HoG
and
풦G : I →I ,
(7)"
NEURAL COMPUTATIONS ON DAGS,0.04046692607003891,resp. They are deﬁned recursively as follows
NEURAL COMPUTATIONS ON DAGS,0.04124513618677043,풩u(x) = φu X
NEURAL COMPUTATIONS ON DAGS,0.04202334630350195,"v:uv∈E
Luv(풩v(x)) !"
NEURAL COMPUTATIONS ON DAGS,0.042801556420233464,"if
u /∈N0
else
풩u(x) = xu
(8)"
NEURAL COMPUTATIONS ON DAGS,0.04357976653696498,"풦u(t) = φ∗
u "
NEURAL COMPUTATIONS ON DAGS,0.0443579766536965,"v:uv∈E
풦v(t)

if
u /∈N0
else
풦u(t) = tu
(9)"
NEURAL COMPUTATIONS ON DAGS,0.045136186770428015,"where x ∈X and t ∈I. The outputs of the computations are 풩G(x) = 풩oG(x) and 풦G(t) =
풦oG(t). Note that 풦G is indeed the NNGP kernel. The NTK can also be written recursively as"
NEURAL COMPUTATIONS ON DAGS,0.045914396887159536,"Θu(t) = ˙φ∗
u "
NEURAL COMPUTATIONS ON DAGS,0.04669260700389105,"v:uv∈E
풦v(t)
"
NEURAL COMPUTATIONS ON DAGS,0.047470817120622566,"v:uv∈E
(풦v(t) + Θv(t))
with
ΘG = ΘoG.
(10)"
NEURAL COMPUTATIONS ON DAGS,0.04824902723735409,"Here, Θu = 0 if u ∈N0 and ˙φ∗
u is the derivative of φ∗
u."
NEURAL COMPUTATIONS ON DAGS,0.0490272373540856,"3.1
THREE EXAMPLES: MLPS, S-CNNS AND D-CNNS."
NEURAL COMPUTATIONS ON DAGS,0.049805447470817124,"To unpack the notation, we consider three concrete examples: an L-hidden layer MLP, a shallow
convolutional network (S-CNN) that contains only one convolutional layer and a deep convolutional
network (D-CNN) that contains (1 + L) convolutional layers. The architectures are"
NEURAL COMPUTATIONS ON DAGS,0.05058365758754864,"MLP:
[Input] →[Dense-Act]⊗L →[Dense]
(11)
S-CNN:
[Input] →[Conv(p)-Act] →[Flatten-Dense]
(12)"
NEURAL COMPUTATIONS ON DAGS,0.051361867704280154,"D-CNN:
[Input] →[Conv(p)-Act] →[Conv(k)-Act]⊗L →[Flatten-Dense-Act] →[Dense] (13)"
NEURAL COMPUTATIONS ON DAGS,0.052140077821011675,"where p/k is the ﬁlter size of the ﬁrst/hidden layers and Act means an activation layer. We choose
the stride to be the same as the size of the ﬁlter for all convolutional layers and choose ﬂattening as
the readout strategy rather than pooling. See Fig. 2 (a, b, c) for the DAGs associated to a (1+3)-layer
CNN (with p = k = d
1
4 ), a (1+1)-layer CNN (with p = k = d
1
2 ) and a 4-layer MLP."
NEURAL COMPUTATIONS ON DAGS,0.05291828793774319,"MLPs.
Let G be a linked list with (L + 2) nodes, including the input/output nodes. Let Luv ∈
Rnu×nv, where nu/v = dim(Hu/v) and the activations of the input/output nodes be the identity
function. Then 풩G represents a L-hidden-layer MLP. In addition, let Luv be initialized iid as"
NEURAL COMPUTATIONS ON DAGS,0.053696498054474705,"Luv =
1
√nv
(ωuv,ij)i∈[nu],j∈[nv] ,
ωuv,ij ∼N(0, 1) .
(14)"
NEURAL COMPUTATIONS ON DAGS,0.054474708171206226,"Let tx,x′ = xT x′/nu for u ∈N0 and nv →∞for all hidden nodes, then the outputs of 풩(X)
converge weakly to the GP GP(0, 풦G(tx,x′)x,x′∈X ) and ΘG(tx,x′)x,x′∈X is the NTK in the sense"
NEURAL COMPUTATIONS ON DAGS,0.05525291828793774,"E풩G(x)풩G(x′)
in prob.
−−−−→풦G(tx,x′)
and
⟨∇풩G(x), ∇풩G(x′)⟩
in prob.
−−−−→ΘG(tx,x′).
(15)"
NEURAL COMPUTATIONS ON DAGS,0.05603112840466926,Under review as a conference paper at ICLR 2022
NEURAL COMPUTATIONS ON DAGS,0.05680933852140078,Input Node
NEURAL COMPUTATIONS ON DAGS,0.05758754863813229,Output Node
NEURAL COMPUTATIONS ON DAGS,0.058365758754863814,L(Y2) = 0 + 2 = 2
NEURAL COMPUTATIONS ON DAGS,0.05914396887159533,(a) MLP
NEURAL COMPUTATIONS ON DAGS,0.05992217898832685,"L(Y2) = 1
2 + 2
2 = 6
4, deg(Y2)=2"
NEURAL COMPUTATIONS ON DAGS,0.060700389105058365,"Frequency: 
k = 0
Spatial: 
k = 1
2"
NEURAL COMPUTATIONS ON DAGS,0.06147859922178988,(b) CNN(p2)⊗2
NEURAL COMPUTATIONS ON DAGS,0.0622568093385214,"Ultra-Short-Range-Low-Frequency: L(Y2) = 3
4 + 2
4 = 5
4"
NEURAL COMPUTATIONS ON DAGS,0.06303501945525292,"Spatial: 
k = 0
Spatial: 
k = 1
4"
NEURAL COMPUTATIONS ON DAGS,0.06381322957198443,(c) CNN(p)⊗4
NEURAL COMPUTATIONS ON DAGS,0.06459143968871596,"101
102
103
104
105
0.0 0.2 0.4 0.6 0.8"
NEURAL COMPUTATIONS ON DAGS,0.06536964980544747,MSE Residual vs Training Set Size: Y2
NEURAL COMPUTATIONS ON DAGS,0.06614785992217899,"CNN(p)
4"
NEURAL COMPUTATIONS ON DAGS,0.0669260700389105,"CNN(p2)
2 MLP
4 MLP
1"
NEURAL COMPUTATIONS ON DAGS,0.06770428015564202,(d) MSE Residual
NEURAL COMPUTATIONS ON DAGS,0.06848249027237355,"Figure 2: Architectures/DAGs. vs Eigenfunctions vs Learning Indices. Left to right: DAGs as-
sociated to (a) a four-layer MLP; (b) CNN(p2)⊗2, a“D""-CNN that has two convolutional layer (c)
CNN(p)⊗4, a “HR""-CNN that has four convolutional layers; and (d) MSE (Y-axis) vs training set
size (X-axis) for Y2 obtained by NTK-regression for 4 architectures. Here Y2 is a linear combina-
tion of eigenfunctions of Short-Range-Low-Frequency interactions (deg(Y2) = 2); see Sec. D for
the expression. The DAGs are generated with p = 4. In each DAG, the Dashed Lines represent the
edges with zero weights. The Solid Lines have weights 0, 1"
NEURAL COMPUTATIONS ON DAGS,0.06926070038910506,2 and 1
NEURAL COMPUTATIONS ON DAGS,0.07003891050583658,"4 in (a), (b) and (c), resp. The col-
ored path represents the minimum spanning tree used to compute the spatial indices of Y2. Under
architectures (a), (b) and (c), the spatial indices are 0, 1"
NEURAL COMPUTATIONS ON DAGS,0.07081712062256809,2 and 3
