Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0031746031746031746,"Bayesian optimization (BO) has become an established framework and popular
tool for hyperparameter optimization (HPO) of machine learning (ML) algorithms.
While known for its sample-efﬁciency, vanilla BO can not utilize readily available
prior beliefs the practitioner has on the potential location of the optimum. Thus, BO
disregards a valuable source of information, reducing its appeal to ML practitioners.
To address this issue, we propose πBO, an acquisition function generalization
which incorporates prior beliefs about the location of the optimum in the form of a
probability distribution, provided by the user. In contrast to previous approaches,
πBO is conceptually simple and can easily be integrated with existing libraries and
many acquisition functions. We provide regret bounds when πBO is applied to
the common Expected Improvement acquisition function and prove convergence
at regular rates independently of the prior. Further, our experiments show that
πBO outperforms competing approaches across a wide suite of benchmarks and
prior characteristics. We also demonstrate that πBO improves on the state-of-the-
art performance for a popular deep learning task, with a 12.5× time-to-accuracy
speedup over prominent BO approaches."
INTRODUCTION,0.006349206349206349,"1
INTRODUCTION"
INTRODUCTION,0.009523809523809525,"The optimization of expensive black-box functions is a prominent task, arising across a wide range of
applications. Bayesian optimization (BO) is a sample-efﬁcient approach to cope with this task, and
has been successfully applied to various problem settings, including hyperparameter optimization
(HPO) (Snoek et al., 2012), neural architecture search (NAS) (Ru et al., 2021), joint NAS and
HPO (Zimmer et al., 2021), algorithm conﬁguration (Hutter et al., 2011), hardware design (Nardi
et al., 2019), robotics (Calandra et al., 2014), and the game of Go (Chen et al., 2018)."
INTRODUCTION,0.012698412698412698,"Despite the demonstrated effectiveness of BO for HPO (Bergstra et al., 2011; Turner et al., 2021),
its adoption among practitioners remains limited. In a survey covering NeurIPS 2019 and ICLR
2020 (Bouthillier & Varoquaux, 2020), manual search was shown to be the most prevalent tuning
method, with BO accounting for less than 7% of all tuning efforts. As the understanding of hy-
perparameter settings in deep learning (DL) models increase (Smith, 2018), so too does the tuning
proﬁciency of practitioners (Anand et al., 2020). As previously displayed (Smith, 2018; Anand
et al., 2020; Souza et al., 2021; Wang et al., 2019), this knowledge manifests in choosing single
conﬁgurations or regions of hyperparameters that presumably yield good results, demonstrating
a belief over the location of the optimum. BO’s deﬁcit to properly incorporate said beliefs is a
reason why practitioners prefer manual search to BO (Wang et al., 2019), despite its documented
shortcomings (Bergstra & Bengio, 2012). To improve the usefulness of automated HPO approaches
for ML practictioners, the ability to incorporate such knowledge is pivotal."
INTRODUCTION,0.015873015873015872,"Well-established BO frameworks (Snoek et al., 2012; Hutter et al., 2011; The GPyOpt authors, 2016;
Kandasamy et al., 2020; Balandat et al., 2020) support user input to a limited extent, such as by
biasing the initial design, or by narrowing the search space; however, this type of hard prior can lead
to poor performance by missing important regions. BO also supports a prior over functions p(f) via"
INTRODUCTION,0.01904761904761905,Published as a conference paper at ICLR 2022
INTRODUCTION,0.022222222222222223,"the Gaussian Process kernel. However, this option for injecting knowledge is not aligned with the
knowledge that experts possess: they often know which ranges of hyperparameter values tend to
work best (Perrone et al., 2019; Smith, 2018; Wang et al., 2019), and are able to specify a probability
distribution to quantify these priors. For example, many users of the Adam optimizer (Kingma & Ba,
2015) know that its best learning rate is often in the vicinity of 1 × 10−3. In practice, DL experiments
are typically conducted in a low-budget setting of less than 50 full model trainings (Bouthillier &
Varoquaux, 2020). As such, practitioners want to exploit their knowledge efﬁciently without wasting
early model trainings on conﬁgurations they expect to likely perform poorly. Unfortunately, this suits
standard BO poorly, as BO requires a moderate number of function evaluations to learn about the
response surface and make informed decisions that outperform random search."
INTRODUCTION,0.025396825396825397,"While there is a demand to increase knowledge injection possibilities to further the adoption of BO,
the concept of encoding prior beliefs over the location of an optimum is still rather novel: while
there are some initial works (Ramachandran et al., 2020; Li et al., 2020; Souza et al., 2021), no
approach exists so far that allows the integration of arbitrary priors and offers ﬂexibility in the choice
of acquisition function; theory is also lacking. We close this gap by introducing a novel, remarkably
simple, approach for injecting arbitrary prior beliefs into BO that is easy to implement, agnostic to
the surrogate model used and converges at standard BO rates for any choice of prior."
INTRODUCTION,0.02857142857142857,"Our contributions
After discussing our problem setting, related work, and background (Section 2),
we make the following contributions:"
