Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.002457002457002457,"Regression that predicts continuous quantity is a central part of applications using
computational imaging and computer vision technologies. Yet, studying and un-
derstanding self-supervised learning for regression tasks – except for a particular
regression task, image denoising – have lagged behind. This paper proposes a gen-
eral self-supervised regression learning (SSRL) framework that enables learning
regression neural networks with only input data (but without ground-truth target
data), by using a designable operator that encapsulates domain knowledge of a
speciﬁc application. The paper underlines the importance of domain knowledge
by showing that under some mild conditions, the better designable operator is
used, the proposed SSRL loss becomes closer to ordinary supervised learning loss.
Numerical experiments for camera image denoising and low-dose computational
tomography denoising demonstrate that proposed SSRL signiﬁcantly improves
the denoising quality over several existing self-supervised denoising methods."
INTRODUCTION,0.004914004914004914,"1
INTRODUCTION"
INTRODUCTION,0.007371007371007371,"Deep regression neural network (NN)-based methods that can accurately predict real- or complex-
valued output have been rapidly gaining popularity in a wide range of computational imaging and
computer vision applications including image denoising (Vincent et al., 2010; Xie et al., 2012; Zhang
et al., 2017), image deblurring (Xu et al., 2014), image super-resolution (Dong et al., 2016; Kim
et al., 2016), light-ﬁeld reconstruction (Chun et al., 2020; Huang et al., 2020), object localization
(Szegedy et al., 2013), end-to-end autonomous driving (Bojarski et al., 2016). Yet, they lack a
general self-supervised learning framework."
INTRODUCTION,0.009828009828009828,"In training a regression NN f : RN →RM, the most prevalent supervised learning approach
minimizes the mean square error (MSE) between what f predicts from an input x ∈RN and a
ground-truth target y ∈RM:
min
f
Ex,y∥f(x) −y∥2
2.
(1)"
INTRODUCTION,0.012285012285012284,"Learning a denoising or reﬁning NN uses (1) with M = N – dubbed Noise2True – where x is
a corrupted image and y is a clean (i.e., ground-truth) image. However, it is challenging or even
impossible to collect many clean images y in many practical applications, motivating research on
self-supervised learning for image denoising (Ulyanov et al., 2018; Soltanayev & Chun, 2018; Krull
et al., 2019; Batson & Royer, 2019; Laine et al., 2019; Moran et al., 2020; Quan et al., 2020; Xu
et al., 2020; Hendriksen et al., 2020; Xie et al., 2020; Huang et al., 2021) – called self-supervised
image denoising. To learn a denoiser f with single noisy images, a popular self-supervised image
denoising method, Noise2Self (Batson & Royer, 2019) (see also the concurrent work (Krull et al.,
2019)), and its sophisticated relaxation, Noise2Same (Xie et al., 2020), study the following MSE
minimization problem:
min
f
Ex∥f(x) −x∥2
2.
(2)"
INTRODUCTION,0.014742014742014743,"These methods use some partitioning schemes in (2) to avoid that its optimal solution is just the
identity mapping I. Noise2Noise (Lehtinen et al., 2018) that learns a denoiser with pairs of two"
INTRODUCTION,0.0171990171990172,"This article has appendix and supplement. The appendix and supplement number sections, ﬁgures, and
tables with the preﬁx “A” and “S”, respectively."
INTRODUCTION,0.019656019656019656,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.022113022113022112,"independent noisy images, is a pioneer work for self-supervised image denoising. Motivated by
Noise2Noise, several self-supervised image denoising methods such as Noise2Inverse (Hendriksen
et al., 2020), Neighbor2Neighbor (Huang et al., 2021), and (Soltanayev & Chun, 2018; Moran et al.,
2020; Xu et al., 2020) emulate pairs of two independent noisy images, by applying partitioning or
adding simulated noise to single noisy measurements. All the aforementioned methods have been
developed based on some noise assumptions including pixel-wise independent noise (Krull et al.,
2019; Xie et al., 2020; Huang et al., 2021) and zero-mean noise (Lehtinen et al., 2018; Batson &
Royer, 2019; Xie et al., 2020). Yet, they lack design ﬂexibility that might relax such noise as-
sumptions and further improve the denoising performance of NNs. Some works estimate statistical
parameters of noise, such as noise histogram (Krull et al., 2020) and parameters of Gaussian mixture
noise model (Prakash et al., 2021)."
