Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.00546448087431694,"Ultra-low power local signal processing is a crucial aspect for edge applications on
always-on devices. Neuromorphic processors emulating spiking neural networks
show great computational power while fulﬁlling the limited power budget as needed
in this domain. In this work we propose spiking neural dynamics as a natural al-
ternative to dilated temporal convolutions. We extend this idea to WaveSense, a
spiking neural network inspired by the WaveNet architecture. WaveSense uses
simple neural dynamics, ﬁxed time-constants and a simple feed-forward architec-
ture and hence is particularly well suited for a neuromorphic implementation. We
test the capabilities of this model on several datasets for keyword-spotting. The
results show that the proposed network beats the state of the art of other spiking
neural networks and reaches near state-of-the-art performance of artiﬁcial neural
networks such as CNNs and LSTMs."
INTRODUCTION,0.01092896174863388,"1
INTRODUCTION"
INTRODUCTION,0.01639344262295082,"Local signal processing is an important component of the computational pipeline for Internet-of-
Things (IoT) devices equipped with a range of sensors like audio, video, and motion sensing.
A signiﬁcant range of these sensors capture signals comprising temporal features. Ideally these
features need to be extracted by an on-board processor before decision making or relaying the pre-
processed information for further computation. Processing temporal signals is often computationally
challenging and requires large amounts of memory and power, especially in always-on scenarios.
Neuromorphic (Mead, 1990) processors with spiking-neural networks have shown promise in this
domain as ultra-low power compact solutions Indiveri et al. (2011); Benjamin et al. (2014); Merolla
et al. (2014); Furber et al. (2014); Davies et al. (2018); Liu et al. (2019)."
INTRODUCTION,0.02185792349726776,"In this work we propose an elegant way of implementing temporal convolutions in spiking neural
networks by leveraging their inherent synaptic and membrane dynamics. Based on this idea we
propose WaveSense, a Spiking Neural Network (SNN) model suitable for efﬁcient neuromorphic
implementations while retaining high accuracy on temporal data streams. This work bridges the
performance gap between Artiﬁcial Neural Networks (ANNs) and SNNs for temporal tasks. Crucially,
the proposed model"
INTRODUCTION,0.0273224043715847,"• accepts spike streams and not ‘buffered frames’ as input,
• requires no delays in its connectivity,
• utilizes a very simple spiking neuron model - Leaky Integrate and Fire (LIF) neuron - without
the need of any additional adaptive mechanisms,
• does not require recurrent connectivity (which can often be difﬁcult to tune or train),
• achieves a high classiﬁcation performance."
INTRODUCTION,0.03278688524590164,"Recently several works have shown how to build efﬁcient SNNs with accuracies equivalent to ANNs
Diehl et al. (2015); Rueckauer et al. (2017). In these studies, spiking neurons are used in rate mode
with equivalent response curves to ReLU activations, to transfer weights from pre-trained ANNs to
SNNs. This approach therefore completely neglects the temporal capabilities of spiking neurons. On
the other hand, surrogate gradient methods enable directly training SNN using Back Propagation"
INTRODUCTION,0.03825136612021858,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.04371584699453552,"Through Time (BPTT) Neftci et al. (2019). (Shrestha & Orchard, 2018) for instance show temporal
processing on temporal gesture recognition task and show a good performance on a visual task.
Similar approaches have already been investigated on audio tasks Bellec et al. (2018); Wu et al.
(2019); Cramer et al. (2020). (Bellec et al., 2018) demonstrate classiﬁcation results on the TIMIT
dataset using long time constants, a complex learning strategy (Deep-R) and require signiﬁcant
computational resources to train. (Wu et al., 2019) train SNNs for automatic speech recognition
tasks in a tandem approach with an ANNs. This training pipeline integrated a language model and
pronunciation model which goes beyond the capabilities of the neuromorphic system. The same
authors showed in an earlier study the capabilities of an SNN in combination with a self-organized
map to learn to recognize digits using the TIDIGIT dataset Wu et al. (2018)."
INTRODUCTION,0.04918032786885246,"(Blouw et al., 2018) demonstrate high accuracy in a audio classiﬁcation task using dense networks
with spectrograms as inputs. This approach requires passing the frequency data of previous time steps
(deﬁned by the spectrogram time window) in every sample presentation to the network. (Kugele
et al., 2020) show that by matching ANN roll-out delays to the propagation delays in SNN, the
resultant networks can demonstrate a high accuracy on vision-based spatio-temporal classiﬁcation
tasks. Implementation of delays in neuromorphic hardware requires additional memory resources
to store and deliver spikes in a delayed fashion and could be potentially quite expensive. (Yin
et al., 2020) use a Spiking Recurrent Neural Network (SRNN) architecture and demonstrate that by
utilizing adaptive LIF neurons and learning the time constants, these networks can perform temporal
classiﬁcation tasks in a sequential manner fairly well. The authors demonstrate the effective use of
spiking neural networks and show a signiﬁcant increase in power efﬁciency. Unfortunately, having
ﬁne tuned time constants in low-power neuromorphic hardware can often be challenging especially
while using ﬁxed precision numerical representations and computations."
