Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.00558659217877095,"Recently, Neural ODE (Ordinary Differential Equation) models have been pro-
posed, which use ordinary differential equation solving to predict the output of
neural network. Due to the low memory usage, Neural ODE models can be con-
sidered as an alternative that can be deployed in resource-constrained devices (e.g.,
IoT devices, mobile devices). However, to deploy a Deep Learning model in
resource-constrained devices, low inference energy cost is also required along
with low memory cost. Unlike the memory cost, the energy consumption of the
Neural ODEs during inference can be adaptive because of the adaptive nature of
the ODE solvers. Attackers can leverage the adaptive behaviour of Neural ODEs
to attack the energy consumption of Neural ODEs. However, energy-based at-
tack scenarios have not been explored against Neural ODEs. To show the vul-
nerability of Neural ODEs against adversarial energy-based attack, we propose
NODEAttack. The objective of NODEAttack is to generate adversarial inputs
that require more ODE solvers computations, therefore increasing neural ODEs
inference-time energy consumption. Our extensive evaluation on two datasets and
two popular ODE solvers show that the samples generated through NODEAttack
can increase up to 168% energy consumption than average energy consumption of
benign test data during inference time. Our evaluation also shows the attack trans-
ferability is feasible across solvers and architectures. Also, we perform a case
study showing the impact of the generated adversarial examples, which shows
that NODEAttack generated adversarial examples can decrease 50% efﬁciency
of an object-recognition-based mobile application."
INTRODUCTION,0.0111731843575419,"1
INTRODUCTION"
INTRODUCTION,0.01675977653631285,"Deep Neural Networks (DNNs) have shown great potential in many challenging tasks (image classi-
ﬁcation, natural language process, and playing games). To cope with tasks with higher complexity,
the number of DNN parameters is increasing rapidly. Because of this reason, DNNs require con-
siderable memory usage both in training and inference. To address the issue of increased memory
usage, researchers simulate the solver of ordinary differential equation (ODE) and propose Neural
ODE techniques (Chen et al., 2018). Neural ODE does not store any intermediate quantities of the
forward pass and allows us to train DNNs with constant memory cost. Neural ODE also performs
better than traditional DNNs for irregularly sampled time series data. Because of decreased memory
cost, Neural ODEs are viable options to be used in resource-constrained devices like mobile devices
or UAVs (Unmanned Aerial Vehicle)."
INTRODUCTION,0.0223463687150838,"Due to the adaptive energy consumption of Neural ODE models (Section 3), the model robustness
in terms of energy consumption or energy robustness (Deﬁned in 4.1) of the model needs to be
investigated to deploy Neural ODE models in resource-constrained devices. Otherwise, lack of
energy robustness in Neural ODEs can lead to tragic situations. For example, we assume that Neural
ODE model is deployed for mobile apps, which are used to help visually impaired people. The
energy consumption of the model is not robust, then the battery of the mobile device will be drained
faster. This can be fatal for the visually impaired person. To avoid such scenarios, evaluating energy
robustness of Neural ODEs is required to avoid unwanted incidents."
INTRODUCTION,0.027932960893854747,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.0335195530726257,"Although energy robustness of Neural ODEs has not been explored, unlike accuracy-based robust-
ness. Recent work shows that Neural ODE models are more robust against accuracy-based adver-
sarial attacks (Yan et al. (2019)) than traditional DNNs. However, ﬁnding a relationship between
input and energy consumption is more challenging because the relation between input and energy
consumption of DNNs is not well-deﬁned. To explore the energy robustness of Neural ODEs, the
relationship between input and energy consumption of Neural ODEs needs to be deﬁned."
INTRODUCTION,0.03910614525139665,"Recent works, ILFO (Haque et al. (2020)) and DeepSloth (Hong et al. (2020)), have evaluated
energy robustness of Adaptive Neural Networks (AdNNs) by proposing white-box attack. However,
optimizing the loss function proposed by the aforementioned AdNN attacks can not evaluate the
energy robustness of Neural ODEs. AdNNs activate or deactivate certain components of DNNs
based on the intermediate outputs of certain computing units and consumes a different amount of
energy based on different inputs. Both the attack’s objective is to increase the number of activated
DNN components by modifying the speciﬁc computing unit outputs, and both attack use speciﬁc
loss function optimization to achieve that. However, Neural ODE functionality is different than
traditional AdNN functionality because, for Neural ODE, no component is deactivated or activated
during inference. The adaptive behavior of a Neural ODE model depends on the adaptive ODE
solver used to predict the output. Furthermore, for a speciﬁc trained Neural ODE model, we can
ﬁnd variable energy consumption for single input depending on the type of ODE solver used, where
for traditional AdNNs, energy consumption based on a speciﬁc input will be the same always for a
speciﬁc trained AdNN. Therefore, a novel approach is needed to explore the energy robustness of
Neural ODEs."
INTRODUCTION,0.0446927374301676,"To explore the energy robustness of Neural ODEs, We propose NODEAttack, a white-box ap-
proach that uses step-size of the ODE solvers to formulate attack. ODE solvers use an iterative way
to approximate a function, and the objective of our approach is to increase the number of iterations,
increasing the energy consumption of Neural ODEs. Our attack formulation is based on the fact that
decreasing step-size would increase the number of iterations. Speciﬁcally, we develop two attack
techniques to evaluate Neural ODE’s energy robustness, namely Input-based attack and Universal
attack. Input-based attack evaluates energy robustness where testing inputs are semantically mean-
ingful to the Neural ODE model (e.g., meaningful images). On the other hand, Universal attack
evaluates worst-case energy robustness where each testing input maximizes the energy consumption
for each target ODE solver. To the best of our knowledge, this is the ﬁrst energy-based adversarial
attack against Neural ODEs."
INTRODUCTION,0.05027932960893855,"We evaluate NODEAttack on mainly two criteria:
effectiveness and transferability using
the CIFAR-10 and MNIST datasets (Krizhevsky et al. (2009); Deng (2012)).
We evaluated
NODEAttack on two popular ODE solvers: Dopri5 (Dormand and Prince (1980)) and Adaptive
Heun S¨uli and Mayers (2003). We evaluate the the effectiveness of NODEAttack against natural
perturbations and corruptions Hendrycks and Dietterich (2019a). We observed that NODEAttack
generated adversarial inputs can increase up to 168 % energy consumption than the average energy
consumed by benign test inputs. Also, we noticed that transferability is feasible between two Neural
ODEs differentiated by ODE solver or model architecture."
