Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0013227513227513227,"While Online Gradient Descent and other no-regret learning procedures are known
to efficiently converge to a coarse correlated equilibrium in games where each
agent’s utility is concave in their own strategy, this is not the case when utilities
are non-concave – a common scenario in machine learning applications involving
strategies parameterized by deep neural networks, or when agents’ utilities are
computed by neural networks, or both. Non-concave games introduce significant
game-theoretic and optimization challenges: (i) Nash equilibria may not exist;
(ii) local Nash equilibria, though they exist, are intractable; and (iii) mixed Nash,
correlated, and coarse correlated equilibria generally have infinite support and
are intractable. To sidestep these challenges, we revisit the classical solution
concept of Φ-equilibria introduced by Greenwald and Jafari [GJ03], which is
guaranteed to exist for an arbitrary set of strategy modifications Φ even in non-
concave games [SL07]. However, the tractability of Φ-equilibria in such games
remains elusive. In this paper, we initiate the study of tractable Φ-equilibria in non-
concave games and examine several natural families of strategy modifications. We
show that when Φ is finite, there exists an efficient uncoupled learning algorithm
that approximates the corresponding Φ-equilibria. Additionally, we explore cases
where Φ is infinite but consists of local modifications, showing that Online Gradient
Descent can efficiently approximate Φ-equilibria in non-trivial regimes."
INTRODUCTION,0.0026455026455026454,"1
Introduction"
INTRODUCTION,0.003968253968253968,"Von Neumann’s celebrated minimax theorem establishes the existence of Nash equilibrium in all
two-player zero-sum games where the players’ utilities are continuous as well as concave in their
own strategy [Neu28].1 This assumption that players’ utilities are concave, or quasi-concave, in their
own strategies has been a cornerstone for the development of equilibrium theory in Economics, Game
Theory, and a host of other theoretical and applied fields that make use of equilibrium concepts. In
particular, (quasi-)concavity is key for showing the existence of many types of equilibrium, from
generalizations of min-max equilibrium [Fan53; Sio58] to competitive equilibrium in exchange
economies [AD54; McK54], mixed Nash equilibrium in finite normal-form games [Nas50], and,
more generally, Nash equilibrium in (quasi-)concave games [Deb52; Ros65]."
INTRODUCTION,0.005291005291005291,"1Throughout this paper, we model games using the standard convention in Game Theory that each player
has a utility function that they want to maximize. This is, of course, equivalent to modeling the players as loss
minimizers, a convention more common in learning. When we say that a player’s utility is concave (respectively
non-concave) in their strategy, this is the same as saying that the player’s loss is convex (respectively non-convex)
in their strategy."
INTRODUCTION,0.006613756613756613,"Table 1: A comparison between different solution concepts in multi-player non-concave games. We
include definitions of Nash equilibrium, mixed Nash equilibrium, (coarse) correlated equilibrium,
strict local Nash equilibrium, and second-order local Nash equilibrium in Appendix B. We also give
a detailed discussion on the existence and complexity of these solution concepts in Appendix B."
INTRODUCTION,0.007936507936507936,"Solution Concept
Incentive Guarantee
Existence
Complexity
Nash equilibrium
✗
Mixed Nash equilibrium
✓
(Coarse) Correlated equilibrium
Global stability
✓
Strict local Nash equilibrium
Local stability
✗
Second-order local Nash equilibrium
Second-order stability
✗"
INTRODUCTION,0.009259259259259259,"NP-hard
[MK87; AZ22]"
INTRODUCTION,0.010582010582010581,"Local Nash equilibrium
First-order stability
✓
PPAD-hard [DSZ21]"
INTRODUCTION,0.011904761904761904,"Φ-equilibrium (finite |Φ|)
Stability against
finite deviations
✓
Efficient ε-approximation
for any ε > 0 (Theorem 2)"
INTRODUCTION,0.013227513227513227,"Conv(Φ(δ))-equilibrium (finite |Φ(δ)|)
✓
Efficient ε-approximation
for ε = Ω(δ2) (Theorem 4)"
INTRODUCTION,0.01455026455026455,"Φproj(δ)-equilibrium
✓
Efficient ε-approximation
via GD/OG for ε = Ω(δ2) (Theorem 3,9)"
INTRODUCTION,0.015873015873015872,ΦInt(δ)-equilibrium
INTRODUCTION,0.017195767195767195,"First-order stability
when ε = Ω(δ2)
✓
Efficient ε-approximation
via no-regret learning for ε = Ω(δ2) (Theorem 5)"
INTRODUCTION,0.018518518518518517,"Not only are equilibria guaranteed to exist in concave games, but it is also well-established—thanks
to a long line of work at the interface of game theory, learning and optimization whose origins
can be traced to Dantzig’s work on linear programming [Geo63], Brown and Robinson’s work
on fictitious play [Bro51; Rob51], Blackwell’s approachability theorem [Bla56] and Hannan’s
consistency theory [Han57]—that several solution concepts are efficiently computable both centrally
and via decentralized learning dynamics. For instance, it is well-known that the learning dynamics
produced when the players of a game iteratively update their strategies using no-regret learning
algorithms, such as online gradient descent, is guaranteed to converge to Nash equilibrium in two-
player zero-sum concave games, and to coarse correlated equilibrium in multi-player general-sum
concave games [CL06]. The existence of such simple decentralized dynamics further justifies using
these solution concepts to predict the outcome of real-life multi-agent interactions where agents
deploy strategies, obtain feedback, and use that feedback to update their strategies."
