Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0027624309392265192,"Disentangled feature representation is essential for data-efﬁcient learning. The
feature space of deep models is inherently compositional. Existing β-VAE-based
methods, which only apply disentanglement regularization to the resulting embed-
ding space of deep models, cannot effectively regularize such compositional fea-
ture space, resulting in unsatisfactory disentangled results. In this paper, we for-
mulate the compositional disentanglement learning problem from an information-
theoretic perspective and propose a recursive disentanglement network (RecurD)
that propagates regulatory inductive bias recursively across the compositional
feature space during disentangled representation learning. Experimental studies
demonstrate that RecurD outperforms β-VAE and several of its state-of-the-art
variants on disentangled representation learning and enables more data-efﬁcient
downstream machine learning tasks."
INTRODUCTION,0.0055248618784530384,"1
INTRODUCTION"
INTRODUCTION,0.008287292817679558,"Recent progress in machine learning demonstrates the ability to learn disentangled representations
is essential for data-efﬁcient learning, such as controllable image generation, image manipulation,
and domain adaptation (Suter et al., 2019; Zhu et al., 2018; Peng et al., 2019; Gabbay & Hoshen,
2021; 2019). β-VAE (Higgins et al., 2017) and its variants are the most investigated approaches
for disentangled representation learning. Recent works on β-VAE-based methods introduce various
inductive biases as regularization terms and directly apply them on the resulting embedding space of
deep models, such as the bottleneck capacity constraint (Higgins et al., 2017; Burgess et al., 2018),
total correlation among variables (Kim & Mnih, 2018; Chen et al., 2018), and the mismatch between
aggregated posterior and prior (Kumar et al., 2017), aiming to balance among representation capac-
ity, independence constraints, and reconstruction accuracy. Indeed, as demonstrated by Locatello
et al. (2020; 2019), unsupervised disentanglement is fundamentally impossible without explicit in-
ductive biases on models and data sets."
INTRODUCTION,0.011049723756906077,"However, our study shows that existing β-VAE-based methods may not be able to learn satisfac-
tory disentangled representations even for fairly trivial cases. This is due to the fact that the feature
spaces of deep models have inherently compositional structures, i.e., each complex feature is a com-
position of primitive features. However, existing methods with regularization terms solely applied to
the resulting embedding space cannot effectively propagate disentangled regularization across such
compositional feature space. As shown in Figure 1, applying the standard β-VAE to the widely"
INTRODUCTION,0.013812154696132596,"* China and Shanghai Key Laboratory of Data Science, School of Computer Science, Fudan University,
Shanghai, China, † Microsoft Research Asia, Shanghai, China, ‡ Department of Computing, Imperial College
London, London, United Kingdom, § Department of Electrical Engineering and Computer Science, University
of Michigan, Michigan, United States, ¶ Department of Computer Science, University of Colorado Boulder,
Boulder, United States, || School of Microelectronics, Fudan University, Shanghai, China, ** The corresponding
author."
INTRODUCTION,0.016574585635359115,"Published as a conference paper at ICLR 2022 𝐦
𝐳 𝐱
𝐱ො"
INTRODUCTION,0.019337016574585635,"Encoder
Decoder"
INTRODUCTION,0.022099447513812154,"(a)
(b)
(c)
Figure 1: Illustration of the negative impact on ignoring the compositional structure of the repre-
sentation space using dSprites dataset: (a) Illustration of z (from embedding space) and m (from
intermediate layers). (b) z is not disentangled sufﬁciently when m is not disentangled sufﬁciently.
(c) The disentanglement of z improves, as that of m improves."
INTRODUCTION,0.024861878453038673,"used dataset dSprites (Matthey et al., 2017), we visualize the resulting representation z, as well as
its compositional low-level representations m extracted from the previous layer (as shown in Fig-
ure 1(a)), and evaluate the independence between each pair of m and each pair of z, respectively †.
Figure 1(b) and Figure 1(c) show that the disentanglement quality of low-level features m may im-
pact the resulting representation z in terms of disentanglement quality. This study demonstrates the
potential beneﬁt to regularize the compositional feature space of deep models during disentangled
representation learning."
