Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.008849557522123894,"Imitation learning is one of the methods for reproducing expert demonstrations
adaptively by learning a mapping between observations and actions. However,
behavior styles such as motion trajectory and driving habit depend largely on the
dataset of human maneuvers, and settle down to an average behavior style in most
imitation learning algorithms. In this study, we propose a method named style
behavior cloning (Style BC), which can not only infer the latent representation of
behavior styles automatically, but also imitate different style policies from expert
demonstrations. Our method is inspired by the word2vec algorithm and we con-
struct a behavior-style to action mapping which is similar to the word-embedding
to context mapping in word2vec. Empirical results on popular benchmark envi-
ronments show that Style BC outperforms standard behavior cloning in prediction
accuracy and expected reward signiﬁcantly. Furthermore, compared with various
baselines, our policy inﬂuenced by its assigned style embedding can better repro-
duce the expert behavior styles, especially in the complex environments or the
number of the behavior styles is large."
INTRODUCTION,0.017699115044247787,"1
INTRODUCTION"
INTRODUCTION,0.02654867256637168,"Deep reinforcement learning (DRL), which combines reinforcement learning and deep neural net-
works, has achieved rapid development in the last few years. Research institutions as well as indus-
trial companies have applied this technology to many domains, such as games (Atari games and Go)
(Silver et al., 2016; Van Hasselt et al., 2016), robotics control (Zhang et al., 2015) and autonomous
driving (Gonz´alez et al., 2016). However, as the DRL algorithms optimize the models according to
the reward function, it may not always generate desirable behaviors due to the inferior local con-
vergence or inappropriate reward design, especially in the real world problems where the reward
function is difﬁcult to clearly deﬁne."
INTRODUCTION,0.035398230088495575,"Imitation learning (IL) methods have the potential to cover this shortage, with which an agent learns
to perform a task from expert demonstrations by mimicking a mapping between observations and
actions instead of maximizing the accumulated reward (Osa et al., 2018). In these methods, the
behavior style such as the motion trajectory and operation habit is determined depending on the
dataset of expert demonstrations. In practise, the real world problems such as self-driving vehicles
(Munoz et al., 2009), assistive robots (Ikemoto et al., 2012) and human-computer interaction (Ross
& Bagnell, 2010) may need a large amount of demonstrations and these demonstrations are usually
collected from multiple human experts who may have different behavior styles. For the conventional
IL algorithms, the imitated behavior tends to converge into an average of the multiple behavior styles
in the demonstrations when the imitation model is trained. However, demonstrations from different
experts can show signiﬁcant variability because different human experts typically employ different
policies according to their own styles and habits, and learning an average behavior style maybe
unacceptable. For instance, in a driving scenario with a leading vehicle, aggressive drivers may
make the decision to change lanes. While some drivers are relatively conservative and will maintain
a stable following distance with the front vehicle by controlling the velocity, as illustrated in Figure
1. In these situations, the average behavior reproduced by imitation learning may not express any
kind of expert styles, or even worse results in an non-convergent policy (e.g., crashing the leading
car in the scenario of Figure 1)."
INTRODUCTION,0.04424778761061947,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.05309734513274336,"(a)
(b)"
INTRODUCTION,0.061946902654867256,Figure 1: Driving behaviors of human: (a) Lane-changing; (b) Car-following.
INTRODUCTION,0.07079646017699115,"There are some algorithms considering behavior style in imitation learning. A classical way to learn
from demonstration is Dynamic Bayesian Network (Eppner et al., 2009), which does not use deep
learning. Another way is the constrained methods, such as Probabilistic Principle Component Anal-
ysis (Perico et al., 2019), which can take into account additional constraints such as speed limits
and obstacles. Although these algorithms can reproduce the behavior style from a small number
of demonstrations, due to a number of assumptions about the structure of sensory and control sig-
nals, such traditional methods are not scalable to more multi-dimensional and multi-modal systems,
such as systems involving tactile sensors and raw images. Alternatively, methods based on Genera-
tive Adversarial Imitation Learning (GAIL) combine supervised and reinforcement learning (Ho &
Ermon, 2016), which produces similar behaviors to the expert demonstrations in a simulation envi-
ronment. Based on this, Information Maximizing GAIL (Info-GAIL) (Li et al., 2017), which can
embed differences in behavior style in latent space using mutual information, has been used to pro-
duce different driver models in an autonomous driving environment. However, InfoGAIL involves
sampling a latent code at the beginning of each trial. While when the simulated surrounding ve-
hicles are initialized with the real driving environment information (such as velocity and position),
the random sampling of latent codes may not ensure consistency between the policy’s subsequent
actions and the driver’s behaviors. To address this limitation, a Burn-InfoGAIL algorithm (Kueﬂer
& Kochenderfer, 2017), built on Info-GAIL, draws latent features directly from a learned, inference
distribution. In addition, this burn-in policy must take over from the point at which a speciﬁc expert
demonstration ends."
INTRODUCTION,0.07964601769911504,"Building upon the above researches, this paper proposes a novel imitation learning framework named
Style Behavior Clone (Style BC), which can learn the representation of various behavior styles from
expert demonstrations. Not only can the model automatically learn a style embedding that is mean-
ingful to represent the behavior styles, but also accurately reproduces different expert behaviors.
Our approach is an extension of behavior cloning (BC) (Bojarski et al., 2016) and different from
current style involved imitation learning algorithms which try to infer the style embeddings through
inputting the behavior sequences, our method try to solve this problem in a more direct way: the
correct embeddings should improve the ﬁnal performance of BC and thus designing a framework
which can adjust the style embeddings and the policy network simultaneously according the ﬁnal
training performance."
INTRODUCTION,0.08849557522123894,"To be speciﬁc, this paper introduces a hypothesis that each policy has a latent feature c, i.e. style
embedding, which can determine its behavior style. Therefore, in order to improve the prediction
accuracy of the actions belonging to different styles, we need an accurate c to guide the behavior.
Our method is inspired by the word2vec (Mikolov et al., 2013) algorithm which is used to embed
the words in natural language processing (NLP). The word2vec algorithm try to compute the word
embedding through optimizing the model to predict the contexts accurately, and correspondingly,
Style BC tries to compute the behavior style embedding through optimize the model to predict the
action accurately. Finally, it is worth noting that our algorithm updates style embedding by making
the distinction of behaviors more clear, while Info-GAIL and related deformations disentangle the
latent c by inferring from the sequences of state-actions pairs."
INTRODUCTION,0.09734513274336283,"The main contributions of this paper are summarized as follows: (i) we propose a novel style behav-
ior cloning approach that learns the various representation of behavior styles from expert demon-
strations; (ii) the style embedding which can provide valuable guidance for the generation of style
policies is obtained automatically; (iii) ﬁnally, we empirically demonstrate the effectiveness of our
research on a Grid-World environment, cartpole control tasks from OpenAI gym, and a collection"
INTRODUCTION,0.10619469026548672,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.11504424778761062,"of environment for decision-making in autonomous driving named highway-env. We show that our
model can learn to represent different kinds of behavior styles by exploring the style embedding."
PROBLEM FORMULATION,0.12389380530973451,"2
PROBLEM FORMULATION"
PROBLEM FORMULATION,0.13274336283185842,"In this section, we start with a brief introduction to the background including Markov Decision
Process (MDP) and style Markov decision process (style MDP). Then we provide a basic objective
function of behavior cloning to learn human behaviors from demonstrations. However, due to the
expert demonstrations may collect a variety of behaviors, the simple supervised policy from ofﬂine
demonstration may not have the ability to reproduce these motion styles."
BACKGROUND,0.1415929203539823,"2.1
BACKGROUND"
BACKGROUND,0.1504424778761062,"RL problems are often modeled as Markov Decision Processes (MDPs) which are deﬁned as a tuple
M = (S, A, P, R, γ). S and A represent states and actions respectively. P is a state transition
probability function, which can also be represented as P(s′|s, a). Further R :
S × A →R
is a reward function measuring the performance of agents and γ is a discount factor for future
rewards. Given an MDP M, the goal of the agent is to maximize the expectation of the discounted
accumulative reward JR = E [P∞
t=0 γtr(st, at, st+1)] automatically by ﬁnding an optimal policy
π∗."
BACKGROUND,0.1592920353982301,"In
this
paper,
we
assume
that
the
behavior
policy
is
a
mixture
of
behavior
styles
Q"
BACKGROUND,0.168141592920354,"E= {πB1 (.|s, c1) ,πB2 (.|s, c2) . . . πBn (.|s, cn) }, where c is a style embedding that can deter-
mine the behavior style of policy. The objective is to reproduce a policy π(a|s, c) as an approxima-
tion of πBi, and we use the tuple (S, A, C, P, R, γ) to deﬁne this process, named style MDP."
BEHAVIORAL CLONING,0.17699115044247787,"2.2
BEHAVIORAL CLONING"
BEHAVIORAL CLONING,0.18584070796460178,"BC as a representative imitation learning method seeks the best policy that can minimize the action
prediction error in demonstrations. Traditional BC method learns a policy through supervised learn-
ing and the only requirements are pairs of input sensory observations associated with expert actions.
The objective is to minimize the distribution discrepancy between the expert demonstrations and the
policy, which can be formulated as follows:"
BEHAVIORAL CLONING,0.19469026548672566,"min
π D [ρπ(·|s) || ρE(·|s)] ,
(1)"
BEHAVIORAL CLONING,0.20353982300884957,"where s represents the environment state and D is the discrepancy measure like KL divergence which
is a common objective function in imitation learning. In addition, ρπ and ρE depict the state action
distribution generated by policy π and human demonstration E, respectively."
