Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0024937655860349127,"Computer-aided synthesis planning (CASP) algorithms have demonstrated expert-
level abilities in planning retrosynthetic routes to molecules of low to moderate
complexity. However, current search methods assume the sufficiency of reaching
arbitrary building blocks, failing to address the common real-world constraint
where using specific molecules is desired. To this end, we present a formulation
of synthesis planning with starting material constraints. Under this formulation,
we propose Double-Ended Synthesis Planning (DESP), a novel CASP algorithm
under a bidirectional graph search scheme that interleaves expansions from the
target and from the goal starting materials to ensure constraint satisfiability. The
search algorithm is guided by a goal-conditioned cost network learned offline
from a partially observed hypergraph of valid chemical reactions. We demonstrate
the utility of DESP in improving solve rates and reducing the number of search
expansions by biasing synthesis planning towards expert goals on multiple new
benchmarks. DESP can make use of existing one-step retrosynthesis models, and
we anticipate its performance to scale as these one-step model capabilities improve."
INTRODUCTION,0.004987531172069825,"1
Introduction"
INTRODUCTION,0.007481296758104738,"Synthesis planning—proposing a series of chemical reactions starting from purchasable building
blocks to synthesize one or more target molecules—is a fundamental task in chemistry. For decades,
chemists have approached the challenge of synthesis planning with retrosynthetic analysis [1, 2], the
strategy by which a target molecule is recursively broken down into simple precursors with reversed
reactions. In recent years, advances in machine learning have enabled a multitude of computer-aided
synthesis planning (CASP) algorithms [3–6] that navigate a combinatorially large space of reactions
to propose chemically sensible routes to a variety of drug-like molecules within seconds to minutes.
However, fully data-driven algorithms still underperform when generalizing to realistic use cases such
as planning for more complex targets or in constrained solution spaces. In practice, expert chemists
may plan syntheses with specific starting materials in mind, called “structure-goals"" [1], that constrain
the solution space. For instance, efficient syntheses of highly complex drugs are often most practical
when synthesized from naturally-occurring starting materials that share complex features with the
target, a practice known as “semi-synthesis"" [7, 8]. There is also immense interest in identifying
pathways from waste or sustainable feedstocks to useful chemicals [9–11], but existing methods have
thus far relied on heuristics and brute-force enumeration of reactions."
INTRODUCTION,0.00997506234413965,"Though algorithms for planning synthetic routes from expert-specified starting materials have been
proposed [12, 13], the vast majority of CASP algorithms today cannot address starting material- O O O O O"
INTRODUCTION,0.012468827930174564,"a. Prior Work: Single-ended search
b. This Work: Double-ended search"
INTRODUCTION,0.014962593516209476,Non-buyable
INTRODUCTION,0.017456359102244388,Building block
INTRODUCTION,0.0199501246882793,Reaction ? O O O O O HO
INTRODUCTION,0.022443890274314215,"expert-speciﬁed
starting material"
INTRODUCTION,0.02493765586034913,"arbitrary 
building blocks"
INTRODUCTION,0.02743142144638404,Path in solution
INTRODUCTION,0.029925187032418952,Explored paths
INTRODUCTION,0.032418952618453865,"Figure 1: (a) Existing search methods are single-ended, and aim to identify a synthetic route where
all leaf nodes meet certain termination criteria, e.g., buyability. (b) DESP is a bidirectional search
algorithm that enables a double-ended starting material-constrained search, better reflecting certain
real-world use cases in complex molecule synthesis planning. Empirically, double-ended search finds
starting material-constrained solutions with fewer node expansions."
INTRODUCTION,0.034912718204488775,"constrained use cases, as they assume that solution states may comprise any combination of building
blocks. It is non-trivial to extend from “general"" retrosynthesis planning to the constrained setting;
by requiring a solution to contain a specific goal molecule, starting material-constrained synthesis
planning presents the challenge of simultaneously guiding a search towards this goal molecule and
any other necessary buyable molecules."
INTRODUCTION,0.03740648379052369,"In this paper, we address these challenges by proposing a strategy for starting material-constrained
synthesis planning with a bidirectional search algorithm and a goal-conditioned cost network learned
offline from expert trajectories implicit to a validated reaction corpus. Given a target molecule and one
or more specified starting materials, our Double-Ended Synthesis Planning (DESP) algorithm takes
advantage of the natural reversibility of retrosynthesis by instantiating two AND-OR search graphs
and alternately performing retrosynthetic expansions and forward synthetic expansions. We present
two variations of DESP based on front-to-end (F2E) and front-to-front (F2F) bidirectional search. In
F2E search, each direction of the search is conditioned on the root node of the opposing search graph,
while in F2F, each search is conditioned on the “closest"" nodes of the opposing search graph. In
both cases, finding solutions is accelerated when the “bottom-up"" search graph converges with the
“top-down” retrosynthesis search graph. Each step of selection and expansion of bottom-up nodes is
conditioned on a specific molecule in the retrosynthetic graph, and we devise a means of utilizing
both our goal-conditioned cost network and an existing cost network for general retrosynthesis in the
top-down search policy. The goal-conditioned cost network, which we term the “synthetic distance""
network, is trained offline based on the observation that multi-step synthetic routes can be interpreted
as expert plans where any of the non-root molecules represents a starting material goal for the final
target molecule, thus bypassing the need for self-play using reinforcement learning (RL). In order to
train the network on “negative experiences"", we also sample pairs of molecules between which no
path exists through known reactions. Our contributions can be summarized as follows:"
INTRODUCTION,0.0399002493765586,"• We provide a formulation of starting material-constrained synthesis planning and release the first
benchmarks for evaluating algorithms on this task, including new real-world benchmarks collected
from the Pistachio database [14] addressing redundancies in the widely-used USPTO-190 test set.
• We present a starting material-constrained neural bidirectional search algorithm to tackle double-
ended synthesis planning. Specifically, we present a cost network that estimates the “synthetic
distance"" between molecules (instead of the distance between a molecule and arbitrary purchasable
building blocks) and an A*-like bidirectional search algorithm that strictly reflects the constraints.
• We present strong empirical results that illustrate the efficiency of double-ended synthesis planning.
Compared to existing algorithms, DESP expands fewer nodes and solves more targets under goal
constraints, demonstrating its value in biasing CASP algorithms towards expert goals."
BACKGROUND,0.04239401496259352,"2
Background"
RELATED WORK,0.04488778054862843,"2.1
Related work"
RELATED WORK,0.04738154613466334,"Computer-aided retrosynthetic analysis
Retrosynthetic analysis has traditionally been formulated
as a tree search problem, where each step involves searching for chemically feasible transformations
and corresponding reagents to derive the product molecule. In defining the feasible transformation,"
RELATED WORK,0.04987531172069826,"template-based methods select graph transformation rules to apply based on expert rules [15] or
use data-driven methods [16–18], such as a neural network policy trained on a reaction corpus [19].
Template-free methods frame one-step retrosynthesis prediction as a translation task of SMILES
strings [20, 21] or a graph-edit prediction [22]. In searching for multi-step synthetic pathways,
the focus of late has been on selecting non-terminal nodes for expansion. Initial efforts relied on
expert-defined rules and heuristics [2, 15], whereas more recent efforts combine neural networks
and Monte Carlo Tree Search (MCTS) [3], as well as AND-OR graph searches that address the
hypergraph complexity of reaction routes [23, 6, 4, 24]. Notably, Chen et al. [6] proposed Retro*, a
neural-guided A*-like search algorithm that we build on as part of our approach. Much additional
work has been done to improve multi-step CASP algorithms [25–32], primarily via improvements
of single-step policies in a multi-step context or value functions for improved search guidance.
Unlike DESP, these methods do not address the problem formulation where the pathway search is
constrained by one or more starting materials, as shown Fig. 4. One exception is GRASP [13], which
utilizes RL with hindsight experience replay [33] for goal-conditioned value estimation. Additionally,
starting material-oriented planning capablities were implemented in the LHASA program [12] but
rely entirely on expert-defined rules. In this work, we instead train a cost network offline using
historical reaction data and use bidirectional search to augment the retrosynthesis planner."
RELATED WORK,0.05236907730673317,"Synthesizable molecular design
Recent advances in computer-aided molecular design have intro-
duced novel approaches to synthesis planning. To ensure high synthetic accessibility of designed
molecules, researchers have proposed assembling compounds in silico by applying valid chemical
transformations to purchasable building blocks, effectively searching for molecules within a reaction
network [34–39]. The advent of deep generative modeling has further enabled the generation of
synthetic pathways with neural models [40–44]. These methods commonly employ a bottom-up
strategy, constructing synthetic pathways from building blocks to the final product. Gao et al. [42]
proposed that this framework could enable “bottom-up synthesis planning,"" in which the goal of
generation is to match a specified target molecule, and demonstrated the successful application of this
approach despite a low empirical reconstruction rate. In this work, we build upon Gao et al. [42]’s
method of conditional synthetic route generation by increasing the number of reaction templates,
training on a larger reaction corpus, and integrating the models into a bidirectional search algorithm."
