Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.004347826086956522,"Group equivariant Convolutional Neural Networks (G-CNNs) constrain features to
respect the chosen symmetries, and lead to better generalization when these symme-
tries appear in the data. However, if the chosen symmetries are not present, group
equivariant architectures lead to overly constrained models and worse performance.
Frequently, the distribution of the data can be better represented by a subset of a
group than by the group as a whole, e.g., rotations in [−90○,90○]. In such cases,
a model that respects equivariance partially is better suited to represent the data.
Moreover, relevant symmetries may differ for low and high-level features, e.g.,
edge orientations in a face, and face poses relative to the camera. As a result, the
optimal level of equivariance may differ per layer. In this work, we introduce
Partial G-CNNs: a family of equivariant networks able to learn partial and full
equivariances from data at every layer end-to-end. Partial G-CNNs retain full
equivariance whenever beneﬁcial, e.g., for rotated MNIST, but are able to restrict
it whenever it becomes harmful, e.g., for 6 / 9 or natural image classiﬁcation.
Partial G-CNNs perform on par with G-CNNs when full equivariance is necessary,
and outperform them otherwise. Our method is applicable to discrete groups,
continuous groups and combinations thereof."
INTRODUCTION,0.008695652173913044,"1
INTRODUCTION"
INTRODUCTION,0.013043478260869565,"The translation equivariance of Convolutional Neural Networks (CNNs) (LeCun et al., 1998) has
proven to be an important inductive bias for good generalization on vision tasks. This is achieved by
restricting learned representations to respect the translation symmetry observed in visual data, such
that if an input is translated, its feature representation is also translated, but not modiﬁed in any other
way. Group equivariant Convolutional Neural Networks (G-CNNs) (Cohen & Welling, 2016) extend
equivariance to other symmetry groups. Analogously, they restrict the learned representations to
respect the symmetries in the group considered such that if an input is transformed by an element in
the group, e.g., a rotation, its feature representation is also transformed, e.g., rotated, but not modiﬁed."
INTRODUCTION,0.017391304347826087,"However, the group to which G-CNNs are equivariant must be ﬁxed prior to training, and imposing
equivariance to a group larger than the symmetries present in the data leads to over-constraining and
worse performance (Chen et al., 2020). The latter results from a difference in the distribution of
the data, and the family of distributions the model can describe. Consequently, the group must be
selected carefully, and it should correspond to the transformations that appear naturally in the data."
INTRODUCTION,0.021739130434782608,"Interestingly, the distribution of the data can frequently be better represented by a subset of the group
than by the group itself, e.g., rotations in [−90○,90○]. For instance, natural images are much more
likely to show an elephant standing straight or slightly rotated than an elephant upside-down. In
some cases, group transformations can even change the desired model response. A typical example is
the classiﬁcation of the numbers 6 and 9, whose deﬁning factor is their pose. In both examples, the
distribution of the data is better represented by a model that respects rotation equivariance partially.
That is, a model equivariant to some, but not all rotations."
INTRODUCTION,0.02608695652173913,"In addition, the optimal family of full / partial equivariances may change per layer. This results from
changes in pose likelihoods for low and high-level features in the data, e.g., the orientations of edges
in an human face, and the pose of human faces relative to the camera. Whereas detecting a face may
beneﬁt from partial rotation equivariance, detecting edges beneﬁts from full rotation equivariance."
INTRODUCTION,0.030434782608695653,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.034782608695652174,"These observations indicate that constructing a model with different levels of partial / full equivari-
ances at each layer may be advantageous. Weiler & Cesa (2019) empirically show that manually
selecting the level of equivariance at different layers can lead to accuracy improvements. However,
manually deﬁning layer-wise levels of equivariance is at best a difﬁcult and time-consuming task."
INTRODUCTION,0.0391304347826087,"In this work, we introduce Partial Group equivariant Convolutional Neural Networks: a new family
of equivariant methods able to learn partial and full equivariances directly from data at every layer.
This is achieved by deﬁning a learnable probability distribution over group elements at each group
convolutional layer in the network. Instead of sampling group elements uniformly from the group
during the group convolution – as normally done –, Partial G-CNNs sample them from the learned
distribution. This allows them to adjust their level of equivariance during training. We note that our
partial equivariance framework allows for both equivariance forgetting, and full equivariance. The
former is obtained by collapsing the distribution along a certain group dimension, e.g., the rotation
axis, and the later results from keeping the learned distribution uniform over the entire group."
INTRODUCTION,0.043478260869565216,"We evaluate Partial G-CNNs on illustrative toy tasks and on challenging benchmark datasets. We show
that whenever full equivariance is beneﬁcial, e.g., for rotated MNIST, Partial G-CNNs remain fully
equivariant. However, whenever harmful, our models restrict equivariance to a subset of the group
transformations, e.g., to make 6 / 9 classiﬁcation possible or to improve on natural image classiﬁcation.
Our method improves upon conventional group equivariant networks when equivariance reductions
are advantageous, and matches their performance whenever their design is optimal. To the best of our
knowledge, this work is the ﬁrst approach to explore partial group equivariances, and to provide a
practical implementation to learn them directly from data in an end-to-end manner."
INTRODUCTION,0.04782608695652174,"In summary, our contributions are:"
