Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0017543859649122807,"We consider the ofﬂine constrained reinforcement learning (RL) problem, in
which the agent aims to compute a policy that maximizes expected return while
satisfying given cost constraints, learning only from a pre-collected dataset. This
problem setting is appealing in many real-world scenarios, where direct interac-
tion with the environment is costly or risky, and where the resulting policy should
comply with safety constraints. However, it is challenging to compute a policy that
guarantees satisfying the cost constraints in the ofﬂine RL setting, since the off-
policy evaluation inherently has an estimation error. In this paper, we present an
ofﬂine constrained RL algorithm that optimizes the policy in the space of the sta-
tionary distribution. Our algorithm, COptiDICE, directly estimates the stationary
distribution corrections of the optimal policy with respect to returns, while con-
straining the cost upper bound, with the goal of yielding a cost-conservative policy
for actual constraint satisfaction. Experimental results show that COptiDICE at-
tains better policies in terms of constraint satisfaction and return-maximization,
outperforming baseline algorithms."
INTRODUCTION,0.0035087719298245615,"1
INTRODUCTION"
INTRODUCTION,0.005263157894736842,"Reinforcement learning (RL) has shown great promise in a wide range of domains, such as com-
plex games (Mnih et al., 2015; Silver et al., 2017) and robotic control (Lillicrap et al., 2016;
Haarnoja et al., 2018). However, the need to interact with the environment during learning hinders
its widespread application to many real-world problems for which executing exploratory behavior
in the environment is costly or dangerous. Ofﬂine RL (also known as batch RL) (Lange et al., 2012;
Levine et al., 2020) algorithms sidestep this problem and perform policy optimization solely from a
set of pre-collected data. The use of existing (ofﬂine) data can make ofﬂine reinforcement learning
applicable to real world systems and and has led to a sharp increase in interest in this paradigm."
INTRODUCTION,0.007017543859649123,"Recent works on ofﬂine RL, however, mostly assume that the environment is modeled as a Markov
decision process (MDP), and standard ofﬂine RL algorithms focus on reward-maximization only
(Fujimoto et al., 2019; Wu et al., 2019; Kumar et al., 2019; Siegel et al., 2020; Wang et al., 2020;
Kumar et al., 2020). In contrast, in real-world domains it is common that the behavior of the agent
is subject to additional constraints beyond the reward. Consider, for example, autonomous driving
or an industrial robot in a factory. Some behaviors may damage the agent itself or its surroundings,
and safety constraints should thus be considered as part of the objective of a suitable reinforce-
ment learning system. One of the ways to mathematically characterize a constrained RL problem
is through the formalism of constrained Markov Decision Processes (CMDP) (Altman, 1999). In
CMDPs taking an action incurs a cost as well as a reward, and the goal is to maximize the expected
long-term reward while satisfying a bound on the expected long-term cost. In this work, we aim to
solve the constrained decision making problem in the ofﬂine RL setting, to enable deployment in
various safety-critical domains where direct learning interactions are infeasible."
INTRODUCTION,0.008771929824561403,"Ofﬂine constrained RL inherits the difﬁculties of ofﬂine unconstrained RL, while introducing ad-
ditional challenges. First, since the target policy being optimized deviates from the data-collection"
INTRODUCTION,0.010526315789473684,∗Work done during an internship at DeepMind.
INTRODUCTION,0.012280701754385965,Published as a conference paper at ICLR 2022
INTRODUCTION,0.014035087719298246,"policy with no further data collection, distribution shift becomes the central difﬁculty. To mitigate
the distributional shift, existing ofﬂine RL methods frequently adopt the pessimism principle: either
by explicit policy (and critic) regularization that penalizes deviation from the data-collection policy
(Jaques et al., 2019; Wu et al., 2019; Kumar et al., 2019; Siegel et al., 2020; Wang et al., 2020; Lee
et al., 2020; Kostrikov et al., 2021) or by reward penalty to the uncertain state-action regions (Kumar
et al., 2020; Kidambi et al., 2020; Yu et al., 2020). Second, in ofﬂine constrained RL, the computed
policy should satisfy the given cost constraints when it is deployed to the real environment. Unfor-
tunately off-policy policy evaluation inherently has estimation errors, and it is therefore difﬁcult to
ensure that a policy estimated from a ﬁnite dataset will satisfy the constraint when executed in the en-
vironment. In addition, constrained policy optimization usually involves an additional optimization
for the Lagrange multiplier associated with the cost constraints. Actor-critic-based constrained RL
algorithms thus have to solve triple (i.e. critic, actor, Lagrange multiplier) intertwined optimization
problems (Borkar, 2005; Tessler et al., 2019), which can be very unstable in practice."
INTRODUCTION,0.015789473684210527,"In this paper, we present an ofﬂine constrained RL algorithm that optimizes the state-action sta-
tionary distribution directly, rather than the Q-function or the policy. We show that such treatment
obviates the need for multiple estimators for the value and the policy, yielding a single optimiza-
tion objective that is practically solvable. Still, naively constraining the cost value may result in
severe constraint violation in the real environment, as we demonstrate empirically. We thus propose
a method to constrain the upper bound of the cost value, aiming to compute a policy more robust
in constraint violation, where the upper bound is computed in a way motivated by a recent advance
in off-policy conﬁdence interval estimation (Dai et al., 2020). Our algorithm, Ofﬂine Constrained
Policy Optimization via stationary DIstribution Correction Estimation (COptiDICE), estimates the
stationary distribution corrections of the optimal policy that maximizes rewards while constraining
the cost upper bound, with the goal of yielding a cost-conservative policy for better actual constraint
satisfaction. COptiDICE computes the upper bound of the cost efﬁciently by solving an additional
minimization problem. Experimental results show that COptiDICE attains a better policy in terms
of constraint satisfaction and reward-maximization, outperforming several baseline algorithms."
BACKGROUND,0.017543859649122806,"2
BACKGROUND"
