Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.002079002079002079,"Despite the dominance and effectiveness of scaling, resulting in large networks with
1"
ABSTRACT,0.004158004158004158,"hundreds of billions of parameters, the necessity to train overparametrized models
2"
ABSTRACT,0.006237006237006237,"remains poorly understood, and alternative approaches do not necessarily make
3"
ABSTRACT,0.008316008316008316,"it cheaper to train high-performance models. In this paper, we explore low-rank
4"
ABSTRACT,0.010395010395010396,"training techniques as an alternative approach to training large neural networks.
5"
ABSTRACT,0.012474012474012475,"We introduce a novel method called ReLoRA, which utilizes low-rank updates to
6"
ABSTRACT,0.014553014553014554,"train high-rank networks. We apply ReLoRA to pre-training transformer language
7"
ABSTRACT,0.016632016632016633,"models with up to 350M parameters, and demonstrate comparable performance
8"
ABSTRACT,0.018711018711018712,"to regular neural network training. Furthermore, we observe that the efficiency
9"
ABSTRACT,0.02079002079002079,"of ReLoRA increases with model size, making it a promising approach for train-
10"
ABSTRACT,0.02286902286902287,"ing multi-billion-parameter networks efficiently. Our findings shed light on the
11"
ABSTRACT,0.02494802494802495,"potential of low-rank training techniques and their implications for scaling laws.1
12"
INTRODUCTION,0.02702702702702703,"1
Introduction
13"
INTRODUCTION,0.029106029106029108,"Over the past decade, the machine learning field has been dominated by the trend of training
14"
INTRODUCTION,0.031185031185031187,"increasingly overparametrized networks or adopting the ""stack more layers"" approach [32, 21, 27].
15"
INTRODUCTION,0.033264033264033266,"The definition of a large network has evolved from models with 100 million [46, 39] to hundreds
16"
INTRODUCTION,0.035343035343035345,"of billions [8, 12] of parameters, which has made computational costs associated with training of
17"
INTRODUCTION,0.037422037422037424,"such networks prohibitive to most of the research groups. Despite this, the necessity to train models
18"
INTRODUCTION,0.0395010395010395,"which can have orders of magnitude more parameters than the training examples [8, 12, 16], is poorly
19"
INTRODUCTION,0.04158004158004158,"understood theoretically [25, 4, 60].
20"
INTRODUCTION,0.04365904365904366,"Alternative approaches to scaling, such as more compute-efficient scaling optima [22], retrieval-
21"
INTRODUCTION,0.04573804573804574,"augmented models [28, 7], and the simple approach of training smaller models for longer [50], have
22"
INTRODUCTION,0.04781704781704782,"offered new interesting trade-offs. However, they do not bring us closer to understanding why we
23"
INTRODUCTION,0.0498960498960499,"need overparametrized models and rarely democratize the training of these models. For example,
24"
INTRODUCTION,0.05197505197505198,"training RETRO [7] requires a complex training setup and infrastructure capable of quickly searching
25"
INTRODUCTION,0.05405405405405406,"over trillions of tokens, while training LLaMA-6B [50] still requires hundreds of GPUs.
26"
INTRODUCTION,0.056133056133056136,"In contrast, approaches like zero-redundancy optimizers [43], 16-bit training [37], 8-bit inference [14],
27"
INTRODUCTION,0.058212058212058215,"and parameter-efficient fine-tuning (PEFT) [33] have played a crucial role in making large models
28"
INTRODUCTION,0.060291060291060294,"more accessible. Specifically, PEFT methods have enabled fine-tuning of billion-scale language or
29"
INTRODUCTION,0.062370062370062374,"diffusion models on consumer hardware. This raises the question: Can these approaches also benefit
30"
INTRODUCTION,0.06444906444906445,"pre-training?
31"
INTRODUCTION,0.06652806652806653,"On one hand, pre-training is exactly the step that allows for small modifications to the network to
32"
INTRODUCTION,0.06860706860706861,"adapt it to new tasks. Aghajanyan et al. [1] demonstrated that the rank of the changes required
33"
INTRODUCTION,0.07068607068607069,1The code is provided with the supplementary material of the submission.
INTRODUCTION,0.07276507276507277,"0
2500
5000
7500
10000
12500
15000
17500
20000
3.0 3.5 4.0 4.5 5.0 Loss"
M,0.07484407484407485,"250M
250M ReLoRA
(99M trainable)
99M"
M,0.07692307692307693,"0
2500
5000
7500
10000
12500
15000
17500
20000
Step 0
100 250"
M,0.079002079002079,Trainable Params
M,0.08108108108108109,"Figure 1: ReLoRA learns a high-rank network through a sequence of low-rank updates. It outperforms
networks with the same trainable parameter count and achieves similar performance to training a full
network at 100M+ scale. The efficiency of ReLoRA increases with the model size, making it a viable
candidate for multi-billion-parameter training."
M,0.08316008316008316,"to learn a task decreases the more you pre-train the network. On the other hand, multiple studies
34"
M,0.08523908523908524,"have demonstrated the simplicity of features extracted and utilized by language and vision models,
35"
M,0.08731808731808732,"along with their low intrinsic dimensionality [31, 17, 42, 47]. For instance, attention patterns in
36"
M,0.0893970893970894,"transformers [51] often exhibit a small rank, which has been successfully leveraged to develop more
37"
M,0.09147609147609148,"efficient variants of attention [52, 11]. Moreover, overparametrization is also not necessary for
38"
M,0.09355509355509356,"training. The Lottery Ticket Hypothesis [17] empirically demonstrates that during initialization (or
39"
M,0.09563409563409564,"early in training [18]), there exist sub-networks – winning tickets – that when trained in isolation
40"
M,0.09771309771309772,"reach the performance of the full network.
41"
M,0.0997920997920998,"In this study, we focus on low-rank training techniques and introduce ReLoRA that uses low-rank
42"
M,0.10187110187110188,"updates to train a high-rank network. We empirically demonstrate that ReLoRA performs a high-rank
43"
