Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.005747126436781609,"Off-Policy Actor-Critic methods can effectively exploit past experiences and thus
they have achieved great success in various reinforcement learning tasks. In many
image-based and multi-source tasks, attention mechanism has been employed in
Actor-Critic methods to improve their sampling efﬁciency.
In this paper, we
propose a meta attention method for state-based reinforcement learning tasks,
which combines attention mechanism and meta-learning based on the Off-Policy
Actor-Critic framework. Unlike previous attention-based work, our meta atten-
tion method introduces attention in the actor and the critic of the typical Actor-
Critic framework rather than in multiple pixels of an image or multiple informa-
tion sources. In contrast to existing meta-learning methods, the proposed meta-
attention approach is able to function in both the gradient-based training phase
and the agent’s decision-making process. The experimental results demonstrate
the superiority of our meta-attention method in various continuous control tasks,
which are based on the Off-Policy Actor-Critic methods including DDPG, TD3,
and SAC."
INTRODUCTION,0.011494252873563218,"1
INTRODUCTION"
INTRODUCTION,0.017241379310344827,"Reinforcement Learning (RL) algorithms based on the Actor-Critic framework have achieved con-
siderable success in many areas such as games, robot control, and planning. Compared with on-
policy methods, off-policy methods possess more efﬁcient sampling since they do not require new
samples to be collected for each gradient step and make better use of experience (Haarnoja et al.,
2018a). However, even for off-policy methods, traditional reinforcement learning algorithms still
have extremely low sample efﬁciency (Yu, 2018). Recently, meta-learning (Hospedales et al., 2020)
has become topical as a paradigm to accelerate RL by learning an inductive bias from past expe-
rience. By learning aspects of the learning strategy, such as fast adaptation strategies (Finn et al.,
2017) (Rakelly et al., 2019), losses (Zhou et al., 2020) (Bechtle et al., 2020), optimization strate-
gies (Duan et al., 2016), exploration strategies (Gupta et al., 2018), hyperparameters (Bechtle et al.,
2020), and intrinsic rewards (Zheng et al., 2018), meta-learning has signiﬁcantly improved sample
efﬁciency over standard RL algorithms."
INTRODUCTION,0.022988505747126436,"Improving sample efﬁciency through attention mechanism has also been proved to be very effective
in image-based reinforcement learning(Barati & Chen, 2019; Chen et al., 2019). The application of
attention mechanism in multi-agent system(Parnika et al., 2021; Iqbal & Sha, 2019) and multi-object
task(Team et al., 2021) also shows its powerful capabilities in information processing. However, in
the existing works, attention mechanisms often have clear application scenarios, such as image-
based control or multiple sources of information (multi-agent or multi-target). The effective combi-
nation of attention mechanisms with current algorithms in a state-based single-agent environment is
still a problem to be investigated"
INTRODUCTION,0.028735632183908046,"In this paper, we propose a meta attention method based on the attention mechanism. In the human
decision-making process, people often modify their concepts based on the feedback and results to
obtain a better decision. Inspired by this decision-making process, we use meta attention to adapt
the features generated by the policy network based on the evaluation of value network. Our work
differs from current attention-based work in that our meta attention approach works only within
the Actor-Critic framework and does not depend on a speciﬁc scenario. We formalize the meta-
learning process as a bi-level optimization problem. Our approach can be ﬂexibly combined with
various algorithms by using meta attention as a meta-learner and optimizing meta attention in the
outer layer. Unlike the existing meta-learning methods, our meta attention approach can improve the"
INTRODUCTION,0.034482758620689655,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.040229885057471264,"performance of agent through gradients in the training stage and obtain better actions by adjusting
the features in the execution stage."
INTRODUCTION,0.04597701149425287,"We evaluated the proposed meta attention method in a series of continuous control tasks in Gym and
Roboschool, including three 3D robot control tasks, two 2D control tasks, and one classic control
task based on DDPG(Lillicrap et al., 2016), TD3(Fujimoto et al., 2018) and SAC(Haarnoja et al.,
2018b). Besides, we also discussed the changes and impact caused by modifying the actor features
through meta attention. Experimental results how that our meta-attention approach is not only ef-
fective in accelerating the learning progress of the agent in the training phase, but also improves the
actions in the execution phase, further enhancing the performance of the agent."
RELATED WORK,0.05172413793103448,"2
RELATED WORK"
RELATED WORK,0.05747126436781609,"Attention Mechanism
Attention is a behavioral and cognitive process of selectively attending to
a discrete aspect of information, whether subjective or objective, while ignoring other perceptible
information(de Santana Correia & Colombini, 2021). Typically, attention mechanism is mainly
applied in the ﬁelds of computational vision and natural language processing. Accordingly, although
the implementation methods are different, the application of attention mechanism in reinforcement
learning is mainly focused on video games(Wu et al., 2021; Chen et al., 2019; Barati & Chen, 2019;
Mott et al., 2019)(Manchin et al., 2019). Other works such as Peng et al. (2020) proposed a dynamic
attention model with a dynamic encoder-decoder architecture, which dynamically explores node
features to efﬁciently exploit hidden structural information at different construction steps. Li et al.
(2021) applied the attention mechanism to generate feature vectors and input them into value and
policy head during the feature extraction phase of PPO and PPG.Jiang & Lu (2018); Iqbal & Sha
(2019); Mao et al. (2019) employed a multi-head attention mechanism to make one agent selectively
pay attention to information from other agents. Team et al. (2021) used the attention mechanism to
match multiple goals with the hidden state of the current state to obtain the goal-attention hidden
state under different goals. This approach allows the agent to predict the expected return obtained
by attending to a goal at the end of a scene."
RELATED WORK,0.06321839080459771,"Meta Reinforcement Learning
Meta-learning is most often understood as learning to learn,
which refers to learning from historical information or multiple learning episodes to improve learn-
ing algorithms. Since works which fed historical trajectories into Recurrent Neural Network to ﬂesh
out task-level information(Wang et al., 2016; Duan et al., 2016), various meta-learning methods
have been proposed to strengthen agent performance. Houthooft et al. (2018); Kirsch et al. (2020);
Zhou et al. (2020) used meta-learning methods to learn a loss function rather than artiﬁcial design
to improve performance of agent in single or multiple tasks.Gupta et al. (2018); Stadie et al. (2018);
Xu et al. (2018a) employed meta-learning methods to learn exploration instead of traditional ex-
ploration methods.Finn et al. (2017) meta learned a good model initialization of the model that can
be quickly adapted to different tasks. Xu et al. (2018b) improved the performance of the agent by
meta-learning discount factors.Rakelly et al. (2019)Fakoor et al. (2020) treats meta information as an
unobservable state of Partially Observable Markov Decision Process, further improves the agent’s
performance in multi task learning. Although the attention mechanism may not have an explicit
meta-learning object, it can also be considered as the king of the meta-learning method."
RELATED WORK,0.06896551724137931,"Bi-level Optimization
Generally, meta-learning can be formalized as a bi-level optimiza-
tion(BLO) problem. However, the solution of BLO problems is often challenging. Franceschi et al.
(2018) proposed a framework for approximating the solution of BLO problems using the gradient
method. Since then, many works based on the gradient methods to optimize meta leaner have suc-
cessfully proved the feasibility of gradient method, such asLi et al. (2019); Finn & Levine (2018);
Lian et al. (2020); Flennerhag et al. (2020). For the RL problem, Zhou et al. (2020) optimize the meta
critic, the upper-level of a BLO, as an intrinsic motivation by gradient method. Kirsch et al. (2020)
enables a population of agents to use and improve a single parameterized objective function through
gradient learning on different tasks. Rajeswaran et al. (2019) proposed an implicit MAML algorithm
by drawing upon implicit differentiation that effectively decouples the meta-gradient computation
from the selection of an inner loop optimizer. Liu et al. (2019) proposed a surrogate objective
function TMAML, which incorporates control variables into gradient estimation through automatic"
RELATED WORK,0.07471264367816093,Under review as a conference paper at ICLR 2022
RELATED WORK,0.08045977011494253,"differentiation and improves the quality of the gradient estimation by reducing the variance without
introducing bias."
METHODOLOGY,0.08620689655172414,"3
METHODOLOGY"
OFF-POLICY ACTOR-CRITIC,0.09195402298850575,"3.1
OFF-POLICY ACTOR-CRITIC"
