Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.001076426264800861,"We provide theoretical understandings of the implicit bias imposed by adversarial
training for homogeneous deep neural networks without any explicit regularization.
In particular, for deep linear networks adversarially trained by gradient descent on
a linearly separable dataset, we prove that the direction of the product of weight
matrices converges to the direction of the max-margin solution of the original
dataset. Furthermore, we generalize this result to the case of adversarial training
for non-linear homogeneous deep neural networks without the linear separability
of the dataset. We show that, when the neural network is adversarially trained
with ℓ2 or ℓ∞FGSM, FGM and PGD perturbations, the direction of the limit
point of normalized parameters of the network along the trajectory of the gradient
ﬂow converges to a KKT point of a constrained optimization problem that aims to
maximize the margin for adversarial examples. Our results theoretically justify the
longstanding conjecture that adversarial training modiﬁes the decision boundary
by utilizing adversarial examples to improve robustness, and potentially provides
insights for designing new robust training strategies."
INTRODUCTION,0.002152852529601722,"1
INTRODUCTION"
INTRODUCTION,0.0032292787944025836,"Deep neural networks (DNNs) have achieved great success in many ﬁelds such as computer vision
(Krizhevsky et al., 2012; He et al., 2015) and natural language processing (Collobert & Weston, 2008)
and other applications. These breakthroughs also lead to the importance of research on the robustness
and security issues of DNNs, among which those about adversarial examples are especially prevalent.
Adversarial examples are obtained by adding craftily designed imperceptible perturbations to the
original examples, which can sharply change the predictions of the DNNs with high conﬁdence
(Szegedy et al., 2014; Nguyen et al., 2015). Such vulnerability of DNNs renders security concerns
about deploying them in security-critical systems including vision for autonomous cars and face
recognition. It is therefore crucial to develop defense mechanisms against these adversarial examples
for deep learning."
INTRODUCTION,0.004305705059203444,"To this end, many defense strategies have been proposed to make DNNs resistant to adversarial
examples, such as adding a randomization layer before the input to the classiﬁer (Xie et al., 2018),
input transformations (Guo et al., 2018), adversarial training (Madry et al., 2018), etc. However,
Athalye et al. (2018) pointed out that most of the defense techniques are ineffective and give a false
sense of security due to obfuscated gradients except for adversarial training—a method which has
not been comprehensively attacked yet. Given a C-class training dataset {(xi, yi)}n
i=1 with natural
example xi ∈Rd and corresponding label yi ∈{1, ..., C}, adversarial training is formulated as
solving the following minimax optimization problem"
INTRODUCTION,0.005382131324004306,"min
W
˜L(W) = min
W
1
n n
X"
INTRODUCTION,0.006458557588805167,"i=1
max
δi∈B(0,ϵ) ℓ(xi + δi(W), yi; W) ,
(1)"
INTRODUCTION,0.007534983853606028,"where f is the DNN function, ℓis the loss function and δi(W) is the adversarial perturbation
generated by some adversary A(xi, yi; W) typically depending on model parameters W, within
the set B(0, ϵ) = {δ : ∥δ∥p ≤ϵ} around the natural example xi. Commonly, adversarial training
conducts a two-player game at each iteration: the inner maximization is to attack the model and"
INTRODUCTION,0.008611410118406888,Published as a conference paper at ICLR 2022
INTRODUCTION,0.00968783638320775,"ﬁnd the corresponding perturbation of the original example that maximizes the classiﬁcation loss ℓ;
the outer minimization, on the other hand, is to update the model parameters W with the gradient
descent method such that the loss ℓis minimized on adversarial examples generated by the inner
maximization (see Algorithm 1 for details)."
