Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0029154518950437317,"When answering questions, large language models (LLMs) can convey not only an
answer to the question, but a level of confidence about the answer being correct.
This includes explicit markers of confidence (e.g. giving a numeric confidence
score) as well as implicit markers, like using an authoritative tone or elaborating
with additional knowledge of a subject. For LLMs to be trustworthy sources of
knowledge, the confidence they convey should match their actual expertise on a
topic; however, this is currently not the case, with most models tending towards
overconfidence. To calibrate both implicit and explicit confidence markers, we
introduce a pragmatic, listener-aware finetuning method (LACIE) that directly
models the listener, considering not only whether an answer is right, but whether
it will be accepted by a listener. Specifically, we cast calibration as a preference
optimization problem, creating data via a two-agent speaker-listener game, where a
speaker model’s outputs are judged by a simulated listener. We then finetune three
different LLMs (Mistral-7B, Llama3-8B, Llama3-70B) with LACIE, and show
that the models resulting from this multi-agent optimization are better calibrated
on TriviaQA with respect to a simulated listener. Crucially, these trends transfer
to human listeners, helping them correctly predict model correctness: we conduct
a human evaluation where annotators accept or reject an LLM’s answers to trivia
questions, finding that training with LACIE results in 47% fewer incorrect answers
being accepted while maintaining the same level of acceptance for correct answers.
Furthermore, LACIE generalizes to another dataset, resulting in a large increase in
truthfulness on TruthfulQA when trained on TriviaQA. Our analysis indicates that
LACIE leads to a better separation in confidence between correct and incorrect
examples. Qualitatively, we find that a LACIE-trained model hedges more when
uncertain and adopts implicit cues to signal certainty when it is correct, such as
using an authoritative tone or including details. Finally, finetuning with our listener-
aware method leads to an emergent increase in model abstention (e.g. saying “I
don’t know”) for answers that are likely to be wrong, trading recall for precision.1"
INTRODUCTION,0.0058309037900874635,"1
Introduction"
INTRODUCTION,0.008746355685131196,"In interacting linguistically with each other, people tend to follow conventions – or maxims – that allow
for successful communication. For example, good conversational partners try to make their utterances
truthful, relevant, clear, and concise [Grice, 1975]. When people violate these conventions, they can
mislead listeners, which may ultimately lead to them being seen as incompetent, untrustworthy, or as
poor conversational partners. While large language models (LLMs) generally follow many of these
conventions, they often fail to respect Grice [1975]’s maxim of truthfulness, generating outputs that
are not truthful [Rawte et al., 2023]. More troublingly, untruthful outputs generated by LLMs are"
INTRODUCTION,0.011661807580174927,1Code: https://github.com/esteng/pragmatic_calibration
INTRODUCTION,0.014577259475218658,"Answer: This one's
too easy..."
INTRODUCTION,0.01749271137026239,"Correct 
Incorrect"
INTRODUCTION,0.02040816326530612,Perceived as
INTRODUCTION,0.023323615160349854,"confident
Perceived as"
INTRODUCTION,0.026239067055393587,unconfident
INTRODUCTION,0.029154518950437316,Listener
INTRODUCTION,0.03206997084548105,accept
INTRODUCTION,0.03498542274052478,reject
INTRODUCTION,0.037900874635568516,"Question: ""The King
of Barataria"" is the
subtitle of which...
Answer: The Pirates
of Penzance
Confidence: 100%..."
INTRODUCTION,0.04081632653061224,"Question: What
number shirt did
footballer Bobby
Moore wear...?
Answer: ...I'd guess
he wore 1, as
goalies traditionally
wear that number."
INTRODUCTION,0.043731778425655975,Implicit
INTRODUCTION,0.04664723032069971,Explicit
INTRODUCTION,0.04956268221574344,"Question: Who was the first
Prime Minister of Australia?"
INTRODUCTION,0.052478134110787174,"Base
speaker model"
INTRODUCTION,0.05539358600583091,"(B) Data generation process: 
Bootstrapping preference data
(A) Listener agent accepts or rejects based on"
INTRODUCTION,0.05830903790087463,perceived confidence (implicit or explicit)
INTRODUCTION,0.061224489795918366,"A0: I'm very sure that it was
Edmund Barton..."
INTRODUCTION,0.0641399416909621,"A1: It was Alfred Deakin... I
know because I read  his..."
INTRODUCTION,0.06705539358600583,"A2:  Edmund Barton...
Confidence: 25% ..."
INTRODUCTION,0.06997084548104957,Listener model
INTRODUCTION,0.0728862973760933,"A0: ✅, A1: ❌ , A2:  ✅, ..."
INTRODUCTION,0.07580174927113703,"4. Pass outputs from (2), (3) to preference function"
