Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0016420361247947454,"Creating novel views from a single image has achieved tremendous strides with
1"
ABSTRACT,0.003284072249589491,"advanced autoregressive models. Although recent methods generate high-quality
2"
ABSTRACT,0.0049261083743842365,"novel views, synthesizing with only one explicit or implicit 3D geometry has a
3"
ABSTRACT,0.006568144499178982,"trade-off between two objectives that we call the “seesaw” problem: 1) preserv-
4"
ABSTRACT,0.008210180623973728,"ing reprojected contents and 2) completing realistic out-of-view regions. Also,
5"
ABSTRACT,0.009852216748768473,"autoregressive models require a considerable computational cost. In this paper, we
6"
ABSTRACT,0.011494252873563218,"propose a single-image view synthesis framework for mitigating the seesaw prob-
7"
ABSTRACT,0.013136288998357963,"lem. The proposed model is an efficient non-autoregressive model with implicit and
8"
ABSTRACT,0.014778325123152709,"explicit renderers. Motivated by characteristics that explicit methods well preserve
9"
ABSTRACT,0.016420361247947456,"reprojected pixels and implicit methods complete realistic out-of-view region, we
10"
ABSTRACT,0.0180623973727422,"introduce a loss function to complement two renderers. Our loss function promotes
11"
ABSTRACT,0.019704433497536946,"that explicit features improve the reprojected area of implicit features and implicit
12"
ABSTRACT,0.021346469622331693,"features improve the out-of-view area of explicit features. With the proposed
13"
ABSTRACT,0.022988505747126436,"architecture and loss function, we can alleviate the seesaw problem, outperforming
14"
ABSTRACT,0.024630541871921183,"autoregressive-based state-of-the-art methods and generating an image ≈100 times
15"
ABSTRACT,0.026272577996715927,"faster. We validate the efficiency and effectiveness of our method with experiments
16"
ABSTRACT,0.027914614121510674,"on RealEstate10K and ACID datasets.
17"
INTRODUCTION,0.029556650246305417,"1
Introduction
18"
INTRODUCTION,0.031198686371100164,"Single-image view synthesis is the task of generating novel view images from a given single image [5,
19"
INTRODUCTION,0.03284072249589491,"18, 23, 38–40, 47, 50, 54]. It can enable the movement of the camera from a photograph and bring an
20"
INTRODUCTION,0.034482758620689655,"image to 3D, which are significant for various computer vision applications such as image editing and
21"
INTRODUCTION,0.0361247947454844,"animating. To perform the realistic single-image view synthesis in these applications, we can expect
22"
INTRODUCTION,0.03776683087027915,"that the novel view image has to consist of existing objects and unseen new objects from the reference
23"
INTRODUCTION,0.03940886699507389,"viewpoint. Therefore, for high-quality novel views, the following two goals should be considered: 1)
24"
INTRODUCTION,0.041050903119868636,"preserving 3D transformed seen contents of a single reference image and 2) generating semantically
25"
INTRODUCTION,0.042692939244663386,"compatible pixels for filling the unseen region. To achieve two goals, explicit and implicit methods
26"
INTRODUCTION,0.04433497536945813,"have been proposed.
27"
INTRODUCTION,0.04597701149425287,"With the recent success of differentiable geometric transformation methods [2, 31], explicit meth-
28"
INTRODUCTION,0.047619047619047616,"ods [5, 17, 23, 50, 57] leverage such 3D inductive biases to guide the view synthesis network to
29"
INTRODUCTION,0.04926108374384237,"preserve 3D transformed contents, and various generative models are applied to complete the unseen
30"
INTRODUCTION,0.05090311986863711,"regions. Explicit methods can produce high-quality novel view images in small view changes, where
31"
INTRODUCTION,0.052545155993431854,"the content of the reference viewpoint still occupies a large portion. However, for large view changes,
32"
INTRODUCTION,0.054187192118226604,"the image quality is degraded due to a lack of ability to generate pixels of the unseen region. To deal
33"
INTRODUCTION,0.05582922824302135,"with this problem, outpainting with the autoregressive model is exploited to fill unseen regions [39],
34"
INTRODUCTION,0.05747126436781609,"but generating photo-realistic images remains a challenge for explicit methods.
35 32 37 42 47 52 57 62 67"
INTRODUCTION,0.059113300492610835,"14
14.5
15
15.5
16"
INTRODUCTION,0.060755336617405585,SynSin
INTRODUCTION,0.06239737274220033,SynSin-6x
INTRODUCTION,0.06403940886699508,PixelSynth
INTRODUCTION,0.06568144499178982,"GeoFree
Ours"
INTRODUCTION,0.06732348111658457,PSNR on small viewpoint changes
INTRODUCTION,0.06896551724137931,FID on large viewpoint changes
INTRODUCTION,0.07060755336617405,Better preserve
INTRODUCTION,0.0722495894909688,Better generation
INTRODUCTION,0.07389162561576355,Warped image
INTRODUCTION,0.0755336617405583,"Input image
SynSin
PixelSynth"
INTRODUCTION,0.07717569786535304,"GeoFree
Ours
: Explicit method
: Implicit method"
INTRODUCTION,0.07881773399014778,0.063 sec/img
INTRODUCTION,0.08045977011494253,9.39 sec/img
INTRODUCTION,0.08210180623973727,6.22 sec/img
INTRODUCTION,0.08374384236453201,0.056 sec/img
INTRODUCTION,0.08538587848932677,0.063 sec/img
INTRODUCTION,0.08702791461412152,Trade-off [50] [40] [39]
INTRODUCTION,0.08866995073891626,"Figure 1: Seesaw problem of explicit and implicit methods. Explicit methods well preserve warped
contents but sacrifice to fill unseen pixels (↑PSNR on small view change, ↑FID on large view
change). Implicit methods amply fill unseen pixels but fall short of preserving seen contents (↓PSNR
on small view change, ↓FID on large view change). Our proposed framework alleviates this seesaw
problem and generates an image faster than the state-of-the-art methods."
INTRODUCTION,0.090311986863711,"On the other side, implicit methods [38, 40, 46] less enforce 3D inductive biases and let the model
36"
INTRODUCTION,0.09195402298850575,"learn the required 3D geometry for view synthesis. Based on the powerful autoregressive trans-
37"
INTRODUCTION,0.09359605911330049,"former [10], recent implicit methods learn the 3D geometry from a reference image and camera
38"
INTRODUCTION,0.09523809523809523,"parameters. Implicitly learned 3D geometry allows the model to synthesize diverse and realistic novel
39"
INTRODUCTION,0.09688013136288999,"view images but fails to preserve the contents of the reference image since they reduce 3D inductive
40"
INTRODUCTION,0.09852216748768473,"biases.
41"
INTRODUCTION,0.10016420361247948,"To sum up, previous single-image view synthesis methods suffer from a trade-off between two
42"
INTRODUCTION,0.10180623973727422,"objectives: 1) preserve seen contents and 2) generate semantically compatible unseen regions. Figure 1
43"
INTRODUCTION,0.10344827586206896,"shows an apparent trade-off that explicit methods well preserve seen contents with sacrificing the
44"
INTRODUCTION,0.10509031198686371,"generation of unseen regions and vice versa for implicit methods. Here, we call this trade-off the
45"
INTRODUCTION,0.10673234811165845,"seesaw problem and emphasize the need for combining solid points of explicit and implicit methods.
46"
INTRODUCTION,0.10837438423645321,"Moreover, recent methods often depend on autoregressive models, which generate individual pixels
47"
INTRODUCTION,0.11001642036124795,"sequentially. Sequential generation causes too slower view synthesis than non-autoregressive methods,
48"
INTRODUCTION,0.1116584564860427,"limiting their application areas, such as image animating in real-time. Therefore, we refocus on a fast
49"
INTRODUCTION,0.11330049261083744,"and efficient non-autoregressive model for single view synthesis.
50"
INTRODUCTION,0.11494252873563218,"In this paper, we present a non-autoregressive framework for alleviating the seesaw problem. Our
51"
INTRODUCTION,0.11658456486042693,"approach aims to design the architecture and loss functions. We design two parallel render blocks
52"
INTRODUCTION,0.11822660098522167,"which explicitly or implicitly learn geometric transformations from point cloud representations.
53"
INTRODUCTION,0.11986863711001643,"To bridge explicit and implicit transformations, we propose a novel loss function that motivates
54"
INTRODUCTION,0.12151067323481117,"explicit features improve seen pixels of implicit features and implicit features improve unseen
55"
INTRODUCTION,0.12315270935960591,"pixels of explicit features. Interestingly, we observe that proposed loss makes two renderers embed
56"
INTRODUCTION,0.12479474548440066,"discriminative features and allow the model to use both renderers in a balanced way to create novel
57"
INTRODUCTION,0.12643678160919541,"views. With the proposed architecture and the loss function, we can merge the pros of both explicit
58"
INTRODUCTION,0.12807881773399016,"and implicit methods, alleviating the seesaw problem. As a result, our non-autoregressive framework
59"
INTRODUCTION,0.1297208538587849,"can better preserve seen contents, better complete unseen pixels, and generate images ≈100 times
60"
INTRODUCTION,0.13136288998357964,"faster than autoregressive methods. We validate the efficiency and effectiveness of our framework
61"
INTRODUCTION,0.1330049261083744,"with experiments on the indoor dataset RealEstate10K [58] and the outdoor dataset ACID [23].
62"
RELATED WORKS,0.13464696223316913,"2
Related Works
63"
RELATED WORKS,0.13628899835796388,"Novel view synthesis
Given multiple images from different viewpoints of a scene, novel view
64"
RELATED WORKS,0.13793103448275862,"synthesis aims to generate novel view images. Traditionally, multi-view geometry is utilized for
65"
RELATED WORKS,0.13957307060755336,"synthesizing novel viewpoints [4, 6, 7, 13, 21, 42, 59]. Recently, deep neural networks have been
66"
RELATED WORKS,0.1412151067323481,"used to rendering [15, 28, 29, 32] and several representation for view synthesis such as multi-plane
67"
RELATED WORKS,0.14285714285714285,"image [11, 45, 58], point cloud [1], depth [44], radiance field [30, 49, 55] and voxel [25, 33, 43].
68"
RELATED WORKS,0.1444991789819376,ViewNet
RELATED WORKS,0.14614121510673234,Input Image Iref
RELATED WORKS,0.1477832512315271,DepthNet
RELATED WORKS,0.14942528735632185,Back-projection f0
RELATED WORKS,0.1510673234811166,"D
Xw Ximg he hi"
RELATED WORKS,0.15270935960591134,Decoder
RELATED WORKS,0.15435139573070608,output Image Itgt
RELATED WORKS,0.15599343185550082,"Overlap Patch
Embeddings"
RELATED WORKS,0.15763546798029557,Encoder
RELATED WORKS,0.1592775041050903,Mix-FFN x N
RELATED WORKS,0.16091954022988506,Global Set Attention ISAB
RELATED WORKS,0.1625615763546798,"𝜹𝒈𝒍𝒐𝒃𝒂𝒍
gglobal"
RELATED WORKS,0.16420361247947454,Local Set Attention
RELATED WORKS,0.16584564860426929,LSA Layer
RELATED WORKS,0.16748768472906403,𝜹𝒍𝒐𝒄𝒂𝒍
RELATED WORKS,0.16912972085385877,"𝒂𝒃𝒔
𝜹𝒍𝒐𝒄𝒂𝒍 𝒓𝒆𝒍"
RELATED WORKS,0.17077175697865354,glocal fN
RELATED WORKS,0.1724137931034483,Camera Pose T
RELATED WORKS,0.17405582922824303,Explicit Renderer
RELATED WORKS,0.17569786535303777,"Overlap Patch 
Embeddings"
RELATED WORKS,0.17733990147783252,"Transformer 
Block"
RELATED WORKS,0.17898193760262726,Upsample
RELATED WORKS,0.180623973727422,Warping
RELATED WORKS,0.18226600985221675,Implicit Renderer 𝛿pos x M
RELATED WORKS,0.1839080459770115,"Overlap Patch 
Embeddings"
RELATED WORKS,0.18555008210180624,"Transformer 
Block"
RELATED WORKS,0.18719211822660098,Upsample x M
RELATED WORKS,0.18883415435139572,": addition
: concatenation"
RELATED WORKS,0.19047619047619047,"Figure 2: An overview of network architecture. Our network takes a reference image Iref and
a relative camera pose T as inputs. The depth estimation network (DepthNet) first predicts a depth
map D, and the view synthesis network (ViewNet) generates a target image Itgt from Iref, D and
T. Specifically, D is used for calculating the 3D world coordinate Xw and the normalized image
coordinate Ximg at the reference viewpoint, which are passed through various positional encoding
layers in the encoder (e.g., δglobal, δabs
local and δrel
local) to provide the scene structure representations.
Encoded features fN are then transformed by both Implicit Renderer and Explicit Renderer with T.
Finally, two transformed feature map, hi and he, are concatenated to generate Itgt by the decoder."
RELATED WORKS,0.1921182266009852,"Single-image view synthesis is more challenging than general novel view synthesis since a single
69"
RELATED WORKS,0.19376026272577998,"input image is only available [5, 18, 23, 38–40, 47, 50, 54]. Explicit methods directly inject 3D
70"
RELATED WORKS,0.19540229885057472,"inductive biases into models. For example, SynSin [50] uses 3D point cloud features with estimated
71"
RELATED WORKS,0.19704433497536947,"depth from the model, projects to novel viewpoints, and refines unseen pixels with recent generative
72"
RELATED WORKS,0.1986863711001642,"models [3]. SynSin works well in small viewpoint changes but degrades in large viewpoint changes
73"
RELATED WORKS,0.20032840722495895,"due to the lack of generating unseen pixels. To deal with this problem, PixelSynth [39] exploits the
74"
RELATED WORKS,0.2019704433497537,"autoregressive outpainting model [37] with 3D point cloud representation. Despite using the slow
75"
RELATED WORKS,0.20361247947454844,"autoregressive model, it cannot generate unseen pixels well. For an implicit method, Rombach et
76"
RELATED WORKS,0.20525451559934318,"al. [40] propose a powerful autoregressive transformer. By less enforcing 3D inductive biases, this
77"
RELATED WORKS,0.20689655172413793,"approach can generate realistic view synthesis and complete the unseen region without explicit
78"
RELATED WORKS,0.20853858784893267,"3D geometry. However, its inference time is long due to the autoregressive model, and it fails to
79"
