Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0017006802721088435,"This paper considers minimax optimization minx maxy f(x, y) in the challeng-
ing setting where f can be both nonconvex in x and nonconcave in y. Though
such optimization problems arise in many machine learning paradigms including
training generative adversarial networks (GANs) and adversarially robust models,
from a theoretical point of view, two fundamental issues remain: (i) the absence of
simple and efﬁciently computable optimality notions, and (ii) cyclic or diverging
behavior of existing algorithms. This paper proposes a new theoretical framework
for nonconvex-nonconcave minimax optimization that addresses both of the above
issues. The starting point of this paper is the observation that, under a computa-
tional budget, the max-player can not fully maximize f(x, ·) since nonconcave
maximization is NP-hard in general. So, we propose a new framework, and a corre-
sponding algorithm, for the min-player to play against smooth algorithms deployed
by the adversary (i.e., the max-player) instead of against full maximization. Our
algorithm is guaranteed to make monotonic progress (thus having no limit cycles or
diverging behavior), and to ﬁnd an appropriate “stationary point” in a polynomial
number of iterations. Our framework covers practically relevant settings where the
smooth algorithms deployed by the adversary are multi-step stochastic gradient
ascent, and its accelerated version. We further present experimental results that
conﬁrm our theoretical ﬁndings and demonstrate the effectiveness of the proposed
approach in practice on simple, conceptual settings."
INTRODUCTION,0.003401360544217687,"1
INTRODUCTION"
INTRODUCTION,0.00510204081632653,"This paper considers minimax optimization minx maxy f(x, y) in the context of two-player zero-sum
games, where the min-player (controlling x) tries to minimize objective f assuming a worst-case
opponent (controlling y) that acts so as to maximize it. Minimax optimization naturally arises in
a variety of important machine learning paradigms, with the most prominent examples being the
training of generative adversarial networks (GANs) (Goodfellow et al., 2014) and adversarially robust
models (Madry et al., 2018). These applications commonly engage deep neural networks with various
techniques such as convolution, recurrent layers, and batch normalization. As a result, the objective
function f is highly nonconvex in x and nonconcave in y."
INTRODUCTION,0.006802721088435374,"Theoretically, minimax optimization has been extensively studied starting from the seminal work of
von Neumann (Neumann, 1928), with many efﬁcient algorithms proposed for solving it (Robinson,
1951; Korpelevich, 1976; Nemirovski, 2004). A majority of these classical results have been focused
on convex-concave functions, and heavily rely on the minimax theorem, i.e., minx maxy f(x, y) =
maxy minx f(x, y), which no longer holds beyond the convex-concave setting. Recent line of
works (Lin et al., 2020a; Nouiehed et al., 2019; Thekumparampil et al., 2019; Lin et al., 2020b;
Ostrovskii et al., 2020) address the nonconvex-concave setting where f is nonconvex in x but concave"
INTRODUCTION,0.008503401360544218,∗Currently with Amazon.
INTRODUCTION,0.01020408163265306,Published as a conference paper at ICLR 2022
INTRODUCTION,0.011904761904761904,"in y by proposing meaningful optimality notions and designing algorithms to ﬁnd such points. A key
property heavily exploited in this setting is that the inner maximization over y given a ﬁxed x can be
computed efﬁciently, which unfortunately does not extend to the nonconvex-nonconcave setting."
INTRODUCTION,0.013605442176870748,"Consequently, nonconvex-nonconcave optimization remains challenging, and two of the most fun-
damental theoretical issues are still unresolved: (i) what is an appropriate notion of optimality that
can be computed efﬁciently? and (ii) can we design algorithms that do not suffer from cycling or
diverging behavior? Practitioners often use simple and popular algorithms such as gradient descent
ascent (GDA) and other variants for solving these challenging optimization problems. While these
algorithms seem to perform well in terms of producing high quality images in GANs and robust
models in adversarial training, they are also highly unstable, particularly in training GANs. Indeed
the instability of GDA and other empirically popular methods is not surprising since they are known
to not converge even in very simple settings (Daskalakis & Panageas, 2018a; Bailey et al., 2020).
This current state of affairs strongly motivates the need to develop a strong theoretical foundation for
nonconvex-nonconcave minimax optimization and to design better algorithms for solving them."
INTRODUCTION,0.015306122448979591,"This work considers the challenging nonconvex-nonconcave setting. Our framework sprouts from
the practical consideration that under a computational budget, the max-player cannot fully maximize
f(x, ·) since nonconcave maximization is NP-hard in general. In fact, in both the settings of GAN
and adversarial training, in practice, the max-player employs simple gradient based algorithms such
as gradient ascent, run for a few steps – on the order of 5 for GAN training and 40 for adversarial
training (see, e.g., Arjovsky et al. 2017; Madry et al. 2018) – to estimate argmaxy f(x, y). To
capture this aspect, we assume that the max-player has a toolkit of multiple (potentially randomized)
algorithms A1, A2, · · · , Ak in an attempt to solve the maximization problem given ﬁxed x, and picks
the best solution among these algorithms. This motivates us to study the surrogate of the minimax
optimization problem as"
