Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0019230769230769232,"This paper proposes a new easy-to-implement parameter-free gradient-based op-
timizer: DoWG (Distance over Weighted Gradients). We prove that DoWG is
efficient—matching the convergence rate of optimally tuned gradient descent in
convex optimization up to a logarithmic factor without tuning any parameters,
and universal—automatically adapting to both smooth and nonsmooth problems.
While popular algorithms following the AdaGrad framework compute a running
average of the squared gradients to use for normalization, DoWG maintains a new
distance-based weighted version of the running average, which is crucial to achieve
the desired properties. To complement our theory, we also show empirically that
DoWG trains at the edge of stability, and validate its effectiveness on practical
machine learning tasks."
INTRODUCTION,0.0038461538461538464,"1
Introduction"
INTRODUCTION,0.0057692307692307696,We study the fundamental optimization problem
INTRODUCTION,0.007692307692307693,"min
x∈X f(x),
(OPT)"
INTRODUCTION,0.009615384615384616,"where f is a convex function, and X is a convex, closed, and bounded subset of Rd. We assume
f has at least one minimizer x∗∈X. We focus on gradient descent and its variants, as they are
widely adopted and scale well when the model dimensionality d is large (Bottou et al., 2018). The
optimization problem (OPT) finds many applications: in solving linear systems, logistic regression,
support vector machines, and other areas of machine learning (Boyd and Vandenberghe, 2004).
Equally important, methods designed for (stochastic) convex optimization also influence the intuition
for and design of methods for nonconvex optimization– for example, momentum (Polyak, 1964),
AdaGrad (Duchi et al., 2010), and Adam (Kingma and Ba, 2015) were all first analyzed in the convex
optimization framework."
INTRODUCTION,0.011538461538461539,"As models become larger and more complex, the cost and environmental impact of training have
rapidly grown as well (Sharir et al., 2020; Patterson et al., 2021). Therefore, it is vital that we develop
more efficient and effective methods of solving machine learning optimization tasks. One of the
chief challenges in applying gradient-based methods is that they often require tuning one or more
stepsize parameters (Goodfellow et al., 2016), and the choice of stepsize can significantly influence
a method’s convergence speed as well as the quality of the obtained solutions, especially in deep
learning (Wilson et al., 2017)."
INTRODUCTION,0.013461538461538462,"The cost and impact of hyperparameter tuning on the optimization process have led to significant
research activity in designing parameter-free and adaptive optimization methods in recent years, see
e.g. (Orabona and Cutkosky, 2020; Carmon and Hinder, 2022) and the references therein."
INTRODUCTION,0.015384615384615385,"We say an algorithm is universal if it adapts to many different problem geometries or regularity
conditions on the function f (Nesterov, 2014; Levy et al., 2018; Grimmer, 2022). In this work,
we focus on two regularity conditions: (a) f Lipschitz and (b) f smooth. Lipschitz functions"
INTRODUCTION,0.01730769230769231,"have a bounded rate of change, that is, there exists some G > 0 such that for all x, y ∈X we
have |f(x) −f(y)| ≤G∥x −y∥. The Lipschitz property is beneficial for the convergence of
gradient-based optimization algorithms. They converge even faster on smooth functions, which
have continuous derivatives; that is, there exists some L > 0 such that for all x, y ∈X we have
∥∇f(x) −∇f(y)∥≤L∥x −y∥. Smoothness leads to faster convergence of gradient-based methods
than the Lipschitz property. Universality is a highly desirable property because in practice the same
optimization algorithms are often used for both smooth and nonsmooth optimization (e.g. optimizing
both ReLU and smooth networks)."
INTRODUCTION,0.019230769230769232,The main question of our work is as follows:
INTRODUCTION,0.021153846153846155,"Can we design a universal, parameter-free gradient descent method for (OPT)?"
INTRODUCTION,0.023076923076923078,"Existing universal variants of gradient descent either rely on line search (Nesterov, 2014; Grimmer,
2022), bisection subroutines (Carmon and Hinder, 2022), or are not parameter-free (Hazan and
Kakade, 2019; Levy et al., 2018; Kavis et al., 2019). Line search algorithms are theoretically strong,
achieving the optimal convergence rates in both the nonsmooth and smooth settings with only an extra
log factor. Through an elegant application of bisection search, Carmon and Hinder (2022) design
a parameter-free method whose convergence is only double-logarithmically worse than gradient
descent with known problem parameters. However, this method requires resets, i.e. restarting the
optimization process many times, which can be very expensive in practice. Therefore, we seek a
universal, parameter-free gradient descent method for (OPT) with no search subroutines."
INTRODUCTION,0.025,"Our contributions. We provide a new algorithm that meets the above requirements. Our main contri-
bution is a new universal, parameter-free gradient descent method with no search subroutines.
Building upon the recently proposed Distance-over-Gradients (DoG) algorithm (Ivgi et al., 2023), we
develop a new method, DoWG (Algorithm 1), that uses a different stepsize with adaptively weighted
gradients. We show that DoWG automatically matches the performance of gradient descent on (OPT)
up to logarithmic factors with no stepsize tuning at all. This holds in both the nonsmooth setting
(Theorem 3) and the smooth setting (Theorem 4). Finally, we show that DoWG is competitive on real
machine learning tasks (see Section 4)."
INTRODUCTION,0.026923076923076925,"Algorithm
No search
Parameter-free
Universal
GD framework"
INTRODUCTION,0.028846153846153848,"Polyak stepsize (Polyak, 1987; Hazan and Kakade, 2019)
✓
✗
✓
✓"
INTRODUCTION,0.03076923076923077,"Coin betting with normalization
✓
✓
✓(*)
✗
(Orabona and Pál, 2016; Orabona and Cutkosky, 2020; Orabona, 2023)"
INTRODUCTION,0.032692307692307694,"Nesterov line search (Nesterov, 2014)
✗
✓
✓
✓"
INTRODUCTION,0.03461538461538462,"AdaGrad
✓
✗
✓
✓
(Duchi et al., 2010; Levy et al., 2018; Ene et al., 2021)"
INTRODUCTION,0.03653846153846154,"Adam
✓
✗
✓
✓
(Kingma and Ba, 2015; Li et al., 2023)"
INTRODUCTION,0.038461538461538464,"Bisection search (Carmon and Hinder, 2022)
✗
✓
✓
✓"
INTRODUCTION,0.04038461538461539,"D-Adaptation (Defazio and Mishchenko, 2023)
✓
✓
✗
✓"
INTRODUCTION,0.04230769230769231,"DoG (Ivgi et al., 2023)
✓
✓
✓(*)
✓"
INTRODUCTION,0.04423076923076923,"DoWG (new, this paper!)
✓
✓
✓
✓"
INTRODUCTION,0.046153846153846156,"(*) Result appeared after the initial release of this paper.
Table 1: A comparison of different adaptive algorithms for solving (OPT). ""Universal"" means that
the algorithm can match the rate of gradient descent on both smooth and nonsmooth objectives up to
polylogarithmic factors. ""No search"" means the algorithm does not reset. ""GD framework"" refers to
algorithms that follow the framework of Gradient Descent."
LIT REVIEW,0.04807692307692308,"2
Related Work"
LIT REVIEW,0.05,"There is a lot of work on adaptive and parameter-free approaches for optimization. We summarize the
main properties of the algorithms we compare against in Table 1. We enumerate some of the major
approaches below:"
LIT REVIEW,0.051923076923076926,"Polyak stepsize. When f∗= f(x∗) is known, the Polyak stepsize (Polyak, 1987) is a theoretically-
grounded, adaptive, and universal method (Hazan and Kakade, 2019). When f∗is not known,
Hazan and Kakade (2019) show that an adaptive re-estimation procedure can recover the optimal
convergence rate up to a log factor when f is Lipschitz. Loizou et al. (2021) study the Polyak
stepsize in stochastic non-convex optimization. Orvieto et al. (2022) show that a variant of the Polyak
stepsize with decreasing stepsizes can recover the convergence rate of gradient descent, provided the
stepsize is initialized properly. Unfortunately, this initialization requirement makes the method not
parameter-free."
LIT REVIEW,0.05384615384615385,"The doubling trick. The simplest way to make an algorithm parameter-free is the doubling-trick.
For example, for gradient descent for L-smooth and convex optimization, the stepsize η = 1"
LIT REVIEW,0.05576923076923077,"L results
in the convergence rate of"
LIT REVIEW,0.057692307692307696,"f(ˆx) −f∗= O
D0L2 T"
LIT REVIEW,0.05961538461538462,"
,
(1)"
LIT REVIEW,0.06153846153846154,"where D0 = ∥x0 −x∗∥. We may therefore start with a small estimate L0 of the smoothness constant
L, run gradient descent for T steps, and return the average point. We restart and repeat this for
N times, and return the point with the minimum function value. So long as N ≥log L"
