Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.00390625,"There has been great interest in enhancing the robustness of neural network classi-
ﬁers to defend against adversarial perturbations through adversarial training, while
balancing the trade-off between robust accuracy and standard accuracy. We propose
a novel adversarial training framework that learns to reweight the loss associated
with individual training samples based on a notion of class-conditioned margin,
with the goal of improving robust generalization. Inspired by MAML-based ap-
proaches, we formulate weighted adversarial training as a bilevel optimization
problem where the upper-level task corresponds to learning a robust classiﬁer, and
the lower-level task corresponds to learning a parametric function that maps from
a sample’s multi-class margin to an importance weight. Extensive experiments
demonstrate that our approach improves both clean and robust accuracy compared
to related techniques and state-of-the-art baselines."
INTRODUCTION,0.0078125,"1
INTRODUCTION"
INTRODUCTION,0.01171875,"While neural networks have been extremely successful in tasks such as image classiﬁcation and
speech recognition, recent work (Szegedy et al., 2014; Goodfellow et al., 2015) has demonstrated that
neural network classiﬁers can be arbitrarily fooled by small, adversarially-chosen perturbations of
their input. Notably, Su et al. (2017) demonstrated that neural network classiﬁers which can correctly
classify “clean” images may be vulnerable to targeted attacks, e.g., misclassify those same images
when only a single pixel is changed."
INTRODUCTION,0.015625,"Recent work has shown a common failing among techniques that uniformly encourage robustness.
In particular, there exists an intrinsic tradeoff between robustness and accuracy (Zhang et al., 2019).
Bao et al. (2020) investigate this tradeoff from the perspective of classiﬁcation-callibrated loss theory.
Rice et al. (2020) empirically showed that during adversarial training, networks often irreversibly
lose robustness after training for a short time. They dubbed this phenomenon adversarial overﬁtting
while proposing early stopping as a remedy. The signiﬁcance of label noise and memorization in the
context of adversarial overﬁtting was demonstrated in Sanyal et al. (2021)—in particular that poor
training samples induce fragility to adversarial perturbations due to the tendency of neural networks
to interpolate the training data. Methods based on weight and logit smoothing have been proposed as
an alternative to early stopping (Chen et al., 2021; Cohen et al., 2019; Salman et al., 2019)."
INTRODUCTION,0.01953125,"In another line of work, Geometry-Aware Instance Reweighted Adversarial Training (GAIRAT; Zhang
et al. (2021)), Weighted Margin-aware Minimax Risk (WMMR; Zeng et al. (2021)), and Margin-
Aware Instance reweighting Learning (MAIL; Wang et al. (2021)) were developed to address adver-
sarial overﬁtting by controlling the inﬂuence of training examples via importance / loss weighting.
Intuitively, the samples assigned a low weight correspond to samples on which the classiﬁer is already
sufﬁciently robust. However, existing methods rely on rigid approximations of the margin and employ
heuristic weighting schemes that rely on careful choices of hyperparameters."
INTRODUCTION,0.0234375,"This work builds upon these observations. We present BiLAW (Bilevel Learnable Adversarial
reWeighting), an approach that explicitly learns a parametric function (e.g. represented by a small
feed-forward network) that assigns weights to the loss suffered by a classiﬁer, associated with
individual training samples. The sample weights are learned as a function of the classiﬁer multiclass
margins of the sample, according to the weights’ effect on robust generalization. We employ a
bi-level optimization formulation Bracken & McGill (1973) and leverage a validation set, where
the upper-level objective corresponds to learning the parameters of a robust classiﬁer, while the"
INTRODUCTION,0.02734375,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.03125,"lower-level objective corresponds to learning a function that predicts sample weights that improve
improve robustness on a validation set. Our approach alternates between iteratively updating the
parametric sample weights and updating the classiﬁer network parameters."
INTRODUCTION,0.03515625,"Contributions We note that while sample weighting (Zhang et al., 2021; Yi et al., 2021; Wang et al.,
2021) has been investigated in the context of robust training, as far as we know this is the ﬁrst work
to explore a method to use a validation set to learn weights to induce robust generalization. Our
contributions consist of the following:"
INTRODUCTION,0.0390625,"1. Our approach performs sample re-weighting during training. We propose a bilevel optimiza-
tion formulation to learn a mapping from multi-class margins to weights according to the
robust loss suffered by a classiﬁer on a validation set."
INTRODUCTION,0.04296875,"2. We show that when our weighting function corresponds to a neural network, the magnitude
of a sample’s weight directly corresponds to the vulnerability of the classiﬁer at that sample."
INTRODUCTION,0.046875,"3. We evaluate the practical performance of BiLAW on MNIST (LeCun & Cortes, 2010), F-
MNIST (Xiao et al., 2017), CIFAR-10, and CIFAR-100. (Krizhevsky et al.) and demonstrate
that it improves clean accuracy up to 6% and robust test accuracy by up to 5% compared to
TRADES and other state-of-the-art sample reweighting methods on CIFAR-10."
INTRODUCTION,0.05078125,"This paper is organized as follows. In Section 2, we review the notation and background of cost-aware
and robust classiﬁcation. In Section 3 we describe our method in full, including the sample weighting
method. In Section 4, we provide ablative experiments and demonstrate the efﬁcacy of our framework
by comparing clean and robust test performance on MNIST, F-MNIST, CIFAR-10, and CIFAR-100
to adversarial training and two recent, state-of-the-art sample weighting methods."
PRELIMINARIES AND RELATED WORK,0.0546875,"2
PRELIMINARIES AND RELATED WORK"
PRELIMINARIES AND RELATED WORK,0.05859375,"In this section, we brieﬂy present background terminology pertaining to adversarially robust classiﬁ-
cation, sample reweighting and bilevel optimization."
PRELIMINARIES AND RELATED WORK,0.0625,"Notations
An ReLU network is a neural network such that all nonlinear activations are ReLU
functions, where we denote the ReLU activation by σ : R →R, σ(x) = max{0, x}. Informally, we
deﬁne σ : Rd →Rd by σ(x) = [σ(x1), . . . , σ(xd)]. Let fθ : Rd →[0, 1]k be a feedforward ReLU
network with l hidden layers and weights θ; for example, f may map from a d-dimensional image to
a k-dimensional vector corresponding to likelihoods for k classes."
