Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0031746031746031746,"While many studies have shown that linguistic information is encoded in hidden
word representations, few have studied individual neurons, to show how and in
which neurons it is encoded. Among these, the common approach is to use an
external probe to rank neurons according to their relevance to some linguistic
attribute, and to evaluate the obtained ranking using the same probe that produced
it. We show two pitfalls in this methodology: 1. It confounds distinct factors: probe
quality and ranking quality. We separate them and draw conclusions on each. 2. It
focuses on encoded information, rather than information that is used by the model.
We show that these are not the same. We compare two recent ranking methods and
a simple one we introduce, and evaluate them with regard to both of these aspects.1"
INTRODUCTION,0.006349206349206349,"1
INTRODUCTION"
INTRODUCTION,0.009523809523809525,"Many studies attempt to interpret language models by predicting different linguistic properties
from word representations, an approach called probing classiﬁers (Adi et al., 2017; Conneau et al.,
2018, inter alia). A growing body of work focuses on individual neurons within the representation,
attempting to show in which neurons some information is encoded, and whether it is localized
(concentrated in a small set of neurons) or dispersed. Such knowledge may allow us to control the
model’s output (Bau et al., 2019), to reduce the number of parameters in the model (Voita et al.,
2019; Sajjad et al., 2020), and to gain a general scientiﬁc knowledge of the model. The common
methodology is to train a probe to predict some linguistic attribute from a representation, and to use
it, in different ways, to rank the neurons of the representation according to their importance for the
attribute in question. The same probe is then used to predict the attribute, but using only the k-highest
ranked neurons from the obtained ranking, and the probe’s accuracy in this scenario is considered as
a measure of the ranking’s quality (Dalvi et al., 2019; Torroba Hennigen et al., 2020; Durrani et al.,
2020). We see this framework as exhibiting Pitfall I: Two distinct factors are conﬂated—the probe’s
classiﬁcation quality and the quality of the ranking it produces. A good classiﬁer may provide good
results even if its ranking is bad, and an optimal ranking may cause an average classiﬁer to provide
better results than a good classiﬁer that is given a bad ranking."
INTRODUCTION,0.012698412698412698,"Another shortcoming of the current methodology, which we mark as Pitfall II, is the focus on
encoded information, regardless of whether it is actually used by the model in its language modeling
task. A few studies (Elazar et al., 2021; Feder et al., 2020) have considered this question, and shown
that encoded information is not necessarily being used for language modeling, but these do not look
at individual neurons. We argue that in order to evaluate a ranking, one should also examine if, and
how, the k-highest ranked neurons are used by the model for the attribute in question, meaning that
modifying them would change the model’s prediction—but with respect to that attribute only. This
would allow some control over the model’s output, and grant us parameter-level explanations of the
model’s decisions."
INTRODUCTION,0.015873015873015872,"In this work, we analyze three neuron ranking methods. Since the ranking space is too large (768! in
BERT’s case), these methods provide approximations to the problem and are non-optimal. Two of
these methods—LINEAR (Dalvi et al., 2019) and GAUSSIAN (Torroba Hennigen et al., 2020)—rely
on an external probe to obtain a ranking: the ﬁrst makes use of the internal weights of a linear probe,
while the second considers the performance of a decomposable generative probe. The third is a"
INTRODUCTION,0.01904761904761905,"1Our code is available at: https://github.com/technion-cs-nlp/Individual-Neurons-
Pitfalls"
INTRODUCTION,0.022222222222222223,"simple ranking method we propose, PROBELESS, which ranks neurons according to the difference in
their values across labels, and thus can be derived directly from the data, with no probing involved."
INTRODUCTION,0.025396825396825397,"We experiment with disentangling probe quality and ranking quality, by using a probe from one
method with a ranking from another method, and comparing the different probe–ranking combinations.
We expose the problematic nature of the current methodology (Pitfall I), by showing that in some
cases, a suitable probe which is given an intentionally bad ranking, or a random one, provides higher
accuracy than another which is given its allegedly optimal ranking. We ﬁnd that while the GAUSSIAN
method generally provides higher accuracy, its probe’s selectivity (Hewitt & Liang, 2019) is lower,
implying that it performs the probing task by memorizing, which improves probing quality but not
necessarily ranking quality. We further ﬁnd that GAUSSIAN provides the best ranking for small sets
of neurons, while LINEAR provides a better ranking for large sets."
INTRODUCTION,0.02857142857142857,"We then turn to analyzing which ranking selects neurons that are used by the model, by applying
interventions on the representation: we modify subsets of neurons from each ranking and measure—
using a novel metric we introduce—the effect on language modeling w.r.t to the property in question.
We highlight the need to focus on used information (Pitfall II): even though PROBELESS does not
excel in the probing scenario, it selects neurons that are used by the model, more so than the two
probing-based rankings. We ﬁnd that there is an overlap between encoded information and used
information, but they are not the same, and argue that more attention should be given to the latter."
