Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0026246719160104987,"Normalizing flows are a class of deep generative models that are especially inter-
esting for modeling probability distributions in physics, where the exact likelihood
of flows allows reweighting to known target energy functions and computing un-
biased observables. For instance, Boltzmann generators tackle the long-standing
sampling problem in statistical physics by training flows to produce equilibrium
samples of many-body systems such as small molecules and proteins. To build
effective models for such systems, it is crucial to incorporate the symmetries of
the target energy into the model, which can be achieved by equivariant continuous
normalizing flows (CNFs). However, CNFs can be computationally expensive to
train and generate samples from, which has hampered their scalability and practical
application. In this paper, we introduce equivariant flow matching, a new training
objective for equivariant CNFs that is based on the recently proposed optimal trans-
port flow matching. Equivariant flow matching exploits the physical symmetries
of the target energy for efficient, simulation-free training of equivariant CNFs.
We demonstrate the effectiveness of flow matching on rotation and permutation
invariant many-particle systems and a small molecule, alanine dipeptide, where for
the first time we obtain a Boltzmann generator with significant sampling efficiency
without relying on tailored internal coordinate featurization. Our results show
that the equivariant flow matching objective yields flows with shorter integration
paths, improved sampling efficiency, and higher scalability compared to existing
methods."
INTRODUCTION,0.005249343832020997,"1
Introduction"
INTRODUCTION,0.007874015748031496,"Generative models have achieved remarkable success across various domains, including images
[1, 2, 3, 4], language [5, 6, 7], and applications in the physical sciences [8, 9, 10]. Among the rapidly
growing subfields in generative modeling, normalizing flows have garnered significant interest.
Normalizing flows [11, 12, 13, 14] are powerful exact-likelihood generative neural networks that
transform samples from a simple prior distribution into samples that follow a desired target probability
distribution. Previous studies [15, 16, 17, 18, 19] have emphasized the importance of incorporating
symmetries of the target system into the flow model. In this work, we focus specifically on many-body
systems characterized by configurations x ∈RN×D of N particles in D spatial dimensions. The
symmetries of such systems arise from the invariances of the potential energy function U(x). The"
INTRODUCTION,0.010498687664041995,"Figure 1: Results for the 13 particle Lennard-Jones system (LJ13) for different flow matching training
methods. (a, b) Sample pairs generated with the different flow matching objectives during training.
(c) Mean transport cost (squared distance) for training batches. (d, e) Integration paths per particle
for samples generated by models trained with OT flow matching and equivariant OT flow matching,
respectively. (f) Integration path length, i.e. arc length between prior and output sample, distribution
compared with the OT path length between the prior and push-forward distribution of the flows."
INTRODUCTION,0.013123359580052493,"associated probability distribution, known as the Boltzmann distribution, is given by"
INTRODUCTION,0.015748031496062992,"µ(x) ∝exp

−U(x) kBT"
INTRODUCTION,0.01837270341207349,"
,
(1)"
INTRODUCTION,0.02099737532808399,where kB represents the Boltzmann constant and T denotes the temperature.
INTRODUCTION,0.023622047244094488,"Generating equilibrium samples from the Boltzmann distribution is a long-standing problem in
statistical physics, typically addressed using iterative methods like Markov Chain Monte Carlo or
Molecular Dynamics (MD). In contrast, Boltzmann generators (BGs) [8] utilize normalizing flows
to directly generate independent samples from the Boltzmann distribution. Moreover, they allow
the reweighting of the generated density to match the unbiased target Boltzmann distribution µ.
When dealing with symmetric densities, which are ubiquitous in physical systems, BGs employ two
main approaches: (i) describing the system using internal coordinates [8, 20] or (ii) describing the
system in Cartesian coordinates while incorporating the symmetries into the flow through equivariant
models [17]. In this work, we focus on the latter approach, which appears more promising as such
architectures can in principle generalize across different molecules and do not rely on tailored system-
specific featurizations. However, current equivariant Boltzmann generators based on continuous
normalizing flows (CNFs) face limitations in scalability due to their high computational cost during
both training and inference. Recently, flow matching [21] has emerged as a fast, simulation-free
method for training CNFs. A most recent extension, optimal transport (OT) flow matching [22],
enables learning optimal transport maps, which facilitates fast inference through simple integration
paths. In this work, we apply OT flow matching to train flows for highly symmetric densities and
find that the required batch size to approximate the OT map adequately can become prohibitively
large (Figure 1c). Thus, the learned flow paths will deviate strongly from the OT paths (Figure 1d),
which increases computational cost and numerical errors. We tackle this problem by proposing a
novel equivariant OT flow matching objective for training equivariant flows on invariant densities,
resulting in optimal paths for faster inference (see Figure 1e,f)."
