Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.003067484662576687,"The method of Random Fourier Feature (RFF) has been popular for large-scale
learning, which generates non-linear random features of the data. It has also been
used to construct binary codes via stochastic quantization for efﬁcient information
retrieval. In this paper, we revisit binary hashing from RFF, and propose Sign-
RFF, a new and simple strategy to extract RFF-based binary codes. We show the
locality-sensitivity of SignRFF, and propose a new measure called ranking efﬁ-
ciency to theoretically compare different Locality-Sensitive Hashing (LSH) meth-
ods, which provides a new systematic and uniﬁed framework for LSH comparison.
It suggests that SignRFF should be preferred in the high similarity region. Experi-
ments are conducted to show that SignRFF is consistently better than the previous
RFF-based method, and also outperforms other data-dependent and deep learn-
ing based hashing methods with sufﬁcient number of hash bits. Moreover, the
proposed ranking efﬁciency aligns well with the empirical search performance."
INTRODUCTION,0.006134969325153374,"1
INTRODUCTION"
INTRODUCTION,0.009202453987730062,"Developing efﬁcient machine learning algorithms in large-scale problems has been an important
research topic to deal with massive data. In this paper, we focus on efﬁcient retrieval/search methods,
speciﬁcally, by designing similarity-preserving binary representations of the data. That is, for each
data vector x ∈Rd, we hash it into a length-b binary 0/1 vector h(x) ∈{0, 1}b, where the geometry
of the data should be well preserved in the Hamming space. Searching with binary codes has been
widely applied in many applications, such as large-scale image retrieval (Weiss et al., 2008; Gong &
Lazebnik, 2011; Kulis & Darrell, 2009; He et al., 2013; Lin et al., 2015; Liu et al., 2016; 2017; Song
et al., 2018; Yu et al., 2018; Yan et al., 2021). The beneﬁts are two-fold. Firstly, it may largely reduce
the memory cost for storing massive datasets, especially with high-dimensional data. Secondly, it
can signiﬁcantly speedup the retrieval process. For instance, the binary codes can be used to build
hash tables (e.g., Indyk & Motwani (1998)) for sub-linear time approximate nearest neighbor (ANN)
search. Moreover, in the Hamming space, we can also apply exhaustive search, which is much faster
than computing the Euclidean distances, plus the technique of multi-index hashing (Norouzi et al.,
2012) can further accelerate the exact Hamming search by orders of magnitude."
INTRODUCTION,0.012269938650306749,"In general, binary hashing methods can be categorized into supervised and unsupervised approaches.
In this work, we focus on the unsupervised setting. Locality-Sensitive Hashing (LSH) (Indyk & Mot-
wani, 1998) is one of the early hashing methods leading to binary embedding. The LSH targeting
at cosine similarity (Charikar, 2002), also known as SimHash, generates binary hash codes using
random hyperplanes by taking the sign of data-independent random Gaussian projections. For the
cosine similarity, LSH has strict theoretical guarantee on the approximation error and search efﬁ-
ciency, but typically requires relatively long codes to achieve good performance. Hence, many works
have focused on learning data-dependent short binary hash codes, through different objective func-
tions. Examples include Iterative Quantization (ITQ) (Gong & Lazebnik, 2011), Spectral Hashing
(SpecH) (Weiss et al., 2008) and Binary Reconstruction Embedding (BRE) (Kulis & Darrell, 2009).
Recently, some unsupervised deep learning based methods have been proposed in the computer vi-
sion community, many of which are, to some extent, “task-speciﬁc” for cross-modal/video/image
retrieval, implemented based on some deep models like the autoencoder and VGG-16 (Liu et al.,
2016; Do et al., 2017; Chen et al., 2018; Li et al., 2019; Yang et al., 2019; Hansen et al., 2020; Liu
et al., 2020; Qiu et al., 2021). By taking the advantage of the complicated model structures (e.g.,
CNN layers), these deep methods show promising performance in many image retrieval tasks."
INTRODUCTION,0.015337423312883436,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.018404907975460124,"Compared with the data-dependent methods (including deep methods), LSH has three advantages:"
INTRODUCTION,0.02147239263803681,"• Although the data-dependent procedures can provide improved performance with fewer
binary codes, a known undesirable effect of many of these mechanisms is the performance
degradation when we increase the code length b, as reported in prior literature (Raginsky
& Lazebnik, 2009; Joly & Buisson, 2011). In our experiments, we will show that this may
also be an issue for deep learning based methods. On the other hand, the performance (i.e.,
search accuracy) of the data-independent LSH would keep boosting with larger b. In many
scenarios, it is often the case that only using short codes (e.g., ≤128 bits) cannot achieve
a desirable level of search accuracy for practical purposes. In these cases, one may need to
use longer codes anyway, where LSH could be more favorable.
• LSH is very simple to implement (only with random projections), while data-dependent
methods require additional optimization/training which might be costly. Moreover, large
deep learning models would typically need longer inference time, which might be infeasible
in practice where the query speed is important.
• It is difﬁcult to characterize the properties of the data-dependent methods theoretically,
while LSH enjoys rigorous guarantees on the retrieval/approximation performance."
INTRODUCTION,0.024539877300613498,"Therefore, LSH is still a popular hashing method with great research interest and many practical
applications (Shrivastava & Li, 2014; Qi et al., 2017; Driemel & Silvestri, 2017; Chen et al., 2019;
Zandieh et al., 2020; Lei et al., 2020; Daghaghi et al., 2021)."
LOCALITY-SENSITIVE HASHING FROM RANDOM FOURIER FEATURES,0.027607361963190184,"1.1
LOCALITY-SENSITIVE HASHING FROM RANDOM FOURIER FEATURES"
LOCALITY-SENSITIVE HASHING FROM RANDOM FOURIER FEATURES,0.03067484662576687,"Kernel methods have gained great success in many machine learning tasks (Schölkopf & Smola,
2002; Zhu & Hastie, 2001; Avron et al., 2017; Sun et al., 2018). However, standard kernel methods
require the n × n kernel matrix, which becomes computationally expensive on large-scale datasets
with massive data points. To this end, Rahimi & Recht (2007) proposes the method of random
Fourier feature (RFF), which deﬁnes a feature map that approximates shift-invariant kernels by the
linear inner products. As such, the RFF preserves the “non-linear locality structure” of the data.
This leads to numerous applications in large-scale learning where one trains linear models on RFF
to approximate training non-linear kernel machines (Yang et al., 2012; Chwialkowski et al., 2015;
Sutherland & Schneider, 2015; Avron et al., 2017; Sun et al., 2018; Tompkins & Ramos, 2018)."
LOCALITY-SENSITIVE HASHING FROM RANDOM FOURIER FEATURES,0.03374233128834356,"Given the popularity of RFF, one natural step is to apply it to search problems. Raginsky & Lazebnik
(2009) proposes to construct binary codes from the RFF using stochastic binary quantization. We
call this method “SQ-RFF”, whose convergence (as b →∞) and concentration can be theoretically
characterized. The author showed that SQ-RFF can achieve competitive search accuracy with sufﬁ-
cient b, e.g., b ≥512. Since RFF itself is a widely used tool for large-scale kernel learning, SQ-RFF
could be a convenient/useful tool in practical scenarios where RFF has been generated for training
kernel machines, and the data scientist wants to further use it for efﬁcient near neighbor retrieval."
OUR CONTRIBUTIONS,0.03680981595092025,"1.2
OUR CONTRIBUTIONS"
OUR CONTRIBUTIONS,0.03987730061349693,"Given the beneﬁts of LSH and RFF, we revisit hashing methods for non-linear kernels, and improve
the prior RFF based hashing method. Our approach is named as “SignRFF”. Speciﬁcally,"
OUR CONTRIBUTIONS,0.04294478527607362,"• We theoretically compare several linear and non-linear LSH methods in terms of a novel
measure called the ranking efﬁciency, which is deﬁned based on the probability of retriev-
ing a wrong/reversed similarity ranking. Under this uniﬁed metric, the proposed SignRFF
is uniformly better than SQ-RFF. Moreover, the ranking efﬁciency also indicates that typi-
cally one should prefer SignRFF over linear LSH when the near neighbors are close to each
other, which is the ﬁrst systematic comparison of linear vs. non-linear LSH in literature.
• Empirically, we conduct near neighbor search experiments on benchmark image datasets
to compare the proposed SignRFF with other popular hashing methods, which veriﬁes
the superiority of SignRFF over SQ-RFF. We validate that the ranking efﬁciency metric
aligns well with the empirical results. Moreover, SignRFF outperforms various competing
methods (including deep methods) with moderately large number of hash bits, indicating
its advantage in applications to achieve a high search recall/precision."
OUR CONTRIBUTIONS,0.046012269938650305,Under review as a conference paper at ICLR 2022
PRELIMINARIES,0.049079754601226995,"2
PRELIMINARIES"
PRELIMINARIES,0.05214723926380368,"2.1
LOCALITY-SENSITIVE HASHING (LSH)"
PRELIMINARIES,0.05521472392638037,"In large-scale information retrieval, exhaustive search of the exact nearest neighbors is usually too
expensive. A common relaxation in this setting is the Approximate Nearest Neighbor (ANN) search,
where we return the “good” neighbors of a query with high probability. In this paper, we will
consider the search problem with data points in Rd. X denotes the database consisting of n data
points, and q is a query point. x, y are two data points with ρ = cos(x, y)."
PRELIMINARIES,0.05828220858895705,"Deﬁnition 2.1 ( ˜S-neighbor). For a similarity measure S : Rd × Rd 7→R, the ˜S-neighbor set of q
is deﬁned as {x ∈X : S(x, q) > ˜S}."
PRELIMINARIES,0.06134969325153374,"Deﬁnition 2.2 ((c, ˜S)-ANN). Assume δ > 0 is a parameter. An algorithm A is a (c, ˜S)-ANN method
provided the following: with probability at least 1 −δ, for 0 < c < 1, if there exists an ˜S-neighbor
of q in X, A returns a c ˜S-neighbor of q."
PRELIMINARIES,0.06441717791411043,One popular method satisfying Deﬁnition 2.2 is the Locality-Sensitive Hashing (LSH).
PRELIMINARIES,0.06748466257668712,"Deﬁnition 2.3 (Indyk & Motwani (1998)). A family of hash functions H is called ( ˜S, c ˜S, p1, p2)-
locality-sensitive for similarity measure S and 0 < c < 1, if for ∀x, y ∈Rd and hash function
h uniformly chosen from H, it holds that: 1) If S(x, y) ≥˜S, then P(h(x) = h(y)) ≥p1; 2) If
S(x, y) ≤c ˜S, then P(h(x) = h(y)) ≤p2, with p2 < p1."
PRELIMINARIES,0.0705521472392638,"A key intuition of LSH is that, similar data points with have higher chance of hash collision in
the Hamming space. In this paper, we will speciﬁcally consider the LSH for the cosine similar-
ity (Charikar, 2002). For a data vector x ∈Rd, the LSH binary code is given by"
PRELIMINARIES,0.0736196319018405,"LSH:
hLSH(x) = sign(wT x),
(1)"
PRELIMINARIES,0.07668711656441718,"where wT is a standard Gaussian random vector. We use b i.i.d. w1, ..., wb to generate b LSH binary
codes. The collision probability between the codes of two data points x, y is"
PRELIMINARIES,0.07975460122699386,P(hLSH(x) = hLSH(y)) = 1 −cos−1(ρ)
PRELIMINARIES,0.08282208588957055,"π
,
(2)"
PRELIMINARIES,0.08588957055214724,"where ρ = cos(x, y) is their cosine similarity. Note that P(hLSH(x) = hLSH(y)) is increasing in
ρ, which, By Deﬁnition 2.3, is the key to ensure the locality sensitivity."
PRELIMINARIES,0.08895705521472393,"2.2
KERNELIZED LOCALITY-SENSITIVE HASHING (KLSH)"
PRELIMINARIES,0.09202453987730061,"In this paper, we will consider the popular Gaussian kernel function deﬁned for x, y ∈Rd as"
PRELIMINARIES,0.0950920245398773,"k(x, y) = exp
−γ2∥x −y∥2 2 
,"
PRELIMINARIES,0.09815950920245399,"where γ is a hyper-parameter. Let Ψ : Rd 7→F be the feature map with the kernel induced
feature space F. To incorporate non-linearity in LSH, Kulis & Grauman (2009) proposes Kernelized
Locality-Sensitive Hashing (KLSH), by applying LSH (1) in the kernel induced feature space F,
i.e., h(x) = sign(wT Ψ(x)). However, as in many cases (e.g., for the Gaussian kernel) the map Ψ
cannot be explicitly identiﬁed, constructing the random Gaussian projection vector w needs some
careful design. KLSH approximates the random Gaussian distribution using a sufﬁcient number of
data points, by the Central Limit Theorem (CLT) in the Reproducing Kernel Hilbert Space. One
ﬁrst samples m data points from X to form a kernel matrix K, then uniformly picks t points from
[1, ..., m] at random to approximate the Gaussian distribution. The hash code has the form"
PRELIMINARIES,0.10122699386503067,"KLSH:
hKLSH(x) = sign( m
X"
PRELIMINARIES,0.10429447852760736,"i=1
w(i)k(x, xi)),
(3)"
PRELIMINARIES,0.10736196319018405,"where w = K−1/2et, and et ∈{0, 1}m has ones in the entries with indices of the t selected
points. We see that the codes h1, ..., hb are actually dependent, and the quality of using CLT to
approximate Gaussian distribution is not guaranteed, especially in high-dimensional kernel feature
space. Jiang et al. (2015) re-formulates KLSH as applying LSH on the kernel principle components"
PRELIMINARIES,0.11042944785276074,Under review as a conference paper at ICLR 2022
PRELIMINARIES,0.11349693251533742,"in the kernel induced feature space, resolving a theoretical concern of KLSH. Notably, since KLSH
uses a pool of data samples to approximate the Gaussian distribution, the hash codes are in fact
dependent in practical implementation. It is observed that the performance of KLSH also drops as
b increases (Joly & Buisson, 2011), similar to the behavior of many data-dependent methods. We
provide more detailed explanation in Appendix C."
LOCALITY-SENSITIVE BINARY CODES FROM RANDOM FEATURES,0.1165644171779141,"3
LOCALITY-SENSITIVE BINARY CODES FROM RANDOM FEATURES"
LOCALITY-SENSITIVE BINARY CODES FROM RANDOM FEATURES,0.1196319018404908,"Rahimi & Recht (2007) proposes random Fourier feature (RFF) to alleviate the computational bottle-
neck of standard kernel methods. For a data vector x, the RFF for the Gaussian kernel is deﬁned as
RFF:
F(x) = cos(wT x + τ),
(4)"
LOCALITY-SENSITIVE BINARY CODES FROM RANDOM FEATURES,0.12269938650306748,"where w ∼N(0, γ2Id) and τ ∼Unif(0, 2π) where Id is the identity matrix. It holds that
E[F(x)F(y)] = k(x, y)/2.
That is, the non-linear kernel similarity can be preserved in expectation by the linear inner product
of RFF. To obtain good approximation, we generate b independent RFFs for each data point using
i.i.d. w1, ..., wb and τ1, ..., τb, which can be subsequently used for various learning tasks."
LOCALITY-SENSITIVE BINARY CODES FROM RANDOM FEATURES,0.12576687116564417,"From now on, we will assume the data vectors are normalized to have unit l2 norm: 1) this is a
standard pre-processing step in practice; and 2) the theoretical guarantees of LSH (1) is only valid
for the cosine similarity (i.e., normalized data). Nevertheless, our analysis can be easily extended
to the general unnormalized case. With normalized data, the Gaussian kernel can be written as a
function of ρ = cos(x, y):
k(ρ) ≡k(x, y) = e−γ2(1−ρ)."
LOCALITY-SENSITIVE BINARY CODES FROM RANDOM FEATURES,0.12883435582822086,"To extend RFF to efﬁcient search problems, Raginsky & Lazebnik (2009) designs a mapping
[0, 1] 7→{0, 1} for each RFF. For x ∈Rd, the code is produced by stochastic quantization (SQ):"
LOCALITY-SENSITIVE BINARY CODES FROM RANDOM FEATURES,0.13190184049079753,"hSQ(x) = sign(F(x) + ξ) = sign(cos(wT x + τ) + ξ),
(5)
where ξ is a random perturbation from Unif(−1, 1), with two possible choices on the dependency.
In Raginsky & Lazebnik (2009), the same ξ is used for all data points. Another option in litera-
ture is to use i.i.d. ξ for each data point, such that the binary codes admit E[h(x)h(y)] = k(x, y).
For example, it is used in Zhang et al. (2019); Li & Li (2021) for large-scale low-precision train-
ing. We also tested this strategy in our experiments. The search performance is however very poor,
because more variation is introduced. On the other hand, we actually do not need the exactly es-
timation/recovery of the kernel values in search problems. Hence, in this paper we will consider
the baseline using the same ξ for all data samples as in Raginsky & Lazebnik (2009). The collision
probability of the so-called “SQ-RFF” is given as follows.
Theorem 3.1 (Raginsky & Lazebnik (2009)). For the SQ-RFF (5), for ∀x, y ∈Rd, it holds that"
LOCALITY-SENSITIVE BINARY CODES FROM RANDOM FEATURES,0.13496932515337423,"PSQ(ρ) := P(hSQ(x) = hSQ(y)) = 1 −8 π2 ∞
X s=1"
LOCALITY-SENSITIVE BINARY CODES FROM RANDOM FEATURES,0.13803680981595093,1 −e−γ2s2(1−ρ)
LOCALITY-SENSITIVE BINARY CODES FROM RANDOM FEATURES,0.1411042944785276,"4s2 −1
.
(6)"
LOCALITY-SENSITIVE BINARY CODES FROM RANDOM FEATURES,0.1441717791411043,"This method is locality-sensitive w.r.t. ρ because of the fact that (6) is an increasing function of ρ.
Hence, it is also locality-sensitive w.r.t. the kernel k(ρ) by the monotonicity of k(ρ)."
LOCALITY-SENSITIVE BINARY CODES FROM RANDOM FEATURES,0.147239263803681,"Proposition 3.2. The SQ-RFF (5) is (˜k, c˜k, PSQ(ρ1), PSQ(ρ2))-locality sensitive w.r.t. similarity
measure k(·), where ρ1 = log(˜k)/γ2 + 1 and ρ2 = log(c˜k)/γ2 + 1."
LOCALITY-SENSITIVE BINARY CODES FROM RANDOM FEATURES,0.15030674846625766,"In the kernel approximation problem, stochastic rounding introduces higher variance due to the noise
ξ, which hurts the kernel estimation accuracy (Li & Li, 2021). Later, we will see that a similar effect
also presents in search problems. To this end, we propose our simple strategy—directly taking
the sign of the RFF, i.e., applying deterministic quantization. Formally, the so-called “SignRFF”
approach constructs the binary codes for x by"
