Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0018832391713747645,"Job-shop scheduling problem (JSP) is a mathematical optimization problem widely
1"
ABSTRACT,0.003766478342749529,"used in industries like manufacturing, and flexible JSP (FJSP) is also a common
2"
ABSTRACT,0.005649717514124294,"variant. Since they are NP-hard, it is intractable to find the optimal solution for
3"
ABSTRACT,0.007532956685499058,"all cases within reasonable times. Thus, it becomes important to develop efficient
4"
ABSTRACT,0.009416195856873822,"heuristics to solve JSP/FJSP. A kind of method of solving scheduling problems
5"
ABSTRACT,0.011299435028248588,"is construction heuristics, which constructs scheduling solutions via heuristics.
6"
ABSTRACT,0.013182674199623353,"Recently, many methods for construction heuristics leverage deep reinforcement
7"
ABSTRACT,0.015065913370998116,"learning (DRL) with graph neural networks (GNN). In this paper, we propose a new
8"
ABSTRACT,0.01694915254237288,"approach, named residual scheduling, to solving JSP/FJSP. In this new approach,
9"
ABSTRACT,0.018832391713747645,"we remove irrelevant machines and jobs such as those finished, such that the states
10"
ABSTRACT,0.02071563088512241,"include the remaining (or relevant) machines and jobs only. Our experiments show
11"
ABSTRACT,0.022598870056497175,"that our approach reaches state-of-the-art (SOTA) among all known construction
12"
ABSTRACT,0.02448210922787194,"heuristics on most well-known open JSP and FJSP benchmarks. In addition, we
13"
ABSTRACT,0.026365348399246705,"also observe that even though our model is trained for scheduling problems of
14"
ABSTRACT,0.02824858757062147,"smaller sizes, our method still performs well for scheduling problems of large sizes.
15"
ABSTRACT,0.030131826741996232,"Interestingly in our experiments, our approach even reaches zero gap for 49 among
16"
ABSTRACT,0.032015065913371,"50 JSP instances whose job numbers are more than 150 on 20 machines.
17"
INTRODUCTION,0.03389830508474576,"1
Introduction
18"
INTRODUCTION,0.035781544256120526,"The job-shop scheduling problem (JSP) is a mathematical optimization (MO) problem widely used in
19"
INTRODUCTION,0.03766478342749529,"many industries, like manufacturing (Zhang et al., 2020; Waschneck et al., 2016). For example, a
20"
INTRODUCTION,0.03954802259887006,"semiconductor manufacturing process can be viewed as a complex JSP problem (Waschneck et al.,
21"
INTRODUCTION,0.04143126177024482,"2016), where a set of given jobs are assigned to a set of machines under some constraints to achieve
22"
INTRODUCTION,0.04331450094161959,"some expected goals such as minimizing makespan which is focused on in this paper. While there are
23"
INTRODUCTION,0.04519774011299435,"many variants of JSP (Abdolrazzagh-Nezhad and Abdullah, 2017), we also consider an extension
24"
INTRODUCTION,0.047080979284369114,"called flexible JSP (FJSP) where job operations can be done on designated machines.
25"
