Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0017152658662092624,"A key challenge facing deep learning is that neural networks are often not robust
to shifts in the underlying data distribution. We study this problem from the
perspective of the statistical concept of parameter identiﬁcation. Generalization
bounds from learning theory often assume that the test distribution is close to the
training distribution. In contrast, if we can identify the “true” parameters, then
the model generalizes to arbitrary distribution shifts. However, neural networks
are typically over-parameterized, making parameter identiﬁcation impossible. We
show that for quadratic neural networks, we can identify the function represented
by the model even though we cannot identify its parameters. Thus, we can obtain
robust generalization bounds even in the over-parameterized setting. We leverage
this result to obtain new bounds for contextual bandits and transfer learning with
quadratic neural networks. Overall, our results suggest that we can improve
robustness of neural networks by designing models that can represent the true
data generating process. In practice, the true data generating process is often very
complex; thus, we study how our framework might connect to neural module
networks, which are designed to break down complex tasks into compositions
of simpler ones. We prove robust generalization bounds when individual neural
modules are identiﬁable."
INTRODUCTION,0.003430531732418525,"1
INTRODUCTION"
INTRODUCTION,0.005145797598627788,"Recent work has demonstrated that neural networks are not robust to shifts in the underlying data,
including both distribution shifts (i.e., where the data comes from a new distribution independent of the
neural network parameters) (Hendrycks & Dietterich, 2019; Taori et al., 2020) as well as adversarial
shifts (i.e., where the shift can depend on the neural network parameters) (Szegedy et al., 2013).
Accordingly, there has been a great deal of interest in better understanding why neural networks fail
to be robust (Tsipras et al., 2018; Ilyas et al., 2019) and on improving robustness (Goodfellow et al.,
2014; Raghunathan et al., 2018; Cohen et al., 2019)."
INTRODUCTION,0.00686106346483705,"From the perspective of learning theory, there is little reason to expect neural networks to be robust,
since generalization bounds typically assume that the test examples are from the same distribution as
the training examples. PAC-Bayesian generalization bounds allow for a limited amount of robustness,
but only if the support of the target distribution q is contained in that of the source distribution p,
since it requires that the KL divergence DKL(q ∥p) is ﬁnite. Yet, distribution shifts (Hendrycks &
Dietterich, 2019) often shift probability mass to inputs completely outside the source distribution."
INTRODUCTION,0.008576329331046312,"Instead, the reason we might expect neural networks to be robust to these shifts is that humans are
robust to them; for instance, small pixel-level shifts considered in adversarial examples are typically
unnoticeable to humans, yet these shifts can move the image completely off of the distribution of
natural images. This fact indicates a gap in our theoretical understanding of neural networks. In
particular, the key question is understanding settings under which we may expect neural networks to
be robust to distribution shifts that are “large” (e.g., in terms of KL divergence)."
INTRODUCTION,0.010291595197255575,"We study a strategy for closing this gap based on the statistical concept of identiﬁability (Hsu et al.,
2012). At a high level, this concept assumes that the true model belongs to the model family; then, in
the limit of inﬁnite training data, the learning algorithm can exactly recover the parameters of the true
model. For instance, in linear regression, the data is generated according to the model y = ⟨θ∗, x⟩+ξ,
where ξ is σ-subgaussian noise. Then, under mild assumptions on the training data Z = (X, Y ), the"
INTRODUCTION,0.012006861063464836,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.0137221269296741,"ordinary least squares (OLS) estimator ˆθ(Z) recovers the true parameter—i.e., in the limit of inﬁnite
data, ˆθ(Z) = θ∗. With ﬁnite samples, OLS satisﬁes high-probability convergence rates of the form"
INTRODUCTION,0.015437392795883362,"∥ˆθ(Z) −θ∗∥2 ≤ϵ.
(1)"
INTRODUCTION,0.017152658662092625,"The connection to robustness is that if (1) holds, then for any input x such that ∥x∥2 ≤xmax, we have"
INTRODUCTION,0.018867924528301886,"|⟨ˆθ(Z), x⟩−⟨θ∗, x⟩| ≤∥ˆθ(Z) −θ∗∥2 · ∥x∥2 ≤ϵ · xmax.
(2)"
INTRODUCTION,0.02058319039451115,"Thus, for any distribution q(x) with support on B2(0, xmax) = {x ∈X | ∥x∥2 ≤xmax}, ˆθ(Z) obtains
bounded error—i.e., we have Eq(x)[(⟨ˆθ(Z), x⟩−⟨θ∗, x⟩)2] ≤ϵ2x2
max with high probability."
INTRODUCTION,0.022298456260720412,"Thus, a natural question is whether we can obtain similar kinds of parameter identiﬁcation bounds for
neural networks. A key complication is that practical neural networks are often over-parameterized,
possibly to facilitate optimization (Du & Lee, 2018; Jacot et al., 2018). In this setting, identiﬁcation
is impossible, since multiple parameters can yield the same model. Nevertheless, it may be possible
to obtain bounds of the form (2)—in particular, even if we do not recover the true parameters θ∗, we
can still recover the function fθ∗(x). We refer to this notion as function identiﬁcation. Furthermore,
we show that quadratic neural networks satisfy function identiﬁcation bounds under mild conditions."
