Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0004110152075626798,"Despite the vast empirical evidence supporting the efficacy of adaptive optimization
1"
ABSTRACT,0.0008220304151253596,"methods in deep learning, their theoretical understanding is far from complete.
2"
ABSTRACT,0.0012330456226880395,"In this work, we introduce novel SDEs for commonly used adaptive optimizers:
3"
ABSTRACT,0.0016440608302507192,"SignSGD, RMSprop(W), and Adam(W). Our SDEs offer a quantitatively accurate
4"
ABSTRACT,0.002055076037813399,"description of these optimizers and help bring to light an intricate relationship
5"
ABSTRACT,0.002466091245376079,"between adaptivity, gradient noise, and curvature. Our novel analysis of SignSGD
6"
ABSTRACT,0.002877106452938759,"highlights a noteworthy and precise contrast to SGD in terms of convergence speed,
7"
ABSTRACT,0.0032881216605014385,"stationary distribution, and robustness to heavy-tail noise. We extend this analysis
8"
ABSTRACT,0.0036991368680641184,"to AdamW and RMSpropW, for which we observe that the role of noise is much
9"
ABSTRACT,0.004110152075626798,"more complex. Crucially, we support our theoretical analysis with experimental
10"
ABSTRACT,0.004521167283189478,"evidence by verifying our insights: this includes numerically integrating our SDEs
11"
ABSTRACT,0.004932182490752158,"using Euler-Maruyama discretization on various neural network architectures such
12"
ABSTRACT,0.005343197698314837,"as MLPs, CNNs, ResNets, and Transformers. Our SDEs accurately track the
13"
ABSTRACT,0.005754212905877518,"behavior of the respective optimizers, especially when compared to previous SDEs
14"
ABSTRACT,0.006165228113440197,"derived for Adam and RMSprop. We believe our approach can provide valuable
15"
ABSTRACT,0.006576243321002877,"insights into best training practices and novel scaling rules.
16"
INTRODUCTION,0.006987258528565557,"1
Introduction
17"
INTRODUCTION,0.007398273736128237,"Adaptive optimizers lay the foundation for effectively training of modern deep learning models.
18"
INTRODUCTION,0.007809288943690916,"These methods are typically employed to optimize an objective function expressed as a sum across N
19"
INTRODUCTION,0.008220304151253596,individual data points: minx∈Rd[f(x) := 1
INTRODUCTION,0.008631319358816275,"N
PN
i=1 fi(x)], where f, fi : Rd →R, i = 1, . . . , N.
20"
INTRODUCTION,0.009042334566378957,"Due to the practical difficulties of selecting the learning rate of stochastic gradient descent, adaptive
21"
INTRODUCTION,0.009453349773941636,"methods have grown in popularity over the past decade. At a high level, these optimizers adjust the
22"
INTRODUCTION,0.009864364981504316,"learning rate for each parameter based on the historical gradients. Popular optimizers that belong to
23"
INTRODUCTION,0.010275380189066995,"this family are RMSprop (Tieleman and Hinton, 2012), Adam (Kingma and Ba, 2015), SignSGD
24"
INTRODUCTION,0.010686395396629675,"(Bernstein et al., 2018), AdamW (Loshchilov and Hutter, 2019), and many other variants. SignSGD is
25"
INTRODUCTION,0.011097410604192354,"often used for compressing gradients in distributed machine learning (Karimireddy et al., 2019a), but
26"
INTRODUCTION,0.011508425811755036,"it also has gained popularity due to its connection to RMSprop and Adam (Balles and Hennig, 2018).
27"
INTRODUCTION,0.011919441019317715,"The latter algorithms have emerged as the standard methods for training modern large language
28"
INTRODUCTION,0.012330456226880395,"models, partly because of enhancements in signal propagation (Noci et al., 2022).
29"
INTRODUCTION,0.012741471434443074,"Although adaptive methods are widely favored in practice, their theoretical foundations remain enig-
30"
INTRODUCTION,0.013152486642005754,"matic. Recent research has illuminated some of their advantages: Zhang et al. (2020b) demonstrated
31"
INTRODUCTION,0.013563501849568433,"how gradient clipping addresses heavy-tailed gradient noise, Pan and Li (2022) related the success of
32"
INTRODUCTION,0.013974517057131115,"Adam over SGD to sharpness, and Yang et al. (2024) showed that adaptive methods handle large gra-
33"
INTRODUCTION,0.014385532264693794,"dients better than SGD. At the same time, many optimization studies focus on worst-case convergence
34"
INTRODUCTION,0.014796547472256474,"rates: These rates (e.g., Défossez et al. (2022)) are valuable, yet they provide an incomplete depiction
35"
INTRODUCTION,0.015207562679819153,"of algorithm behavior, showing no quantifiable advantage over standard SGD. One particular aspect
36"
INTRODUCTION,0.015618577887381833,"still lacking clarity is the precise role of noise in the algorithm trajectory.
37"
INTRODUCTION,0.016029593094944512,"Our investigation aims to study how gradient noise influences the dynamics of adaptive optimizers
38"
INTRODUCTION,0.016440608302507192,"and how it impacts their asymptotic behaviors in terms of expected loss and stationary distribution. In
39"
INTRODUCTION,0.01685162351006987,"particular, we want to understand which algorithms are more resilient to high (possibly heavy-tailed)
40"
INTRODUCTION,0.01726263871763255,"gradient noise levels. To do this, we rely on stochastic differential equations (SDEs) which have
41"
INTRODUCTION,0.017673653925195234,"become popular in the literature to study the behavior of optimization algorithms (Li et al., 2017;
42"
INTRODUCTION,0.018084669132757913,"Jastrzebski et al., 2018). These continuous-time models unlock powerful tools from Itô calculus,
43"
INTRODUCTION,0.018495684340320593,"enabling us to establish convergence bounds, determine stationary distributions, unveil implicit
44"
INTRODUCTION,0.018906699547883273,"regularization, and elucidate the intricate interplay between landscape and noise. Notably, SDEs
45"
INTRODUCTION,0.019317714755445952,"facilitate direct comparisons between optimizers by explicitly illustrating how each hyperparameter
46"
INTRODUCTION,0.01972872996300863,"and certain landscape features influence their dynamics (Compagnoni et al., 2024).
47"
INTRODUCTION,0.02013974517057131,"We begin by analyzing SignSGD, showing how the signal-to-noise ratio affects its dynamics and
48"
INTRODUCTION,0.02055076037813399,"elucidating the impact of noise at convergence. After analyzing the case where the gradient noise
49"
INTRODUCTION,0.02096177558569667,"exhibits infinite variance, we extend our analysis to Adam and RMSprop with decoupled weight
50"
INTRODUCTION,0.02137279079325935,"decay (Loshchilov and Hutter, 2019) – i.e. AdamW and RMSpropW: for both, we refine batch size
51"
INTRODUCTION,0.02178380600082203,"scaling rules and compare the role of noise to SignSGD. Our analysis provides some theoretical
52"
INTRODUCTION,0.02219482120838471,"grounding for the resilience of these adaptive methods to high noise levels. Importantly, we highlight
53"
INTRODUCTION,0.02260583641594739,"that Adam and RMSprop are byproducts of our analysis and that our novel SDEs are derived under
54"
INTRODUCTION,0.02301685162351007,"much weaker and more realistic assumptions than those in the literature (Malladi et al., 2022).
55"
INTRODUCTION,0.02342786683107275,"Contributions
We identify our key contributions as follows:
56"
INTRODUCTION,0.02383888203863543,"1. We derive the first SDE for SignSGD under very general assumptions: We show that SignSGD
57"
INTRODUCTION,0.02424989724619811,"exhibits three different phases of the dynamics and characterize the loss behavior in these phases,
58"
INTRODUCTION,0.02466091245376079,"including the stationary distribution and asymptotic loss value.
59"
INTRODUCTION,0.02507192766132347,"2. We demonstrate that for SignSGD, noise inversely affects the convergence rate of both the loss and
60"
INTRODUCTION,0.02548294286888615,"the iterates. Differently, it has a linear impact on the asymptotic expected loss and the asymptotic
61"
INTRODUCTION,0.025893958076448828,"variance of the iterates. This is in contrast to SGD, where noise does not influence the convergence
62"
INTRODUCTION,0.026304973284011508,"speed, but it has a quadratic effect on the loss and variance of the iterates. Finally, we show
63"
INTRODUCTION,0.026715988491574187,"that, even if the noise has infinite variance, SignSGD is very resilient: its performance is only
64"
INTRODUCTION,0.027127003699136867,"marginally impacted. In the same conditions, SGD would diverge.
65"
INTRODUCTION,0.027538018906699546,"3. We derive new, improved, SDEs for AdamW and RMSpropW and use them to (1) show a novel
66"
INTRODUCTION,0.02794903411426223,"batch size scaling rule and (2) inspect the stationary distribution and stationary loss value in
67"
INTRODUCTION,0.02836004932182491,"convex quadratics. In particular, we dive into the properties of weight decay: while for vanilla
68"
INTRODUCTION,0.02877106452938759,"Adam and RMSprop the effect of noise at convergence mimics SignSGD, something different
69"
INTRODUCTION,0.029182079736950268,"happens in AdamW and RMSpropW — Due to an intricate interaction between noise, curvature,
70"
INTRODUCTION,0.029593094944512947,"and regularization, weight decay plays a crucial stabilization role at high noise levels near the
71"
INTRODUCTION,0.030004110152075627,"minimizer.
72"
INTRODUCTION,0.030415125359638306,"4. We empirically verify every theoretical insight we derive. Importantly, we integrate our SDEs
73"
INTRODUCTION,0.030826140567200986,"with Euler-Maruyama to confirm that our SDEs faithfully track their respective optimizers. We do
74"
INTRODUCTION,0.031237155774763666,"so on an MLP, a CNN, a ResNet, and a Transformer. For RMSprop and Adam, our SDEs exhibit
75"
