Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.002638522427440633,"Forgetting is often seen as an unwanted characteristic in both human and machine
learning. However, we propose that forgetting can in fact be favorable to learning.
We introduce forget-and-relearn as a powerful paradigm for shaping the learning
trajectories of artiﬁcial neural networks. In this process, the forgetting step selec-
tively removes undesirable information from the model, and the relearning step
reinforces features that are consistently useful under different conditions. The
forget-and-relearn framework uniﬁes many existing iterative training algorithms
in the image classiﬁcation and language emergence literature, and allows us to
understand the success of these algorithms in terms of the disproportionate forget-
ting of undesirable information. We leverage this understanding to improve upon
existing algorithms by designing more targeted forgetting operations. Insights
from our analysis provide a coherent view on the dynamics of iterative training in
neural networks and offer a clear path towards performance improvements."
INTRODUCTION,0.005277044854881266,"1
INTRODUCTION"
INTRODUCTION,0.0079155672823219,"Forgetting is an inescapable component of human memory. It occurs naturally as neural synapses
get removed or altered over time (Wang et al., 2020), and is often thought to be an undesirable char-
acteristic of the human mind. Similarly, in machine learning, the phenomena of catastrophic forget-
ting is often blamed for certain failure modes in the performance of neural networks (McCloskey
& Cohen, 1989; Ratcliff, 1990; French, 1999)1. However, substantial evidence in psychology and
neuroscience have shown that forgetting and learning have a symbiotic relationship (Bjork & Bjork,
2019; Gravitz, 2019). A well-known example is the “spacing effect”, which refers to the obser-
vation that long-term recall is enhanced by spacing, rather than massing, repeated study sessions.
Bjork & Allen (1970) demonstrated that the key to the spacing effect is the decreased accessibility
of information in-between sessions."
INTRODUCTION,0.010554089709762533,"In this work, we study a general learning paradigm that we refer to as forget-and-relearn, and show
that forgetting can also beneﬁt learning in artiﬁcial neural networks. To generalize to unseen data,
we want our models to capture generalizable concepts rather than purely statistical regularities, but
these desirable solutions are a small subset of the solution space and often more difﬁcult to learn
naturally (Geirhos et al., 2020). Recently, a number of training algorithms have been proposed to im-
prove generalization by iteratively reﬁning the learned solution. Knowledge evolution (Taha et al.,
2021) improves generalization by iteratively reinitializing one part of the network while continu-
ously training the other. Iterative magnitude pruning (Frankle & Carbin, 2019; Frankle et al., 2019)
removes weights through an iterative pruning-retraining process, and outperforms unpruned mod-
els in certain settings. Hoang et al. (2018) iteratively utilize synthetic machine translation corpus
through back-translations of monolingual data. Furlanello et al. (2018); Xie et al. (2020) employ it-
erative self-distillation to outperform successive teachers. Iterated learning2 (Kirby, 2001) has been"
INTRODUCTION,0.013192612137203167,"∗Correspondance at: zhou.hattie@gmail.com.
1Our paper title is derived from that of French (1999), Catastrophic Forgetting in Connectionist Networks.
2We distinguish the use of the term “iterated learning”, which is a speciﬁc algorithm, with “iterative train-
ing”, which refers to any training procedure that includes multiple generations of training."
INTRODUCTION,0.0158311345646438,Published as a conference paper at ICLR 2022
INTRODUCTION,0.018469656992084433,"shown to improve compositionality in emergent languages (Ren et al., 2020; Vani et al., 2021) and
prevent language drift (Lu et al., 2020). We propose that many existing iterative algorithms are in-
stances of a more general forget-and-relearn process, and that their success can be understood by
studying the shared underlying mechanism."
INTRODUCTION,0.021108179419525065,"Forget-and-relearn is an iterative training paradigm which alternates between a forgetting stage
and a relearning stage. At a high level, we deﬁne a forgetting stage as any process that results in
a decrease in training accuracy. More speciﬁcally, let D = {(Xi, Yi)}i∈[n] be the training dataset.
Let U represent uniform noise sampled from (0, 1), which we use as a source of randomness for
stochastic functions. Given a neural architecture, let F be the set of functions computable by a neural
network with that architecture, and for any N ∈F, let Acc(N) = 1"
INTRODUCTION,0.023746701846965697,"n
Pn
i=1 I{N(Xi) = Yi} be the
training accuracy of N. Let Nt be a network trained on D, and let C := E[Acc( ˜N)] represent the
performance of a randomly initialized classiﬁer on D. We say that f : F ×(0, 1) →F is a forgetting
operation if two conditions hold: (i) P(Acc(f(Nt, U)) < Acc(Nt) | Acc(Nt) > C) = 1; (ii) the
mutual information I(f(Nt, U), D) is positive. The ﬁrst criterion ensures that forgetting will allow
for relearning due to a decrease in accuracy. The second criterion captures the idea that forgetting
equates to a partial removal of information rather than a complete removal. For standard neural
networks, it is sufﬁcient to show that training accuracy is lower than the model prior to forgetting,
but higher than chance accuracy for the given task."
INTRODUCTION,0.026385224274406333,"The Forget-and-Relearn Hypothesis.
Given an appropriate forgetting operation, iterative re-
training after forgetting will amplify unforgotten features that are consistently useful under different
learning conditions induced by the forgetting step. A forgetting operation that favors the preserva-
tion of desirable features can thus be used to steer the model towards those desirable characteristics."
INTRODUCTION,0.029023746701846966,"We show that many existing algorithms which have successfully demonstrated improved general-
ization have a forgetting step that disproportionately affects undesirable information for the given
task. Our hypothesis stresses the importance of selective forgetting, and shows a path towards better
algorithms. We illustrate the power of this perspective by showing that we can signiﬁcantly improve
upon existing work in their respective settings through the use of more targeted forgetting opera-
tions. Our analysis in Section 5 sheds insight on the mechanism through which iterative retraining
leads to parameter values with better generalization properties."
EXISTING ALGORITHMS AS INSTANCES OF FORGET-AND-RELEARN,0.0316622691292876,"2
EXISTING ALGORITHMS AS INSTANCES OF FORGET-AND-RELEARN"
EXISTING ALGORITHMS AS INSTANCES OF FORGET-AND-RELEARN,0.03430079155672823,"In this section and the rest of the paper, we focus on two settings where iterative training algorithms
have been proposed to improve performance: image classiﬁcation and language emergence. We
summarize and recast a number of these iterative training algorithms as instances of forget-and-
relearn. We also relate our notion of forgetting to other ones in the literature in Appendix A5."
EXISTING ALGORITHMS AS INSTANCES OF FORGET-AND-RELEARN,0.036939313984168866,"Image Classiﬁcation.
A number of iterative algorithms for image classiﬁcation uses a reinitializa-
tion and retraining scheme, and these reinitialization steps can be seen as a simple form of forgetting.
Iterative magnitude pruning (IMP) (Frankle & Carbin, 2019; Frankle et al., 2019) removes weights
based on ﬁnal weight magnitude, and does so iteratively by removing an additional percentage of
weights each round. Each round, small magnitude weights are set to zero and frozen, while the
remaining weights are rewound to their initial values. Zhou et al. (2019a) show that the masking and
weight rewinding3 procedure still retains information from the previous training round by demon-
strating that the new initialization achieves better-than-chance accuracy prior to retraining. Thus, we
can view IMP as a forget-and-relearn process with an additional sparsity constraint. RIFLE (Li et al.,
2020) shows that transfer learning performance can be improved by periodically reinitializing the
ﬁnal layer during the ﬁnetuning stage, which brings meaningful updates to the low-level features in
earlier layers. We can view this reinitialization step as a forgetting operation that enables relearning."
EXISTING ALGORITHMS AS INSTANCES OF FORGET-AND-RELEARN,0.0395778364116095,"Knowledge evolution (KE) (Taha et al., 2021) splits the network’s weights into a ﬁt-hypothesis and
a reset-hypothesis, and trains the network in generations in order to improve generalization perfor-
mance. At the start of each generation of training, weights in the reset-hypothesis are reinitialized,"
EXISTING ALGORITHMS AS INSTANCES OF FORGET-AND-RELEARN,0.04221635883905013,"3In this work, we use “rewind” to mean resetting weights back to their original initialization. We use “reset”
and “reinitialize” interchangeably to indicate a new initialization."
EXISTING ALGORITHMS AS INSTANCES OF FORGET-AND-RELEARN,0.044854881266490766,Published as a conference paper at ICLR 2022
EXISTING ALGORITHMS AS INSTANCES OF FORGET-AND-RELEARN,0.047493403693931395,"while weights in the ﬁt-hypothesis are retained. Taha et al. (2021) suggest that KE is similar to
dropout where neurons learn to be more independent. However, it is hard to translate the dropout
intuition to the case of a single subnetwork. Another intuition compares to ResNet, since KE can
induce a zero mapping of the reset-hypothesis without reducing capacity. But this zero-mapping
always occurs with sufﬁcient training, and it is unclear why it would beneﬁt generalization."
EXISTING ALGORITHMS AS INSTANCES OF FORGET-AND-RELEARN,0.05013192612137203,"Language Emergence.
Several existing algorithms in the language emergence subﬁeld can also
be seen as forget-and-relearn algorithms. Emergent communication is often studied in the context of
a multi-agent referential game called the Lewis game (Lewis, 2008; Foerster et al., 2016; Lazaridou
et al., 2016). In this game, a sender agent must communicate information about the attributes of
a target object to a receiver agent, who then has to correctly identify the target object. Composi-
tionality is a desirable characteristic for the language that agents use, as it would allow for perfect
out-of-distribution generalization to unseen combinations of attributes."
EXISTING ALGORITHMS AS INSTANCES OF FORGET-AND-RELEARN,0.052770448548812667,"Li & Bowling (2019) hypothesize that compositional languages are easier to teach, and propose an
algorithm to exert an “ease-of-teaching” pressure on the sender through periodic resetting of the
receiver. We can instead view the receiver resetting as partial forgetting in the multi-agent model.
Ren et al. (2020) use iterated learning to improve the compositionality of the emergent language.
Their algorithm consists of (i) an interacting phase where agents learn to solve the task jointly, (ii)
a transmitting phase where a temporary dataset is generated from the utterances of a sender agent,
and (iii) an imitation phase where a newly-initialized sender is pretrained on a temporary dataset of
the previous sender’s utterances, before starting a new interacting phase, and this process iterates.
A crucial component during imitation is to limit the number of training iterations, which creates a
learning bottleneck that prevents the new model from fully copying the old model. This restricted
transfer of information can be seen as a forgetting operation, and showcases an alternative approach
to selective forgetting that removes information that is harder to learn."
PARTIAL WEIGHT PERTURBATION AS TARGETED FORGETTING,0.055408970976253295,"3
PARTIAL WEIGHT PERTURBATION AS TARGETED FORGETTING"
PARTIAL WEIGHT PERTURBATION AS TARGETED FORGETTING,0.05804749340369393,"In this section, we show that common forms of partial weight perturbation disproportionately affect
information that can hinder generalization in both image classiﬁcation and language emergence set-
tings, and can thus be seen as a targeted forgetting operation under the forget-and-relearn hypothesis.
We provide full details on the perturbation method studied in Appendix A1.1."
IMAGE CLASSIFICATION,0.06068601583113457,"3.1
IMAGE CLASSIFICATION"
IMAGE CLASSIFICATION,0.0633245382585752,"What information is undesirable depends on the task at hand. For the issue of overﬁtting in im-
age classiﬁcation, we want to favor features that are simple, general and beneﬁcial for generaliza-
tion (Valle-P´erez et al., 2019). Several works have shown that easy examples are associated with
locally simpler functions and more generalizable features, while difﬁcult examples require more ca-
pacity to ﬁt and are often memorized (Baldock et al., 2021; Yosinski et al., 2014; Kalimeris et al.,
2019; Arpit et al., 2017). Thus, as a proxy, we deﬁne undesirable information here as features asso-
ciated with memorized examples. In order to evaluate whether partial weight perturbation selectively
forgets undesirable information, we create two types of example splits for our training data: (i) easy
or difﬁcult examples, and (ii) true or mislabeled examples. At each training iteration, we make a
copy of the model and perform a forgetting operation on the copy. We then evaluate both models
and measure separately the training accuracy on the two groups of examples. We perform these
experiments using a two-layer MLP trained on MNIST4. We further extend to a 4-layer convolution
model and a ResNet18 on CIFAR-10, and to ResNet50 on ImageNet in Appendix A1.2."
IMAGE CLASSIFICATION,0.06596306068601583,"For the deﬁnition of easy or difﬁcult examples, we follow prior work (Jiang et al., 2020; Baldock
et al., 2021) and use the output margin as a measure of example difﬁculty. The output margin is
deﬁned as the difference between the largest and second-largest logits. We label 10% of training
examples with the smallest output margin in the current batch as difﬁcult examples. In the noisy
labels experiment, we sample 10% of the training data5 and assign random labels to this group."
IMAGE CLASSIFICATION,0.06860158311345646,"4We use an MLP with hidden layers 300-100-10, trained using SGD with a constant learning rate of 0.1.
5To simplify the task, we restrict to using only 10% of the MNIST training set so that the random label
examples can be learned quickly."
IMAGE CLASSIFICATION,0.0712401055408971,Published as a conference paper at ICLR 2022
IMAGE CLASSIFICATION,0.07387862796833773,"0
10000 20000 30000 40000 50000"
IMAGE CLASSIFICATION,0.07651715039577836,Training Iteration 40 50 60 70 80 90 100
IMAGE CLASSIFICATION,0.079155672823219,Training Accuracy
IMAGE CLASSIFICATION,0.08179419525065963,"IMP-Forget Easy
IMP-Forget Hard
KE-Forget Easy
KE-Forget Hard"
IMAGE CLASSIFICATION,0.08443271767810026,"0
10000 20000 30000 40000 50000"
IMAGE CLASSIFICATION,0.0870712401055409,Training Iteration 20 30 40 50 60 70 80
IMAGE CLASSIFICATION,0.08970976253298153,Post-Forget Training Accuracy
IMAGE CLASSIFICATION,0.09234828496042216,(a) Easy vs difﬁcult examples.
IMAGE CLASSIFICATION,0.09498680738786279,"0
10000 20000 30000 40000 50000"
IMAGE CLASSIFICATION,0.09762532981530343,Training Iteration 20 40 60 80 100
IMAGE CLASSIFICATION,0.10026385224274406,Training Accuracy
IMAGE CLASSIFICATION,0.10290237467018469,"IMP-Forget True Labels
IMP-Forget Random Labels
KE-Forget True Labels
KE-Forget Random Labels"
IMAGE CLASSIFICATION,0.10554089709762533,"0
10000 20000 30000 40000 50000"
IMAGE CLASSIFICATION,0.10817941952506596,Training Iteration 0 10 20 30 40 50 60 70 80
IMAGE CLASSIFICATION,0.11081794195250659,Post-Forget Training Accuracy
IMAGE CLASSIFICATION,0.11345646437994723,(b) True vs mislabeled examples.
IMAGE CLASSIFICATION,0.11609498680738786,"Figure 1: The left panels in (a) and (b) show training accuracy of the two example groups for two
types of weight perturbation. The right panels in (a) and (b) show the accuracy of each example
group for the same model with weight perturbation applied. Same colors represent the same for-
getting operation, and dashed lines represent the accuracy on the difﬁcult or mislabeled examples.
Results are averaged over 5 runs."
IMAGE CLASSIFICATION,0.11873350923482849,"0
200
400
600
Training Iteration 0 20 40 60 80 100"
IMAGE CLASSIFICATION,0.12137203166226913,Exact Match
IMAGE CLASSIFICATION,0.12401055408970976,"Same Weight Reinit - Comp
Same Weight Reinit - Perm
New Rand Reinit - Comp
New Rand Reinit - Perm"
IMAGE CLASSIFICATION,0.1266490765171504,"0
200
400
600
Training Iteration 0 10 20 30 40 50 60 70 80"
IMAGE CLASSIFICATION,0.12928759894459102,Post-Forget Exact Match
IMAGE CLASSIFICATION,0.13192612137203166,(a) Perturb through reinitialization of masked weights.
