Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0017889087656529517,"Training neural PDE solver in an unsupervised manner is essential in scenarios
1"
ABSTRACT,0.0035778175313059034,"with limited available or high-quality data. However, the performance and effi-
2"
ABSTRACT,0.005366726296958855,"ciency of existing methods are limited by the properties of numerical algorithms
3"
ABSTRACT,0.007155635062611807,"integrated during the training stage (like FDM and PSM), which require careful
4"
ABSTRACT,0.008944543828264758,"spatiotemporal discretization to obtain reasonable accuracy, especially in cases with
5"
ABSTRACT,0.01073345259391771,"high-frequency components and long periods. To overcome these limitations, we
6"
ABSTRACT,0.012522361359570662,"propose Monte Carlo Neural PDE Solver (MCNP Solver) for training unsupervised
7"
ABSTRACT,0.014311270125223614,"neural solvers via a Monte Carlo view, which regards macroscopic phenomena as
8"
ABSTRACT,0.016100178890876567,"ensembles of random particles. MCNP Solver naturally inherits the advantages of
9"
ABSTRACT,0.017889087656529516,"the Monte Carlo method (MCM), which is robust against spatial-temporal varia-
10"
ABSTRACT,0.01967799642218247,"tions and can tolerate coarse time steps compared to other unsupervised methods.
11"
ABSTRACT,0.02146690518783542,"In practice, we develop one-step rollout and Fourier Interpolation techniques that
12"
ABSTRACT,0.023255813953488372,"help reduce computational costs or errors arising from time and space, respec-
13"
ABSTRACT,0.025044722719141325,"tively. Furthermore, we design a multi-scale framework to improve performance
14"
ABSTRACT,0.026833631484794274,"in long-time simulation tasks. In theory, we characterize the approximation error
15"
ABSTRACT,0.028622540250447227,"and robustness of the MCNP Solver on convection-diffusion equations. Numerical
16"
ABSTRACT,0.03041144901610018,"experiments on diffusion and Navier-Stokes equations demonstrate significant
17"
ABSTRACT,0.03220035778175313,"accuracy improvements compared to other unsupervised baselines in cases with
18"
ABSTRACT,0.03398926654740608,"highly variable fields and long-time simulation settings.
19"
INTRODUCTION,0.03577817531305903,"1
Introduction
20"
INTRODUCTION,0.03756708407871199,"Neural PDE solvers, which leverage neural networks as surrogate models to approximate the solutions
21"
INTRODUCTION,0.03935599284436494,"of PDEs, are emerging as a new paradigm for simulating physical systems with the development of
22"
INTRODUCTION,0.04114490161001789,"deep learning [33, 31, 23, 12]. Along this direction, several studies have proposed diverse network
23"
INTRODUCTION,0.04293381037567084,"architectures for neural PDE solvers [30, 33, 5]. These solvers can be trained using supervised [33, 30]
24"
INTRODUCTION,0.044722719141323794,"or unsupervised approaches [59, 54, 32], employing pre-generated data or PDE information to
25"
INTRODUCTION,0.046511627906976744,"construct training targets, respectively. The unsupervised training approach is essential for AI-based
26"
INTRODUCTION,0.04830053667262969,"PDE solvers, particularly in scenarios with limited available or high-quality data. To address this,
27"
INTRODUCTION,0.05008944543828265,"some studies [54, 32] borrow techniques from classical numerical solvers to construct training targets.
28"
INTRODUCTION,0.0518783542039356,"For instance, the low-rank decomposition network (LordNet) [54] and physics-informed neural
29"
INTRODUCTION,0.05366726296958855,"operator (PINO) [32] integrate finite difference method (FDM) and pseudo-spectral methods (PSM)
30"
INTRODUCTION,0.055456171735241505,"with neural networks during the training stage, respectively. However, FDM and PSM require fine
31"
INTRODUCTION,0.057245080500894455,"meshes or time steps for stable simulations in general. Therefore, the performance and efficiency of
32"
INTRODUCTION,0.059033989266547404,"these neural PDE solvers are also limited by the discretization of time and space, particularly when
33"
INTRODUCTION,0.06082289803220036,"handling highly spatial-temporal variations and simulating physical systems over long periods.
34"
INTRODUCTION,0.0626118067978533,"To this end, we propose Monte Carlo Neural PDE Solver (MCNP Solver) for training neural solvers
35"
INTRODUCTION,0.06440071556350627,"from a Monte Carlo perspective, which regards macroscopic phenomena as ensembles of random
36"
INTRODUCTION,0.06618962432915922,"movements of microscopic particles [62]. Consequently, for a PDE system with probabilistic repre-
37"
INTRODUCTION,0.06797853309481217,"sentation, MCNP Solver constructs its solutions as training targets via Monte Carlo approximation.
38"
INTRODUCTION,0.06976744186046512,"Compared to other unsupervised neural solvers, such as LordNet [54] and PINO [32], MCNP Solver
39"
INTRODUCTION,0.07155635062611806,"naturally inherits the advantages of MCM. On the one hand, MCNP Solver can tolerate coarse
40"
INTRODUCTION,0.07334525939177101,"time steps [11, 39], thereby reducing training costs and accumulated errors arising from temporal
41"
INTRODUCTION,0.07513416815742398,"discretization. On the other hand, it can efficiently handle high-frequency spatial fields due to the
42"
INTRODUCTION,0.07692307692307693,"derivative-free property of MCM [37, 1]. Moreover, the boundary conditions are automatically
43"
INTRODUCTION,0.07871198568872988,"encoded into the stochastic process of particles [2, 34], eliminating the need to introduce extra loss
44"
INTRODUCTION,0.08050089445438283,"terms to satisfy such constraints. In addition to inheriting the benefits of MCM, we also develop
45"
INTRODUCTION,0.08228980322003578,"one-step rollout and Fourier Interpolation techniques to improve performance and efficiency from
46"
INTRODUCTION,0.08407871198568873,"the perspective of time and space. Furthermore, we design a multi-scale framework to improve the
47"
INTRODUCTION,0.08586762075134168,"accuracy and robustness of the MCNP Solver in long-time simulation tasks.
48"
INTRODUCTION,0.08765652951699464,"Compared to traditional MCM, MCNP Solver enjoys a significantly faster inference speed once
49"
INTRODUCTION,0.08944543828264759,"trained. Additionally, traditional MCM requires sampling excess particles to achieve high-precision
50"
INTRODUCTION,0.09123434704830054,"results, which can lead to severe computational and memory issues. However, thanks to the involve-
51"
INTRODUCTION,0.09302325581395349,"ment of neural networks, the MCNP Solver does not necessitate sampling as many particles per epoch
52"
INTRODUCTION,0.09481216457960644,"during training. According to our experimental observations, the model can converge as expected
53"
INTRODUCTION,0.09660107334525939,"using gradient descent with only a few particles.
54"
INTRODUCTION,0.09838998211091235,"In this paper, we conduct in-depth analyses of the MCNP Solver’s performance theoretically and
55"
INTRODUCTION,0.1001788908765653,"experimentally. In summary, we make the following contributions:
56"
INTRODUCTION,0.10196779964221825,"1. We introduce MCNP Solver, a novel Monte Carlo-based unsupervised approach for training neural
57"
INTRODUCTION,0.1037567084078712,"solvers applicable to PDE systems that allow probabilistic representation. Additionally, we develop
58"
INTRODUCTION,0.10554561717352415,"several techniques to enhance performance and efficiency, such as Fourier Interpolation, one-step
59"
INTRODUCTION,0.1073345259391771,"rollout, and multi-scale prediction.
60"
INTRODUCTION,0.10912343470483005,"2. Theoretically, we compare the approximation error and robustness of two kinds of neural PDE
61"
INTRODUCTION,0.11091234347048301,"solvers concerning variations in spatial conditions, temporal discretization steps, and diffusive
62"
INTRODUCTION,0.11270125223613596,"coefficients. Our theoretical results reveal that MCNP Solver is more robust against the spatial-
63"
INTRODUCTION,0.11449016100178891,"temporal variants when solving convection-diffusion equations.
64"
INTRODUCTION,0.11627906976744186,"3. Our experiments on the diffusion and Navier-Stokes equation (NSE) show significant improvements
65"
INTRODUCTION,0.11806797853309481,"in accuracy compared to other unsupervised neural solvers for simulating tasks with complex spatial-
66"
INTRODUCTION,0.11985688729874776,"temporal variants and long-time simulation. Furthermore, the MCNP Solver can obtain comparable
67"
INTRODUCTION,0.12164579606440072,"or even better results than supervised neural solvers.
68"
RELATED WORK,0.12343470483005367,"2
Related Work
69"
RELATED WORK,0.1252236135957066,"Neural PDE Solver
Neural PDE solvers have been proposed to learn mappings between functional
70"
RELATED WORK,0.12701252236135957,"spaces, such as mapping a PDE’s initial condition to its solution [33]. Works like DeepONet [33] and
71"
RELATED WORK,0.12880143112701253,"its variants [15, 52, 57, 26] encode the initial conditions and queried locations using branch and trunk
72"
RELATED WORK,0.13059033989266547,"networks, respectively. Additionally, Fourier Neural Operator (FNO) [31] and its variants [29, 45, 56]
73"
RELATED WORK,0.13237924865831843,"explore learning the operator in Fourier space, an efficient approach for handling different frequency
74"
RELATED WORK,0.13416815742397137,"components. Several studies have employed graph neural networks [30, 5] or transformers [6, 28]
75"
RELATED WORK,0.13595706618962433,"as the backbone models of neural solvers to adapt to complex geometries. However, these methods
76"
RELATED WORK,0.13774597495527727,"require the supervision of ground-truth data generated via accurate numerical solvers, which can be
77"
RELATED WORK,0.13953488372093023,"time-consuming in general. To this end, some studies aim to train the neural PDE solvers without
78"
RELATED WORK,0.1413237924865832,"the supervision of data [59, 32, 54, 19]. For example, [59] proposed PI-DeepONets, which utilize
79"
RELATED WORK,0.14311270125223613,"the PDE residuals to train DeepONets in an unsupervised way. Similarly, [19] proposed Meta-
80"
RELATED WORK,0.1449016100178891,"Auto-Decoder, a meta-learning approach to learn families of PDEs in the unsupervised regime.
81"
RELATED WORK,0.14669051878354203,"Furthermore, LordNet [54] and PINO [32] borrow techniques from FDM and PSM, and utilize the
82"
RELATED WORK,0.148479427549195,"corresponding residuals as training loss, respectively. Compared to these unsupervised methods, the
83"
RELATED WORK,0.15026833631484796,"MCNP Solver incorporates physics information through the Feynman-Kac law, representing a Monte
84"
RELATED WORK,0.1520572450805009,"Carlo perspective. This approach allows the solver to efficiently manage diffusion terms, exhibit
85"
RELATED WORK,0.15384615384615385,"robustness against spatial-temporal variants, and be suitable for long-time simulations.
86"
RELATED WORK,0.1556350626118068,"Physics-Informed Neural Networks (PINNs)
PINNs have been proposed to solve PDE systems
87"
RELATED WORK,0.15742397137745975,"by approximating solutions using the PDE residuals, which involve point-to-point mapping between
88"
RELATED WORK,0.1592128801431127,"spatial-temporal points and solution values. They are widely employed for solving forward or inverse
89"
RELATED WORK,0.16100178890876565,"problems [46, 8, 22, 66]. Recently, PINNs have made significant progress in addressing scientific
90"
RELATED WORK,0.16279069767441862,"problems based on PDEs, including NSEs [47, 20, 36], Schrödinger equations [18, 27], Allen Cahn
91"
RELATED WORK,0.16457960644007155,"equations [38, 21], and more. Instead of constructing the loss function directly via the PDE residuals,
92"
RELATED WORK,0.16636851520572452,"some works utilize the probabilistic representation to train neural networks [17, 14, 63], which can
93"
RELATED WORK,0.16815742397137745,"efficiently handle high-dimensional or fractional PDEs [16, 50, 14, 49, 41]. Furthermore, some
94"
RELATED WORK,0.16994633273703041,"studies design loss functions based on other numerical methods, such as the finite volume method [4],
95"
RELATED WORK,0.17173524150268335,"finite element method [40, 42], and energy-based method [61]. Notably, the aforementioned PINN
96"
RELATED WORK,0.1735241502683363,"methods require retraining neural networks when encountering a PDE with new initial conditions,
97"
RELATED WORK,0.17531305903398928,"which can be time-consuming. Moreover, the studies [3, 48] consider PDE families with varying
98"
RELATED WORK,0.1771019677996422,"initial conditions while requiring corresponding conditions can be represented by a low-dimensional
99"
RELATED WORK,0.17889087656529518,"vector. In this paper, we aim to learn operators between functional spaces that can generalize to
100"
RELATED WORK,0.1806797853309481,"different PDE conditions over a distribution. When applying Feynman-Kac laws to this new scenario,
101"
RELATED WORK,0.18246869409660108,"we encounter several computational challenges arising from corresponding tasks, such as higher
102"
RELATED WORK,0.18425760286225404,"generalization requirements, long-time simulations, and the non-linearity of PDEs. Therefore, we
103"
RELATED WORK,0.18604651162790697,"propose Fourier Interpolation, one-step rollout, and multi-scale prediction to overcome these issues.
104"
RELATED WORK,0.18783542039355994,"More detailed discussions of these Feynman-Kac-based PINNs can be seen in Appendix D.
105"
METHODOLOGY,0.18962432915921287,"3
Methodology
106"
PRELIMINARY,0.19141323792486584,"3.1
Preliminary
107"
PRELIMINARY,0.19320214669051877,"In this paper, we consider the general convection-diffusion equation defined as follows:
108 ∂u"
PRELIMINARY,0.19499105545617174,"∂t = β[u](x, t) · ∇u + κ∆u + f(x, t),
u(x, 0) = u0(x),
(1)"
PRELIMINARY,0.1967799642218247,"where x ∈Ω⊂Rd and t denote the d-dimensional spatial variable and the time variable, respectively,
109"
PRELIMINARY,0.19856887298747763,"β[u](x, t) ∈Rd is a vector-valued mapping from u to Rd, κ ∈R+ is the diffusion parameter, and
110"
PRELIMINARY,0.2003577817531306,"f(x, t) ∈R denotes the force term. Many well-known PDEs, such as Burgers’ equation, NSE, can
111"
PRELIMINARY,0.20214669051878353,"be viewed as a special form of Eq. 1.
112"
PRELIMINARY,0.2039355992844365,"For such PDEs with the form as Eq. 1, the Feynman-Kac formula provides the relationship between
113"
PRELIMINARY,0.20572450805008943,"the PDEs and corresponding probabilistic representation [43, 44, 16]. In detail, we can use the time
114"
PRELIMINARY,0.2075134168157424,"inversion (i.e., ˜u(x, t) = u(x, T −t), ˜f(x, t) = f(x, T −t)) to the PDE as:
115 ∂˜u"
PRELIMINARY,0.20930232558139536,"∂t = −β[˜u](x, t) · ∇˜u −κ∆˜u −˜f(x, t),
˜u(x, T) = u0(x).
(2)"
PRELIMINARY,0.2110912343470483,"Applying the Feynman-Kac formula [35] to the terminal value problem Eq. 2, we have
116"
PRELIMINARY,0.21288014311270126,"˜u0(x) = E """
PRELIMINARY,0.2146690518783542,"˜uT (˜ξT ) +
Z T"
PRELIMINARY,0.21645796064400716,"0
˜f(˜ξs, s)ds # ,
(3)"
