Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.001336898395721925,"High probability generalization bounds of uniformly stable learning algorithms
have recently been actively studied with a series of near-tight results established
by Feldman & Vondrak (2019); Bousquet et al. (2020). However, for randomized
algorithms with on-average uniform stability, such as stochastic gradient descent
(SGD) with time decaying learning rates, it still remains less well understood if
these deviation bounds still hold with high conﬁdence over the internal random-
ness of algorithm. This paper addresses this open question and makes progress to-
wards answering it inside a classic framework of conﬁdence-boosting. To this end,
we ﬁrst establish an in-expectation ﬁrst moment generalization error bound for
randomized learning algorithm with on-average uniform stability, based on which
we then show that a properly designed subbagging process leads to near-tight high
probability generalization bounds over the randomness of data and algorithm. We
further substantialize these generic results to SGD to derive improved high prob-
ability generalization bounds for convex or non-convex optimization with natural
time decaying learning rates, which have not been possible to prove with the ex-
isting uniform stability results. Specially for deterministic uniformly stable algo-
rithms, our conﬁdence-boosting results improve upon the best known generaliza-
tion bounds in terms of a logarithmic factor on sample size, which moves a step
forward towards resolving an open question raised by Bousquet et al. (2020)."
INTRODUCTION,0.00267379679144385,"1
INTRODUCTION"
INTRODUCTION,0.004010695187165776,"In many statistical machine learning problems, the ultimate goal is to design a suitable algorithm
A : ZN 7→W that maps a training data set S = {zi}i∈[N] ∈ZN to a model A(S) in a closed subset
W of an Euclidean space such that the following population risk function evaluated at the model is
as small as possible:
R(A(S)) := EZ∼D[ℓ(A(S); Z)],
where ℓ: W × Z 7→R+ is a non-negative bounded loss function whose value ℓ(w; z) measures
the loss evaluated at z with parameter w, and D represents a distribution over Z. It is generally the
case that the underlying data distribution is unknown, and in this case the training data is usually
assumed to be an i.i.d. set, i.e., S
i.i.d.
∼DN. Then, a natural alternative measurement that mimics the
computationally intractable population risk is the empirical risk deﬁned by"
INTRODUCTION,0.0053475935828877,"RS(A(S)) := EZ∼Unif(S)[ℓ(A(S); Z)] = 1 N N
X"
INTRODUCTION,0.0066844919786096255,"i=1
ℓ(A(S); zi)."
INTRODUCTION,0.008021390374331552,"The bound on the difference between population and empirical risks is of central interest in under-
standing the generalization performance of learning algorithm A. Particularly, we hope to derive
a suitable law of large numbers, i.e., a sample size vanishing rate bN such that the generalization
bound |RS(A(S)) −R(A(S))| ≲bN holds with high probability over the randomness of S and po-
tentially the randomness of A as well. Provided that A(S) is an almost minimizer of the empirical
risk function RS, say RS(A(S)) ≲minw∈W RS(w) + bN, the generalization bound immediately
implies an excess risk bound R(A(S)) −minw∈W R(w) ≲bN +
1
√"
INTRODUCTION,0.009358288770053475,"N due to the standard risk de-
composition and Hoeffding’s inequality. Therefore, generalization bounds also play a crucial role in
understanding the stochastic optimization performance of a learning algorithm."
INTRODUCTION,0.0106951871657754,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.012032085561497326,"The generalization bounds can be naturally implied by uniform bounds on supw∈W |R(w) −
RS(w)| (Bartlett et al., 2006; Bottou & Bousquet, 2008). While broadly applicable (e.g., to non-
convex problems) and leading to tight generalization in some speciﬁc regimes (e.g., margin-based
learning (Kakade et al., 2009)), uniform convergence bounds in general cases might suffer from the
polynomial dependence on dimensionality and thus are not suitable for high-dimensional models
which are ubiquitous in modern machine learning. Alternatively, a powerful proxy for analyzing the
generalization bounds is the stability of learning algorithms to changes in the training dataset. Since
the seminal work of Bousquet & Elisseeff (2002), stability has been extensively demonstrated to
beget dimension-independent generalization bounds for deterministic learning algorithms (Mukher-
jee et al., 2006; Shalev-Shwartz et al., 2010), as well as for randomized learning algorithms (such
as bagging and SGD) (Elisseeff et al., 2005; Hardt et al., 2016). So far, the best known results about
generalization bounds are offered by approaches based on the notion of uniform stability (Feldman
& Vondrak, 2018; 2019; Bousquet et al., 2020). Inspired by these recent breakthrough results, we
seek to derive sharper high-probability generalization bounds for randomized learning algorithms
with on-average uniform stability. A concrete working example of our study is the widely used
stochastic gradient descent (SGD) algorithm that carries out the following recursion for all t ≥1
with learning rate ηt > 0:
wt := ΠW (wt−1 −ηt∇wℓ(wt−1; zξt)) ,
(1)
where ξt ∈[N] is a uniform random index of data under with or without replacement sampling,
and ΠW is the Euclidean projection operator associated with W. Despite its popularity in the study
of stability theory (Hardt et al., 2016; Zhou et al., 2019; Lei & Ying, 2020), the high probability
generalization bounds of SGD are still relatively under explored through the lens of uniform stability."
