Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.002127659574468085,"We ﬁnd that at sequence length 512 padding tokens represent in excess of 50% of
the Wikipedia dataset used for pretraining BERT (Bidirectional Encoder Repre-
sentations from Transformers). Therefore by removing all padding, we achieve
a 2x speed-up in terms of sequences/sec. To exploit this characteristic of the
dataset, we develop and contrast two packing algorithms. Both algorithms rely
on the assumption that sequences are interchangeable and therefore packing can
be performed on the histogram of sequence lengths, rather than per sample. This
transformation of the problem leads to algorithms which are fast and have linear
complexity in dataset size. The shortest-pack-ﬁrst histogram-packing (SPFHP)
algorithm determines the packing order for the Wikipedia dataset of over 16M
sequences in 0.03 seconds. The non-negative least-squares histogram-packing
(NNLSHP) algorithm converges in 28.4 seconds but produces solutions which are
more depth efﬁcient, managing to get near optimal packing by combining a maxi-
mum of 3 sequences in one sample. Using the dataset with multiple sequences per
sample requires adjusting the model and the hyperparameters to keep the predic-
tive quality of the model. We demonstrate that these changes are straightforward
to implement and have relatively little impact on the achievable performance gain
on modern hardware. Finally, we pretrain BERT-Large using the packed dataset,
demonstrating no loss of convergence and the desired 2x speed-up."
INTRODUCTION,0.00425531914893617,"1
INTRODUCTION"
INTRODUCTION,0.006382978723404255,"Since its introduction in 2019, BERT (Devlin et al., 2019a) has been the backbone driving the most
exciting advances in Natural Language Processing (NLP). Pre-training BERT from scratch requires
substantial computational resources which may be out of reach for researchers and industry pro-
fessionals. To some extent this has been addressed by the public release of pre-trained models of
different sizes and depths (Turc et al., 2019). The introduction of ALBERT (Lan et al., 2019) and
Switch transformers (Fedus et al., 2021) further improved the accessibility of larger models. How-
ever, the dependence on pre-trained models limits the ability of researchers to explore new backbone
architectures. Furthermore, it limits the extent to which practitioners in industry can leverage inter-
nal datasets and adapt the model to their particular needs. Hence, any approach that speeds up the
pre-training process is desirable from an economical as well as environmental perspective."
INTRODUCTION,0.00851063829787234,"In this paper, we present efﬁcient methods to enable researchers to accelerate the pre-training of
BERT by as much as 2x without loss of accuracy. The de-facto pre-training dataset Wikipedia,
as well as many other NLP datasets, have a skewed distribution of sequence lengths. We show
that padding tokens (wasted compute) represent 50% of all tokens of the Wikipedia pre-training
dataset at sequence length 512. Thus, by avoiding processing the padding tokens one can get a
2x speed-up. Overall, the lengths range between 5 tokens up to 512 (see Figure 1). Samples of
length 512 represent only 23.5% of the dataset, a surprising result given that the pre-processing
in BERT attempts to “pack” together sentences so as to ﬁll the sequence length as completely as
possible (Devlin et al., 2019c). While processing the padding tokens wastes compute, it is still
the most standard approach for leveraging modern massively-parallel compute especially on GPUs.
These are most efﬁcient when applying the same operation to each sequence in a batch. By padding
all sequences to the same maximum sequence length, they can easily be batched. We note that this
naive batching is the most widely used and provided in the vanilla BERT implementation as well as
the Hugging Face framework (Wolf et al., 2020) and thus considered as our baseline for comparison."
INTRODUCTION,0.010638297872340425,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.01276595744680851,"0
25
50
75
100
125
sequence length 0.000 0.001 0.002 0.003 0.004 0.005"
INTRODUCTION,0.014893617021276596,probability density 59.9%
INTRODUCTION,0.01702127659574468,"max. sequence length: 128
theoretical max. speed-up: 1.210"
INTRODUCTION,0.019148936170212766,"0
100
200
300
400
sequence length 0.000 0.001 0.002 0.003 0.004 0.005 30.6%"
INTRODUCTION,0.02127659574468085,"max. sequence length: 384
theoretical max. speed-up: 1.742"
INTRODUCTION,0.023404255319148935,"0
100
200
300
400
500
sequence length 0.000 0.001 0.002 0.003 0.004 0.005 23.5%"
INTRODUCTION,0.02553191489361702,"max. sequence length 512
theoretical max. speed-up: 2.001"
INTRODUCTION,0.027659574468085105,"Figure 1: Wikipedia BERT pre-training dataset sequence length histograms (token count excluding
padding) for different maximum sequence lengths. Based on the Wikipedia article dump from Oc-
tober 1st 2020. The theoretical speed-up relates to not using any padding tokens and not having any
overhead from processing the different lengths."
